date,tic,open,high,low,close,volume
2021-01-04,D,60.14,60.17,59.03,59.34,85012
2021-01-05,D,59.59,59.59,58.39,58.67,116773
2021-01-06,D,58.9,60.62,58.63,59.92,175750
2021-01-07,D,59.96,60.07,58.65,58.65,172965
2021-01-08,D,58.86,58.91,58.38,58.84,101313
2021-01-11,D,58.69,58.95,57.9,58.4,100457
2021-01-12,D,58.56,58.57,56.9,57.48,147165
2021-01-13,D,57.62,58.29,57.28,58.05,171636
2021-01-14,D,58.09,58.09,57.04,57.04,157629
2021-01-15,D,57.01,58.06,56.84,57.9,211307
2021-01-19,D,58.0,58.0,56.99,57.01,178330
2021-01-20,D,56.81,57.61,56.65,57.51,130691
2021-01-21,D,57.43,57.85,57.01,57.69,111487
2021-01-22,D,57.31,58.22,57.27,58.14,120382
2021-01-25,D,57.84,59.2,57.8,59.11,253215
2021-01-26,D,59.3,59.43,58.69,59.16,146823
2021-01-27,D,58.74,59.78,58.48,58.68,210670
2021-01-28,D,58.79,59.65,58.39,58.39,131188
2021-01-29,D,58.17,59.09,57.7,58.59,153664
2021-02-01,D,58.83,59.11,58.24,58.41,124998
2021-02-02,D,58.43,59.19,58.17,58.46,141614
2021-02-03,D,58.23,58.62,58.12,58.34,161120
2021-02-04,D,58.29,58.6,57.98,58.41,64999
2021-02-05,D,58.49,59.55,58.35,59.29,82170
2021-02-08,D,59.12,59.32,58.84,59.29,122833
2021-02-09,D,59.43,59.49,58.67,58.72,110021
2021-02-10,D,59.09,59.15,58.38,58.68,168457
2021-02-11,D,58.65,59.01,58.57,58.73,136990
2021-02-12,D,58.49,59.41,57.54,57.71,236002
2021-02-16,D,57.65,57.66,56.92,57.14,194150
2021-02-17,D,57.1,58.19,57.01,58.18,146686
2021-02-18,D,57.95,59.02,57.94,58.43,252999
2021-02-19,D,58.47,58.47,57.1,57.16,112113
2021-02-22,D,57.16,57.3,56.57,57.25,444049
2021-02-23,D,57.67,58.47,57.33,57.95,300607
2021-02-24,D,57.83,57.83,57.0,57.19,118765
2021-02-25,D,57.18,57.63,56.7,56.72,239903
2021-02-26,D,56.86,57.07,54.79,54.87,266597
2021-03-01,D,55.84,56.68,55.74,56.2,155633
2021-03-02,D,56.28,56.42,55.47,56.07,158250
2021-03-03,D,55.77,56.31,55.28,55.91,314809
2021-03-04,D,55.81,56.56,55.03,55.14,288603
2021-03-05,D,55.44,56.83,55.07,56.64,346237
2021-03-08,D,56.76,59.16,56.55,58.37,979416
2021-03-09,D,58.49,59.48,58.38,59.16,259255
2021-03-10,D,59.18,59.92,59.01,59.36,271656
2021-03-11,D,58.99,59.67,58.65,58.74,94904
2021-03-12,D,59.19,59.9,58.94,59.62,324535
2021-03-15,D,59.65,60.52,59.63,60.44,174580
2021-03-16,D,60.11,60.6,59.88,60.24,140550
2021-03-17,D,60.25,60.27,59.28,59.34,227587
2021-03-18,D,59.52,59.9,59.02,59.62,263393
2021-03-19,D,59.53,60.12,59.02,59.48,199417
2021-03-22,D,59.52,59.95,59.15,59.62,211196
2021-03-23,D,59.72,60.44,59.49,60.17,140033
2021-03-24,D,59.66,60.57,59.64,60.14,96927
2021-03-25,D,60.57,61.74,60.24,61.02,259944
2021-03-26,D,60.99,61.53,60.5,61.47,186068
2021-03-29,D,61.4,62.66,61.4,62.17,128186
2021-03-30,D,61.66,61.79,60.9,61.28,82319
2021-03-31,D,60.99,61.72,60.95,61.61,89138
2021-04-01,D,61.36,61.46,60.73,61.4,85210
2021-04-05,D,61.37,62.26,61.37,61.97,115776
2021-04-06,D,61.76,62.01,61.39,61.93,98041
2021-04-07,D,62.04,62.24,61.5,61.83,116119
2021-04-08,D,62.1,62.46,61.74,61.78,120392
2021-04-09,D,61.88,62.2,61.67,61.89,57131
2021-04-12,D,61.98,62.47,61.74,61.84,75782
2021-04-13,D,61.64,62.95,61.48,62.86,106885
2021-04-14,D,62.62,62.92,62.36,62.78,83068
2021-04-15,D,62.76,63.6,62.76,63.51,126542
2021-04-16,D,63.73,64.22,63.68,63.97,142456
2021-04-20,D,63.9,65.31,63.86,64.95,158431
2021-04-21,D,65.45,65.54,64.89,65.02,238425
2021-04-22,D,64.86,65.32,64.3,64.4,137220
2021-04-23,D,64.35,64.56,63.99,64.38,99552
2021-04-26,D,64.48,64.48,63.66,63.79,60397
2021-04-27,D,63.71,63.78,63.31,63.48,66961
2021-04-28,D,63.59,63.72,62.95,62.95,82105
2021-04-29,D,63.08,64.08,63.08,64.07,92684
2021-04-30,D,64.29,64.82,64.05,64.82,101243
2021-05-03,D,64.76,65.75,64.74,65.12,131564
2021-05-04,D,65.13,65.29,64.08,64.41,185142
2021-05-05,D,64.1,64.38,62.8,63.2,190984
2021-05-06,D,63.59,63.74,62.92,63.65,258643
2021-05-07,D,63.62,64.22,63.6,63.61,111696
2021-05-10,D,63.9,64.82,63.9,64.48,176625
2021-05-11,D,64.86,65.0,63.5,63.76,170706
2021-05-12,D,63.63,63.73,62.51,62.55,85371
2021-05-13,D,62.55,64.04,62.32,63.57,100444
2021-05-14,D,63.7,64.17,63.29,63.3,137724
2021-05-17,D,63.35,63.93,62.94,62.96,92198
2021-05-18,D,62.66,62.9,62.29,62.54,133171
2021-05-19,D,62.5,62.59,61.83,62.42,155020
2021-05-20,D,62.57,63.22,62.5,62.64,43207
2021-05-21,D,62.89,63.44,62.75,63.43,109818
2021-05-24,D,63.6,63.72,62.49,62.49,138912
2021-05-25,D,62.49,62.49,61.21,61.63,158773
2021-05-26,D,61.6,61.82,61.19,61.6,151208
2021-05-27,D,61.6,61.65,61.2,61.22,151542
2021-05-28,D,61.55,61.89,61.48,61.74,103523
2021-06-01,D,61.84,61.93,60.9,61.25,101894
2021-06-02,D,61.49,62.29,61.27,61.93,118950
2021-06-03,D,61.58,62.97,61.57,62.7,136479
2021-06-04,D,62.81,63.13,62.41,62.58,81767
2021-06-07,D,62.53,62.57,62.21,62.51,55297
2021-06-08,D,62.57,62.64,61.54,62.01,131989
2021-06-09,D,62.2,62.64,62.0,62.58,67954
2021-06-10,D,62.58,63.4,62.54,63.33,63270
2021-06-11,D,62.95,63.24,62.75,63.22,57874
2021-06-14,D,63.36,64.01,63.31,63.99,126880
2021-06-15,D,64.0,64.17,63.76,63.87,90865
2021-06-16,D,64.12,64.18,62.52,62.53,215312
2021-06-17,D,62.41,63.15,62.17,62.79,167274
2021-06-18,D,62.3,62.35,61.11,61.11,118240
2021-06-21,D,61.63,62.22,61.05,62.03,163209
2021-06-22,D,61.87,62.4,61.78,61.84,94723
2021-06-23,D,61.54,61.54,60.73,60.94,95062
2021-06-24,D,60.91,61.26,60.6,60.98,86019
2021-06-25,D,60.93,61.4,60.76,61.4,63865
2021-06-28,D,61.54,61.86,61.33,61.52,59518
2021-06-29,D,61.2,61.49,59.94,60.08,130413
2021-06-30,D,60.2,60.34,59.91,60.15,130112
2021-07-01,D,60.19,60.83,59.78,60.6,78797
2021-07-02,D,60.49,60.87,60.23,60.69,42318
2021-07-06,D,60.94,61.64,60.58,61.63,69127
2021-07-07,D,61.36,62.08,61.23,61.84,56702
2021-07-08,D,61.57,62.3,61.57,62.1,78590
2021-07-09,D,62.07,62.14,61.33,61.76,66323
2021-07-12,D,61.56,61.83,61.22,61.76,63878
2021-07-13,D,61.56,61.67,60.75,60.9,55322
2021-07-14,D,60.69,61.75,60.69,61.5,105541
2021-07-15,D,61.36,62.27,61.36,62.26,86128
2021-07-16,D,62.38,63.37,62.29,63.06,103402
2021-07-19,D,62.97,63.82,61.43,62.03,212667
2021-07-20,D,62.13,62.77,61.72,61.86,352344
2021-07-21,D,61.77,61.95,61.07,61.07,124176
2021-07-22,D,61.2,61.4,60.68,60.8,221786
2021-07-23,D,60.98,61.61,60.91,61.59,104657
2021-07-26,D,61.4,61.58,61.04,61.41,122261
2021-07-27,D,61.48,63.17,61.14,62.81,66907
2021-07-28,D,62.57,62.79,61.57,61.96,70427
2021-07-29,D,61.93,62.07,61.37,61.73,46041
2021-07-30,D,61.67,62.2,61.06,61.2,102902
2021-08-02,D,61.3,61.91,61.21,61.58,87909
2021-08-03,D,61.48,62.4,61.48,61.72,58689
2021-08-04,D,61.35,61.72,60.87,61.71,74696
2021-08-05,D,61.68,62.22,61.45,62.19,86791
2021-08-06,D,62.19,62.43,61.86,62.14,91556
2021-08-09,D,62.28,62.29,61.58,62.14,55477
2021-08-10,D,62.27,62.85,61.9,62.48,196388
2021-08-11,D,62.55,63.01,62.31,62.89,69567
