date,tic,open,high,low,close,volume
2021-01-04,DAY,106.36,106.36,100.45,102.62,50198
2021-01-05,DAY,102.31,103.6,101.13,101.2,27814
2021-01-06,DAY,100.25,100.845,96.84,99.36,51505
2021-01-07,DAY,100.85,103.91,100.51,103.75,48820
2021-01-08,DAY,105.515,107.69,104.67,105.68,30499
2021-01-11,DAY,103.135,104.89,102.08,102.16,20021
2021-01-12,DAY,102.175,102.31,100.22,101.78,22938
2021-01-13,DAY,102.69,102.87,99.33,99.33,27832
2021-01-14,DAY,99.66,102.25,99.66,100.93,31520
2021-01-15,DAY,101.65,102.135,98.495,101.275,31810
2021-01-19,DAY,102.99,103.45,101.445,101.84,37365
2021-01-20,DAY,102.45,106.72,102.36,106.67,41669
2021-01-21,DAY,106.8,107.48,103.51,103.6,47930
2021-01-22,DAY,103.3,105.305,103.3,105.165,27471
2021-01-25,DAY,106.01,106.01,100.0,101.16,35649
2021-01-26,DAY,101.42,101.845,97.34,97.35,49927
2021-01-27,DAY,96.14,97.68,92.86,94.28,74738
2021-01-28,DAY,94.06,97.11,93.88,95.595,55492
2021-01-29,DAY,94.94,94.94,91.18,92.79,43914
2021-02-01,DAY,94.355,96.9,93.5,96.08,49026
2021-02-02,DAY,97.32,100.24,96.77,98.59,67304
2021-02-03,DAY,99.7,101.13,98.74,98.8,44078
2021-02-04,DAY,99.155,103.1,99.155,102.27,46201
2021-02-05,DAY,102.99,104.35,101.74,101.89,41648
2021-02-08,DAY,102.46,104.6,101.79,101.95,43305
2021-02-09,DAY,102.41,106.28,101.56,104.85,53970
2021-02-10,DAY,96.615,96.88,90.8,91.105,200871
2021-02-11,DAY,91.775,95.76,88.35,95.67,153524
2021-02-12,DAY,94.64,97.88,93.835,97.83,78084
2021-02-16,DAY,99.38,100.94,96.07,97.23,53846
2021-02-17,DAY,96.77,96.77,94.19,95.91,41116
2021-02-18,DAY,94.93,96.67,93.065,96.26,70111
2021-02-19,DAY,97.11,98.345,95.76,96.18,52434
2021-02-22,DAY,94.06,95.29,92.45,93.28,98286
2021-02-23,DAY,90.84,92.995,87.365,92.21,91086
2021-02-24,DAY,91.49,91.49,89.17,90.14,71126
2021-02-25,DAY,89.3,90.48,85.83,86.83,100169
2021-02-26,DAY,87.9,90.385,85.6,89.81,65048
2021-03-01,DAY,90.5,93.54,90.5,92.86,43701
2021-03-02,DAY,91.67,93.27,88.37,89.695,138543
2021-03-03,DAY,88.75,89.5,85.03,85.42,122425
2021-03-04,DAY,84.52,86.15,82.18,82.76,94519
2021-03-05,DAY,84.52,84.52,78.52,84.28,107007
2021-03-08,DAY,83.67,85.73,80.995,80.995,58489
2021-03-09,DAY,85.06,86.17,83.64,85.41,61113
2021-03-10,DAY,88.22,88.37,84.965,85.285,54168
2021-03-11,DAY,88.27,88.46,86.5,87.97,29745
2021-03-12,DAY,86.08,87.61,85.57,87.14,39175
2021-03-15,DAY,87.89,90.47,87.43,90.195,33298
2021-03-16,DAY,91.28,91.69,87.42,88.28,26646
2021-03-17,DAY,87.19,89.82,86.05,88.93,42965
2021-03-18,DAY,86.465,86.465,82.64,82.66,48347
2021-03-19,DAY,83.4,85.75,82.425,83.01,59092
2021-03-22,DAY,83.445,85.18,83.445,84.24,37052
2021-03-23,DAY,83.91,85.12,83.27,83.72,41030
2021-03-24,DAY,83.69,83.83,80.835,80.835,44444
2021-03-25,DAY,79.99,81.54,78.54,80.95,66127
2021-03-26,DAY,81.83,84.24,80.71,83.7,78238
2021-03-29,DAY,83.525,84.96,80.335,81.64,70957
2021-03-30,DAY,80.29,82.11,79.34,82.01,53081
2021-03-31,DAY,83.76,85.84,83.33,84.32,44583
2021-04-01,DAY,86.25,86.88,84.13,84.51,46118
2021-04-05,DAY,85.56,87.11,84.14,87.01,145820
2021-04-06,DAY,86.565,87.8,85.33,86.57,124483
2021-04-07,DAY,85.78,86.92,84.965,86.36,57947
2021-04-08,DAY,86.78,89.415,86.78,89.37,48125
2021-04-09,DAY,88.35,89.69,88.055,89.68,45686
2021-04-12,DAY,88.95,91.075,88.535,90.89,31083
2021-04-13,DAY,92.76,93.01,91.33,92.565,29560
2021-04-14,DAY,93.29,94.47,91.55,91.7,75066
2021-04-15,DAY,93.62,95.44,93.41,94.93,89614
2021-04-16,DAY,94.565,94.81,93.57,93.91,36538
2021-04-20,DAY,91.95,93.39,90.04,91.02,22004
2021-04-21,DAY,91.21,93.26,90.92,93.01,38792
2021-04-22,DAY,93.1,95.16,93.08,93.55,21227
2021-04-23,DAY,95.1,95.68,94.215,94.29,90661
2021-04-26,DAY,94.11,95.1,92.79,94.68,65765
2021-04-27,DAY,94.45,96.22,94.045,96.14,46065
2021-04-28,DAY,95.17,98.57,95.17,98.185,42406
2021-04-29,DAY,98.57,99.22,95.78,97.14,65142
2021-04-30,DAY,96.3,97.39,94.2,94.51,62066
2021-05-03,DAY,95.21,96.425,93.005,93.06,58077
2021-05-04,DAY,92.51,93.32,88.73,89.73,103960
2021-05-05,DAY,90.245,91.595,88.37,89.12,90448
2021-05-06,DAY,91.61,92.5,84.11,88.93,225176
2021-05-07,DAY,89.67,90.8,86.82,87.4,72222
2021-05-10,DAY,85.765,85.765,83.7,84.035,69599
2021-05-11,DAY,81.33,87.63,81.08,86.79,71274
2021-05-12,DAY,85.495,86.32,83.87,83.88,48465
2021-05-13,DAY,84.825,85.685,83.19,85.27,32694
2021-05-14,DAY,85.54,89.0,84.58,88.35,60686
2021-05-17,DAY,86.41,88.05,86.235,87.825,97872
2021-05-18,DAY,87.43,89.955,87.43,88.42,71891
2021-05-19,DAY,85.755,87.785,85.185,86.78,82704
2021-05-20,DAY,87.81,89.54,87.81,89.07,44554
2021-05-21,DAY,89.4,89.4,87.28,87.79,56423
2021-05-24,DAY,89.19,89.92,88.55,89.25,41442
2021-05-25,DAY,89.52,90.01,88.14,88.43,18961
2021-05-26,DAY,89.39,90.085,88.62,89.54,52399
2021-05-27,DAY,88.88,89.895,87.675,89.565,40473
2021-05-28,DAY,90.15,90.46,89.24,89.495,31319
2021-06-01,DAY,89.42,89.7,87.64,88.515,30310
2021-06-02,DAY,88.41,88.98,86.87,86.97,24819
2021-06-03,DAY,87.03,87.03,84.3,84.73,56428
2021-06-04,DAY,85.38,86.46,85.18,86.46,44819
2021-06-07,DAY,86.04,86.325,85.35,86.16,21345
2021-06-08,DAY,87.49,87.49,86.04,86.08,30441
2021-06-09,DAY,87.06,87.345,86.05,86.23,37942
2021-06-10,DAY,86.255,87.765,85.96,87.71,20463
2021-06-11,DAY,87.8,88.81,87.37,88.81,64886
2021-06-14,DAY,89.535,89.83,88.49,89.13,51985
2021-06-15,DAY,85.5,86.37,84.47,84.6,87378
2021-06-16,DAY,84.6,86.84,84.11,85.73,80120
2021-06-17,DAY,85.605,89.09,85.575,89.05,77520
2021-06-18,DAY,88.89,91.665,88.89,91.01,62765
2021-06-21,DAY,90.74,92.81,90.18,92.43,52603
2021-06-22,DAY,93.07,94.12,92.96,94.12,36787
2021-06-23,DAY,93.935,96.34,93.935,96.03,83106
2021-06-24,DAY,96.92,98.165,96.52,97.0,76319
2021-06-25,DAY,97.06,98.29,95.975,98.29,51571
2021-06-28,DAY,98.67,99.79,98.46,99.13,41902
2021-06-29,DAY,99.69,100.925,99.28,99.97,51654
2021-06-30,DAY,99.16,99.16,95.825,95.89,36418
2021-07-01,DAY,96.16,96.71,95.255,96.1,59884
2021-07-02,DAY,96.29,97.87,96.29,97.85,15925
2021-07-06,DAY,98.03,99.9,98.03,99.18,29178
2021-07-07,DAY,100.49,100.49,98.49,98.81,22781
2021-07-08,DAY,96.2,98.725,95.77,97.96,26018
2021-07-09,DAY,97.85,99.33,97.55,99.3,26117
2021-07-12,DAY,99.18,99.61,95.79,96.215,55069
2021-07-13,DAY,95.665,97.11,95.29,95.865,29474
2021-07-14,DAY,97.01,97.34,95.48,96.0,32859
2021-07-15,DAY,95.71,96.23,94.4,95.45,41283
2021-07-16,DAY,96.5,96.965,95.12,95.31,35181
2021-07-19,DAY,94.085,95.785,93.625,95.71,27288
2021-07-20,DAY,96.28,98.325,95.37,97.43,58614
2021-07-21,DAY,97.36,97.64,96.53,97.35,60913
