date,tic,open,high,low,close,volume
2021-01-04,DD,27.2,27.48,26.67,26.74,324598
2021-01-05,DD,26.69,28.2,26.69,28.05,384757
2021-01-06,DD,28.3,29.67,28.29,29.56,1231944
2021-01-07,DD,29.74,30.77,29.71,30.74,878180
2021-01-08,DD,30.63,31.52,30.6,31.09,651343
2021-01-11,DD,30.49,32.49,30.49,31.93,893115
2021-01-12,DD,31.84,33.17,31.83,32.83,592251
2021-01-13,DD,32.21,32.52,31.1,31.77,497920
2021-01-14,DD,31.24,31.64,31.02,31.42,434210
2021-01-15,DD,31.16,31.38,30.6,31.34,328461
2021-01-19,DD,31.62,32.12,31.18,32.11,354996
2021-01-20,DD,32.25,32.49,31.67,32.05,440402
2021-01-21,DD,31.47,31.66,30.71,30.79,421400
2021-01-22,DD,30.39,30.89,30.25,30.81,261993
2021-01-25,DD,30.62,31.1,30.6,30.93,565897
2021-01-26,DD,31.09,31.25,30.25,30.36,594590
2021-01-27,DD,29.55,30.37,29.26,29.62,1273245
2021-01-28,DD,29.73,30.95,29.66,30.82,955462
2021-01-29,DD,30.51,30.97,29.8,30.23,1312916
2021-02-01,DD,28.32,29.45,27.33,27.78,1408643
2021-02-02,DD,28.12,29.18,27.54,28.97,767659
2021-02-03,DD,28.89,29.02,28.31,28.48,918401
2021-02-04,DD,28.32,29.33,27.82,29.15,682526
2021-02-05,DD,29.17,29.32,28.74,28.81,297166
2021-02-08,DD,29.28,29.37,28.71,28.79,397563
2021-02-09,DD,28.51,28.65,27.82,27.9,425540
2021-02-10,DD,28.27,28.41,26.7,26.71,699222
2021-02-11,DD,27.24,27.41,26.97,26.97,347484
2021-02-12,DD,26.98,27.31,26.78,27.16,223982
2021-02-16,DD,27.43,27.47,26.99,26.99,418088
2021-02-17,DD,26.99,27.23,26.55,26.6,301451
2021-02-18,DD,26.48,26.59,25.9,26.17,390976
2021-02-19,DD,26.37,26.81,26.23,26.53,531168
2021-02-22,DD,26.4,26.9,26.28,26.38,234655
2021-02-23,DD,26.27,26.53,25.54,26.09,327210
2021-02-24,DD,26.21,27.32,26.2,27.26,317629
2021-02-25,DD,27.41,27.41,26.45,26.54,253841
2021-02-26,DD,26.68,27.11,26.26,26.88,245923
2021-03-01,DD,27.23,28.22,27.18,28.08,389444
2021-03-02,DD,28.21,28.41,27.84,27.86,194038
2021-03-03,DD,28.01,28.96,27.92,28.48,481344
2021-03-04,DD,28.52,28.66,27.13,27.73,145043
2021-03-05,DD,28.2,28.34,27.2,28.29,229005
2021-03-08,DD,28.41,29.2,28.39,28.74,366059
2021-03-09,DD,28.83,29.45,28.52,28.89,209225
2021-03-10,DD,29.13,29.48,29.03,29.28,248878
2021-03-11,DD,29.57,29.79,29.26,29.36,287363
2021-03-12,DD,29.36,29.66,29.3,29.42,104923
2021-03-15,DD,29.44,29.46,28.98,29.29,170986
2021-03-16,DD,29.4,29.49,29.11,29.27,243178
2021-03-17,DD,29.22,29.99,29.22,29.92,235106
