date,tic,open,high,low,close,volume
2021-01-04,DE,255.87,257.19,248.06,251.53,203602
2021-01-05,DE,251.96,258.26,251.89,257.84,82694
2021-01-06,DE,258.29,275.24,258.29,273.03,160670
2021-01-07,DE,276.01,282.5,276.01,282.02,159187
2021-01-08,DE,280.35,282.33,273.04,276.36,98320
2021-01-11,DE,271.97,277.43,271.97,277.36,70316
2021-01-12,DE,277.94,285.21,276.51,284.21,147342
2021-01-13,DE,283.4,285.76,282.75,283.28,113646
2021-01-14,DE,285.06,287.98,283.99,284.78,73486
2021-01-15,DE,281.35,281.35,275.54,277.72,97945
2021-01-19,DE,281.18,281.36,276.84,277.11,93434
2021-01-20,DE,279.75,283.99,278.64,282.92,87993
2021-01-21,DE,283.32,287.78,283.02,287.2,127267
2021-01-22,DE,284.97,288.36,283.4,287.03,62438
2021-01-25,DE,285.75,287.06,278.68,280.21,117320
2021-01-26,DE,283.25,283.93,277.75,278.18,68839
2021-01-27,DE,272.15,272.17,262.23,263.81,110567
2021-01-28,DE,269.33,279.45,267.04,275.36,95795
2021-01-29,DE,275.35,275.35,268.91,271.55,86633
2021-02-01,DE,275.68,276.09,272.29,275.06,96361
2021-02-02,DE,278.27,285.92,278.27,284.55,104158
2021-02-03,DE,283.67,284.02,281.58,283.15,37184
2021-02-04,DE,284.37,290.99,284.25,290.6,50528
2021-02-05,DE,292.63,294.15,288.61,290.66,54840
2021-02-08,DE,294.15,298.05,293.5,297.95,59400
2021-02-09,DE,296.56,299.2,294.4,296.51,74766
2021-02-10,DE,298.46,298.46,292.95,294.46,71629
2021-02-11,DE,295.34,296.55,290.73,295.81,67865
2021-02-12,DE,295.18,296.72,293.63,294.3,105991
2021-02-16,DE,297.18,302.25,297.18,297.94,147652
2021-02-17,DE,296.06,298.08,293.19,293.19,136677
2021-02-18,DE,292.36,292.64,280.71,281.73,155835
2021-02-19,DE,300.81,314.92,297.97,310.12,270082
2021-02-22,DE,309.87,318.23,308.88,317.43,112366
2021-02-23,DE,311.63,318.25,308.34,317.17,170046
2021-02-24,DE,318.86,325.62,317.94,324.96,126998
2021-02-25,DE,324.69,331.79,321.86,327.52,205545
2021-02-26,DE,325.8,332.89,323.44,328.52,138626
2021-03-01,DE,333.73,341.4,333.29,337.93,135809
2021-03-02,DE,337.88,338.22,329.04,330.34,177052
2021-03-03,DE,328.44,329.84,322.54,322.61,146789
2021-03-04,DE,322.19,322.74,311.12,317.58,154279
2021-03-05,DE,321.46,330.58,314.15,329.15,80846
2021-03-08,DE,333.01,338.21,328.54,332.36,86449
2021-03-09,DE,333.82,335.93,330.92,331.73,73055
2021-03-10,DE,330.44,339.86,330.31,339.54,74385
2021-03-11,DE,342.84,344.43,339.16,342.56,120179
2021-03-12,DE,342.31,348.51,342.07,347.35,121110
2021-03-15,DE,346.7,352.14,344.74,351.92,103636
2021-03-16,DE,352.83,353.74,348.85,351.03,86704
2021-03-17,DE,352.64,357.97,350.14,356.87,84692
2021-03-18,DE,357.74,368.59,356.45,357.41,145267
2021-03-19,DE,354.41,356.86,349.73,350.33,139718
2021-03-22,DE,349.44,351.06,346.64,349.29,77804
2021-03-23,DE,344.09,348.55,334.6,336.32,186434
2021-03-24,DE,339.99,345.95,339.32,339.38,117901
2021-03-25,DE,336.99,345.66,332.61,344.92,83066
2021-03-26,DE,349.3,350.54,345.85,349.69,79483
2021-03-29,DE,348.49,350.17,345.51,345.51,57870
2021-03-30,DE,345.32,353.47,345.32,352.35,57379
2021-03-31,DE,353.81,357.31,347.36,352.64,110987
2021-04-01,DE,352.83,353.31,348.25,350.69,60727
2021-04-05,DE,354.61,356.06,352.45,353.13,53150
2021-04-06,DE,353.71,359.47,353.71,353.79,49131
2021-04-07,DE,356.16,356.16,351.03,353.06,64717
2021-04-08,DE,351.32,352.83,347.45,352.51,72485
2021-04-09,DE,353.56,356.22,351.24,355.23,54597
2021-04-12,DE,355.99,357.15,354.15,356.26,51386
