date,tic,open,high,low,close,volume
2021-01-04,DELL,34.31,34.31,33.34,33.68,280984
2021-01-05,DELL,33.28,34.38,33.25,34.14,204381
2021-01-06,DELL,34.12,34.96,33.89,34.44,300249
2021-01-07,DELL,34.74,35.49,34.74,35.49,228988
2021-01-08,DELL,35.61,35.96,35.25,35.91,314886
2021-01-11,DELL,35.49,35.71,35.17,35.17,205233
2021-01-12,DELL,35.3,35.68,35.18,35.68,192921
2021-01-13,DELL,34.75,34.83,32.63,33.11,987770
2021-01-14,DELL,33.18,34.32,33.18,34.06,414316
2021-01-15,DELL,33.96,34.81,33.89,34.54,183220
2021-01-19,DELL,34.72,34.87,34.55,34.79,172598
2021-01-20,DELL,35.04,35.87,34.86,35.83,191686
2021-01-21,DELL,36.02,36.08,35.33,35.76,214471
2021-01-22,DELL,35.18,35.41,34.89,35.32,100257
2021-01-25,DELL,35.48,35.48,34.21,35.18,119686
2021-01-26,DELL,35.29,35.55,34.86,35.34,109440
2021-01-27,DELL,34.76,35.2,34.05,34.33,307766
2021-01-28,DELL,34.42,34.94,33.92,34.36,281391
2021-01-29,DELL,34.11,34.67,33.66,33.88,164321
2021-02-01,DELL,34.22,34.73,33.85,34.4,110778
2021-02-02,DELL,35.95,36.08,35.59,35.86,420927
2021-02-03,DELL,35.87,36.4,35.84,36.15,110653
2021-02-04,DELL,36.32,36.85,36.31,36.85,76218
2021-02-05,DELL,36.94,37.22,36.84,37.0,99737
2021-02-08,DELL,37.15,37.52,36.96,37.13,253640
2021-02-09,DELL,36.84,37.14,36.65,37.02,190295
2021-02-10,DELL,37.14,37.18,36.48,36.97,89187
2021-02-11,DELL,37.02,37.22,36.22,36.88,147714
2021-02-12,DELL,36.96,37.22,36.68,37.22,382061
2021-02-16,DELL,37.51,37.51,36.48,36.99,206841
2021-02-17,DELL,36.82,37.18,36.54,36.84,136973
2021-02-18,DELL,36.67,37.39,36.36,37.04,213445
2021-02-19,DELL,37.36,37.79,37.21,37.55,115530
2021-02-22,DELL,37.44,38.09,37.01,37.53,160507
2021-02-23,DELL,37.15,37.6,35.85,37.44,211109
2021-02-24,DELL,37.5,38.07,37.41,37.97,196992
2021-02-25,DELL,37.77,37.9,36.73,37.08,385457
2021-02-26,DELL,37.65,38.63,37.21,37.66,317692
2021-03-01,DELL,37.83,38.78,37.82,38.62,172357
2021-03-02,DELL,38.56,38.85,38.19,38.46,165568
2021-03-03,DELL,38.52,39.13,38.38,38.87,427184
2021-03-04,DELL,38.83,39.22,37.88,38.54,358691
2021-03-05,DELL,39.08,39.83,38.79,39.76,482818
2021-03-08,DELL,39.84,40.28,39.49,39.56,282559
2021-03-09,DELL,40.06,40.83,39.98,40.22,254177
2021-03-10,DELL,40.47,40.94,40.36,40.75,228621
2021-03-11,DELL,41.04,41.58,40.92,41.16,330528
2021-03-12,DELL,41.02,41.29,40.82,41.27,145084
2021-03-15,DELL,41.3,41.48,41.03,41.47,148685
2021-03-16,DELL,41.59,41.71,41.05,41.43,279978
2021-03-17,DELL,41.1,42.53,41.02,42.41,291118
2021-03-18,DELL,41.79,41.91,40.93,40.93,222254
2021-03-19,DELL,40.78,41.26,40.71,40.82,361398
2021-03-22,DELL,40.56,41.03,40.42,40.59,299696
2021-03-23,DELL,40.45,40.88,39.44,39.88,331781
2021-03-24,DELL,40.1,40.62,39.93,40.15,419560
2021-03-25,DELL,39.47,40.4,39.47,40.0,162881
2021-03-26,DELL,40.36,41.37,40.36,41.36,258350
2021-03-29,DELL,41.13,41.66,40.81,40.99,264086
2021-03-30,DELL,40.92,41.38,40.75,41.2,165822
2021-03-31,DELL,41.26,41.36,40.93,40.99,165161
2021-04-01,DELL,41.11,41.53,40.96,41.43,119928
2021-04-05,DELL,41.51,41.75,41.36,41.57,218121
2021-04-06,DELL,41.5,41.81,41.43,41.59,195368
2021-04-07,DELL,41.67,42.95,41.67,42.47,246246
2021-04-08,DELL,42.91,43.17,42.13,43.07,175762
2021-04-09,DELL,42.89,43.7,42.89,43.64,167008
2021-04-12,DELL,43.21,43.7,43.03,43.46,162689
2021-04-13,DELL,43.49,43.49,42.98,43.01,78314
2021-04-14,DELL,43.05,43.45,43.02,43.09,100899
2021-04-15,DELL,45.57,47.03,44.35,45.95,1245523
2021-04-16,DELL,46.28,47.47,46.16,47.15,504300
2021-04-20,DELL,48.07,48.1,47.04,47.15,304909
2021-04-21,DELL,47.16,47.54,46.98,47.14,177812
2021-04-22,DELL,47.07,47.41,46.57,46.74,116657
2021-04-23,DELL,46.96,47.3,46.74,47.14,147290
2021-04-26,DELL,47.21,47.29,46.57,46.66,101607
2021-04-27,DELL,46.76,47.07,46.61,46.77,113731
2021-04-28,DELL,46.91,46.91,46.21,46.21,82143
2021-04-29,DELL,46.62,46.78,46.24,46.47,138362
2021-04-30,DELL,46.3,46.3,45.64,45.72,141582
2021-05-03,DELL,46.04,46.2,45.4,45.45,194393
2021-05-04,DELL,44.88,45.12,44.59,44.84,214638
2021-05-05,DELL,45.22,45.88,44.89,45.7,165874
2021-05-06,DELL,45.79,46.4,45.47,46.37,131999
2021-05-07,DELL,46.57,47.28,46.39,46.95,208354
2021-05-10,DELL,46.96,47.05,46.31,46.33,101045
2021-05-11,DELL,44.91,45.56,44.62,45.44,206470
2021-05-12,DELL,45.09,45.27,43.69,43.74,162699
2021-05-13,DELL,44.07,45.06,44.01,44.81,190321
2021-05-14,DELL,45.31,45.79,45.26,45.76,88731
2021-05-17,DELL,45.63,45.94,45.43,45.72,85134
2021-05-18,DELL,45.81,45.95,45.49,45.61,81926
2021-05-19,DELL,44.74,45.34,44.36,44.98,165392
2021-05-20,DELL,45.25,46.06,45.14,45.83,133331
2021-05-21,DELL,46.32,46.32,45.71,45.77,85904
2021-05-24,DELL,46.13,46.79,46.12,46.55,120157
2021-05-25,DELL,46.74,46.9,46.23,46.25,123718
2021-05-26,DELL,46.36,46.69,46.2,46.32,130624
2021-05-27,DELL,46.6,46.68,46.02,46.35,151406
2021-05-28,DELL,46.18,46.36,44.32,45.85,315691
2021-06-01,DELL,46.3,47.84,46.27,47.82,310644
2021-06-02,DELL,47.72,48.02,46.94,46.94,154929
2021-06-03,DELL,46.68,47.39,46.23,47.25,167708
2021-06-04,DELL,47.35,48.14,47.35,48.13,166187
2021-06-07,DELL,48.44,48.51,47.63,47.78,67543
2021-06-08,DELL,47.86,48.42,47.86,48.31,106654
2021-06-09,DELL,48.45,48.45,48.02,48.35,77128
2021-06-10,DELL,48.29,48.62,48.11,48.26,175024
2021-06-11,DELL,48.19,48.38,47.37,48.33,151960
2021-06-14,DELL,48.42,48.42,47.53,47.73,109511
2021-06-15,DELL,47.87,48.02,47.6,47.82,107717
2021-06-16,DELL,47.71,48.07,47.42,47.73,132171
2021-06-17,DELL,47.56,47.63,46.25,46.32,247337
2021-06-18,DELL,45.74,45.94,45.26,45.81,198280
2021-06-21,DELL,46.15,46.54,46.07,46.49,171068
2021-06-22,DELL,46.25,46.48,46.07,46.39,87090
2021-06-23,DELL,46.28,46.39,46.03,46.11,71805
2021-06-24,DELL,46.31,46.49,45.84,46.05,179535
2021-06-25,DELL,46.26,46.38,46.15,46.25,322516
2021-06-28,DELL,46.18,46.58,46.18,46.37,321101
2021-06-29,DELL,46.36,47.55,46.19,47.55,336974
2021-06-30,DELL,46.98,47.25,46.31,46.33,296279
2021-07-01,DELL,46.1,46.2,45.56,45.88,156906
2021-07-02,DELL,46.08,46.34,45.59,46.19,133159
