date,tic,open,high,low,close,volume
2021-01-04,DHR,192.27,192.83,187.89,190.77,130622
2021-01-05,DHR,190.48,196.02,190.48,195.43,327488
2021-01-06,DHR,191.2,203.05,190.98,201.95,160974
2021-01-07,DHR,203.76,207.54,203.45,204.81,196487
2021-01-08,DHR,205.69,209.28,205.61,208.16,161060
2021-01-11,DHR,207.45,208.68,206.77,208.65,105284
2021-01-12,DHR,209.03,209.56,204.55,205.81,127623
2021-01-13,DHR,204.93,206.22,201.7,204.95,165445
2021-01-14,DHR,204.75,206.17,201.99,202.42,111835
2021-01-15,DHR,202.23,204.2,200.81,202.53,146958
2021-01-19,DHR,204.51,204.52,201.43,201.82,82040
2021-01-20,DHR,201.53,202.98,200.6,202.84,94812
2021-01-21,DHR,202.73,203.32,198.94,199.43,125060
2021-01-22,DHR,200.2,204.39,200.2,203.4,90371
2021-01-25,DHR,203.55,204.35,199.64,203.55,95250
2021-01-26,DHR,203.61,203.61,199.98,199.98,117795
2021-01-27,DHR,196.64,196.64,186.21,189.55,406959
2021-01-28,DHR,193.57,198.04,192.68,195.35,294733
2021-01-29,DHR,194.47,204.28,193.26,203.4,279844
2021-02-01,DHR,204.38,208.88,204.3,206.62,225477
2021-02-02,DHR,208.91,210.34,207.53,209.75,251172
2021-02-03,DHR,208.41,208.75,203.5,203.5,120377
2021-02-04,DHR,203.23,204.96,200.55,201.22,190432
2021-02-05,DHR,201.92,203.7,200.46,201.32,93838
2021-02-08,DHR,202.16,204.02,200.08,201.3,84646
2021-02-09,DHR,201.85,203.71,200.67,202.7,100857
2021-02-10,DHR,204.12,204.12,201.87,202.78,81792
2021-02-11,DHR,203.88,205.83,202.99,205.75,150027
2021-02-12,DHR,205.74,211.1,205.66,210.15,125401
2021-02-16,DHR,211.79,212.42,206.49,207.02,77674
2021-02-17,DHR,206.3,207.12,204.51,205.1,69219
2021-02-18,DHR,203.64,203.85,201.38,202.84,138825
2021-02-19,DHR,203.19,203.62,197.59,198.12,148988
2021-02-22,DHR,197.14,197.21,192.31,192.65,233554
2021-02-23,DHR,191.41,193.69,190.6,191.22,114156
2021-02-24,DHR,192.09,193.23,190.2,190.6,125573
2021-02-25,DHR,189.99,191.47,186.41,187.37,115274
2021-02-26,DHR,188.91,190.3,187.71,187.77,118863
2021-03-01,DHR,189.71,193.73,189.71,192.79,144755
2021-03-02,DHR,192.83,193.53,189.95,191.47,117977
2021-03-03,DHR,192.71,192.71,187.64,187.81,173163
2021-03-04,DHR,186.89,188.02,181.89,183.18,402595
2021-03-05,DHR,184.76,187.36,181.7,186.68,157354
2021-03-08,DHR,186.25,186.69,181.28,181.43,250472
2021-03-09,DHR,184.43,187.13,184.43,184.86,159256
2021-03-10,DHR,185.14,187.11,180.59,181.9,192370
2021-03-11,DHR,184.0,188.0,183.41,187.39,156817
2021-03-12,DHR,185.98,186.47,182.79,183.46,151291
2021-03-15,DHR,183.83,186.65,183.58,185.46,114840
2021-03-16,DHR,185.62,185.9,183.48,184.5,203257
2021-03-17,DHR,183.36,184.24,182.13,182.93,131809
2021-03-18,DHR,182.4,186.48,181.93,184.36,224183
2021-03-19,DHR,184.86,189.3,184.76,189.12,227058
2021-03-22,DHR,187.91,191.31,187.12,190.9,221068
2021-03-23,DHR,190.3,191.89,187.42,188.32,120190
2021-03-24,DHR,187.4,188.4,186.56,187.59,103766
2021-03-25,DHR,187.56,187.65,184.43,187.18,186031
2021-03-26,DHR,187.75,193.73,187.04,193.72,128399
2021-03-29,DHR,192.09,195.34,190.34,193.98,115447
2021-03-30,DHR,192.62,193.1,190.21,190.69,142323
2021-03-31,DHR,191.44,194.4,191.44,192.72,137890
2021-04-01,DHR,193.19,194.24,191.77,192.44,104457
2021-04-05,DHR,194.64,195.06,193.05,193.95,137327
2021-04-06,DHR,194.57,197.48,193.84,194.22,120406
2021-04-07,DHR,193.43,194.88,192.31,193.33,67675
2021-04-08,DHR,194.88,197.81,194.87,196.59,135199
2021-04-09,DHR,196.75,198.69,196.02,198.69,82261
2021-04-12,DHR,197.77,201.18,197.77,201.03,161471
2021-04-13,DHR,203.69,212.01,202.91,207.59,215831
2021-04-14,DHR,206.4,206.84,202.71,202.86,122934
2021-04-15,DHR,203.6,208.13,202.84,207.57,118854
2021-04-16,DHR,208.01,208.62,206.62,207.93,90230
2021-04-20,DHR,206.57,208.01,205.85,206.83,71703
2021-04-21,DHR,208.0,209.82,206.38,209.12,123706
2021-04-22,DHR,212.59,219.01,212.52,216.36,267839
2021-04-23,DHR,216.18,222.36,216.18,222.34,273289
2021-04-26,DHR,221.9,222.69,220.62,220.74,100214
2021-04-27,DHR,219.69,221.87,218.42,220.76,93590
2021-04-28,DHR,219.67,221.42,218.44,221.08,119317
2021-04-29,DHR,221.86,221.86,218.68,219.48,90541
2021-04-30,DHR,218.12,220.09,216.29,217.26,119652
2021-05-03,DHR,219.49,219.49,217.35,217.85,73333
2021-05-04,DHR,217.36,219.15,215.6,218.9,92613
2021-05-05,DHR,219.63,220.1,216.89,217.77,91080
2021-05-06,DHR,217.06,220.0,216.16,219.98,91732
2021-05-07,DHR,221.12,223.59,220.91,221.11,115208
2021-05-10,DHR,221.3,222.88,220.38,221.53,89432
2021-05-11,DHR,219.72,221.17,218.36,220.62,82281
2021-05-12,DHR,217.71,219.24,213.75,214.13,115030
2021-05-13,DHR,215.65,217.38,215.12,216.09,88277
2021-05-14,DHR,217.53,219.63,216.53,216.98,193044
2021-05-17,DHR,216.53,217.75,214.1,214.61,38929
2021-05-18,DHR,214.41,216.13,213.47,213.85,34351
2021-05-19,DHR,211.05,213.29,210.67,213.23,43608
2021-05-20,DHR,214.01,218.31,213.84,217.91,76575
2021-05-21,DHR,218.84,220.16,216.05,216.11,43453
2021-05-24,DHR,217.3,218.19,215.85,217.16,57742
2021-05-25,DHR,217.28,218.46,216.31,218.29,54797
2021-05-26,DHR,219.12,219.12,214.23,215.31,156976
2021-05-27,DHR,215.25,218.67,215.01,218.51,96083
2021-05-28,DHR,220.55,222.76,219.01,219.12,63320
2021-06-01,DHR,217.12,217.12,208.19,209.75,255817
2021-06-02,DHR,210.08,210.17,206.77,207.03,170948
2021-06-03,DHR,206.81,207.64,203.92,206.17,180792
2021-06-04,DHR,207.95,209.0,206.57,207.22,60322
2021-06-07,DHR,207.39,208.0,205.2,205.54,49138
2021-06-08,DHR,206.71,206.8,204.49,205.46,108286
2021-06-09,DHR,206.28,206.53,205.35,205.97,94101
