date,tic,open,high,low,close,volume
2021-01-04,DIS,178.07,178.3,170.84,173.44,493232
2021-01-05,DIS,172.44,176.14,172.27,174.4,240241
2021-01-06,DIS,174.59,177.43,173.23,174.97,313212
2021-01-07,DIS,175.18,175.81,173.49,174.45,255193
2021-01-08,DIS,174.96,175.8,172.6,174.65,221705
2021-01-11,DIS,173.71,176.99,173.56,174.95,272385
2021-01-12,DIS,173.49,174.17,170.98,171.97,192797
2021-01-13,DIS,170.22,173.64,169.78,172.1,232022
2021-01-14,DIS,172.8,174.24,169.44,169.62,287754
2021-01-15,DIS,168.94,170.18,166.27,167.44,392637
2021-01-19,DIS,168.54,169.72,167.59,168.36,213434
2021-01-20,DIS,171.23,173.78,169.4,169.74,265405
2021-01-21,DIS,170.23,170.23,167.11,167.41,261923
2021-01-22,DIS,169.96,171.12,167.95,168.94,235166
2021-01-25,DIS,168.37,169.04,164.93,168.02,306258
2021-01-26,DIS,169.11,169.26,165.17,165.83,299771
2021-01-27,DIS,161.3,161.84,156.85,159.02,825548
2021-01-28,DIS,162.36,168.88,162.36,168.01,473412
2021-01-29,DIS,164.86,165.84,162.0,164.5,529167
2021-02-01,DIS,167.06,167.76,164.2,167.15,277466
2021-02-02,DIS,169.84,175.62,169.2,172.9,316165
2021-02-03,DIS,172.74,174.32,171.75,172.41,183524
2021-02-04,DIS,173.61,177.07,172.49,176.17,336663
2021-02-05,DIS,177.76,178.07,175.28,177.0,194463
2021-02-08,DIS,179.33,186.25,179.1,185.71,455703
2021-02-09,DIS,183.45,184.9,181.93,183.81,317435
2021-02-10,DIS,185.54,186.28,181.66,185.09,414174
2021-02-11,DIS,184.69,186.81,183.75,186.53,422957
2021-02-12,DIS,188.6,189.26,182.31,183.32,649018
2021-02-16,DIS,183.51,184.11,180.63,182.03,339476
2021-02-17,DIS,181.11,183.27,178.08,182.13,287520
2021-02-18,DIS,180.51,182.02,178.65,178.78,463702
2021-02-19,DIS,179.85,180.5,178.62,179.43,322294
2021-02-22,DIS,177.56,189.54,177.44,187.29,526970
2021-02-23,DIS,188.6,194.35,184.34,192.56,736085
2021-02-24,DIS,193.15,195.98,190.89,192.98,500689
2021-02-25,DIS,193.09,193.36,186.21,186.52,467482
2021-02-26,DIS,185.82,187.1,181.32,184.84,421091
2021-03-01,DIS,188.8,192.3,187.0,190.63,325588
2021-03-02,DIS,191.59,193.3,189.09,189.41,218326
2021-03-03,DIS,190.12,192.26,187.81,187.81,410285
2021-03-04,DIS,185.71,187.93,179.97,183.5,496696
2021-03-05,DIS,184.46,186.18,179.15,185.63,446370
2021-03-08,DIS,192.68,198.35,189.49,197.18,947174
2021-03-09,DIS,195.58,196.98,189.91,190.17,769143
2021-03-10,DIS,192.77,194.2,190.22,190.51,372834
2021-03-11,DIS,192.36,194.41,190.96,192.25,371715
2021-03-12,DIS,191.74,193.84,190.69,192.6,380631
2021-03-15,DIS,193.98,193.98,190.39,192.24,263784
2021-03-16,DIS,191.52,191.86,188.46,189.78,290501
2021-03-17,DIS,188.78,191.68,187.41,190.62,382873
2021-03-18,DIS,190.42,190.48,187.37,188.08,411261
2021-03-19,DIS,186.65,189.5,185.53,186.83,721665
2021-03-22,DIS,188.53,191.79,187.79,188.46,263801
2021-03-23,DIS,187.19,187.83,183.7,184.46,375718
2021-03-24,DIS,185.69,186.05,180.41,180.41,540217
2021-03-25,DIS,177.56,183.38,177.02,182.56,372401
2021-03-26,DIS,184.49,184.49,178.4,181.78,423903
2021-03-29,DIS,181.12,181.62,178.96,180.66,233533
2021-03-30,DIS,179.6,182.02,179.55,181.25,342119
2021-03-31,DIS,181.58,182.55,180.24,180.29,255648
2021-04-01,DIS,182.19,184.74,181.38,184.62,270545
2021-04-05,DIS,186.92,187.15,183.78,184.13,238026
2021-04-06,DIS,184.17,186.78,183.62,185.38,223034
2021-04-07,DIS,185.41,185.94,182.66,183.25,218710
2021-04-08,DIS,182.9,183.15,181.41,183.03,267796
2021-04-09,DIS,183.89,183.89,181.9,183.61,191718
2021-04-12,DIS,183.4,183.4,181.23,182.15,190525
2021-04-13,DIS,181.35,182.02,180.65,181.31,174090
2021-04-14,DIS,181.69,185.98,181.44,183.14,350327
2021-04-15,DIS,183.98,184.46,181.45,181.68,219408
2021-04-16,DIS,183.09,185.08,181.94,182.95,354904
2021-04-20,DIS,183.12,183.66,177.67,178.61,362513
2021-04-21,DIS,177.36,179.14,175.41,178.91,364566
2021-04-22,DIS,179.88,180.62,177.11,178.5,313305
2021-04-23,DIS,178.28,179.66,177.8,178.87,200929
2021-04-26,DIS,179.69,181.26,179.09,180.01,167417
2021-04-27,DIS,180.47,181.51,179.96,180.38,185188
2021-04-28,DIS,180.23,180.32,178.67,179.12,154752
2021-04-29,DIS,180.54,181.23,178.58,181.06,171840
2021-04-30,DIS,179.96,182.01,179.43,181.68,209687
2021-05-03,DIS,183.38,184.81,181.03,181.24,257598
2021-05-04,DIS,180.41,181.32,178.15,179.98,254596
2021-05-05,DIS,180.71,180.71,177.21,177.22,210327
2021-05-06,DIS,178.02,178.12,175.73,177.69,306071
2021-05-07,DIS,177.68,180.83,177.38,180.66,223809
2021-05-10,DIS,181.49,182.63,179.8,180.07,193073
2021-05-11,DIS,177.62,177.99,174.35,177.52,380114
2021-05-12,DIS,176.61,178.16,173.58,173.77,283431
2021-05-13,DIS,174.17,176.58,171.79,174.37,378537
2021-05-14,DIS,168.77,170.88,164.95,169.73,933278
2021-05-17,DIS,168.71,168.89,164.69,166.18,545415
2021-05-18,DIS,166.29,167.28,165.56,165.8,277532
2021-05-19,DIS,163.85,165.42,163.35,165.34,242897
2021-05-20,DIS,165.3,167.95,165.09,167.42,286016
2021-05-21,DIS,168.31,169.13,167.6,168.34,374027
2021-05-24,DIS,168.5,171.07,167.83,170.29,242801
2021-05-25,DIS,171.56,173.36,171.44,172.11,195559
2021-05-26,DIS,172.63,173.81,172.16,172.41,214080
2021-05-27,DIS,173.13,175.45,172.87,174.93,196478
2021-05-28,DIS,175.6,175.9,174.07,174.58,137128
2021-06-01,DIS,175.99,176.84,174.64,174.75,192001
2021-06-02,DIS,174.92,174.97,172.88,172.94,195911
2021-06-03,DIS,172.9,172.9,171.42,172.2,181520
2021-06-04,DIS,171.82,173.41,171.6,173.14,173548
2021-06-07,DIS,173.74,173.95,172.35,172.98,135088
2021-06-08,DIS,171.51,172.99,171.2,172.33,122412
2021-06-09,DIS,172.23,173.25,171.89,171.97,170499
2021-06-10,DIS,172.38,173.52,171.59,172.51,134783
2021-06-11,DIS,173.45,174.39,172.75,173.27,129277
2021-06-14,DIS,173.52,174.52,172.85,173.94,206573
2021-06-15,DIS,174.08,174.52,171.61,171.71,204535
2021-06-16,DIS,171.96,172.21,169.6,170.56,167795
2021-06-17,DIS,170.41,172.19,169.89,170.63,218528
2021-06-18,DIS,169.19,169.75,168.16,168.53,199786
2021-06-21,DIS,168.05,170.21,167.44,170.03,183970
2021-06-22,DIS,170.68,170.68,168.43,169.55,170697
2021-06-23,DIS,169.62,171.41,168.99,171.39,218467
2021-06-24,DIS,171.95,174.12,171.83,173.81,206830
2021-06-25,DIS,174.8,174.97,173.41,174.21,179021
2021-06-28,DIS,174.39,174.5,171.0,172.51,208498
2021-06-29,DIS,172.52,172.91,169.82,169.9,240187
2021-06-30,DIS,169.88,171.85,169.4,171.82,173470
2021-07-01,DIS,171.07,173.52,170.64,173.16,187364
2021-07-02,DIS,173.7,174.21,170.67,173.09,458906
2021-07-06,DIS,172.85,172.9,168.3,169.72,372468
2021-07-07,DIS,169.25,170.26,168.05,168.83,253188
2021-07-08,DIS,166.27,169.73,165.91,168.61,290473
2021-07-09,DIS,170.77,173.4,169.93,172.88,234888
2021-07-12,DIS,173.44,180.73,173.3,180.19,511716
2021-07-13,DIS,179.76,181.4,177.67,179.37,383395
2021-07-14,DIS,181.06,181.98,177.97,179.05,254836
2021-07-15,DIS,178.89,181.13,178.84,179.93,288310
2021-07-16,DIS,180.95,180.99,174.83,175.16,300391
2021-07-19,DIS,171.58,172.35,168.22,168.73,498361
2021-07-20,DIS,169.58,173.36,168.97,172.68,222430
2021-07-21,DIS,172.49,173.8,171.35,172.77,214235
2021-07-22,DIS,172.25,172.28,169.91,171.15,201043
2021-07-23,DIS,171.43,172.44,170.05,172.11,175105
2021-07-26,DIS,171.5,174.65,171.32,174.65,240986
2021-07-27,DIS,174.15,175.41,172.55,175.4,248533
2021-07-28,DIS,175.56,176.19,173.5,174.98,169699
2021-07-29,DIS,175.77,177.24,174.2,174.25,155816
2021-07-30,DIS,173.49,174.86,171.12,172.02,187659
2021-08-02,DIS,173.14,174.6,171.31,171.47,165717
2021-08-03,DIS,171.9,171.99,167.02,169.0,205229
2021-08-04,DIS,168.52,169.23,167.41,168.7,155806
2021-08-05,DIS,168.64,172.99,168.64,172.66,284832
2021-08-06,DIS,173.46,174.5,172.57,173.11,121145
2021-08-09,DIS,172.92,173.14,171.05,172.66,158676
2021-08-10,DIS,172.26,173.31,171.55,173.04,135671
2021-08-11,DIS,173.31,174.38,172.47,173.97,151784
2021-08-12,DIS,173.83,175.55,172.42,175.29,318870
2021-08-13,DIS,181.73,183.26,176.74,176.94,947528
2021-08-16,DIS,176.4,176.4,172.45,174.92,231452
2021-08-17,DIS,172.75,174.31,170.91,171.72,168397
2021-08-18,DIS,171.71,172.69,170.5,170.72,168670
2021-08-19,DIS,169.82,170.61,168.64,169.32,194910
2021-08-20,DIS,168.99,171.17,168.7,171.13,119551
2021-08-23,DIS,172.63,174.18,171.92,173.6,148142
2021-08-24,DIS,174.05,175.92,174.03,174.35,98940
2021-08-25,DIS,174.05,174.45,172.88,174.23,128545
2021-08-26,DIS,173.94,174.75,172.31,172.54,157675
2021-08-27,DIS,172.55,176.35,172.54,176.0,329711
2021-08-30,DIS,176.18,177.22,174.8,175.89,158814
2021-08-31,DIS,175.27,178.76,174.47,177.15,173599
2021-09-01,DIS,177.84,179.97,177.66,179.27,215965
2021-09-02,DIS,180.44,181.03,177.39,177.64,193248
2021-09-03,DIS,176.72,177.46,175.02,177.02,154319
2021-09-07,DIS,176.84,181.25,176.01,180.1,365638
2021-09-08,DIS,180.1,183.1,179.72,180.88,308009
2021-09-09,DIS,181.06,183.23,180.39,181.57,178373
2021-09-10,DIS,182.5,182.71,179.79,179.86,156568
2021-09-13,DIS,180.89,181.52,179.4,180.71,115869
2021-09-14,DIS,180.71,180.83,178.01,178.17,221559
2021-09-15,DIS,178.44,180.37,176.97,180.19,172346
2021-09-16,DIS,179.86,180.32,177.94,179.09,138131
2021-09-17,DIS,179.13,181.62,178.54,179.29,181728
2021-09-20,DIS,176.01,176.72,172.51,174.55,178939
2021-09-21,DIS,176.17,177.94,165.14,167.22,922065
2021-09-22,DIS,169.06,171.29,167.74,169.58,1171550
2021-09-23,DIS,170.56,173.08,170.56,172.16,264243
2021-09-24,DIS,171.42,172.61,171.09,171.96,169859
2021-09-27,DIS,172.39,175.32,171.93,174.09,187385
2021-09-28,DIS,173.73,173.86,169.94,170.6,313726
2021-09-29,DIS,170.1,170.85,168.66,168.67,173225
2021-09-30,DIS,169.17,169.66,165.21,165.21,377535
2021-10-01,DIS,168.48,173.23,168.46,171.79,332600
2021-10-04,DIS,171.02,171.9,168.7,169.42,240309
2021-10-05,DIS,169.76,172.17,169.76,170.57,138763
2021-10-06,DIS,168.84,171.62,167.66,171.41,120151
2021-10-07,DIS,173.63,175.48,173.26,173.62,207808
2021-10-08,DIS,173.29,174.44,172.46,172.65,127667
2021-10-11,DIS,171.97,172.36,169.5,169.51,146714
2021-10-12,DIS,169.63,170.4,168.64,169.07,101624
2021-10-13,DIS,169.71,169.71,167.05,168.99,219563
2021-10-14,DIS,170.2,171.95,170.14,170.41,163969
2021-10-15,DIS,171.65,174.72,170.11,172.36,421263
2021-10-18,DIS,168.4,169.29,165.91,167.21,496401
2021-10-19,DIS,167.45,167.59,166.28,167.24,184167
2021-10-20,DIS,166.56,167.09,165.99,166.67,314292
2021-10-21,DIS,166.35,168.51,166.23,167.4,292798
2021-10-22,DIS,166.65,166.82,164.74,165.53,209231
2021-10-26,DIS,168.97,169.12,166.81,168.08,197585
2021-10-27,DIS,167.99,167.99,165.55,165.66,161880
2021-10-28,DIS,165.1,166.42,164.77,165.81,153124
2021-10-29,DIS,165.2,166.5,164.32,165.2,193453
2021-11-01,DIS,165.44,167.3,165.22,166.3,452498
2021-11-02,DIS,166.12,166.89,165.11,165.92,171834
2021-11-03,DIS,165.87,166.27,164.51,166.18,183488
2021-11-04,DIS,166.05,166.44,164.81,166.43,178244
2021-11-05,DIS,169.41,172.9,168.41,171.66,313961
2021-11-08,DIS,174.33,175.11,172.06,172.81,261840
2021-11-09,DIS,172.77,172.77,169.29,171.03,152061
2021-11-10,DIS,170.61,172.75,169.95,170.29,326632
2021-11-11,DIS,159.15,160.18,154.79,158.32,1883212
2021-11-12,DIS,159.68,159.68,155.28,155.99,642526
2021-11-15,DIS,156.42,157.0,154.05,154.73,375015
2021-11-16,DIS,155.32,156.54,154.92,155.14,423068
2021-11-17,DIS,155.24,155.24,153.15,153.64,390988
2021-11-18,DIS,153.44,153.58,150.23,151.97,321505
2021-11-19,DIS,151.45,151.62,149.28,150.43,496280
2021-11-22,DIS,150.03,152.2,149.07,150.61,281571
2021-11-23,DIS,150.38,150.66,146.76,147.58,520677
2021-11-24,DIS,147.0,147.88,145.95,147.86,226846
2021-11-26,DIS,143.46,145.37,142.54,144.73,384637
2021-11-29,DIS,145.42,145.82,140.94,144.44,460958
2021-11-30,DIS,143.16,143.74,139.84,141.61,572603
2021-12-01,DIS,143.14,144.93,138.86,138.87,363636
2021-12-02,DIS,139.52,144.26,139.51,143.87,721745
2021-12-03,DIS,144.91,144.91,141.11,142.88,499824
2021-12-06,DIS,143.86,147.25,143.35,146.95,453684
2021-12-07,DIS,148.31,149.23,146.29,147.3,657751
2021-12-08,DIS,147.44,150.12,147.24,149.8,380158
2021-12-09,DIS,148.85,150.73,148.32,149.47,397415
2021-12-10,DIS,149.72,151.07,148.01,149.27,204297
2021-12-13,DIS,148.74,148.98,145.86,146.96,241680
2021-12-14,DIS,145.79,148.09,145.13,145.73,361188
2021-12-15,DIS,145.2,147.43,143.97,146.94,255700
2021-12-16,DIS,147.83,148.38,145.18,145.32,419895
2021-12-17,DIS,145.25,146.38,143.2,145.34,241927
2021-12-20,DIS,143.6,144.29,141.75,143.1,414035
2021-12-21,DIS,144.06,147.91,144.06,147.56,340694
2021-12-22,DIS,147.0,148.7,146.45,148.4,195489
2021-12-23,DIS,148.83,150.61,148.54,150.11,223197
2021-12-27,DIS,149.42,150.44,147.96,149.27,193208
2021-12-28,DIS,148.99,152.89,148.94,151.55,297994
