date,tic,open,high,low,close,volume
2021-01-04,DLR,117.62,117.67,113.6,113.77,88036
2021-01-05,DLR,114.06,114.14,111.73,111.79,99954
2021-01-06,DLR,111.18,111.66,109.35,111.12,104866
2021-01-07,DLR,110.89,112.77,110.75,112.39,99760
2021-01-08,DLR,112.44,113.41,110.98,112.21,143836
2021-01-11,DLR,111.91,111.93,108.94,110.36,140002
2021-01-12,DLR,109.85,110.86,109.41,110.55,80741
2021-01-13,DLR,111.16,112.32,111.16,111.97,65592
2021-01-14,DLR,111.33,112.83,110.77,112.07,73183
2021-01-15,DLR,111.9,114.83,111.73,114.74,74954
2021-01-19,DLR,116.65,117.07,115.25,116.05,113993
2021-01-20,DLR,115.61,118.89,115.4,118.3,75396
2021-01-21,DLR,118.24,118.97,117.18,118.75,110225
2021-01-22,DLR,118.46,119.35,117.87,118.12,42965
2021-01-25,DLR,118.95,120.8,118.45,119.88,99184
2021-01-26,DLR,119.83,122.73,119.26,122.62,66524
2021-01-27,DLR,121.99,125.82,121.28,125.6,186262
2021-01-28,DLR,123.71,125.26,121.65,121.83,174093
2021-01-29,DLR,120.38,123.83,119.32,120.99,131253
2021-02-01,DLR,121.48,124.62,120.63,124.48,186000
2021-02-02,DLR,125.17,126.38,124.38,125.04,68165
2021-02-03,DLR,123.74,124.47,122.75,123.75,58182
2021-02-04,DLR,123.79,123.79,120.13,122.08,150656
2021-02-05,DLR,122.22,123.52,121.72,122.41,58228
2021-02-08,DLR,121.94,123.27,121.42,122.99,50488
2021-02-09,DLR,123.04,124.69,122.58,124.63,51430
2021-02-10,DLR,125.74,125.88,122.79,123.94,67101
2021-02-11,DLR,124.36,124.91,121.03,121.76,108237
2021-02-12,DLR,121.09,121.78,116.34,117.77,131269
2021-02-16,DLR,118.33,118.33,114.21,115.38,127482
2021-02-17,DLR,115.22,116.53,114.99,116.28,71232
2021-02-18,DLR,115.81,116.69,115.34,115.92,77440
2021-02-19,DLR,115.97,117.13,114.68,114.68,60006
2021-02-22,DLR,114.2,116.07,113.16,115.69,95704
2021-02-23,DLR,116.44,116.68,114.2,115.47,102961
2021-02-24,DLR,115.44,115.51,113.3,113.65,138896
2021-02-25,DLR,113.21,115.34,111.98,112.98,115846
2021-02-26,DLR,114.09,116.02,113.08,113.28,77526
2021-03-01,DLR,114.53,114.82,111.3,111.85,93540
2021-03-02,DLR,111.7,112.39,109.28,110.22,64565
2021-03-03,DLR,109.21,109.27,105.25,105.68,119376
2021-03-04,DLR,105.43,110.13,104.79,108.38,325704
2021-03-05,DLR,108.17,111.44,106.35,110.85,180541
2021-03-08,DLR,110.76,113.49,109.32,111.09,102051
2021-03-09,DLR,112.07,115.42,112.02,113.58,114278
2021-03-10,DLR,113.88,114.94,113.12,113.86,179775
2021-03-11,DLR,114.66,115.27,112.98,113.32,120725
2021-03-12,DLR,112.5,113.87,110.61,113.78,194407
2021-03-15,DLR,114.05,114.96,113.72,114.52,226133
2021-03-16,DLR,115.37,115.66,114.62,115.03,62429
2021-03-17,DLR,114.43,114.88,113.72,114.23,118448
2021-03-18,DLR,113.31,114.39,112.19,113.8,47686
2021-03-19,DLR,113.75,116.67,113.22,113.22,65739
2021-03-22,DLR,113.62,115.92,113.5,115.86,69825
2021-03-23,DLR,115.97,118.85,115.83,118.71,87211
2021-03-24,DLR,118.38,119.61,117.13,118.97,102522
2021-03-25,DLR,118.35,119.23,116.82,117.43,108773
2021-03-26,DLR,117.97,121.33,116.76,121.33,143743
2021-03-29,DLR,120.41,122.92,120.18,122.52,54659
2021-03-30,DLR,121.71,122.2,119.39,119.78,53414
2021-03-31,DLR,118.97,120.7,117.67,119.45,66238
2021-04-01,DLR,120.34,121.54,119.28,121.54,66464
2021-04-05,DLR,121.53,123.66,121.12,123.63,61556
2021-04-06,DLR,123.17,123.24,121.34,122.66,54711
2021-04-07,DLR,123.25,123.25,120.87,121.18,85212
2021-04-08,DLR,122.29,123.49,120.15,120.39,62904
2021-04-09,DLR,120.14,120.36,119.05,119.79,191229
2021-04-12,DLR,120.1,121.79,119.11,121.74,127940
2021-04-13,DLR,121.84,124.18,121.84,124.06,29714
2021-04-14,DLR,123.34,123.99,121.73,121.83,27181
2021-04-15,DLR,123.07,124.98,123.07,124.9,51988
2021-04-16,DLR,124.53,124.84,123.46,123.76,38942
2021-04-20,DLR,125.97,128.65,125.97,127.97,91468
2021-04-21,DLR,128.19,128.87,127.48,127.92,75587
2021-04-22,DLR,127.07,127.69,126.38,126.39,71026
2021-04-23,DLR,126.32,127.02,125.26,126.49,44111
2021-04-26,DLR,126.28,126.37,125.33,125.85,45753
2021-04-27,DLR,125.85,126.19,124.47,125.55,60052
2021-04-28,DLR,125.92,125.92,124.34,124.82,88556
2021-04-29,DLR,125.08,126.37,123.22,126.37,164577
2021-04-30,DLR,127.04,131.06,126.91,130.86,218608
2021-05-03,DLR,130.1,130.1,127.82,128.63,81763
2021-05-04,DLR,128.53,130.69,128.5,129.7,95209
2021-05-05,DLR,129.16,129.37,126.89,127.37,86433
2021-05-06,DLR,127.2,127.83,125.71,126.86,68520
2021-05-07,DLR,127.71,128.37,126.25,128.27,55062
2021-05-10,DLR,128.57,129.32,127.88,128.05,36705
2021-05-11,DLR,127.08,127.34,125.38,125.95,58872
2021-05-12,DLR,125.31,126.3,124.08,124.77,79957
2021-05-13,DLR,125.05,127.07,123.97,126.46,69521
2021-05-14,DLR,125.8,126.77,125.77,126.31,16479
2021-05-17,DLR,126.86,127.55,125.69,125.69,40819
2021-05-18,DLR,124.98,127.66,124.53,127.07,54100
2021-05-19,DLR,126.76,128.03,125.81,127.17,14884
2021-05-20,DLR,127.14,129.82,127.14,128.11,30936
2021-05-21,DLR,127.78,128.73,127.78,127.97,23689
2021-05-24,DLR,128.59,129.06,127.88,128.18,18720
2021-05-25,DLR,127.81,129.5,127.2,129.3,39869
2021-05-26,DLR,128.98,129.82,127.82,127.92,24136
2021-05-27,DLR,127.37,128.72,127.12,127.48,24909
2021-05-28,DLR,128.24,129.27,128.24,128.59,26715
2021-06-01,DLR,129.11,129.87,128.6,129.86,26696
2021-06-02,DLR,130.29,131.26,129.55,131.26,67830
2021-06-03,DLR,130.27,132.39,130.27,131.83,117121
2021-06-04,DLR,132.6,132.74,131.46,131.63,34816
2021-06-07,DLR,131.97,134.9,131.86,134.46,69585
2021-06-08,DLR,134.66,136.29,134.37,135.68,81208
2021-06-09,DLR,136.65,137.45,135.84,136.39,57981
2021-06-10,DLR,135.73,139.09,135.24,139.02,63914
2021-06-11,DLR,138.02,138.4,136.94,137.55,35559
2021-06-14,DLR,137.71,138.67,136.96,138.6,55563
2021-06-15,DLR,138.7,138.73,136.06,136.1,55272
2021-06-16,DLR,137.11,138.29,134.6,134.6,232027
2021-06-17,DLR,134.09,134.72,132.43,133.78,144937
2021-06-18,DLR,133.73,134.46,131.65,131.65,71113
2021-06-21,DLR,132.09,133.42,130.95,132.99,65451
2021-06-22,DLR,133.19,133.19,132.31,132.31,75896
2021-06-23,DLR,131.37,131.57,128.1,129.79,81338
2021-06-24,DLR,130.07,130.5,127.85,128.1,70506
2021-06-25,DLR,128.63,130.15,128.03,129.99,41398
2021-06-28,DLR,130.51,130.9,129.69,130.37,39391
2021-06-29,DLR,129.96,131.43,129.84,130.17,55317
2021-06-30,DLR,129.96,131.05,128.35,128.51,46662
2021-07-01,DLR,128.51,129.41,127.9,127.9,68188
2021-07-02,DLR,129.21,129.22,127.91,128.33,37289
2021-07-06,DLR,128.54,130.18,128.29,130.05,59386
2021-07-07,DLR,129.94,131.96,129.08,131.46,59149
2021-07-08,DLR,131.18,132.6,131.17,132.04,39567
2021-07-09,DLR,132.31,133.04,132.13,133.02,46549
2021-07-12,DLR,133.2,134.94,132.91,134.65,49908
2021-07-13,DLR,134.13,134.76,132.36,132.77,39904
2021-07-14,DLR,132.72,134.67,132.62,134.42,27596
2021-07-15,DLR,135.0,135.05,133.36,134.1,34381
2021-07-16,DLR,133.9,135.56,133.9,134.36,27864
2021-07-19,DLR,134.63,135.41,132.5,133.48,48890
2021-07-20,DLR,133.96,134.77,133.44,134.13,53099
2021-07-21,DLR,133.65,133.65,131.9,132.01,46053
2021-07-22,DLR,131.92,132.2,131.0,131.49,25745
2021-07-23,DLR,131.38,132.42,130.5,132.32,37752
2021-07-26,DLR,131.9,131.9,130.62,131.35,40104
2021-07-27,DLR,131.06,132.96,131.06,132.55,39545
2021-07-28,DLR,132.63,132.65,131.03,131.72,32200
2021-07-29,DLR,131.52,132.12,127.95,128.34,78619
2021-07-30,DLR,132.16,134.3,131.03,131.66,143136
2021-08-02,DLR,131.85,133.75,130.68,132.17,61663
2021-08-03,DLR,132.31,133.7,132.14,132.4,43156
2021-08-04,DLR,132.95,134.13,131.85,133.2,77050
2021-08-05,DLR,133.68,133.75,131.6,133.26,59994
2021-08-06,DLR,133.0,134.89,132.93,134.24,53071
2021-08-09,DLR,133.86,134.96,133.46,134.65,117924
2021-08-10,DLR,134.33,134.61,131.84,131.85,27433
