date,tic,open,high,low,close,volume
2021-01-04,DOC,19.45,19.48,18.61,18.61,114454
2021-01-05,DOC,18.85,18.88,18.63,18.72,74096
2021-01-06,DOC,18.83,18.94,18.59,18.8,168955
2021-01-07,DOC,18.66,18.66,18.14,18.3,204676
2021-01-08,DOC,18.37,18.42,18.17,18.41,66463
2021-01-11,DOC,18.39,18.51,18.23,18.34,102883
2021-01-12,DOC,18.29,18.47,18.14,18.42,88633
2021-01-13,DOC,18.51,18.96,18.5,18.96,77427
2021-01-14,DOC,18.97,19.38,18.92,19.22,134949
2021-01-15,DOC,19.19,19.32,18.99,19.3,81221
2021-01-19,DOC,19.26,19.26,18.65,18.78,200143
2021-01-20,DOC,18.76,19.52,18.75,19.41,220793
2021-01-21,DOC,19.24,19.3,19.04,19.27,96655
2021-01-22,DOC,19.16,19.48,19.13,19.44,199118
2021-01-25,DOC,19.38,19.86,19.3,19.58,166851
2021-01-26,DOC,19.63,19.76,19.25,19.4,84968
2021-01-27,DOC,19.32,19.42,18.71,18.78,140057
2021-01-28,DOC,18.85,19.57,18.78,19.33,76480
2021-01-29,DOC,18.9,19.46,18.8,19.1,117243
2021-02-01,DOC,19.2,19.56,18.97,19.55,91434
2021-02-02,DOC,19.64,19.92,19.5,19.54,67348
2021-02-03,DOC,19.4,19.73,19.16,19.69,107996
2021-02-04,DOC,19.79,20.06,19.69,19.76,186676
2021-02-05,DOC,19.81,19.85,19.57,19.63,141626
2021-02-08,DOC,19.55,19.62,19.42,19.47,146030
2021-02-09,DOC,19.57,19.63,19.16,19.25,181623
2021-02-10,DOC,19.35,19.99,19.35,19.71,255570
2021-02-11,DOC,19.73,20.11,19.52,20.08,146714
2021-02-12,DOC,19.95,20.11,19.79,19.93,94896
2021-02-16,DOC,19.83,19.91,19.35,19.42,131983
2021-02-17,DOC,19.45,19.62,19.22,19.51,246183
2021-02-18,DOC,19.49,19.55,19.26,19.46,189055
2021-02-19,DOC,19.51,19.62,19.36,19.37,148328
2021-02-22,DOC,19.34,19.73,19.29,19.64,190123
2021-02-23,DOC,19.89,20.0,19.73,19.98,145350
2021-02-24,DOC,19.89,20.4,19.89,20.4,88067
