date,tic,open,high,low,close,volume
2021-01-04,DOW,42.53,42.73,40.91,41.21,223150
2021-01-05,DOW,41.25,42.8,41.19,42.56,85143
2021-01-06,DOW,43.42,45.13,43.34,44.55,187976
2021-01-07,DOW,45.0,45.56,44.3,44.61,377449
2021-01-08,DOW,44.54,44.87,44.03,44.39,139220
2021-01-11,DOW,43.89,44.93,43.73,44.85,147173
2021-01-12,DOW,45.11,46.66,44.98,46.59,273369
2021-01-13,DOW,46.31,46.73,45.51,45.78,155176
2021-01-14,DOW,45.86,46.09,45.31,45.51,151943
2021-01-15,DOW,44.64,44.83,43.6,43.6,248822
2021-01-19,DOW,44.03,44.37,42.96,43.88,190067
2021-01-20,DOW,44.06,44.69,43.63,44.68,160822
2021-01-21,DOW,44.56,44.79,43.71,43.88,164323
2021-01-22,DOW,43.6,44.05,43.45,43.83,104574
2021-01-25,DOW,43.35,43.77,42.45,43.64,115059
2021-01-26,DOW,44.06,44.35,42.46,42.5,124350
2021-01-27,DOW,41.63,41.98,40.19,41.46,515871
2021-01-28,DOW,41.25,41.81,40.53,41.44,241652
2021-01-29,DOW,41.1,41.71,39.46,39.55,481964
2021-02-01,DOW,39.97,40.28,39.17,40.23,164297
2021-02-02,DOW,40.8,41.82,40.38,41.67,193889
2021-02-03,DOW,41.53,42.21,41.21,42.21,153305
2021-02-04,DOW,42.2,42.96,41.86,42.95,196239
2021-02-05,DOW,43.36,44.07,43.04,43.65,137780
2021-02-08,DOW,44.07,44.41,43.62,43.74,89259
2021-02-09,DOW,43.83,43.83,42.98,43.14,124532
2021-02-10,DOW,43.38,44.5,43.08,43.97,147129
2021-02-11,DOW,44.0,44.15,43.23,43.97,130869
2021-02-12,DOW,43.83,44.39,43.83,44.36,155632
2021-02-16,DOW,44.83,45.24,44.65,44.8,167354
2021-02-17,DOW,44.68,44.89,43.95,44.66,73387
2021-02-18,DOW,44.39,44.67,43.56,43.88,100125
2021-02-19,DOW,44.11,46.15,44.11,46.04,160993
2021-02-22,DOW,46.13,47.69,45.9,47.63,213569
2021-02-23,DOW,47.95,47.95,46.98,47.37,153036
2021-02-24,DOW,47.27,48.78,47.27,48.56,155422
2021-02-25,DOW,48.22,48.44,47.13,47.33,110767
2021-02-26,DOW,47.0,47.04,45.37,45.73,189719
2021-03-01,DOW,47.14,47.98,46.94,47.44,195838
2021-03-02,DOW,47.88,49.37,47.72,48.36,152863
2021-03-03,DOW,48.26,48.87,47.82,48.0,375183
2021-03-04,DOW,47.98,48.27,46.33,47.14,257864
2021-03-05,DOW,47.85,48.59,46.87,48.51,138422
2021-03-08,DOW,48.76,49.54,48.25,48.89,129191
2021-03-09,DOW,49.11,49.11,47.75,48.03,250940
2021-03-10,DOW,48.28,49.69,48.13,49.42,207017
2021-03-11,DOW,49.64,50.29,49.57,49.6,100697
2021-03-12,DOW,49.94,50.16,49.29,49.6,105983
2021-03-15,DOW,49.44,49.47,48.15,48.57,568026
2021-03-16,DOW,48.37,49.16,47.71,48.69,335254
2021-03-17,DOW,48.98,51.07,48.73,50.9,194008
2021-03-18,DOW,50.99,51.85,49.84,49.91,249821
2021-03-19,DOW,49.81,49.92,48.35,49.27,176227
2021-03-22,DOW,49.12,49.13,48.15,48.98,183820
2021-03-23,DOW,48.3,48.3,46.6,46.84,239060
2021-03-24,DOW,47.55,48.9,47.55,47.86,329081
2021-03-25,DOW,47.34,48.82,47.24,48.78,221926
2021-03-26,DOW,48.87,49.45,48.65,49.37,129055
2021-03-29,DOW,49.02,50.21,49.02,49.27,125878
2021-03-30,DOW,49.15,49.95,48.95,49.83,119850
2021-03-31,DOW,49.57,50.04,48.98,49.27,119975
2021-04-01,DOW,49.3,49.87,48.96,49.82,95071
2021-04-05,DOW,50.17,50.21,49.57,49.83,142000
2021-04-06,DOW,49.52,50.41,49.45,49.84,193745
2021-04-07,DOW,49.7,50.09,49.1,49.34,79077
2021-04-08,DOW,49.27,49.34,48.31,48.71,136184
2021-04-09,DOW,48.69,49.0,48.23,48.69,124579
2021-04-12,DOW,49.04,49.45,48.86,49.19,177187
2021-04-13,DOW,49.04,49.1,48.15,48.86,145356
2021-04-14,DOW,48.98,49.94,48.9,49.53,233255
2021-04-15,DOW,49.87,50.04,49.21,49.74,74849
2021-04-16,DOW,50.29,50.47,49.56,49.86,92663
2021-04-20,DOW,49.36,49.37,48.02,48.19,111493
2021-04-21,DOW,48.15,50.14,48.15,49.94,141560
2021-04-22,DOW,48.96,48.96,46.84,46.98,459065
2021-04-23,DOW,47.11,48.18,46.63,47.85,171086
2021-04-26,DOW,48.08,48.43,47.75,47.98,251315
2021-04-27,DOW,48.01,48.45,47.61,48.31,143630
2021-04-28,DOW,48.63,49.4,48.36,48.83,147083
2021-04-29,DOW,49.22,49.88,48.92,49.4,231510
2021-04-30,DOW,48.9,49.12,48.06,48.16,215401
2021-05-03,DOW,48.81,50.14,48.68,49.78,238949
2021-05-04,DOW,49.49,51.07,49.21,51.06,385446
2021-05-05,DOW,51.25,52.61,51.01,52.5,521645
2021-05-06,DOW,52.43,53.27,51.79,53.27,205829
2021-05-07,DOW,52.7,53.45,52.28,53.27,188938
2021-05-10,DOW,53.84,54.44,52.94,53.0,201878
2021-05-11,DOW,52.1,53.1,51.82,52.87,151926
2021-05-12,DOW,53.0,53.25,51.98,52.14,196216
2021-05-13,DOW,52.02,52.87,51.94,52.5,136815
2021-05-14,DOW,52.82,54.0,52.8,53.84,165300
2021-05-17,DOW,53.71,54.8,53.57,54.7,128292
