date,tic,open,high,low,close,volume
2021-01-04,DPZ,357.85,358.59,354.16,356.41,32696
2021-01-05,DPZ,355.55,358.74,354.62,357.47,35226
2021-01-06,DPZ,354.94,361.92,354.26,361.24,69799
2021-01-07,DPZ,355.01,362.95,355.01,359.97,31404
2021-01-08,DPZ,358.89,365.01,358.01,365.01,31482
2021-01-11,DPZ,365.15,372.8,364.18,366.77,32077
2021-01-12,DPZ,367.35,369.84,360.69,361.84,38450
2021-01-13,DPZ,362.67,363.13,358.52,358.52,30375
2021-01-14,DPZ,361.05,361.18,350.8,350.8,46200
2021-01-15,DPZ,350.65,353.62,349.17,352.0,23286
2021-01-19,DPZ,354.92,356.18,349.77,349.77,33966
2021-01-20,DPZ,349.86,355.94,348.47,355.81,28646
2021-01-21,DPZ,355.74,359.12,352.94,357.78,30316
2021-01-22,DPZ,356.28,357.89,353.09,357.13,21672
2021-01-25,DPZ,358.08,360.22,353.56,355.03,20061
2021-01-26,DPZ,354.42,357.53,351.2,355.62,26765
2021-01-27,DPZ,353.51,357.5,348.8,354.26,56465
2021-01-28,DPZ,354.43,354.43,344.4,348.79,58212
2021-01-29,DPZ,348.77,353.82,347.15,347.99,33173
2021-02-01,DPZ,347.01,352.88,347.01,348.78,46078
2021-02-02,DPZ,350.86,359.14,350.86,354.21,36365
2021-02-03,DPZ,353.44,355.35,349.26,350.51,40754
2021-02-04,DPZ,350.81,351.44,348.52,350.13,33723
2021-02-05,DPZ,352.17,358.58,351.07,353.83,28387
2021-02-08,DPZ,353.7,356.9,351.53,356.77,26471
2021-02-09,DPZ,357.5,360.69,357.31,358.86,28728
2021-02-10,DPZ,359.5,362.63,357.71,358.56,29214
2021-02-11,DPZ,360.99,362.14,357.7,361.82,37730
2021-02-12,DPZ,361.24,364.23,359.34,361.41,21185
2021-02-16,DPZ,361.88,363.25,354.61,354.94,34824
2021-02-17,DPZ,353.63,353.63,347.92,353.4,43572
2021-02-18,DPZ,351.83,355.34,351.48,353.55,24643
2021-02-19,DPZ,352.51,352.69,348.25,348.62,42035
2021-02-22,DPZ,348.89,348.89,339.19,342.68,57218
2021-02-23,DPZ,340.81,346.36,336.44,344.31,54866
2021-02-24,DPZ,344.76,345.82,338.05,342.33,48443
2021-02-25,DPZ,320.33,322.91,311.03,318.19,158974
2021-02-26,DPZ,318.92,327.18,316.62,325.09,109953
2021-03-01,DPZ,328.14,328.14,323.37,323.69,94845
2021-03-02,DPZ,324.36,326.17,320.07,321.97,36258
