date,tic,open,high,low,close,volume
2021-01-04,EBAY,46.28,47.57,46.28,47.24,363793
2021-01-05,EBAY,47.1,47.81,46.85,47.65,232209
2021-01-06,EBAY,47.19,49.73,47.19,48.79,610881
2021-01-07,EBAY,48.96,49.69,48.6,48.6,479437
2021-01-08,EBAY,48.93,50.0,48.93,49.99,363165
2021-01-11,EBAY,49.64,49.78,49.02,49.44,286708
2021-01-12,EBAY,49.39,51.97,49.39,51.43,434280
2021-01-13,EBAY,51.25,51.67,50.74,51.09,378884
2021-01-14,EBAY,51.16,51.16,50.4,50.72,255752
2021-01-15,EBAY,50.45,51.06,49.78,50.8,330349
2021-01-19,EBAY,50.97,52.42,50.82,52.21,383433
2021-01-20,EBAY,52.53,52.69,51.44,51.5,233487
2021-01-21,EBAY,51.53,51.71,50.71,51.68,162866
2021-01-22,EBAY,51.46,51.85,51.03,51.78,130593
2021-01-25,EBAY,52.24,53.49,52.13,52.46,449193
2021-01-26,EBAY,52.39,54.33,52.23,54.22,315040
2021-01-27,EBAY,53.89,55.47,53.21,53.47,501987
2021-01-28,EBAY,53.12,53.94,51.29,51.7,561307
2021-01-29,EBAY,51.64,52.74,50.7,51.78,497507
2021-02-01,EBAY,52.09,53.79,52.03,53.59,466142
2021-02-02,EBAY,53.77,53.77,52.35,52.57,432572
2021-02-03,EBAY,53.28,53.89,52.9,53.25,362959
2021-02-04,EBAY,58.64,59.41,55.61,56.04,1210734
2021-02-05,EBAY,56.15,57.56,55.22,57.1,466191
2021-02-08,EBAY,57.5,58.71,57.41,58.5,422517
2021-02-09,EBAY,58.53,58.53,56.96,57.05,173448
2021-02-10,EBAY,57.68,57.92,56.64,57.13,226727
2021-02-11,EBAY,57.41,57.7,56.54,57.19,144811
2021-02-12,EBAY,56.88,57.89,56.77,57.78,235671
2021-02-16,EBAY,58.55,58.61,57.58,57.63,294210
2021-02-17,EBAY,57.35,57.96,56.91,57.82,206062
2021-02-18,EBAY,57.45,58.06,57.04,57.59,277245
2021-02-19,EBAY,57.84,58.04,56.71,56.8,153907
2021-02-22,EBAY,56.92,56.92,55.89,56.4,317980
2021-02-23,EBAY,55.67,56.55,54.85,56.21,262588
2021-02-24,EBAY,55.88,55.91,53.94,54.42,442869
2021-02-25,EBAY,54.33,54.96,52.11,52.22,268358
2021-02-26,EBAY,52.67,53.01,51.73,51.92,317110
2021-03-01,EBAY,52.51,53.97,52.01,53.8,274282
2021-03-02,EBAY,53.91,53.91,52.33,52.36,272322
2021-03-03,EBAY,52.2,52.26,50.1,50.21,471626
2021-03-04,EBAY,50.11,50.47,48.26,49.05,515783
2021-03-05,EBAY,49.48,49.7,47.37,49.45,420058
2021-03-08,EBAY,49.5,50.74,49.17,49.17,380663
2021-03-09,EBAY,50.12,52.38,49.97,51.66,584582
2021-03-10,EBAY,52.11,52.11,50.16,50.87,260968
2021-03-11,EBAY,51.44,52.02,51.01,51.7,243193
2021-03-12,EBAY,51.3,51.46,50.6,51.36,244971
2021-03-15,EBAY,51.31,53.05,51.17,53.04,241502
2021-03-16,EBAY,52.81,53.47,52.47,52.82,244856
2021-03-17,EBAY,52.48,54.91,52.29,54.26,273971
2021-03-18,EBAY,53.55,55.27,53.34,54.18,289773
2021-03-19,EBAY,54.41,55.14,53.83,54.93,341081
2021-03-22,EBAY,55.12,55.95,54.81,55.46,349122
2021-03-23,EBAY,55.51,56.11,55.18,55.47,267113
2021-03-24,EBAY,55.68,55.99,52.94,53.01,264655
2021-03-25,EBAY,53.09,53.72,52.44,53.4,229476
2021-03-26,EBAY,53.53,56.02,53.39,55.97,293763
2021-03-29,EBAY,55.96,56.25,54.51,55.03,312231
2021-03-30,EBAY,54.8,55.74,54.31,55.38,244605
2021-03-31,EBAY,55.91,57.62,55.89,56.33,299621
2021-04-01,EBAY,56.48,58.13,56.48,58.06,147040
2021-04-05,EBAY,58.28,58.83,57.57,58.53,339984
2021-04-06,EBAY,58.39,58.58,57.23,57.52,422196
2021-04-07,EBAY,57.61,57.61,56.49,56.8,200431
2021-04-08,EBAY,57.09,57.56,56.79,57.16,129187
2021-04-09,EBAY,57.05,57.55,56.88,57.44,197491
2021-04-12,EBAY,57.57,57.8,57.17,57.6,194106
2021-04-13,EBAY,57.93,58.88,57.87,58.67,130366
2021-04-14,EBAY,58.77,59.18,57.36,57.65,329008
2021-04-15,EBAY,58.08,59.34,57.98,59.18,203866
2021-04-16,EBAY,59.33,59.76,59.16,59.7,183733
2021-04-19,EBAY,59.5,59.87,58.49,58.66,146802
2021-04-20,EBAY,58.51,58.64,56.28,56.81,183919
2021-04-21,EBAY,56.48,56.88,56.02,56.82,197520
2021-04-22,EBAY,56.78,56.78,55.66,55.86,223395
2021-04-23,EBAY,56.03,56.23,55.63,56.02,254305
2021-04-26,EBAY,56.14,56.65,55.91,56.62,185212
2021-04-27,EBAY,56.94,57.27,56.45,56.66,211272
2021-04-28,EBAY,57.15,57.8,56.85,57.3,305643
2021-04-29,EBAY,52.66,52.72,50.53,51.55,1574384
2021-04-30,EBAY,51.24,52.27,51.2,51.3,466926
2021-05-03,EBAY,51.64,54.1,51.61,53.48,354052
2021-05-04,EBAY,52.87,53.63,52.25,52.98,378388
2021-05-05,EBAY,53.05,54.14,53.05,53.53,282928
2021-05-06,EBAY,53.51,54.13,53.12,54.08,236634
2021-05-07,EBAY,54.3,55.17,53.71,54.97,353495
2021-05-10,EBAY,54.76,57.27,54.52,56.51,506010
2021-05-11,EBAY,55.17,56.06,54.43,55.57,448184
2021-05-12,EBAY,55.01,55.53,53.57,53.58,309503
2021-05-13,EBAY,53.87,54.58,53.4,54.04,372365
2021-05-14,EBAY,54.62,56.12,54.55,55.98,255510
2021-05-17,EBAY,55.89,56.82,55.67,56.72,294566
2021-05-18,EBAY,56.88,57.62,56.34,56.34,274786
2021-05-19,EBAY,55.45,55.45,54.32,54.98,346801
2021-05-20,EBAY,55.1,55.41,54.57,54.65,294564
2021-05-21,EBAY,55.05,56.43,54.91,56.13,440064
2021-05-24,EBAY,56.32,56.96,56.04,56.06,203540
2021-05-25,EBAY,56.48,56.83,55.96,56.4,233685
2021-05-26,EBAY,56.33,57.11,56.29,56.51,283209
2021-05-27,EBAY,56.3,57.09,54.54,54.8,481566
2021-05-28,EBAY,55.25,56.64,55.03,56.14,738868
2021-06-01,EBAY,56.75,57.26,56.04,56.6,184179
2021-06-02,EBAY,56.53,58.62,56.31,58.49,327638
2021-06-03,EBAY,58.13,59.26,57.75,59.12,300424
2021-06-04,EBAY,59.37,60.76,59.29,60.17,252493
2021-06-07,EBAY,60.3,60.61,59.75,60.36,235339
2021-06-08,EBAY,60.41,60.82,60.19,60.7,205424
2021-06-09,EBAY,61.04,61.18,60.32,60.83,236754
2021-06-10,EBAY,61.08,61.77,60.66,61.58,244404
2021-06-11,EBAY,61.67,62.13,61.63,61.87,155510
2021-06-14,EBAY,62.03,62.03,60.1,60.73,215910
2021-06-15,EBAY,60.87,61.19,60.39,60.79,153205
2021-06-16,EBAY,60.35,61.18,60.25,60.95,259947
2021-06-17,EBAY,60.54,61.13,60.17,60.24,245764
2021-06-18,EBAY,59.8,59.84,58.27,58.31,326476
2021-06-21,EBAY,58.45,59.9,58.44,59.39,239460
2021-06-22,EBAY,59.3,60.04,58.5,59.85,175326
2021-06-23,EBAY,59.89,60.8,59.89,60.2,178956
2021-06-24,EBAY,60.39,61.5,60.12,61.41,129529
2021-06-25,EBAY,61.71,62.88,61.66,62.64,288806
2021-06-28,EBAY,62.57,63.61,62.31,63.45,170903
2021-06-29,EBAY,63.55,65.14,63.55,65.02,210852
2021-06-30,EBAY,64.78,65.15,64.29,64.75,432581
2021-07-01,EBAY,64.91,65.26,63.67,64.35,381299
2021-07-02,EBAY,64.52,64.83,63.97,64.6,188337
2021-07-06,EBAY,64.64,64.65,63.55,63.65,218893
2021-07-07,EBAY,63.94,65.03,63.62,64.58,198212
2021-07-08,EBAY,63.13,63.82,63.07,63.28,168100
2021-07-09,EBAY,63.41,64.5,63.27,64.02,181973
2021-07-12,EBAY,64.44,64.73,63.49,63.6,212954
2021-07-13,EBAY,63.4,64.03,63.22,63.39,126197
2021-07-14,EBAY,64.21,64.81,62.69,62.77,179992
2021-07-15,EBAY,62.71,63.29,62.41,62.82,135845
2021-07-16,EBAY,63.11,63.45,62.84,62.87,80832
2021-07-19,EBAY,62.26,63.48,62.15,63.21,166363
2021-07-20,EBAY,63.25,64.19,63.25,64.19,171739
2021-07-21,EBAY,64.05,64.6,63.87,64.4,142628
2021-07-22,EBAY,64.43,66.49,64.24,66.46,175896
2021-07-23,EBAY,66.51,68.02,66.1,67.84,308841
2021-07-26,EBAY,67.51,68.21,67.31,67.58,222282
2021-07-27,EBAY,67.41,67.53,65.55,66.67,175694
2021-07-28,EBAY,66.67,67.84,66.67,67.22,159780
2021-07-29,EBAY,67.41,68.35,67.41,67.79,126893
2021-07-30,EBAY,66.12,66.42,62.78,62.91,511893
2021-08-02,EBAY,63.41,63.96,62.35,63.29,220334
2021-08-03,EBAY,63.29,63.43,62.38,62.71,253803
2021-08-04,EBAY,62.64,63.34,62.48,62.72,176750
2021-08-05,EBAY,62.49,62.53,60.48,62.07,456284
2021-08-06,EBAY,62.04,62.04,60.21,60.37,336237
2021-08-09,EBAY,60.62,61.16,60.01,60.24,334320
2021-08-10,EBAY,60.44,62.3,60.28,62.07,245707
2021-08-11,EBAY,62.07,62.91,61.81,62.69,350169
2021-08-12,EBAY,61.96,63.66,61.22,63.52,378110
2021-08-13,EBAY,63.31,68.37,63.28,68.29,545244
2021-08-16,EBAY,67.91,70.57,67.91,69.42,576004
2021-08-17,EBAY,68.2,68.87,67.01,67.21,421744
2021-08-18,EBAY,67.26,68.36,66.73,67.09,329129
2021-08-19,EBAY,66.77,67.83,66.47,67.16,208710
2021-08-20,EBAY,67.23,68.09,67.15,67.67,190734
2021-08-23,EBAY,67.7,67.72,66.31,67.51,136560
2021-08-24,EBAY,67.81,68.21,66.97,67.17,370822
2021-08-25,EBAY,67.35,68.67,67.25,68.42,181248
2021-08-26,EBAY,68.56,70.05,68.05,69.78,167500
2021-08-27,EBAY,69.51,70.61,69.38,70.47,179030
2021-08-30,EBAY,70.55,71.78,70.13,71.52,149800
2021-08-31,EBAY,71.66,71.66,70.8,70.93,200492
