date,tic,open,high,low,close,volume
2021-01-04,ECL,206.04,208.44,201.8,202.78,105003
2021-01-05,ECL,202.17,205.16,201.31,204.97,38415
2021-01-06,ECL,206.99,215.13,206.8,213.38,83293
2021-01-07,ECL,215.27,215.53,212.37,213.63,50323
2021-01-08,ECL,213.94,214.0,207.11,210.03,47898
2021-01-11,ECL,208.2,210.14,208.02,209.3,43582
2021-01-12,ECL,209.31,211.76,208.44,211.39,24131
2021-01-13,ECL,211.41,211.41,204.72,205.42,71542
2021-01-14,ECL,205.48,207.3,200.96,201.23,39388
2021-01-15,ECL,201.96,202.19,198.71,199.66,74454
2021-01-19,ECL,200.92,205.13,200.37,204.78,52201
2021-01-20,ECL,205.3,207.79,204.91,206.78,34458
2021-01-21,ECL,207.41,207.49,202.65,202.75,39511
2021-01-22,ECL,202.0,202.51,199.6,201.22,43545
2021-01-25,ECL,201.22,201.6,197.07,200.07,48281
2021-01-26,ECL,199.24,200.75,198.18,198.26,37551
2021-01-27,ECL,196.46,197.85,191.17,196.11,78894
2021-01-28,ECL,198.68,205.52,198.26,199.93,92291
2021-01-29,ECL,198.69,200.11,192.86,193.66,62365
2021-02-01,ECL,194.81,198.01,193.83,197.51,54188
2021-02-02,ECL,198.68,200.13,197.12,199.42,39219
2021-02-03,ECL,198.21,199.63,196.13,198.0,49335
2021-02-04,ECL,198.85,198.9,195.22,197.13,98410
2021-02-05,ECL,200.33,202.56,200.16,201.44,29685
2021-02-08,ECL,202.4,205.73,202.33,205.73,39506
2021-02-09,ECL,205.75,205.86,203.77,203.83,30853
2021-02-10,ECL,205.79,206.35,203.91,204.25,33075
2021-02-11,ECL,204.8,206.83,203.19,204.9,49759
2021-02-12,ECL,204.6,208.33,204.6,208.33,85954
2021-02-16,ECL,208.14,208.14,199.45,199.66,86231
2021-02-17,ECL,198.61,199.0,194.81,197.71,89442
2021-02-18,ECL,195.95,199.8,195.46,198.62,38347
2021-02-19,ECL,199.7,200.03,196.98,196.98,41851
