date,tic,open,high,low,close,volume
2021-01-04,EFX,186.59,186.59,178.59,181.32,43276
2021-01-05,EFX,181.52,183.54,180.4,183.15,40563
2021-01-06,EFX,181.23,181.51,175.45,175.47,112545
2021-01-07,EFX,175.71,177.02,174.16,174.88,40156
2021-01-08,EFX,174.48,180.02,174.48,179.45,43502
2021-01-11,EFX,177.92,180.49,176.86,177.91,26464
2021-01-12,EFX,176.87,178.65,175.96,177.37,38693
2021-01-13,EFX,177.69,177.69,175.53,175.62,19075
2021-01-14,EFX,175.93,175.93,170.27,171.32,39312
2021-01-15,EFX,171.89,172.45,169.71,170.73,29121
2021-01-19,EFX,170.35,170.74,169.11,169.73,26161
2021-01-20,EFX,170.69,172.89,170.2,171.81,24826
2021-01-21,EFX,171.68,173.69,171.52,172.16,16038
2021-01-22,EFX,171.81,173.54,171.05,172.56,25019
2021-01-25,EFX,170.71,173.54,169.93,172.37,24184
2021-01-26,EFX,172.31,175.44,172.22,174.23,26673
2021-01-27,EFX,170.84,174.72,170.84,172.54,64507
2021-01-28,EFX,173.48,178.28,173.45,174.77,62409
2021-01-29,EFX,173.07,175.04,170.45,170.86,42039
2021-02-01,EFX,171.66,174.1,171.65,173.95,23978
2021-02-02,EFX,175.42,175.72,174.09,174.09,33115
2021-02-03,EFX,171.84,173.03,170.88,172.52,26093
2021-02-04,EFX,173.05,175.98,173.05,174.63,31771
2021-02-05,EFX,173.61,175.37,171.59,172.22,24452
2021-02-08,EFX,172.44,173.47,171.58,172.98,47839
2021-02-09,EFX,173.62,176.87,173.43,176.72,27711
2021-02-10,EFX,177.42,177.42,175.87,176.59,64851
2021-02-11,EFX,174.12,174.25,167.64,170.71,157933
2021-02-12,EFX,170.44,172.92,170.44,170.88,77615
2021-02-16,EFX,170.32,170.42,166.72,168.62,52662
2021-02-17,EFX,165.73,170.43,165.34,170.43,106406
2021-02-18,EFX,170.48,172.47,170.37,171.34,71786
2021-02-19,EFX,171.26,172.39,169.65,170.63,68216
2021-02-22,EFX,171.8,171.8,163.77,164.29,37465
2021-02-23,EFX,162.66,166.66,162.53,166.05,69928
2021-02-24,EFX,167.21,167.23,163.71,165.03,53014
2021-02-25,EFX,165.23,165.23,157.0,158.07,115095
2021-02-26,EFX,159.34,161.94,156.46,156.46,86801
2021-03-01,EFX,157.99,163.33,157.99,161.07,77485
2021-03-02,EFX,161.83,162.64,160.2,160.67,35428
2021-03-03,EFX,160.82,162.79,159.59,161.5,85785
2021-03-04,EFX,162.1,164.62,157.47,158.38,95036
2021-03-05,EFX,160.12,164.27,157.59,164.02,48787
2021-03-08,EFX,164.75,170.06,164.34,167.68,70436
2021-03-09,EFX,169.68,171.9,169.15,169.15,26918
2021-03-10,EFX,169.6,170.65,166.81,166.81,55107
2021-03-11,EFX,166.96,167.16,163.92,165.02,53229
2021-03-12,EFX,164.79,167.48,164.15,164.87,42723
2021-03-15,EFX,165.6,168.11,164.54,167.78,36099
2021-03-16,EFX,168.45,169.26,165.44,166.8,24067
2021-03-17,EFX,166.14,166.92,164.31,166.34,33598
2021-03-18,EFX,164.34,168.12,163.88,167.09,44920
2021-03-19,EFX,165.98,169.63,165.73,167.96,25048
2021-03-22,EFX,168.02,170.3,167.1,169.33,29913
2021-03-23,EFX,170.13,172.07,168.71,169.64,29368
2021-03-24,EFX,169.11,170.22,168.48,168.74,42146
2021-03-25,EFX,167.65,171.52,167.65,171.08,16378
2021-03-26,EFX,171.65,176.42,171.01,176.42,51481
2021-03-29,EFX,175.73,178.71,175.41,177.52,33092
2021-03-30,EFX,177.41,177.55,175.22,177.08,52137
2021-03-31,EFX,176.44,177.46,175.07,175.09,54582
2021-04-01,EFX,175.6,176.69,172.01,176.55,52244
2021-04-05,EFX,178.48,181.04,177.97,180.49,23281
2021-04-06,EFX,179.8,179.8,178.33,178.8,22247
2021-04-07,EFX,177.22,177.28,174.85,175.59,78284
2021-04-08,EFX,177.67,179.1,177.11,177.61,57229
2021-04-09,EFX,177.51,179.55,176.81,179.48,12882
2021-04-12,EFX,179.95,181.09,179.26,180.96,14420
2021-04-13,EFX,180.94,182.64,179.98,181.53,7754
2021-04-14,EFX,181.39,181.71,178.99,179.16,22728
2021-04-15,EFX,181.49,182.65,180.85,182.29,18821
2021-04-16,EFX,183.23,185.11,182.07,184.6,49024
2021-04-20,EFX,183.7,186.96,183.7,185.89,39348
2021-04-21,EFX,185.86,187.5,185.75,186.21,62905
2021-04-22,EFX,207.12,219.11,206.6,214.19,313881
2021-04-23,EFX,214.95,223.42,213.94,221.87,136799
2021-04-26,EFX,220.97,223.79,217.75,218.18,61658
2021-04-27,EFX,219.63,227.01,219.47,226.66,50643
2021-04-28,EFX,226.58,226.69,219.51,219.7,131291
2021-04-29,EFX,220.87,220.87,217.19,220.4,65813
2021-04-30,EFX,220.37,221.48,216.66,221.45,32978
2021-05-03,EFX,222.4,227.6,222.14,226.13,30756
2021-05-04,EFX,225.68,229.08,223.74,229.08,49783
2021-05-05,EFX,230.09,232.99,227.75,231.98,88485
2021-05-06,EFX,230.98,231.33,226.13,229.2,136951
2021-05-07,EFX,230.87,232.41,228.58,231.56,53314
2021-05-10,EFX,232.28,233.97,231.11,231.11,25155
2021-05-11,EFX,229.59,230.78,227.72,230.7,38232
2021-05-12,EFX,228.41,229.84,225.25,225.48,47814
2021-05-13,EFX,225.4,229.19,225.13,229.05,41717
2021-05-14,EFX,228.31,231.83,228.31,231.34,40693
2021-05-17,EFX,231.12,231.12,228.2,229.65,11031
2021-05-18,EFX,230.41,230.47,226.15,226.15,82337
2021-05-19,EFX,223.89,225.52,221.49,225.48,18562
2021-05-20,EFX,225.18,227.29,222.68,225.58,26389
2021-05-21,EFX,225.31,229.38,224.51,229.22,33047
2021-05-24,EFX,229.92,230.68,228.46,229.79,18903
2021-05-25,EFX,230.7,231.28,227.34,227.45,89668
2021-05-26,EFX,227.18,227.91,224.86,225.86,29075
2021-05-27,EFX,226.64,228.06,225.26,228.06,50260
2021-05-28,EFX,228.2,230.03,227.58,227.78,29482
2021-06-01,EFX,228.09,229.29,225.31,225.52,19670
2021-06-02,EFX,225.92,226.22,224.02,224.17,48651
2021-06-03,EFX,223.14,223.14,220.88,221.82,18207
2021-06-04,EFX,223.03,226.37,222.5,226.15,14125
2021-06-07,EFX,225.54,225.54,220.06,221.44,47368
2021-06-08,EFX,221.92,222.56,219.38,222.56,21637
2021-06-09,EFX,222.0,224.81,220.94,221.41,17657
2021-06-10,EFX,220.9,222.17,219.93,221.73,13823
2021-06-11,EFX,222.59,223.61,221.52,223.47,16572
2021-06-14,EFX,222.62,222.72,220.45,221.56,28847
2021-06-15,EFX,222.05,224.65,220.38,224.06,18970
2021-06-16,EFX,223.74,224.48,222.48,223.74,43906
2021-06-17,EFX,222.85,227.38,222.06,226.78,42290
2021-06-18,EFX,226.01,226.51,224.24,225.51,27052
2021-06-21,EFX,225.31,231.3,225.31,231.28,16994
2021-06-22,EFX,230.46,231.8,229.04,230.73,73866
2021-06-23,EFX,230.14,230.14,226.5,227.39,87879
2021-06-24,EFX,228.95,231.58,227.81,231.58,28932
2021-06-25,EFX,231.72,234.85,231.29,231.36,34350
2021-06-28,EFX,231.45,231.5,229.62,229.79,25358
2021-06-29,EFX,228.06,231.89,228.06,231.73,19524
2021-06-30,EFX,231.31,232.81,230.42,232.08,17119
2021-07-01,EFX,232.85,235.11,232.55,233.29,34344
2021-07-02,EFX,233.98,236.17,233.72,234.94,28332
2021-07-06,EFX,236.2,238.53,233.54,238.12,30021
2021-07-07,EFX,238.54,240.78,237.69,240.24,83328
2021-07-08,EFX,237.4,239.57,235.17,237.14,20913
2021-07-09,EFX,237.63,240.61,237.63,240.61,22930
2021-07-12,EFX,239.78,240.7,237.96,239.41,16767
2021-07-13,EFX,238.71,240.08,237.12,237.22,12413
2021-07-14,EFX,237.78,240.64,237.58,239.29,20104
2021-07-15,EFX,238.15,243.1,238.15,242.8,24587
2021-07-16,EFX,243.08,246.67,243.01,246.59,33449
2021-07-19,EFX,244.14,245.23,238.82,240.75,42327
2021-07-20,EFX,241.59,249.44,241.59,248.42,40621
2021-07-21,EFX,248.56,249.65,245.67,246.82,47382
2021-07-22,EFX,245.54,246.12,238.21,241.75,81993
2021-07-23,EFX,244.12,245.67,242.51,244.92,33388
2021-07-26,EFX,244.83,246.75,243.86,246.62,31099
2021-07-27,EFX,246.98,250.11,246.98,250.1,47148
2021-07-28,EFX,250.57,250.76,246.93,250.66,38236
2021-07-29,EFX,250.76,252.9,250.66,252.35,21494
2021-07-30,EFX,252.42,253.16,250.77,252.3,31063
2021-08-02,EFX,254.45,255.62,249.91,250.19,40049
2021-08-03,EFX,249.91,251.67,248.32,251.67,11466
2021-08-04,EFX,251.31,252.24,247.62,248.02,28182
2021-08-05,EFX,248.9,248.9,245.42,247.56,55974
2021-08-06,EFX,247.58,247.58,244.2,245.7,39462
2021-08-09,EFX,245.26,246.22,244.54,245.06,14524
2021-08-10,EFX,247.95,253.07,247.95,250.93,56817
2021-08-11,EFX,251.82,254.93,251.82,253.14,37772
2021-08-12,EFX,252.71,252.71,249.96,251.19,27010
2021-08-13,EFX,251.05,252.48,251.05,251.86,24988
2021-08-16,EFX,250.05,252.59,249.84,252.37,19336
2021-08-17,EFX,251.37,253.71,251.24,253.47,29149
2021-08-18,EFX,252.36,253.23,246.38,246.38,21655
2021-08-19,EFX,244.52,251.09,244.52,250.61,54185
2021-08-20,EFX,250.56,250.63,247.59,250.4,28166
2021-08-23,EFX,249.66,252.35,249.3,251.57,15275
2021-08-24,EFX,251.82,252.15,250.04,251.07,23584
2021-08-25,EFX,250.67,257.3,250.55,256.51,64940
2021-08-26,EFX,255.16,255.33,253.59,254.65,94416
2021-08-27,EFX,255.28,260.64,255.04,258.49,36144
2021-08-30,EFX,257.84,259.5,257.74,258.57,20278
2021-08-31,EFX,259.36,264.28,259.36,263.62,28762
2021-09-01,EFX,264.44,265.14,261.14,264.85,30779
2021-09-02,EFX,265.8,269.17,265.8,269.04,28747
2021-09-03,EFX,267.23,270.95,267.08,269.81,19677
2021-09-07,EFX,268.01,268.01,265.9,265.9,32678
2021-09-08,EFX,266.27,270.04,266.27,267.21,68831
2021-09-09,EFX,266.85,268.38,265.48,267.5,110803
2021-09-10,EFX,268.85,269.48,264.28,264.56,46171
2021-09-13,EFX,267.36,268.17,263.55,265.43,74818
2021-09-14,EFX,265.91,269.79,264.26,265.42,36601
2021-09-15,EFX,265.97,265.97,261.73,264.74,88502
2021-09-16,EFX,264.43,267.38,262.48,266.28,78739
2021-09-17,EFX,264.17,264.96,259.67,260.19,46486
2021-09-20,EFX,257.3,258.63,253.23,255.25,46891
2021-09-21,EFX,256.07,256.07,251.09,251.49,56410
2021-09-22,EFX,253.77,257.98,253.33,254.74,65807
2021-09-23,EFX,255.12,258.34,254.98,257.47,38066
2021-09-24,EFX,255.72,258.08,255.72,257.45,19948
2021-09-27,EFX,256.24,256.24,252.45,254.45,31849
2021-09-28,EFX,252.44,252.44,246.64,248.69,32793
2021-09-29,EFX,248.88,251.68,248.19,248.29,17235
2021-09-30,EFX,250.24,250.24,245.64,245.64,44455
2021-10-01,EFX,245.76,249.36,244.77,248.45,37827
2021-10-04,EFX,249.02,249.16,241.47,245.45,29775
2021-10-05,EFX,246.48,251.11,246.48,250.61,27212
