date,tic,open,high,low,close,volume
2021-01-04,EG,210.97,210.97,203.62,204.8,9483
2021-01-05,EG,204.88,206.09,202.41,202.7,13344
2021-01-06,EG,206.49,215.78,205.93,215.07,21896
2021-01-07,EG,214.59,216.98,214.49,216.41,12765
2021-01-08,EG,216.68,216.68,211.97,214.45,11851
2021-01-11,EG,215.1,215.1,211.78,212.93,18914
2021-01-12,EG,214.22,217.06,214.13,215.16,14022
2021-01-13,EG,214.55,215.77,213.52,213.74,11762
2021-01-14,EG,213.57,213.6,210.27,211.26,12683
2021-01-15,EG,210.01,210.31,207.03,207.39,21107
2021-01-19,EG,206.52,209.76,206.22,208.87,18666
2021-01-20,EG,208.15,212.71,207.99,212.4,14965
2021-01-21,EG,210.92,213.43,208.11,208.33,12170
2021-01-22,EG,204.8,206.28,202.76,206.0,12579
2021-01-25,EG,202.91,208.52,202.91,204.75,19242
2021-01-26,EG,205.62,207.24,202.78,203.73,23453
2021-01-27,EG,200.68,201.27,196.19,196.31,32539
2021-01-28,EG,196.48,197.6,194.29,194.61,29169
2021-01-29,EG,191.66,192.71,188.29,189.23,25108
2021-02-01,EG,191.2,191.2,188.25,189.78,23900
2021-02-02,EG,190.86,194.64,190.76,192.15,20767
2021-02-03,EG,192.71,192.71,190.02,192.29,10293
2021-02-04,EG,194.54,199.22,194.54,198.33,28839
2021-02-05,EG,199.19,200.31,196.48,196.87,23507
2021-02-08,EG,197.21,202.05,197.04,202.05,29328
2021-02-09,EG,206.72,215.7,206.03,209.23,40736
2021-02-10,EG,209.97,211.26,207.69,210.67,21701
2021-02-11,EG,210.98,219.83,210.98,219.79,30040
2021-02-12,EG,219.57,221.88,215.94,218.61,24654
2021-02-16,EG,219.37,219.37,214.38,215.89,16251
2021-02-17,EG,216.64,219.0,215.6,217.83,16060
2021-02-18,EG,217.26,217.9,216.0,216.25,12480
2021-02-19,EG,217.33,217.33,213.43,214.89,34645
2021-02-22,EG,213.61,218.17,213.25,216.94,16831
2021-02-23,EG,219.29,220.21,214.79,215.11,18349
2021-02-24,EG,216.76,222.23,216.15,219.94,17281
2021-02-25,EG,219.54,219.67,213.75,214.57,20819
2021-02-26,EG,213.64,218.76,212.53,217.21,36300
2021-03-01,EG,219.78,221.45,216.03,217.74,13360
2021-03-02,EG,217.17,219.01,216.05,217.19,13743
2021-03-03,EG,218.37,219.62,216.86,217.48,21092
2021-03-04,EG,217.42,218.27,213.94,215.03,17142
2021-03-05,EG,216.95,222.63,215.85,221.96,29313
2021-03-08,EG,222.29,227.91,222.29,225.39,30168
2021-03-09,EG,224.24,226.42,220.59,222.24,26661
2021-03-10,EG,221.35,226.5,221.35,224.55,21802
2021-03-11,EG,222.24,224.98,221.39,223.96,18349
2021-03-12,EG,225.45,227.81,225.24,226.62,15687
2021-03-15,EG,226.48,229.93,224.85,229.86,18993
2021-03-16,EG,226.3,228.99,225.88,228.99,10874
2021-03-17,EG,230.41,230.59,224.53,226.87,16809
2021-03-18,EG,228.43,230.95,226.63,227.55,15425
2021-03-19,EG,226.63,226.7,221.96,221.96,24375
2021-03-22,EG,219.08,221.3,219.08,220.07,31698
2021-03-23,EG,219.42,219.69,217.56,218.01,24049
2021-03-24,EG,220.31,221.83,219.7,219.7,28929
2021-03-25,EG,219.45,224.65,218.74,224.0,18938
2021-03-26,EG,225.79,225.92,224.29,225.76,27999
2021-03-29,EG,226.66,230.79,226.36,229.39,131355
2021-03-30,EG,231.21,231.95,229.1,229.49,40529
2021-03-31,EG,226.47,227.09,223.56,223.78,13929
2021-04-01,EG,223.48,227.18,222.39,226.81,36978
2021-04-05,EG,226.38,227.23,225.7,226.61,43168
2021-04-06,EG,227.0,229.94,226.01,228.86,38369
2021-04-07,EG,229.98,231.26,228.7,230.98,21734
2021-04-08,EG,228.5,229.79,227.45,228.7,26145
2021-04-09,EG,230.07,230.13,228.36,230.07,12397
2021-04-12,EG,229.01,230.38,227.01,230.19,17459
2021-04-13,EG,227.6,231.63,227.53,231.35,6563
2021-04-14,EG,231.17,234.9,231.17,234.18,18721
2021-04-15,EG,234.69,237.62,234.68,237.38,16529
2021-04-16,EG,238.43,238.45,235.95,236.53,15516
2021-04-20,EG,238.76,238.9,235.78,237.18,21294
2021-04-21,EG,237.42,241.63,237.35,241.63,10386
2021-04-22,EG,239.38,240.42,238.3,238.83,23798
2021-04-23,EG,239.65,242.59,239.26,241.14,10713
2021-04-26,EG,241.77,242.87,239.8,240.05,10380
2021-04-27,EG,240.6,242.21,240.3,241.06,17459
2021-04-28,EG,241.19,242.02,239.65,240.52,20803
2021-04-29,EG,240.54,246.09,239.03,246.09,45066
2021-04-30,EG,246.24,251.74,245.11,250.39,21928
2021-05-03,EG,252.05,252.31,245.47,245.74,29818
2021-05-04,EG,247.17,250.29,245.56,246.87,28372
2021-05-05,EG,243.72,248.22,241.17,246.49,30481
2021-05-06,EG,246.77,247.88,244.0,246.81,16853
2021-05-07,EG,244.02,247.2,244.02,246.51,16394
2021-05-10,EG,248.45,248.93,246.28,246.59,16424
2021-05-11,EG,244.58,244.58,238.98,239.61,25184
2021-05-12,EG,240.78,240.78,236.69,236.96,20306
2021-05-13,EG,237.0,245.51,237.0,244.77,16527
2021-05-14,EG,244.49,245.69,243.33,245.25,9267
2021-05-17,EG,245.79,246.64,241.53,245.81,14089
2021-05-18,EG,243.97,245.65,241.39,245.46,22298
2021-05-19,EG,244.02,244.35,240.64,242.98,18294
2021-05-20,EG,243.92,243.92,240.93,242.31,9149
2021-05-21,EG,243.65,244.18,238.26,238.55,11671
2021-05-24,EG,239.57,239.57,237.01,237.91,29870
2021-05-25,EG,237.38,237.38,230.19,231.01,49847
2021-05-26,EG,231.48,233.0,230.51,231.46,64906
2021-05-27,EG,232.5,236.02,231.53,236.02,34638
2021-05-28,EG,236.69,237.38,233.64,236.25,22123
2021-06-01,EG,236.99,237.7,235.11,236.21,14458
2021-06-02,EG,235.18,235.4,233.36,233.45,13987
2021-06-03,EG,232.47,234.83,231.61,233.47,18058
