date,tic,open,high,low,close,volume
2021-01-04,EIX,50.23,50.35,48.14,48.53,63804
2021-01-05,EIX,48.61,48.83,48.03,48.77,54503
2021-01-06,EIX,49.34,50.55,49.1,50.26,71663
2021-01-07,EIX,50.21,50.36,49.35,49.74,90172
2021-01-08,EIX,49.95,50.01,49.53,49.88,50019
2021-01-11,EIX,49.95,49.95,49.08,49.44,41346
2021-01-12,EIX,49.68,50.87,49.68,50.07,74209
2021-01-13,EIX,50.15,50.96,50.1,50.69,73430
2021-01-14,EIX,50.8,50.8,49.36,49.42,75123
2021-01-15,EIX,49.12,49.7,48.27,49.62,111566
2021-01-19,EIX,49.8,49.9,48.73,48.79,79243
2021-01-20,EIX,48.41,48.49,47.91,48.29,80772
2021-01-21,EIX,48.09,48.42,47.54,47.54,85613
2021-01-22,EIX,47.38,47.71,46.96,47.52,81378
2021-01-25,EIX,47.43,48.07,47.29,47.58,76449
2021-01-26,EIX,47.82,47.86,47.18,47.34,97678
2021-01-27,EIX,46.93,47.25,45.63,45.73,126762
2021-01-28,EIX,45.91,48.05,45.91,47.21,125243
2021-01-29,EIX,46.85,47.2,46.33,46.65,69818
2021-02-01,EIX,46.72,46.88,46.21,46.48,71967
2021-02-02,EIX,46.59,47.81,46.35,47.43,100513
2021-02-03,EIX,47.27,47.64,47.25,47.25,64004
2021-02-04,EIX,47.29,47.59,46.95,47.2,111572
2021-02-05,EIX,47.37,47.37,46.87,47.03,82833
2021-02-08,EIX,46.91,46.91,46.01,46.28,73566
2021-02-09,EIX,46.37,46.44,45.48,46.33,74980
2021-02-10,EIX,46.69,47.26,46.44,46.88,85061
2021-02-11,EIX,46.77,47.04,46.72,46.76,45666
2021-02-12,EIX,46.67,46.86,45.98,46.41,75507
2021-02-16,EIX,46.39,46.83,45.67,45.69,121579
2021-02-17,EIX,45.73,45.74,44.98,45.26,140767
2021-02-18,EIX,45.08,45.08,44.6,44.64,157025
2021-02-19,EIX,44.66,44.98,44.25,44.28,120154
2021-02-22,EIX,44.21,44.55,43.78,44.37,144538
