date,tic,open,high,low,close,volume
2021-01-04,EL,243.76,246.38,236.16,237.41,102614
2021-01-05,EL,238.14,240.89,237.75,240.82,79514
2021-01-06,EL,240.12,243.24,240.09,240.53,69374
2021-01-07,EL,242.64,243.49,239.35,240.51,54501
2021-01-08,EL,242.21,243.01,239.68,242.69,88684
2021-01-11,EL,241.06,241.77,238.52,240.29,64525
2021-01-12,EL,240.48,241.56,237.65,237.98,61244
2021-01-13,EL,237.33,240.7,235.26,239.0,62354
2021-01-14,EL,240.48,240.48,232.59,232.89,59832
2021-01-15,EL,232.64,233.55,231.09,231.94,84183
2021-01-19,EL,232.03,232.84,229.9,231.36,207584
2021-01-20,EL,233.0,238.01,232.43,237.67,91068
2021-01-21,EL,236.89,240.83,236.69,237.84,50356
2021-01-22,EL,237.76,238.28,232.51,232.51,76608
2021-01-25,EL,233.03,234.67,230.39,232.63,72105
2021-01-26,EL,232.34,232.34,227.94,228.5,82643
2021-01-27,EL,226.02,226.27,215.98,219.33,154741
2021-01-28,EL,221.2,230.09,221.2,227.96,99765
2021-01-29,EL,226.79,226.79,219.9,220.54,77631
2021-02-01,EL,222.78,226.45,221.32,225.28,80039
2021-02-02,EL,227.27,232.05,227.16,230.08,94473
2021-02-03,EL,229.9,232.21,229.57,231.48,74887
2021-02-04,EL,232.12,236.37,227.81,235.99,86353
2021-02-05,EL,257.09,257.09,249.31,254.03,269067
2021-02-08,EL,261.04,264.94,259.25,261.18,173730
2021-02-09,EL,260.4,262.0,255.5,260.17,125291
2021-02-10,EL,261.84,268.47,261.84,264.7,125492
2021-02-11,EL,264.44,270.03,263.3,269.81,105390
2021-02-12,EL,268.78,270.45,265.04,270.15,155826
2021-02-16,EL,271.72,277.01,271.46,275.32,133626
2021-02-17,EL,274.92,275.07,269.07,269.79,90020
2021-02-18,EL,267.59,269.33,266.99,267.99,67116
2021-02-19,EL,268.88,269.06,265.08,265.19,62750
2021-02-22,EL,265.04,269.74,264.68,265.76,61020
2021-02-23,EL,265.11,274.57,263.91,271.62,102115
2021-02-24,EL,269.32,277.72,269.32,273.97,95052
2021-02-25,EL,272.61,274.37,268.68,270.06,121256
2021-02-26,EL,270.67,270.8,265.01,266.8,73605
2021-03-01,EL,270.53,275.77,270.22,274.14,60847
2021-03-02,EL,274.2,277.61,269.99,269.99,102754
2021-03-03,EL,269.91,274.17,269.66,270.14,103015
2021-03-04,EL,271.41,272.05,264.72,265.8,111234
2021-03-05,EL,268.38,273.89,266.27,273.33,98637
2021-03-08,EL,264.75,267.07,259.87,261.27,210078
2021-03-09,EL,265.76,266.11,260.58,261.34,134123
2021-03-10,EL,263.22,267.26,262.69,266.09,152155
2021-03-11,EL,269.67,273.82,268.31,272.14,101972
2021-03-12,EL,273.96,273.96,269.53,269.86,62053
2021-03-15,EL,270.34,271.06,267.75,269.99,115003
2021-03-16,EL,270.68,274.05,269.11,269.55,46576
2021-03-17,EL,269.74,273.52,269.11,271.22,66787
2021-03-18,EL,270.04,270.53,265.6,267.93,77132
2021-03-19,EL,267.53,269.58,264.96,264.96,119557
2021-03-22,EL,267.11,269.27,265.82,267.2,64641
2021-03-23,EL,265.43,266.75,261.19,262.5,76949
2021-03-24,EL,269.96,272.16,265.62,265.8,100995
2021-03-25,EL,264.25,267.37,262.14,267.03,106647
2021-03-26,EL,269.27,273.0,265.34,273.0,121452
2021-03-29,EL,272.68,275.98,270.73,271.0,73833
2021-03-30,EL,271.39,276.23,271.14,274.73,60886
2021-03-31,EL,276.76,277.74,271.35,271.49,92345
2021-04-01,EL,270.88,274.16,270.6,272.57,97351
