date,tic,open,high,low,close,volume
2021-01-04,EME,90.6,90.6,86.78,87.66,6658
2021-01-05,EME,87.78,90.35,87.71,89.78,22250
2021-01-06,EME,91.96,98.19,91.96,97.52,23629
2021-01-07,EME,98.0,99.46,97.31,99.28,9659
2021-01-08,EME,99.23,99.4,96.09,97.26,15283
2021-01-11,EME,96.24,96.82,95.8,96.3,11124
2021-01-12,EME,96.99,97.53,96.93,97.53,13901
2021-01-13,EME,97.36,97.4,96.12,96.52,10517
2021-01-14,EME,97.58,98.05,97.0,97.33,5082
2021-01-15,EME,94.81,97.3,94.74,96.52,9722
2021-01-19,EME,97.12,97.41,96.14,96.45,15912
2021-01-20,EME,97.24,97.74,96.41,97.2,8054
2021-01-21,EME,96.79,96.79,93.44,93.44,41453
2021-01-22,EME,93.0,95.68,93.0,95.6,18194
2021-01-25,EME,94.85,95.06,91.47,92.47,15686
2021-01-26,EME,93.32,93.32,91.95,92.35,10318
2021-01-27,EME,90.21,90.45,86.47,86.9,25067
2021-01-28,EME,88.0,90.25,88.0,89.57,18537
2021-01-29,EME,89.39,89.39,86.53,86.99,19059
2021-02-01,EME,87.33,89.56,85.93,89.26,22352
2021-02-02,EME,89.81,90.9,89.69,90.65,4641
2021-02-03,EME,89.36,90.81,88.96,90.55,7605
2021-02-04,EME,90.23,91.75,90.23,91.67,9082
2021-02-05,EME,93.12,93.27,92.28,92.47,9801
2021-02-08,EME,93.71,94.72,93.55,94.16,9599
2021-02-09,EME,93.7,94.18,92.81,93.51,10165
2021-02-10,EME,93.73,94.7,92.95,93.99,11329
2021-02-11,EME,93.48,94.35,91.54,92.86,10766
2021-02-12,EME,92.15,92.88,91.62,92.02,5953
2021-02-16,EME,92.13,92.55,91.78,92.13,17736
2021-02-17,EME,91.3,91.86,90.38,90.55,8880
2021-02-18,EME,90.28,90.28,88.17,88.98,18786
2021-02-19,EME,89.42,90.88,89.42,90.65,14752
2021-02-22,EME,89.98,92.42,89.02,91.87,14919
2021-02-23,EME,92.65,94.05,92.62,93.72,10644
2021-02-24,EME,94.25,97.15,93.09,97.15,12591
2021-02-25,EME,97.35,101.32,96.75,98.22,33801
2021-02-26,EME,98.26,98.65,95.72,96.04,17706
2021-03-01,EME,97.89,100.54,97.86,99.89,23620
2021-03-02,EME,98.96,98.96,97.55,98.33,10679
2021-03-03,EME,99.56,102.59,99.56,100.1,17624
2021-03-04,EME,99.42,100.43,98.02,98.59,27988
2021-03-05,EME,99.95,103.13,99.26,102.91,24837
2021-03-08,EME,103.92,106.69,103.92,105.59,11695
2021-03-09,EME,106.06,106.7,104.82,105.55,20423
2021-03-10,EME,105.46,110.34,105.46,109.97,20035
2021-03-11,EME,110.27,111.55,109.73,110.7,13306
2021-03-12,EME,111.33,113.63,111.33,113.44,13877
2021-03-15,EME,112.54,112.54,110.48,112.05,7737
2021-03-16,EME,111.74,111.74,109.02,110.53,16422
2021-03-17,EME,109.6,111.76,109.0,111.65,10753
2021-03-18,EME,111.77,112.42,110.99,111.33,12972
2021-03-19,EME,109.71,111.8,108.74,110.8,11395
2021-03-22,EME,109.9,109.9,107.26,108.03,12461
2021-03-23,EME,106.71,107.47,102.99,103.34,13134
2021-03-24,EME,105.18,106.79,104.32,104.6,19555
2021-03-25,EME,103.17,108.43,103.17,108.03,12009
2021-03-26,EME,108.68,110.33,108.68,110.3,13505
2021-03-29,EME,110.1,111.25,107.47,108.44,11973
2021-03-30,EME,109.11,111.45,108.61,110.96,7340
2021-03-31,EME,112.11,112.42,109.67,110.4,9304
2021-04-01,EME,111.39,111.71,110.21,111.71,12044
2021-04-05,EME,112.71,112.93,111.91,112.41,9381
2021-04-06,EME,112.81,113.74,112.14,112.72,10187
2021-04-07,EME,113.24,113.24,111.53,112.36,16813
2021-04-08,EME,111.8,113.62,110.82,113.62,11224
2021-04-09,EME,113.25,115.53,113.25,115.12,13464
2021-04-12,EME,115.76,116.98,115.64,116.72,13156
2021-04-13,EME,116.17,116.17,114.78,115.44,5265
2021-04-14,EME,116.59,117.4,116.35,116.39,7040
2021-04-15,EME,116.24,116.92,115.88,116.92,7708
2021-04-16,EME,117.75,118.81,117.47,118.21,12897
2021-04-20,EME,117.84,118.08,115.15,116.22,11783
2021-04-21,EME,116.86,118.18,116.71,117.56,12779
2021-04-22,EME,118.47,118.58,116.85,117.16,13165
2021-04-23,EME,117.6,119.88,117.24,119.13,11822
2021-04-26,EME,120.47,120.47,118.85,118.88,9293
2021-04-27,EME,119.78,120.03,118.35,118.99,12050
2021-04-28,EME,118.36,119.27,117.78,118.86,11625
2021-04-29,EME,118.59,120.15,118.24,119.77,13086
2021-04-30,EME,118.39,120.01,116.99,118.01,27141
2021-05-03,EME,119.39,120.31,118.36,118.58,22245
2021-05-04,EME,118.16,119.1,117.97,118.84,26150
2021-05-05,EME,118.29,120.55,117.77,120.38,15989
2021-05-06,EME,121.25,122.45,120.87,122.16,13774
2021-05-07,EME,120.83,123.79,120.24,123.41,6368
2021-05-10,EME,124.63,125.37,122.46,122.51,9892
2021-05-11,EME,120.66,122.85,120.56,122.14,9079
2021-05-12,EME,122.82,123.03,117.62,117.82,14969
2021-05-13,EME,116.82,122.15,116.82,121.19,12997
2021-05-14,EME,121.23,122.93,120.24,122.85,13057
2021-05-17,EME,122.37,123.33,121.07,123.33,3313
2021-05-18,EME,122.61,122.61,120.26,120.28,7803
2021-05-19,EME,118.53,119.72,117.45,119.65,10740
2021-05-20,EME,120.22,120.31,118.74,119.85,4518
2021-05-21,EME,121.36,121.91,119.85,120.02,9169
2021-05-24,EME,119.98,121.76,119.98,121.13,5640
2021-05-25,EME,121.44,121.44,119.57,119.67,6279
2021-05-26,EME,120.22,121.61,120.22,121.43,7911
2021-05-27,EME,122.87,123.66,121.67,123.5,10985
2021-05-28,EME,123.7,124.31,122.65,124.2,7393
2021-06-01,EME,124.9,126.15,124.9,125.88,11124
2021-06-02,EME,125.74,125.74,123.54,124.14,16814
2021-06-03,EME,123.35,124.1,121.56,123.99,5433
2021-06-04,EME,124.96,125.81,123.6,125.53,34729
2021-06-07,EME,125.01,126.24,124.01,126.2,28721
2021-06-08,EME,126.11,127.27,125.02,127.03,10421
2021-06-09,EME,126.4,127.16,125.76,125.86,5641
2021-06-10,EME,126.03,126.03,122.68,122.82,5528
2021-06-11,EME,124.19,124.79,123.26,124.79,5474
2021-06-14,EME,123.89,124.35,122.54,122.83,11825
2021-06-15,EME,123.1,124.75,122.81,124.24,21043
2021-06-16,EME,122.65,124.91,122.65,123.88,14238
2021-06-17,EME,123.37,123.37,119.4,120.71,16318
2021-06-18,EME,119.32,119.32,116.76,116.81,22005
2021-06-21,EME,117.57,120.69,117.57,120.3,9735
2021-06-22,EME,118.43,120.56,118.17,120.39,7367
2021-06-23,EME,119.35,120.9,119.35,120.04,11256
2021-06-24,EME,122.56,124.18,121.69,123.48,17968
2021-06-25,EME,123.52,123.67,121.73,121.83,20767
2021-06-28,EME,120.72,121.61,119.68,120.72,11790
2021-06-29,EME,121.59,121.59,119.97,120.0,13489
2021-06-30,EME,120.15,121.6,119.52,121.26,11021
2021-07-01,EME,121.8,122.41,121.32,121.49,9787
2021-07-02,EME,120.88,120.88,120.03,120.25,7088
2021-07-06,EME,119.47,119.47,116.17,118.39,18501
2021-07-07,EME,119.09,119.52,118.43,119.52,7517
2021-07-08,EME,116.64,119.49,115.91,117.58,7909
2021-07-09,EME,119.75,120.95,119.53,120.65,9241
2021-07-12,EME,120.2,121.78,120.14,121.64,8812
2021-07-13,EME,120.11,121.1,119.97,120.21,11074
2021-07-14,EME,120.46,120.84,119.75,120.28,9959
2021-07-15,EME,118.83,121.21,118.83,119.91,9461
2021-07-16,EME,120.83,121.17,117.63,117.86,10230
2021-07-19,EME,115.28,116.32,113.97,115.04,14374
2021-07-20,EME,116.2,120.24,116.2,119.58,6421
2021-07-21,EME,122.42,122.42,119.52,119.96,11642
2021-07-22,EME,118.09,118.97,116.64,116.93,22971
2021-07-23,EME,118.53,119.7,117.38,119.6,21735
2021-07-26,EME,121.07,121.07,119.31,119.74,20401
2021-07-27,EME,118.84,120.86,118.73,119.97,20941
2021-07-28,EME,120.92,122.69,119.03,121.43,13225
2021-07-29,EME,119.83,122.16,116.89,121.47,12670
2021-07-30,EME,121.75,122.25,119.87,120.19,14166
2021-08-02,EME,121.29,123.04,116.67,116.96,19584
2021-08-03,EME,116.82,119.12,115.56,118.97,9191
2021-08-04,EME,118.35,118.64,117.16,117.87,11555
2021-08-05,EME,119.16,119.7,118.39,118.82,10333
2021-08-06,EME,120.53,120.58,119.12,119.7,22411
2021-08-09,EME,118.4,118.65,117.49,117.61,5446
2021-08-10,EME,117.73,119.17,116.69,118.88,9113
2021-08-11,EME,119.42,120.27,118.57,120.27,15038
2021-08-12,EME,120.99,121.78,118.8,118.94,15406
2021-08-13,EME,118.63,118.63,117.85,118.08,8417
2021-08-16,EME,117.43,118.24,115.96,117.52,5481
2021-08-17,EME,115.91,116.52,115.01,116.52,7154
