date,tic,open,high,low,close,volume
2021-01-04,EMR,72.57,72.87,70.1,70.32,98427
2021-01-05,EMR,70.29,71.84,70.29,71.51,152250
2021-01-06,EMR,72.32,74.86,72.32,73.91,151325
2021-01-07,EMR,74.64,74.88,73.38,73.97,100079
2021-01-08,EMR,74.26,74.5,72.67,73.73,83784
2021-01-11,EMR,72.85,74.9,72.67,74.42,110568
2021-01-12,EMR,74.72,75.92,74.45,75.72,111695
2021-01-13,EMR,75.86,76.07,74.29,74.47,73729
2021-01-14,EMR,74.75,75.54,74.48,75.06,62816
2021-01-15,EMR,75.54,75.54,73.79,74.59,130913
2021-01-19,EMR,76.48,76.86,75.18,75.2,106845
2021-01-20,EMR,75.57,76.32,75.0,76.08,99360
2021-01-21,EMR,76.04,76.4,75.49,75.93,93813
2021-01-22,EMR,75.26,75.92,74.3,75.45,101479
2021-01-25,EMR,75.25,75.25,73.49,74.35,106173
2021-01-26,EMR,74.77,74.83,73.64,73.81,82563
2021-01-27,EMR,72.4,72.89,70.69,71.56,301140
2021-01-28,EMR,72.33,74.33,72.03,73.08,158323
2021-01-29,EMR,72.53,73.46,71.18,71.48,170943
2021-02-01,EMR,72.21,73.4,71.45,72.92,219293
2021-02-02,EMR,75.09,76.25,74.81,75.54,179349
2021-02-03,EMR,75.26,75.45,74.01,75.45,125584
2021-02-04,EMR,75.91,76.7,75.5,75.85,774211
2021-02-05,EMR,76.78,78.01,76.23,77.59,338692
2021-02-08,EMR,77.98,78.45,77.31,77.92,70099
2021-02-09,EMR,77.65,77.73,77.02,77.41,54687
2021-02-10,EMR,77.6,77.88,76.6,76.64,102243
2021-02-11,EMR,77.18,77.65,75.87,77.24,45458
2021-02-12,EMR,76.95,77.42,76.7,77.36,45274
2021-02-16,EMR,77.95,78.11,76.98,77.24,66370
2021-02-17,EMR,76.9,77.4,76.36,76.94,115257
2021-02-18,EMR,76.56,76.71,75.85,76.46,80612
2021-02-19,EMR,76.72,78.05,76.72,77.42,74410
2021-02-22,EMR,77.35,78.77,76.66,78.08,77631
2021-02-23,EMR,77.83,79.0,77.58,78.68,122733
2021-02-24,EMR,78.87,80.76,78.81,80.62,119251
2021-02-25,EMR,80.13,80.24,78.77,79.18,114321
2021-02-26,EMR,79.31,79.53,77.88,77.97,109807
2021-03-01,EMR,79.11,80.81,78.87,80.23,79123
2021-03-02,EMR,79.89,80.54,79.31,79.46,60747
2021-03-03,EMR,79.31,81.12,79.31,80.25,112084
2021-03-04,EMR,80.49,81.51,78.69,80.15,140620
2021-03-05,EMR,81.03,82.71,79.83,82.63,154156
2021-03-08,EMR,83.4,84.59,82.57,83.48,100414
2021-03-09,EMR,84.12,84.23,81.58,81.65,121008
2021-03-10,EMR,81.79,83.51,81.69,83.14,115357
2021-03-11,EMR,83.41,84.06,82.52,82.79,92617
2021-03-12,EMR,83.38,83.6,82.61,83.58,114504
2021-03-15,EMR,83.62,83.62,81.32,82.44,146496
2021-03-16,EMR,82.13,82.18,80.28,80.74,182641
2021-03-17,EMR,80.81,82.2,80.7,82.08,77451
2021-03-18,EMR,82.31,83.23,80.91,81.1,99897
2021-03-19,EMR,80.64,81.05,79.1,80.32,163296
2021-03-22,EMR,80.24,81.45,79.99,81.05,89608
2021-03-23,EMR,80.12,81.27,78.76,79.07,142509
2021-03-24,EMR,80.14,81.49,79.83,79.83,84141
2021-03-25,EMR,79.59,81.07,78.65,80.89,116168
2021-03-26,EMR,81.82,83.12,81.25,83.12,112538
2021-03-29,EMR,82.58,83.58,82.38,82.7,116421
2021-03-30,EMR,82.88,83.25,82.19,82.58,69765
2021-03-31,EMR,82.62,83.06,81.61,81.78,90834
2021-04-01,EMR,81.89,81.99,81.19,81.98,98427
2021-04-05,EMR,82.68,83.89,82.64,83.04,151411
2021-04-06,EMR,83.31,83.85,82.62,82.91,79331
2021-04-07,EMR,82.75,83.24,82.12,82.56,75262
2021-04-08,EMR,82.25,82.65,81.64,82.54,74599
2021-04-09,EMR,82.99,83.97,82.47,83.33,87384
2021-04-12,EMR,83.32,83.66,83.03,83.4,60792
2021-04-13,EMR,82.97,82.97,81.76,82.19,72653
2021-04-14,EMR,82.26,83.23,82.26,82.95,137201
2021-04-15,EMR,83.5,83.52,82.4,83.14,112208
2021-04-16,EMR,83.79,84.46,83.24,83.55,84636
2021-04-20,EMR,82.84,83.13,81.5,82.34,82979
2021-04-21,EMR,82.27,83.62,82.09,83.5,106086
2021-04-22,EMR,83.59,83.81,82.89,82.96,69345
2021-04-23,EMR,82.85,84.16,82.85,83.79,50071
2021-04-26,EMR,84.25,84.81,83.51,83.51,47156
2021-04-27,EMR,83.73,83.73,82.86,83.53,57500
2021-04-28,EMR,83.48,84.0,83.33,83.5,54420
2021-04-29,EMR,84.17,84.19,83.31,84.1,55086
2021-04-30,EMR,83.58,83.68,81.72,81.99,85791
2021-05-03,EMR,83.04,83.28,82.25,82.43,94694
2021-05-04,EMR,82.23,82.74,81.23,82.62,93423
2021-05-05,EMR,81.64,82.85,80.71,82.31,213894
2021-05-06,EMR,82.73,85.08,82.73,84.96,134091
2021-05-07,EMR,84.8,86.32,84.05,86.18,128139
2021-05-10,EMR,86.74,87.82,86.48,86.48,68167
2021-05-11,EMR,85.68,86.7,85.0,86.36,115917
2021-05-12,EMR,86.29,86.47,84.51,84.68,133074
2021-05-13,EMR,84.63,86.68,84.61,86.33,103805
2021-05-14,EMR,86.86,87.63,86.57,87.39,99652
2021-05-17,EMR,87.46,87.46,86.6,87.04,43503
2021-05-18,EMR,87.32,87.32,85.76,85.86,71052
2021-05-19,EMR,84.53,85.05,83.68,85.05,108699
2021-05-20,EMR,85.22,85.42,84.6,85.13,81580
2021-05-21,EMR,85.67,86.24,84.73,85.31,108890
2021-05-24,EMR,85.78,86.14,85.05,85.67,56694
2021-05-25,EMR,85.81,86.17,85.0,85.12,58670
2021-05-26,EMR,85.11,85.44,84.41,85.04,86549
2021-05-27,EMR,86.11,87.17,85.83,87.04,139991
2021-05-28,EMR,87.25,87.48,86.57,87.21,55886
2021-06-01,EMR,88.42,88.55,87.74,88.5,96970
2021-06-02,EMR,88.33,88.9,87.93,88.86,109532
2021-06-03,EMR,88.6,89.27,88.14,88.86,70895
2021-06-04,EMR,89.15,89.96,89.09,89.48,83733
2021-06-07,EMR,89.61,89.66,88.66,89.21,61442
2021-06-08,EMR,89.19,90.28,88.59,89.78,148739
2021-06-09,EMR,89.39,89.47,88.84,89.24,76002
2021-06-10,EMR,89.86,90.09,88.82,88.94,66431
2021-06-11,EMR,89.06,89.38,88.03,88.4,122181
2021-06-14,EMR,88.23,88.76,87.66,88.76,101859
2021-06-15,EMR,88.96,89.87,88.59,89.86,144699
2021-06-16,EMR,89.59,90.19,88.96,89.52,124053
2021-06-17,EMR,89.51,89.51,85.56,85.69,132147
2021-06-18,EMR,84.32,84.98,83.92,84.05,100963
2021-06-21,EMR,84.76,86.63,84.76,86.51,74860
2021-06-22,EMR,86.22,87.0,85.65,86.38,49381
2021-06-23,EMR,86.57,87.51,86.1,86.11,105204
2021-06-24,EMR,86.74,86.95,85.8,86.91,86195
2021-06-25,EMR,87.27,87.89,87.1,87.5,86454
2021-06-28,EMR,87.72,87.72,86.34,86.57,59574
2021-06-29,EMR,87.27,87.9,86.08,86.31,157910
2021-06-30,EMR,86.19,87.87,86.16,87.7,91464
2021-07-01,EMR,88.43,88.85,88.17,88.34,77268
2021-07-02,EMR,87.98,89.03,87.81,88.81,32971
2021-07-06,EMR,88.6,88.6,86.39,87.22,76463
2021-07-07,EMR,86.94,88.6,86.94,88.45,91721
2021-07-08,EMR,87.27,88.0,86.42,87.52,76063
2021-07-09,EMR,88.67,89.41,88.67,88.96,91291
2021-07-12,EMR,88.86,90.02,88.24,89.83,92498
2021-07-13,EMR,89.69,89.73,89.02,89.1,50095
2021-07-14,EMR,89.4,90.09,89.23,89.37,96688
2021-07-15,EMR,89.08,90.09,89.02,89.77,59249
2021-07-16,EMR,90.24,90.24,88.48,88.65,95625
2021-07-19,EMR,87.21,87.46,85.06,85.46,184481
2021-07-20,EMR,85.69,88.71,85.67,88.51,122563
2021-07-21,EMR,88.95,89.79,88.82,89.57,73622
2021-07-22,EMR,89.62,89.62,88.66,88.79,37261
2021-07-23,EMR,89.06,89.9,88.71,89.77,63326
2021-07-26,EMR,89.75,90.32,89.15,89.62,49605
2021-07-27,EMR,89.09,90.29,88.58,89.63,41552
2021-07-28,EMR,89.46,90.13,88.46,89.71,64221
2021-07-29,EMR,90.6,91.32,89.86,91.12,85194
2021-07-30,EMR,91.08,92.05,90.69,91.95,105191
2021-08-02,EMR,92.45,93.33,90.81,90.89,65927
2021-08-03,EMR,91.26,92.29,90.41,92.08,106445
2021-08-04,EMR,90.1,92.64,89.65,91.33,101023
2021-08-05,EMR,92.66,93.01,91.82,92.1,70164
2021-08-06,EMR,92.83,93.19,92.05,92.46,120354
2021-08-09,EMR,92.3,92.43,91.81,92.22,65873
2021-08-10,EMR,92.56,94.05,92.25,93.94,67954
2021-08-11,EMR,94.1,95.1,93.79,95.02,71660
2021-08-12,EMR,94.72,95.45,94.41,95.35,70671
2021-08-13,EMR,95.07,95.39,94.63,94.97,49433
2021-08-16,EMR,94.43,95.04,93.95,94.87,66884
2021-08-17,EMR,94.3,94.64,93.13,94.09,50236
2021-08-18,EMR,93.49,94.27,93.0,93.01,36589
2021-08-19,EMR,91.88,93.35,91.38,92.71,118405
2021-08-20,EMR,92.71,93.61,92.65,93.14,34003
2021-08-23,EMR,93.86,94.71,93.76,93.96,76305
2021-08-24,EMR,94.43,95.24,94.43,94.72,48233
2021-08-25,EMR,94.43,95.78,94.25,95.42,51627
2021-08-26,EMR,95.13,95.73,95.13,95.38,40635
2021-08-27,EMR,95.69,96.14,95.69,95.93,36518
