date,tic,open,high,low,close,volume
2021-01-04,EOG,39.72,39.92,38.23,39.15,173763
2021-01-05,EOG,39.61,43.42,39.61,42.3,198415
2021-01-06,EOG,42.72,44.03,42.21,43.21,240835
2021-01-07,EOG,43.64,46.51,43.39,45.98,305902
2021-01-08,EOG,46.76,46.83,45.58,46.27,278138
2021-01-11,EOG,45.08,47.09,44.7,46.75,199528
2021-01-12,EOG,47.37,49.45,47.37,49.02,152238
2021-01-13,EOG,48.9,48.94,46.97,47.48,93458
2021-01-14,EOG,47.56,49.72,47.54,49.16,128939
2021-01-15,EOG,48.0,48.16,46.26,46.74,163417
2021-01-19,EOG,47.52,48.34,47.3,47.75,105786
2021-01-20,EOG,48.29,48.33,46.88,47.56,104654
2021-01-21,EOG,47.44,47.56,43.43,43.44,354735
2021-01-22,EOG,41.96,43.41,41.81,43.35,410498
2021-01-25,EOG,42.77,43.6,41.72,43.6,408619
2021-01-26,EOG,44.24,44.74,42.26,42.28,194747
2021-01-27,EOG,41.68,43.8,40.99,43.41,289872
2021-01-28,EOG,43.83,44.13,42.33,42.43,203390
2021-01-29,EOG,41.67,42.53,40.08,40.24,411569
2021-02-01,EOG,40.68,41.06,39.55,40.53,222904
2021-02-02,EOG,41.77,41.77,40.24,40.49,284306
2021-02-03,EOG,40.88,44.22,40.75,44.16,205661
2021-02-04,EOG,44.44,45.43,43.28,45.43,229125
2021-02-05,EOG,45.83,45.85,44.59,44.69,195556
2021-02-08,EOG,45.42,47.25,45.27,46.9,228884
2021-02-09,EOG,46.54,46.54,45.74,45.96,170081
2021-02-10,EOG,46.28,48.09,46.25,47.58,199488
2021-02-11,EOG,47.47,47.58,45.94,47.13,122989
2021-02-12,EOG,46.83,48.56,46.83,48.18,163379
2021-02-16,EOG,49.59,50.41,49.08,49.85,152063
2021-02-17,EOG,50.01,50.33,48.87,50.23,91209
2021-02-18,EOG,49.55,49.55,47.75,47.78,68502
2021-02-19,EOG,48.09,49.4,48.09,49.37,118494
2021-02-22,EOG,49.75,53.13,49.6,52.19,189826
2021-02-23,EOG,53.05,53.79,50.24,53.58,181424
2021-02-24,EOG,54.01,57.53,53.3,57.19,355622
2021-02-25,EOG,57.44,57.52,55.15,55.85,306211
2021-02-26,EOG,54.57,54.57,50.13,50.98,387183
2021-03-01,EOG,51.65,52.1,50.65,51.28,203291
2021-03-02,EOG,51.18,51.88,50.53,50.88,133637
2021-03-03,EOG,51.24,54.06,51.24,52.87,203984
2021-03-04,EOG,53.24,58.32,53.09,56.41,352650
2021-03-05,EOG,58.33,59.1,56.29,58.93,197011
2021-03-08,EOG,59.6,59.82,57.52,58.84,941242
2021-03-09,EOG,57.44,60.86,55.9,58.12,269227
2021-03-10,EOG,58.24,59.71,57.49,59.32,156484
2021-03-11,EOG,59.73,60.4,58.96,59.46,161017
2021-03-12,EOG,59.66,59.91,58.67,59.19,107116
2021-03-15,EOG,58.45,58.9,57.04,58.76,122698
2021-03-16,EOG,57.14,57.29,55.57,55.87,229378
2021-03-17,EOG,56.08,57.81,55.23,57.81,160931
2021-03-18,EOG,57.13,57.76,54.28,54.4,201999
2021-03-19,EOG,54.65,56.06,53.92,55.48,177941
2021-03-22,EOG,54.31,54.54,53.44,53.87,126848
2021-03-23,EOG,52.84,56.45,52.44,55.0,871534
2021-03-24,EOG,56.28,58.0,56.23,57.27,344740
2021-03-25,EOG,56.14,57.74,55.17,57.68,166971
2021-03-26,EOG,58.79,59.23,58.11,59.23,222874
2021-03-29,EOG,58.71,58.93,57.26,58.1,361943
2021-03-30,EOG,57.48,58.36,56.4,57.82,125261
2021-03-31,EOG,57.74,58.2,57.01,57.28,180365
2021-04-01,EOG,57.21,59.65,57.0,59.43,249126
2021-04-05,EOG,59.18,59.2,55.96,56.72,240953
2021-04-06,EOG,57.32,58.9,56.98,57.1,140464
2021-04-07,EOG,57.2,58.09,57.11,57.89,219954
2021-04-08,EOG,57.37,57.49,55.98,57.02,265888
2021-04-09,EOG,57.03,58.03,56.2,56.65,194215
2021-04-12,EOG,57.38,57.85,55.38,55.39,152652
2021-04-13,EOG,55.47,56.07,54.77,55.6,61141
2021-04-14,EOG,56.31,59.11,56.31,58.5,221431
2021-04-15,EOG,58.86,58.97,57.4,57.86,145741
2021-04-16,EOG,57.95,58.05,55.96,55.96,188793
2021-04-20,EOG,55.78,55.98,53.47,54.43,200066
2021-04-21,EOG,53.74,55.33,53.45,54.74,102513
2021-04-22,EOG,54.95,54.95,53.36,54.28,86708
2021-04-23,EOG,54.49,55.47,54.43,54.81,88961
2021-04-26,EOG,54.74,55.86,54.74,55.46,60555
2021-04-27,EOG,55.95,57.2,55.76,56.95,88094
2021-04-28,EOG,57.63,59.9,57.63,59.52,153169
2021-04-29,EOG,60.62,61.16,59.51,60.3,103896
2021-04-30,EOG,58.97,60.51,58.42,58.43,94008
2021-05-03,EOG,59.45,60.37,58.94,60.37,105720
2021-05-04,EOG,60.56,60.79,59.38,59.56,207556
2021-05-05,EOG,60.68,62.05,59.96,60.94,205004
2021-05-06,EOG,60.97,61.13,59.3,61.13,145028
2021-05-07,EOG,61.34,66.11,61.08,66.02,464565
2021-05-10,EOG,67.22,68.71,66.51,67.13,339863
2021-05-11,EOG,65.26,65.87,63.94,65.23,309715
2021-05-12,EOG,65.88,66.84,64.39,64.63,153751
2021-05-13,EOG,63.69,64.62,62.04,63.21,162107
2021-05-14,EOG,64.32,65.91,64.26,65.58,250529
2021-05-17,EOG,65.13,67.6,65.11,67.6,257219
2021-05-18,EOG,67.89,68.07,65.81,65.88,102383
2021-05-19,EOG,64.33,65.01,62.6,63.92,141706
2021-05-20,EOG,64.05,64.28,62.52,63.93,97131
2021-05-21,EOG,64.88,65.3,63.55,63.56,62469
2021-05-24,EOG,64.28,64.28,62.68,63.66,292484
2021-05-25,EOG,63.53,64.19,62.41,62.46,140042
2021-05-26,EOG,62.7,63.44,61.95,63.19,235376
2021-05-27,EOG,63.77,64.51,63.11,63.81,121421
2021-05-28,EOG,64.23,64.23,63.51,63.8,61226
2021-06-01,EOG,65.58,67.66,65.57,67.2,160253
2021-06-02,EOG,67.24,68.32,66.21,67.72,162894
2021-06-03,EOG,67.52,69.41,67.37,68.96,237332
2021-06-04,EOG,69.36,69.77,68.04,69.48,143193
2021-06-07,EOG,69.55,69.87,68.95,69.13,137161
2021-06-08,EOG,67.55,69.65,67.05,69.4,120649
2021-06-09,EOG,69.52,69.79,68.13,68.13,112842
2021-06-10,EOG,69.39,69.51,67.43,68.41,114850
2021-06-11,EOG,69.08,69.55,67.67,67.85,127706
2021-06-14,EOG,68.43,69.33,66.79,67.35,192832
2021-06-15,EOG,67.67,68.51,67.09,67.97,190765
2021-06-16,EOG,67.77,68.32,66.46,67.29,157134
2021-06-17,EOG,67.22,67.85,63.39,64.67,192369
2021-06-18,EOG,63.19,64.55,62.6,62.99,227376
2021-06-21,EOG,64.23,67.56,64.2,67.54,175048
2021-06-22,EOG,67.13,67.93,66.27,67.5,105208
2021-06-23,EOG,68.48,69.68,67.99,68.03,135177
2021-06-24,EOG,67.94,68.4,67.0,68.39,123734
2021-06-25,EOG,68.86,69.63,67.99,69.63,83757
2021-06-28,EOG,69.09,69.09,65.58,65.88,141038
2021-06-29,EOG,67.0,67.0,65.11,65.36,122031
2021-06-30,EOG,66.19,67.03,65.65,66.27,201845
2021-07-01,EOG,68.32,68.59,67.27,68.3,198471
2021-07-02,EOG,67.83,68.52,67.19,68.08,124796
2021-07-06,EOG,68.3,68.3,66.01,66.48,95995
2021-07-07,EOG,66.21,66.88,64.08,64.37,165463
2021-07-08,EOG,63.62,64.8,63.22,63.45,270361
2021-07-09,EOG,64.34,65.72,63.41,65.61,327804
2021-07-12,EOG,64.77,66.6,64.37,66.13,115318
2021-07-13,EOG,65.65,66.35,65.29,65.66,220946
2021-07-14,EOG,66.32,66.97,62.91,63.26,174934
2021-07-15,EOG,62.39,63.47,61.31,61.64,339060
2021-07-16,EOG,62.5,62.5,59.54,59.81,131095
2021-07-19,EOG,57.55,58.51,56.19,56.89,256378
2021-07-20,EOG,56.88,58.6,56.13,57.84,326634
2021-07-21,EOG,59.18,60.55,58.65,60.0,287799
2021-07-22,EOG,60.25,60.26,59.03,59.62,107706
2021-07-23,EOG,59.52,59.52,57.9,58.65,105167
2021-07-26,EOG,58.81,60.34,58.81,59.93,499807
2021-07-27,EOG,59.07,59.14,57.95,58.82,157407
2021-07-28,EOG,59.26,59.7,58.04,59.31,155623
