date,tic,open,high,low,close,volume
2021-01-04,EQIX,653.36,653.36,628.93,629.07,34206
2021-01-05,EQIX,632.23,634.85,627.01,627.86,36569
2021-01-06,EQIX,619.89,619.89,603.99,607.42,48325
2021-01-07,EQIX,611.57,621.55,609.76,616.46,46190
2021-01-08,EQIX,622.83,634.66,622.83,628.37,65915
2021-01-11,EQIX,632.81,635.51,618.81,619.97,27273
2021-01-12,EQIX,619.3,619.3,600.61,614.54,42567
2021-01-13,EQIX,620.83,627.98,617.0,626.96,30937
2021-01-14,EQIX,622.69,629.42,622.69,626.91,28298
2021-01-15,EQIX,628.92,644.6,627.84,643.04,46222
2021-01-19,EQIX,651.67,656.37,646.78,650.85,46022
2021-01-20,EQIX,652.25,666.68,649.51,661.32,41531
2021-01-21,EQIX,660.79,660.79,651.11,654.44,23918
2021-01-22,EQIX,654.5,661.42,654.21,655.28,39721
2021-01-25,EQIX,659.52,661.44,654.18,657.19,44802
2021-01-26,EQIX,656.26,668.06,654.02,667.83,43662
2021-01-27,EQIX,669.5,669.5,663.8,663.8,66183
2021-01-28,EQIX,660.69,677.95,659.0,670.68,40028
2021-01-29,EQIX,663.19,675.87,663.19,672.43,50234
2021-02-01,EQIX,673.65,689.87,666.43,686.97,32382
2021-02-02,EQIX,689.46,699.55,689.46,698.77,44310
2021-02-03,EQIX,693.7,694.4,679.16,685.95,31723
2021-02-04,EQIX,687.93,687.93,674.4,678.4,39405
2021-02-05,EQIX,680.42,687.02,673.63,685.61,23904
2021-02-08,EQIX,681.75,685.44,671.45,679.07,36299
2021-02-09,EQIX,683.27,684.78,676.18,681.36,30616
2021-02-10,EQIX,686.35,687.69,680.32,682.38,45915
2021-02-11,EQIX,679.49,688.41,645.97,651.89,125405
2021-02-12,EQIX,649.73,652.25,636.36,644.52,64984
2021-02-16,EQIX,652.25,652.25,622.02,624.84,45405
2021-02-17,EQIX,623.94,636.17,622.88,631.23,49889
2021-02-18,EQIX,628.66,628.66,620.77,623.55,96949
2021-02-19,EQIX,626.8,636.22,612.82,618.32,68500
2021-02-22,EQIX,611.99,613.4,602.2,606.49,115079
2021-02-23,EQIX,605.22,608.81,596.95,601.69,112772
2021-02-24,EQIX,601.08,601.82,581.99,582.48,87890
2021-02-25,EQIX,579.41,587.39,569.71,583.16,150721
2021-02-26,EQIX,589.74,601.64,585.19,592.71,55428
2021-03-01,EQIX,593.31,595.8,586.19,591.27,62187
2021-03-02,EQIX,589.2,591.9,574.33,583.92,59462
2021-03-03,EQIX,581.64,581.64,556.15,557.48,66904
2021-03-04,EQIX,562.22,571.73,549.75,550.31,128334
2021-03-05,EQIX,552.25,562.31,536.23,557.62,129501
2021-03-08,EQIX,553.17,559.55,541.97,543.42,85073
2021-03-09,EQIX,556.53,572.41,554.36,568.16,62280
2021-03-10,EQIX,573.1,588.88,571.8,582.96,85295
2021-03-11,EQIX,587.02,602.72,586.8,596.94,76010
2021-03-12,EQIX,593.9,610.55,588.35,609.87,46212
2021-03-15,EQIX,605.89,616.3,605.89,610.8,38918
2021-03-16,EQIX,613.18,621.24,610.51,613.0,23597
2021-03-17,EQIX,606.75,608.55,596.14,599.24,43974
2021-03-18,EQIX,594.48,595.53,584.63,590.24,48475
2021-03-19,EQIX,592.08,603.23,591.53,595.92,43576
2021-03-22,EQIX,595.71,610.77,595.69,608.53,18057
2021-03-23,EQIX,611.74,622.84,604.18,616.3,34926
2021-03-24,EQIX,608.93,610.44,600.59,604.36,29211
2021-03-25,EQIX,604.92,611.17,597.93,608.99,25014
2021-03-26,EQIX,610.53,623.93,602.59,623.9,29980
2021-03-29,EQIX,622.66,629.89,616.15,627.47,47243
2021-03-30,EQIX,620.65,627.11,614.26,615.68,22937
2021-03-31,EQIX,620.86,625.97,606.81,620.44,20118
2021-04-01,EQIX,624.92,624.92,614.78,618.58,45762
2021-04-05,EQIX,622.58,630.08,622.58,630.08,38979
2021-04-06,EQIX,622.56,628.16,622.56,627.79,22356
2021-04-07,EQIX,625.2,627.35,621.11,624.37,27724
2021-04-08,EQIX,633.26,637.25,626.48,627.42,32644
2021-04-09,EQIX,627.17,631.06,623.4,627.18,23976
2021-04-12,EQIX,628.67,631.75,619.53,630.81,31033
2021-04-13,EQIX,634.97,645.31,634.97,643.25,16410
2021-04-14,EQIX,642.8,646.13,631.99,632.05,27082
2021-04-15,EQIX,636.28,656.45,636.28,656.06,36633
2021-04-16,EQIX,655.28,657.34,645.86,645.89,32125
2021-04-19,EQIX,647.2,656.42,644.32,654.63,18975
2021-04-20,EQIX,657.09,664.92,656.67,662.53,28850
2021-04-21,EQIX,663.43,671.22,660.85,661.84,39181
2021-04-22,EQIX,650.92,661.21,648.11,654.28,34969
2021-04-23,EQIX,656.56,658.67,653.98,655.16,24117
2021-04-26,EQIX,655.28,656.64,648.18,654.24,15264
2021-04-27,EQIX,656.95,656.95,648.01,651.76,28079
2021-04-28,EQIX,650.55,651.67,642.27,644.58,36413
