date,tic,open,high,low,close,volume
2021-01-04,ESS,201.75,201.75,193.42,193.68,40990
2021-01-05,ESS,194.41,195.31,192.35,192.59,26787
2021-01-06,ESS,194.68,201.05,193.73,200.47,30565
2021-01-07,ESS,198.17,198.39,195.57,196.26,36192
2021-01-08,ESS,196.76,198.78,196.41,198.1,12255
2021-01-11,ESS,197.73,197.73,194.95,196.06,16260
2021-01-12,ESS,195.71,197.8,195.33,197.14,16900
2021-01-13,ESS,200.04,200.76,197.03,200.42,16103
2021-01-14,ESS,200.52,203.09,199.89,200.89,28428
2021-01-15,ESS,200.89,205.29,199.56,203.92,30130
2021-01-19,ESS,204.0,204.06,199.91,200.95,12767
2021-01-20,ESS,201.14,207.91,199.92,207.7,35771
2021-01-21,ESS,206.73,208.8,203.51,207.82,28846
2021-01-22,ESS,206.81,207.58,205.5,206.6,18629
2021-01-25,ESS,205.0,208.2,204.7,205.6,33713
2021-01-26,ESS,206.95,207.83,205.46,206.76,24751
2021-01-27,ESS,205.4,205.87,199.87,203.13,53011
2021-01-28,ESS,202.79,208.89,202.68,206.43,33942
2021-01-29,ESS,203.27,207.66,201.94,203.09,23791
2021-02-01,ESS,201.92,205.35,201.08,205.0,41856
2021-02-02,ESS,205.6,208.0,204.72,207.04,27419
2021-02-03,ESS,204.73,210.99,204.73,210.39,29376
2021-02-04,ESS,210.11,216.18,209.27,214.01,36128
2021-02-05,ESS,219.5,219.5,213.64,219.33,49992
2021-02-08,ESS,220.1,223.03,217.46,220.89,34591
2021-02-09,ESS,221.84,221.84,217.46,219.76,14635
2021-02-10,ESS,219.91,226.82,219.91,226.78,71709
2021-02-11,ESS,226.78,230.52,224.31,230.52,26194
2021-02-12,ESS,228.4,229.89,226.56,228.4,31010
2021-02-16,ESS,225.97,227.76,225.89,227.26,18023
2021-02-17,ESS,225.14,226.94,223.72,226.14,19678
2021-02-18,ESS,225.32,225.38,224.25,224.42,12553
2021-02-19,ESS,224.12,225.62,223.74,223.75,19772
2021-02-22,ESS,223.81,226.31,222.83,223.92,31360
2021-02-23,ESS,226.01,228.78,224.2,228.14,23451
2021-02-24,ESS,228.21,230.55,227.6,229.31,53426
2021-02-25,ESS,228.05,228.81,220.37,221.34,48067
2021-02-26,ESS,220.95,220.95,215.88,215.88,31425
2021-03-01,ESS,220.75,223.19,219.86,220.16,38864
2021-03-02,ESS,219.7,224.29,219.57,221.92,52570
2021-03-03,ESS,223.11,229.66,223.11,226.67,33325
2021-03-04,ESS,226.94,229.2,220.39,222.12,35564
2021-03-05,ESS,222.21,224.75,218.86,224.55,24952
2021-03-08,ESS,225.67,231.99,225.48,231.0,35189
2021-03-09,ESS,229.99,234.37,229.99,231.32,39918
2021-03-10,ESS,230.97,233.83,226.93,231.17,14967
2021-03-11,ESS,230.81,236.21,230.81,234.91,16573
2021-03-12,ESS,233.55,244.2,233.55,244.08,47743
2021-03-15,ESS,244.8,249.86,242.21,248.49,20191
2021-03-16,ESS,247.62,248.23,241.18,242.82,16488
2021-03-17,ESS,242.74,243.73,240.19,242.71,20573
2021-03-18,ESS,241.43,243.36,240.18,242.4,21891
2021-03-19,ESS,238.86,239.42,233.23,233.69,23099
2021-03-22,ESS,232.79,235.52,232.79,233.85,43524
2021-03-23,ESS,233.65,235.27,231.88,234.14,18473
2021-03-24,ESS,232.94,237.86,232.85,234.26,24273
2021-03-25,ESS,232.4,236.51,230.88,235.56,39260
2021-03-26,ESS,237.61,241.23,237.35,241.23,27671
2021-03-29,ESS,239.96,240.65,234.64,236.25,25015
2021-03-30,ESS,237.15,238.48,235.79,237.62,13431
2021-03-31,ESS,235.52,237.63,232.27,232.28,35504
2021-04-01,ESS,232.84,235.63,232.15,235.63,42189
2021-04-05,ESS,238.03,238.26,233.77,235.46,31706
2021-04-06,ESS,234.02,236.19,234.02,235.57,30469
2021-04-07,ESS,237.09,241.84,236.17,241.56,40188
2021-04-08,ESS,241.08,242.19,239.71,240.57,22029
2021-04-09,ESS,241.77,242.26,240.13,241.97,13454
2021-04-12,ESS,241.84,242.45,238.96,242.34,21910
2021-04-13,ESS,241.8,244.59,241.7,244.43,15711
2021-04-14,ESS,244.48,244.89,240.14,240.14,14213
2021-04-15,ESS,243.84,247.2,243.51,246.82,37448
2021-04-16,ESS,247.9,248.59,245.32,247.65,20646
2021-04-20,ESS,248.88,252.99,248.88,251.92,15906
2021-04-21,ESS,250.68,254.33,250.68,253.82,10490
2021-04-22,ESS,252.34,255.17,251.47,251.47,13104
2021-04-23,ESS,252.15,255.08,251.77,253.88,7651
2021-04-26,ESS,254.91,256.71,252.59,253.47,25067
2021-04-27,ESS,252.32,255.0,252.23,253.72,18379
2021-04-28,ESS,252.5,252.5,244.42,245.1,59119
2021-04-29,ESS,247.07,247.07,242.0,244.35,30223
2021-04-30,ESS,244.33,248.51,244.33,248.06,36846
2021-05-03,ESS,248.23,248.72,244.45,244.97,31836
2021-05-04,ESS,245.89,246.06,240.54,242.21,37628
2021-05-05,ESS,240.49,241.24,237.86,240.01,18298
2021-05-06,ESS,241.1,245.04,240.07,243.3,19089
2021-05-07,ESS,243.94,246.86,242.97,246.74,48714
2021-05-10,ESS,249.04,250.8,247.15,249.28,31192
2021-05-11,ESS,245.89,248.16,245.14,247.96,16898
2021-05-12,ESS,246.94,246.94,239.01,240.27,26590
2021-05-13,ESS,241.32,247.26,240.35,246.72,21299
2021-05-14,ESS,246.22,247.68,245.13,246.52,17403
2021-05-17,ESS,246.26,247.78,246.23,246.34,7535
2021-05-18,ESS,245.88,249.88,245.41,248.77,9971
2021-05-19,ESS,245.67,246.26,242.23,243.72,13460
