date,tic,open,high,low,close,volume
2021-01-04,ETN,111.7,112.79,109.38,110.18,108431
2021-01-05,ETN,110.09,111.81,110.09,111.34,65333
2021-01-06,ETN,113.39,119.09,113.36,117.28,250105
2021-01-07,ETN,118.72,120.58,117.36,119.78,102221
2021-01-08,ETN,120.12,120.32,116.12,117.83,282711
2021-01-11,ETN,116.14,118.54,116.13,117.67,62443
2021-01-12,ETN,118.02,119.21,117.12,119.16,66205
2021-01-13,ETN,118.51,119.09,116.3,116.33,237930
2021-01-14,ETN,117.16,117.35,115.24,115.67,200082
2021-01-15,ETN,114.23,114.49,112.32,114.31,103695
2021-01-19,ETN,115.6,117.75,115.34,116.46,126828
2021-01-20,ETN,116.5,117.34,115.47,116.98,89668
2021-01-21,ETN,117.03,117.71,115.96,116.17,51024
2021-01-22,ETN,115.23,116.01,114.14,115.38,57096
2021-01-25,ETN,115.12,115.27,112.62,113.03,90186
2021-01-26,ETN,113.55,113.66,111.83,112.04,41215
2021-01-27,ETN,110.13,110.13,105.88,106.54,106164
2021-01-28,ETN,107.62,111.06,107.3,109.83,97864
2021-01-29,ETN,109.24,112.69,108.39,109.16,130676
2021-02-01,ETN,110.83,113.3,109.85,112.86,135721
2021-02-02,ETN,112.92,114.49,110.16,111.79,214682
2021-02-03,ETN,112.09,112.57,110.43,110.99,122135
2021-02-04,ETN,111.32,112.12,110.47,111.91,107078
2021-02-05,ETN,113.23,113.83,111.51,113.11,127578
2021-02-08,ETN,114.02,114.02,110.85,111.57,88875
2021-02-09,ETN,111.53,111.84,110.1,111.18,106967
2021-02-10,ETN,112.63,113.93,112.16,112.96,208385
2021-02-11,ETN,113.65,115.0,112.74,114.67,157870
2021-02-12,ETN,114.01,115.25,113.5,115.12,91465
2021-02-16,ETN,116.72,117.26,115.96,115.96,133558
2021-02-17,ETN,114.8,116.28,114.49,115.97,66939
2021-02-18,ETN,115.9,116.6,115.23,116.13,64984
2021-02-19,ETN,116.95,119.39,116.95,118.57,150494
2021-02-22,ETN,118.22,122.21,117.57,121.38,198853
2021-02-23,ETN,121.3,122.0,118.36,121.54,271742
2021-02-24,ETN,121.86,124.2,121.59,123.14,213057
2021-02-25,ETN,123.31,123.91,120.36,120.78,155604
2021-02-26,ETN,121.01,122.52,119.36,120.9,187616
2021-03-01,ETN,122.59,125.99,122.55,124.47,91941
2021-03-02,ETN,124.79,125.19,123.8,124.3,94559
2021-03-03,ETN,126.86,128.13,125.55,125.79,170318
2021-03-04,ETN,125.18,126.61,121.99,124.8,166139
2021-03-05,ETN,126.26,127.97,122.75,127.57,150618
2021-03-08,ETN,128.88,130.88,128.01,129.48,148829
2021-03-09,ETN,129.68,129.8,126.44,126.54,163222
2021-03-10,ETN,126.9,130.21,126.41,129.11,125711
2021-03-11,ETN,129.69,131.15,128.96,129.2,78049
2021-03-12,ETN,129.91,130.81,129.44,130.62,66573
2021-03-15,ETN,129.07,130.24,127.41,130.24,202500
2021-03-16,ETN,129.95,130.17,126.73,127.67,150795
2021-03-17,ETN,127.91,129.12,126.97,128.76,110995
2021-03-18,ETN,129.51,130.38,127.54,127.76,152412
2021-03-19,ETN,127.35,127.48,124.29,124.34,227730
2021-03-22,ETN,124.61,126.25,123.39,125.85,148987
2021-03-23,ETN,124.78,126.72,123.53,124.03,85672
2021-03-24,ETN,125.03,127.06,124.99,125.42,79635
2021-03-25,ETN,124.79,127.29,123.06,126.71,77319
2021-03-26,ETN,127.6,129.55,127.23,129.46,118977
2021-03-29,ETN,129.14,130.17,128.52,129.13,135539
2021-03-30,ETN,129.26,130.77,129.26,130.23,82567
2021-03-31,ETN,130.86,131.64,128.99,129.06,121534
2021-04-01,ETN,129.6,130.38,128.71,130.21,135599
2021-04-05,ETN,131.57,133.62,131.34,132.84,90577
2021-04-06,ETN,132.86,133.56,131.44,131.66,55251
2021-04-07,ETN,131.22,132.0,130.38,130.94,85948
2021-04-08,ETN,130.8,131.12,129.51,130.51,112327
2021-04-09,ETN,131.28,131.51,129.8,131.0,107861
2021-04-12,ETN,131.02,132.11,130.93,131.82,82488
2021-04-13,ETN,130.98,131.01,129.18,130.49,39620
2021-04-14,ETN,130.69,131.67,130.69,130.79,76533
2021-04-15,ETN,131.46,131.59,130.53,131.37,97144
2021-04-16,ETN,132.87,133.44,131.0,131.73,93513
2021-04-20,ETN,130.88,130.88,128.37,129.2,105333
2021-04-21,ETN,129.48,132.05,129.05,132.04,87512
2021-04-22,ETN,132.67,132.99,131.5,132.0,142074
2021-04-23,ETN,132.36,134.02,131.89,133.35,73916
2021-04-26,ETN,133.94,134.77,133.48,133.72,62175
2021-04-27,ETN,133.75,135.26,133.01,134.97,104575
2021-04-28,ETN,134.7,136.07,134.2,134.82,131033
2021-04-29,ETN,135.4,136.09,133.99,135.33,96630
2021-04-30,ETN,134.31,134.73,133.12,133.39,85450
2021-05-03,ETN,134.88,135.61,133.52,134.75,89768
2021-05-04,ETN,133.59,135.32,131.87,134.95,244624
2021-05-05,ETN,135.12,136.67,133.65,135.67,166136
2021-05-06,ETN,135.72,136.65,134.98,136.65,129136
2021-05-07,ETN,135.11,138.32,134.91,137.63,82749
2021-05-10,ETN,138.2,139.34,137.51,137.61,65741
2021-05-11,ETN,136.35,136.98,134.71,136.04,83743
2021-05-12,ETN,135.53,136.27,133.72,134.0,112541
2021-05-13,ETN,133.75,137.64,133.75,136.66,136126
2021-05-14,ETN,137.65,139.36,137.38,138.95,87823
2021-05-17,ETN,139.17,139.17,137.72,138.22,36214
2021-05-18,ETN,138.05,138.05,135.42,135.42,31735
2021-05-19,ETN,133.54,134.26,131.84,133.91,85443
2021-05-20,ETN,134.11,134.84,133.08,134.68,67181
2021-05-21,ETN,136.17,136.45,133.93,134.52,103090
2021-05-24,ETN,135.13,135.47,133.8,134.77,39700
2021-05-25,ETN,135.32,135.67,133.48,133.92,117123
2021-05-26,ETN,134.3,134.72,133.32,133.93,42782
2021-05-27,ETN,135.54,136.34,135.35,135.64,73349
2021-05-28,ETN,136.27,136.4,135.43,136.23,29662
2021-06-01,ETN,137.11,137.89,136.55,137.18,66786
2021-06-02,ETN,137.15,137.7,136.38,136.92,52147
2021-06-03,ETN,136.82,137.92,135.6,137.34,49347
2021-06-04,ETN,138.0,139.6,137.85,139.29,46342
2021-06-07,ETN,139.6,139.69,136.8,137.79,54012
2021-06-08,ETN,137.65,138.75,136.34,138.0,30495
2021-06-09,ETN,137.77,137.91,136.87,137.29,26451
2021-06-10,ETN,138.0,138.45,136.98,137.75,64744
2021-06-11,ETN,138.01,138.88,136.62,137.5,27728
2021-06-14,ETN,137.42,137.57,135.88,136.94,72612
2021-06-15,ETN,137.21,138.63,136.42,138.61,59115
2021-06-16,ETN,138.04,139.41,136.85,137.34,81844
2021-06-17,ETN,136.94,137.27,132.19,133.73,97580
2021-06-18,ETN,131.64,132.37,130.54,130.6,113607
2021-06-21,ETN,131.84,134.67,131.84,134.19,65472
2021-06-22,ETN,134.2,134.96,133.16,133.92,44607
2021-06-23,ETN,134.55,136.52,134.22,135.42,66517
2021-06-24,ETN,136.19,136.9,135.43,136.64,56472
2021-06-25,ETN,137.19,138.24,137.06,137.59,65408
2021-06-28,ETN,137.45,137.68,135.87,137.37,63270
2021-06-29,ETN,138.21,138.63,137.35,137.39,51123
2021-06-30,ETN,137.08,139.26,136.79,139.02,75707
2021-07-01,ETN,140.46,141.32,140.09,140.8,68218
2021-07-02,ETN,140.48,142.04,140.25,142.01,55182
2021-07-06,ETN,141.8,141.8,138.33,140.39,48823
2021-07-07,ETN,140.18,142.79,140.18,142.69,85971
2021-07-08,ETN,141.02,142.34,140.26,141.11,101179
2021-07-09,ETN,143.07,144.62,142.96,143.98,61729
2021-07-12,ETN,143.02,145.56,142.92,145.43,69936
2021-07-13,ETN,145.13,145.55,144.24,144.49,77122
2021-07-14,ETN,144.91,145.96,139.11,143.84,214377
2021-07-15,ETN,143.07,144.84,143.07,144.31,69871
