date,tic,open,high,low,close,volume
2021-02-10,EXE,40.11,40.11,35.29,36.57,71349
2021-02-11,EXE,35.94,36.2,34.48,34.58,76292
2021-02-12,EXE,34.6,34.89,34.09,34.24,69069
2021-02-16,EXE,36.1,36.1,34.52,34.96,38187
2021-02-17,EXE,35.37,35.68,34.89,35.49,138155
2021-02-18,EXE,35.41,36.07,34.4,34.63,61451
2021-02-19,EXE,34.52,35.75,34.52,35.21,43512
2021-02-22,EXE,35.97,35.97,35.1,35.14,68243
2021-02-23,EXE,34.7,35.01,33.71,34.95,84446
2021-02-24,EXE,34.5,36.14,34.28,36.1,50916
2021-02-25,EXE,36.48,36.48,35.45,36.1,62885
2021-02-26,EXE,35.81,35.93,34.82,35.31,35265
2021-03-01,EXE,35.65,36.25,35.39,35.79,67501
2021-03-02,EXE,36.25,37.43,36.05,36.33,78032
2021-03-03,EXE,37.01,38.21,36.39,37.89,37519
2021-03-04,EXE,38.54,38.54,36.8,37.04,59195
2021-03-05,EXE,37.25,37.42,35.39,36.14,30426
2021-03-08,EXE,36.14,36.14,34.56,35.48,30545
2021-03-09,EXE,35.23,35.96,35.2,35.46,15707
2021-03-10,EXE,35.43,35.98,35.41,35.87,33828
2021-03-11,EXE,35.86,36.74,35.82,36.37,53071
2021-03-12,EXE,36.67,37.09,36.01,36.67,61325
2021-03-15,EXE,36.92,37.03,36.24,36.72,71450
2021-03-16,EXE,36.72,36.8,35.33,35.91,47502
2021-03-17,EXE,35.93,36.58,35.48,36.3,47290
2021-03-18,EXE,36.1,36.1,34.69,34.92,51882
2021-03-19,EXE,34.81,35.01,34.55,34.88,52888
2021-03-22,EXE,34.7,34.76,33.69,34.3,24244
2021-03-23,EXE,33.91,34.25,33.17,33.42,16426
2021-03-24,EXE,33.54,34.24,33.29,33.54,23243
2021-03-25,EXE,32.86,33.87,32.09,33.84,40235
2021-03-26,EXE,33.97,34.68,33.97,34.68,22529
2021-03-29,EXE,34.73,34.73,34.01,34.12,9403
2021-03-30,EXE,33.69,34.81,33.39,34.61,26952
2021-03-31,EXE,34.35,35.59,34.34,34.9,27790
2021-04-01,EXE,35.51,36.63,35.5,36.02,29170
2021-04-05,EXE,35.27,36.2,34.91,35.83,36919
2021-04-06,EXE,35.95,36.77,35.64,36.24,39597
2021-04-07,EXE,36.46,36.64,35.8,36.2,59214
2021-04-08,EXE,36.27,36.58,35.95,36.3,54278
2021-04-09,EXE,36.27,36.76,35.73,36.55,44842
2021-04-12,EXE,36.73,36.73,36.32,36.34,73310
2021-04-13,EXE,36.5,36.63,36.35,36.44,12723
2021-04-14,EXE,36.55,37.14,36.34,37.06,31471
2021-04-15,EXE,36.91,37.36,36.43,37.03,30502
2021-04-16,EXE,36.84,37.61,36.36,36.54,31191
2021-04-19,EXE,36.75,37.13,36.66,36.76,33417
2021-04-20,EXE,36.84,36.99,35.62,36.73,32660
2021-04-21,EXE,36.26,37.37,36.26,37.06,78556
2021-04-22,EXE,36.99,37.6,36.88,36.97,50711
2021-04-23,EXE,37.09,37.78,37.05,37.25,24297
2021-04-26,EXE,37.27,37.97,37.11,37.67,24875
2021-04-27,EXE,37.6,38.0,37.27,37.7,52414
2021-04-28,EXE,37.58,37.78,36.9,36.97,44393
2021-04-29,EXE,37.11,38.39,36.79,37.61,55029
2021-04-30,EXE,38.02,38.02,36.4,36.53,30330
2021-05-03,EXE,36.94,37.35,36.55,37.17,42406
2021-05-04,EXE,36.93,37.28,36.59,36.89,22664
2021-05-05,EXE,36.98,38.17,36.98,37.48,72925
2021-05-06,EXE,37.98,38.36,37.63,38.09,84885
2021-05-07,EXE,38.11,39.68,38.11,39.4,87556
2021-05-10,EXE,39.92,39.98,39.57,39.73,42542
2021-05-11,EXE,39.33,39.86,38.68,39.49,81837
2021-05-12,EXE,41.65,41.9,38.77,39.66,162899
2021-05-13,EXE,40.01,40.56,38.65,39.66,64802
2021-05-14,EXE,39.23,39.9,39.09,39.22,154985
2021-05-17,EXE,39.56,40.38,39.17,40.13,112415
2021-05-18,EXE,40.96,41.71,40.65,41.12,160349
2021-05-19,EXE,40.6,41.09,40.19,40.88,51732
2021-05-20,EXE,40.72,41.15,40.44,40.52,51251
2021-05-21,EXE,40.68,40.89,40.25,40.7,67834
2021-05-24,EXE,40.65,41.11,40.36,40.8,82239
2021-05-25,EXE,40.75,41.19,40.36,40.67,54478
2021-05-26,EXE,40.59,42.88,40.59,42.65,108318
2021-05-27,EXE,42.85,42.89,41.64,42.78,68050
2021-05-28,EXE,42.82,42.94,42.25,42.64,85476
2021-06-01,EXE,43.35,44.4,42.92,44.3,80339
2021-06-02,EXE,44.33,44.33,43.05,43.12,39432
2021-06-03,EXE,42.79,43.47,42.42,43.12,58394
2021-06-04,EXE,43.24,44.13,42.81,43.92,53958
2021-06-07,EXE,44.45,45.26,44.16,44.85,140123
2021-06-08,EXE,44.37,45.13,43.94,44.89,93851
2021-06-09,EXE,44.51,44.95,44.02,44.77,54704
2021-06-10,EXE,44.75,45.06,44.22,44.87,59327
2021-06-11,EXE,45.27,45.62,44.86,45.39,93137
2021-06-14,EXE,45.71,45.71,44.82,45.09,152016
2021-06-15,EXE,45.2,45.32,44.77,45.14,173062
2021-06-16,EXE,45.2,45.2,43.5,43.65,49297
2021-06-17,EXE,43.25,43.65,42.02,43.41,111667
2021-06-18,EXE,42.86,43.39,42.6,42.85,127786
