date,tic,open,high,low,close,volume
2021-01-04,EXPD,90.48,90.48,86.66,87.17,64582
2021-01-05,EXPD,87.35,87.36,86.28,86.93,34200
2021-01-06,EXPD,86.52,89.05,86.52,88.8,44804
2021-01-07,EXPD,89.49,89.95,88.53,88.92,43068
2021-01-08,EXPD,89.62,90.41,88.61,89.14,58712
2021-01-11,EXPD,88.95,89.65,88.7,88.75,38949
2021-01-12,EXPD,88.08,91.79,88.08,91.68,119771
2021-01-13,EXPD,90.54,90.87,88.93,89.41,104367
2021-01-14,EXPD,90.05,90.83,88.98,89.18,70929
2021-01-15,EXPD,88.62,88.78,86.91,88.0,69208
2021-01-19,EXPD,88.39,88.7,87.33,87.86,47746
2021-01-20,EXPD,88.01,89.16,87.52,88.91,84765
2021-01-21,EXPD,88.89,89.83,88.84,88.85,63792
2021-01-22,EXPD,88.8,89.59,87.68,88.69,248072
2021-01-25,EXPD,88.67,89.32,87.34,88.77,139530
2021-01-26,EXPD,89.21,90.09,88.75,89.2,69818
2021-01-27,EXPD,88.06,89.29,86.58,88.73,89763
2021-01-28,EXPD,88.62,89.03,87.8,87.91,65460
2021-01-29,EXPD,87.44,87.52,84.42,84.52,48928
2021-02-01,EXPD,84.78,85.55,83.94,85.48,42697
2021-02-02,EXPD,85.97,86.98,85.59,85.6,31752
2021-02-03,EXPD,85.76,86.21,85.29,86.09,30239
2021-02-04,EXPD,85.49,86.52,85.09,86.19,33151
2021-02-05,EXPD,86.72,87.81,86.28,87.73,95371
2021-02-08,EXPD,87.93,89.37,87.87,89.37,110644
2021-02-09,EXPD,90.05,91.71,89.54,91.54,87401
2021-02-10,EXPD,91.74,92.58,91.4,92.11,257528
2021-02-11,EXPD,92.4,92.87,89.86,90.52,155521
2021-02-12,EXPD,90.41,91.44,90.29,91.24,28844
2021-02-16,EXPD,90.41,91.35,87.12,88.28,72479
2021-02-17,EXPD,87.89,89.2,86.88,89.1,151239
2021-02-18,EXPD,87.34,89.23,87.32,88.96,38435
2021-02-19,EXPD,89.53,89.91,88.01,88.23,40388
2021-02-22,EXPD,87.51,88.69,86.4,87.99,72529
2021-02-23,EXPD,87.25,87.25,86.07,86.6,71443
2021-02-24,EXPD,86.71,87.26,86.3,86.99,81768
2021-02-25,EXPD,87.07,88.18,86.41,86.83,105691
2021-02-26,EXPD,86.63,87.63,86.25,86.79,52269
2021-03-01,EXPD,86.98,89.03,86.98,88.47,36507
2021-03-02,EXPD,88.38,89.49,87.82,89.21,49285
2021-03-03,EXPD,89.07,89.84,88.05,88.12,66544
2021-03-04,EXPD,88.4,88.9,87.27,88.04,73356
2021-03-05,EXPD,88.75,91.21,88.28,91.17,56817
2021-03-08,EXPD,91.2,93.25,90.82,91.03,70674
2021-03-09,EXPD,91.87,93.33,91.81,92.08,81400
2021-03-10,EXPD,92.2,93.11,91.46,92.08,58723
2021-03-11,EXPD,91.98,93.82,91.98,93.55,39411
2021-03-12,EXPD,94.11,95.03,93.61,94.91,22354
2021-03-15,EXPD,95.31,97.03,95.22,97.03,77650
2021-03-16,EXPD,97.14,97.51,96.07,96.17,41339
2021-03-17,EXPD,95.69,97.0,95.28,96.83,29854
2021-03-18,EXPD,96.74,98.8,96.47,98.01,51991
