date,tic,open,high,low,close,volume
2021-01-04,EXPE,133.43,134.6,127.36,130.45,141625
2021-01-05,EXPE,130.79,136.79,130.74,136.07,132009
2021-01-06,EXPE,136.84,146.32,135.92,142.34,296672
2021-01-07,EXPE,141.89,143.31,138.86,141.17,115107
2021-01-08,EXPE,142.56,143.47,139.91,142.9,66007
2021-01-11,EXPE,139.2,143.13,139.16,141.76,84719
2021-01-12,EXPE,141.71,142.82,139.79,139.79,82066
2021-01-13,EXPE,139.07,139.92,137.49,139.55,106750
2021-01-14,EXPE,140.59,145.22,140.34,143.03,115492
2021-01-15,EXPE,143.0,143.0,139.13,139.49,88332
2021-01-19,EXPE,141.32,142.4,139.22,141.66,78816
2021-01-20,EXPE,140.49,142.77,137.28,140.71,119774
2021-01-21,EXPE,141.3,141.3,134.92,137.76,198936
2021-01-22,EXPE,137.43,139.09,135.41,135.44,197591
2021-01-25,EXPE,134.04,137.33,125.26,134.89,642470
2021-01-26,EXPE,136.2,136.2,128.96,130.38,144277
2021-01-27,EXPE,127.54,129.42,117.63,122.15,418462
2021-01-28,EXPE,125.35,129.07,123.59,125.73,592122
2021-01-29,EXPE,124.53,125.13,119.63,123.2,289513
2021-02-01,EXPE,125.12,128.45,124.66,126.19,256867
2021-02-02,EXPE,128.42,135.67,128.24,135.02,451113
2021-02-03,EXPE,136.27,139.73,136.13,137.44,314113
2021-02-04,EXPE,140.52,141.66,138.89,140.77,135856
2021-02-05,EXPE,142.16,144.49,139.26,140.21,124722
2021-02-08,EXPE,141.13,144.92,141.07,144.26,143670
2021-02-09,EXPE,143.33,144.67,142.04,143.34,139486
2021-02-10,EXPE,144.41,150.54,144.41,147.7,173481
2021-02-11,EXPE,147.92,151.78,145.81,149.06,234988
2021-02-12,EXPE,147.09,150.22,144.4,145.28,451190
2021-02-16,EXPE,145.09,147.66,142.2,146.57,365456
2021-02-17,EXPE,145.25,154.21,143.83,152.87,255552
2021-02-18,EXPE,149.48,156.1,149.15,155.39,140948
2021-02-19,EXPE,156.46,160.79,155.88,157.7,198800
2021-02-22,EXPE,157.2,165.17,156.77,159.31,238493
2021-02-23,EXPE,157.94,159.56,151.87,158.64,246428
2021-02-24,EXPE,158.73,163.25,158.47,161.51,153456
2021-02-25,EXPE,162.83,162.83,154.94,155.94,208378
2021-02-26,EXPE,157.08,163.49,153.41,159.69,165768
2021-03-01,EXPE,162.91,164.18,158.17,159.92,157692
2021-03-02,EXPE,160.27,163.01,158.74,159.03,106107
2021-03-03,EXPE,159.95,164.76,157.17,162.33,207027
2021-03-04,EXPE,161.44,162.56,153.65,157.04,270964
2021-03-05,EXPE,159.12,166.36,154.98,165.17,319976
2021-03-08,EXPE,165.64,170.13,164.06,166.76,220653
2021-03-09,EXPE,167.67,168.19,161.7,164.5,201034
2021-03-10,EXPE,167.92,171.72,164.19,166.16,242913
2021-03-11,EXPE,168.12,173.83,167.5,169.68,295033
2021-03-12,EXPE,169.33,174.76,168.59,173.1,208479
2021-03-15,EXPE,175.16,175.78,170.07,175.78,141888
2021-03-16,EXPE,176.55,177.03,173.46,174.97,210835
2021-03-17,EXPE,174.62,183.97,174.23,183.8,266787
2021-03-18,EXPE,182.48,186.33,179.2,179.4,264567
2021-03-19,EXPE,178.14,179.46,173.74,178.55,144688
2021-03-22,EXPE,176.76,178.03,171.06,171.84,175474
2021-03-23,EXPE,169.12,171.18,164.48,166.99,267654
2021-03-24,EXPE,167.7,171.05,164.66,164.78,174154
2021-03-25,EXPE,162.12,173.6,161.76,173.32,284599
2021-03-26,EXPE,174.63,176.26,169.74,175.05,211697
2021-03-29,EXPE,175.14,177.9,172.11,174.49,173272
2021-03-30,EXPE,175.89,175.89,172.09,174.44,248239
2021-03-31,EXPE,175.18,175.77,170.65,170.68,174617
2021-04-01,EXPE,171.91,174.58,169.56,174.58,155831
2021-04-05,EXPE,176.4,176.88,173.23,174.5,130508
2021-04-06,EXPE,173.2,176.11,172.77,173.26,121909
2021-04-07,EXPE,173.08,173.78,169.1,170.63,122019
2021-04-08,EXPE,169.82,174.0,169.08,173.31,128262
2021-04-09,EXPE,173.86,174.08,169.55,173.51,140741
2021-04-12,EXPE,173.07,173.7,168.22,170.32,93932
2021-04-13,EXPE,170.03,171.04,166.45,169.55,100218
2021-04-14,EXPE,170.53,173.53,169.96,170.16,161082
2021-04-15,EXPE,170.5,170.95,167.88,169.18,118261
2021-04-16,EXPE,170.0,173.31,169.86,172.49,132086
2021-04-19,EXPE,171.12,176.44,171.12,174.16,153234
2021-04-20,EXPE,172.91,172.91,165.45,168.96,189940
2021-04-21,EXPE,169.08,175.08,167.86,174.93,143985
2021-04-22,EXPE,174.96,178.43,173.62,174.2,107120
2021-04-23,EXPE,175.15,177.14,173.83,176.19,76906
2021-04-26,EXPE,177.92,180.05,175.01,175.19,66389
2021-04-27,EXPE,176.33,178.03,174.64,175.67,81954
2021-04-28,EXPE,175.08,178.12,175.08,176.1,98330
2021-04-29,EXPE,177.23,178.59,173.8,176.48,80523
2021-04-30,EXPE,176.3,176.67,173.34,174.88,57320
2021-05-03,EXPE,177.04,178.04,173.07,173.15,118823
2021-05-04,EXPE,173.54,174.13,169.23,172.11,127315
2021-05-05,EXPE,173.12,174.8,168.66,169.52,124074
2021-05-06,EXPE,168.67,168.94,161.31,163.73,203033
2021-05-07,EXPE,173.85,178.55,170.73,172.17,382726
2021-05-10,EXPE,172.3,175.97,169.66,171.77,291627
2021-05-11,EXPE,168.15,171.88,166.5,170.98,187190
2021-05-12,EXPE,169.88,170.06,160.41,160.78,243508
2021-05-13,EXPE,163.14,167.6,162.45,166.51,266255
2021-05-14,EXPE,168.65,171.58,167.03,170.28,166164
2021-05-17,EXPE,168.5,168.61,165.5,168.14,152074
2021-05-18,EXPE,168.63,170.61,166.82,166.86,160326
2021-05-19,EXPE,163.64,166.4,162.94,165.61,115666
2021-05-20,EXPE,165.75,168.77,165.16,167.61,116163
2021-05-21,EXPE,168.67,169.7,165.85,166.62,131451
2021-05-24,EXPE,167.15,170.9,166.67,169.74,115009
2021-05-25,EXPE,172.3,174.09,170.49,171.71,131753
2021-05-26,EXPE,171.63,173.72,171.18,173.39,120450
2021-05-27,EXPE,173.66,173.78,171.41,172.94,98924
2021-05-28,EXPE,172.3,176.67,171.74,175.59,79128
2021-06-01,EXPE,177.35,177.85,175.48,175.87,103377
2021-06-02,EXPE,176.52,176.69,173.56,173.77,104528
2021-06-03,EXPE,172.51,172.64,168.96,169.31,116637
2021-06-04,EXPE,170.45,171.94,169.7,170.01,83953
2021-06-07,EXPE,171.05,171.05,167.11,169.06,141713
2021-06-08,EXPE,169.31,171.74,169.18,171.27,94108
2021-06-09,EXPE,171.35,172.62,170.41,171.35,78768
