date,tic,open,high,low,close,volume
2021-01-04,EXR,95.79,95.79,91.09,91.15,66273
2021-01-05,EXR,90.92,91.4,89.76,89.9,37682
2021-01-06,EXR,89.42,90.38,88.24,89.88,52043
2021-01-07,EXR,89.33,90.15,89.07,90.05,42098
2021-01-08,EXR,90.46,92.72,90.46,92.53,40776
2021-01-11,EXR,92.4,92.4,91.15,92.03,25692
2021-01-12,EXR,91.37,93.07,91.37,92.6,34394
2021-01-13,EXR,91.94,93.19,91.9,92.48,41690
2021-01-14,EXR,92.52,92.52,90.56,91.16,49256
2021-01-15,EXR,91.31,92.8,90.88,92.59,47727
2021-01-19,EXR,92.57,93.03,91.74,92.33,32404
2021-01-20,EXR,92.44,95.2,92.22,94.91,30842
2021-01-21,EXR,93.91,95.2,93.83,94.8,40715
2021-01-22,EXR,94.54,95.8,94.54,95.36,56965
2021-01-25,EXR,95.03,96.54,94.43,95.74,33139
2021-01-26,EXR,95.93,97.07,95.45,96.71,36194
2021-01-27,EXR,95.89,97.45,94.62,95.1,53757
2021-01-28,EXR,94.33,95.6,93.62,93.64,32662
2021-01-29,EXR,92.62,95.25,92.56,94.06,29476
2021-02-01,EXR,94.48,96.43,93.38,96.38,57619
2021-02-02,EXR,96.16,97.17,95.2,96.73,44737
2021-02-03,EXR,95.91,96.42,94.68,95.84,32834
2021-02-04,EXR,96.27,97.6,95.99,96.74,21920
2021-02-05,EXR,96.4,96.93,96.07,96.41,21188
2021-02-08,EXR,95.88,96.87,95.65,96.74,16395
2021-02-09,EXR,97.34,98.93,96.93,98.89,17709
2021-02-10,EXR,99.54,99.74,97.22,97.74,31268
2021-02-11,EXR,97.85,97.85,96.78,97.33,44393
2021-02-12,EXR,97.03,97.03,95.83,96.63,33606
2021-02-16,EXR,96.78,96.85,95.18,96.85,46637
2021-02-17,EXR,96.98,97.84,96.34,97.38,42094
2021-02-18,EXR,97.16,99.07,97.16,97.82,62503
2021-02-19,EXR,97.8,99.44,97.19,98.82,77202
2021-02-22,EXR,98.87,100.57,97.84,99.81,62587
2021-02-23,EXR,103.62,107.27,103.62,104.55,76254
2021-02-24,EXR,104.59,107.03,104.21,105.09,61249
2021-02-25,EXR,105.64,108.72,105.64,107.03,74463
2021-02-26,EXR,106.52,107.36,103.79,103.79,51947
2021-03-01,EXR,105.8,106.13,102.31,102.31,40142
