date,tic,open,high,low,close,volume
2021-01-04,FAST,21.73,21.84,20.92,21.12,333216
2021-01-05,FAST,21.04,21.44,21.0,21.39,155466
2021-01-06,FAST,21.32,21.87,21.26,21.76,219136
2021-01-07,FAST,21.73,22.06,21.44,22.05,292310
2021-01-08,FAST,21.99,22.54,21.99,22.49,314158
2021-01-11,FAST,22.28,22.55,22.28,22.39,201392
2021-01-12,FAST,22.31,22.99,22.31,22.89,333100
2021-01-13,FAST,22.77,22.8,22.46,22.46,223828
2021-01-14,FAST,22.54,22.58,22.15,22.3,149546
2021-01-15,FAST,22.18,22.41,21.96,22.39,215818
2021-01-19,FAST,22.6,22.65,22.12,22.34,481650
2021-01-20,FAST,22.32,22.32,21.16,21.57,756668
2021-01-21,FAST,21.59,21.76,21.2,21.35,429104
2021-01-22,FAST,21.31,21.36,21.08,21.15,547930
2021-01-25,FAST,21.08,21.38,20.81,21.34,236352
2021-01-26,FAST,21.46,21.51,20.99,21.09,190100
2021-01-27,FAST,20.85,21.25,20.59,21.19,320118
2021-01-28,FAST,21.4,21.49,20.69,20.69,425678
2021-01-29,FAST,20.55,20.81,20.19,20.19,348694
2021-02-01,FAST,20.48,20.71,20.41,20.57,282422
2021-02-02,FAST,20.78,20.92,20.45,20.73,390614
2021-02-03,FAST,20.64,21.05,20.56,20.96,195176
2021-02-04,FAST,20.79,21.03,20.46,21.02,514888
2021-02-05,FAST,21.12,21.22,20.94,21.1,195536
2021-02-08,FAST,21.19,21.37,21.11,21.15,173406
2021-02-09,FAST,21.12,21.13,20.79,21.09,146934
2021-02-10,FAST,21.25,21.33,20.99,21.25,177412
2021-02-11,FAST,21.27,21.37,20.85,20.99,127216
2021-02-12,FAST,20.99,21.13,20.96,21.13,72116
2021-02-16,FAST,21.19,21.22,20.76,20.79,176906
2021-02-17,FAST,20.77,20.97,20.69,20.93,216826
2021-02-18,FAST,20.76,21.22,20.75,21.08,198612
2021-02-19,FAST,21.1,21.36,21.04,21.06,147638
2021-02-22,FAST,20.89,20.98,20.63,20.64,226992
2021-02-23,FAST,20.61,20.91,20.4,20.87,196490
2021-02-24,FAST,20.79,21.0,20.5,20.92,385046
2021-02-25,FAST,20.87,21.07,20.59,20.63,165384
2021-02-26,FAST,20.73,20.9,20.52,20.71,221804
2021-03-01,FAST,20.83,21.74,20.83,21.61,528664
2021-03-02,FAST,21.57,21.58,21.09,21.17,185990
2021-03-03,FAST,21.13,21.24,20.71,20.71,374432
