date,tic,open,high,low,close,volume
2021-01-04,FCX,25.53,26.0,24.8,25.44,619498
2021-01-05,FCX,25.49,26.77,25.41,26.57,769528
2021-01-06,FCX,27.44,28.59,27.05,28.27,1211805
2021-01-07,FCX,29.08,29.77,28.75,29.22,889481
2021-01-08,FCX,29.13,29.36,28.23,29.22,689385
2021-01-11,FCX,27.6,28.62,26.29,28.42,673346
2021-01-12,FCX,28.56,29.12,27.95,29.07,749736
2021-01-13,FCX,28.97,29.25,28.57,28.63,483892
2021-01-14,FCX,29.05,30.44,29.03,29.97,773275
2021-01-15,FCX,29.34,29.44,28.19,28.45,600343
2021-01-19,FCX,28.92,29.89,28.72,29.7,576766
2021-01-20,FCX,30.06,30.34,28.96,29.02,495378
2021-01-21,FCX,29.11,29.29,28.04,28.16,439220
2021-01-22,FCX,27.5,28.7,27.09,28.56,525289
2021-01-25,FCX,28.49,28.68,26.28,27.18,916303
2021-01-26,FCX,27.62,27.88,25.09,25.31,1157051
2021-01-27,FCX,24.36,24.72,23.16,24.15,1393994
2021-01-28,FCX,24.75,26.28,24.75,26.03,1061725
2021-01-29,FCX,26.16,26.4,24.85,25.21,722237
2021-02-01,FCX,26.52,26.77,25.83,26.45,1045673
2021-02-02,FCX,26.45,26.55,25.7,26.38,608355
2021-02-03,FCX,26.71,27.42,26.63,27.36,716659
2021-02-04,FCX,27.37,27.92,27.26,27.92,575830
2021-02-05,FCX,28.36,29.89,28.36,29.72,1437888
2021-02-08,FCX,30.02,30.29,29.74,30.1,841637
2021-02-09,FCX,29.83,30.09,29.07,30.0,865858
2021-02-10,FCX,30.91,31.82,29.16,29.27,1513198
2021-02-11,FCX,29.24,29.65,28.65,29.04,512616
2021-02-12,FCX,28.89,29.56,28.67,29.26,495087
2021-02-16,FCX,30.48,31.0,30.2,30.83,1462433
2021-02-17,FCX,31.12,32.32,30.62,32.02,1092329
2021-02-18,FCX,32.22,32.68,31.45,32.0,675035
2021-02-19,FCX,32.83,35.3,32.83,35.12,1555374
2021-02-22,FCX,35.54,36.63,34.98,35.7,1262115
2021-02-23,FCX,34.82,35.59,32.69,35.47,784395
2021-02-24,FCX,35.36,35.72,34.28,35.51,907955
2021-02-25,FCX,35.3,35.58,32.99,33.47,845114
2021-02-26,FCX,32.47,33.16,31.06,31.78,1304094
2021-03-01,FCX,32.9,33.13,32.09,32.69,650386
2021-03-02,FCX,32.83,33.92,32.72,32.98,582704
2021-03-03,FCX,32.86,33.74,32.36,32.79,725525
2021-03-04,FCX,31.83,32.56,29.54,30.63,1756023
2021-03-05,FCX,31.6,32.97,30.45,32.83,1641681
2021-03-08,FCX,32.45,33.24,31.72,32.25,1168583
2021-03-09,FCX,31.21,32.01,30.71,31.75,878808
2021-03-10,FCX,31.76,32.61,31.54,32.28,798983
2021-03-11,FCX,33.55,35.22,33.55,35.11,965614
2021-03-12,FCX,34.53,35.12,34.25,35.07,783131
2021-03-15,FCX,34.88,35.19,34.26,34.64,883317
2021-03-16,FCX,34.59,34.63,32.75,32.79,964216
2021-03-17,FCX,32.33,34.26,31.88,33.85,1024785
2021-03-18,FCX,33.72,34.8,33.06,33.19,832533
2021-03-19,FCX,32.83,33.13,31.73,32.78,899638
