date,tic,open,high,low,close,volume
2021-01-04,FDX,236.45,236.63,228.1,230.16,147380
2021-01-05,FDX,228.53,231.46,227.3,230.09,148107
2021-01-06,FDX,228.3,235.28,228.3,230.37,111403
2021-01-07,FDX,230.9,232.76,223.17,223.6,320902
2021-01-08,FDX,224.0,224.49,220.32,222.61,290039
2021-01-11,FDX,220.75,223.91,220.55,222.75,206826
2021-01-12,FDX,224.08,226.78,220.82,226.35,108218
2021-01-13,FDX,227.92,230.64,225.8,229.18,115907
2021-01-14,FDX,231.2,234.69,230.48,233.02,140017
2021-01-15,FDX,232.33,232.33,228.08,229.47,72333
2021-01-19,FDX,231.27,232.83,226.25,226.65,83677
2021-01-20,FDX,228.22,229.3,225.03,229.06,90617
2021-01-21,FDX,230.75,233.62,229.4,230.75,78511
2021-01-22,FDX,229.18,232.06,227.28,230.96,56904
2021-01-25,FDX,229.31,231.41,225.91,230.11,88505
2021-01-26,FDX,230.76,231.55,226.63,226.86,92207
2021-01-27,FDX,223.02,223.78,218.8,220.39,164166
2021-01-28,FDX,222.91,223.4,220.57,220.58,185526
2021-01-29,FDX,220.81,220.81,213.35,213.76,174590
2021-02-01,FDX,215.94,217.85,213.91,217.43,146474
2021-02-02,FDX,224.07,224.07,218.9,220.34,164244
2021-02-03,FDX,220.6,220.86,217.49,219.25,192750
2021-02-04,FDX,219.53,225.49,219.03,225.49,140381
2021-02-05,FDX,228.08,232.02,226.38,231.83,112790
2021-02-08,FDX,233.25,235.64,232.28,233.93,123972
2021-02-09,FDX,233.3,236.67,230.96,235.43,74864
2021-02-10,FDX,237.65,237.86,233.17,233.87,88453
2021-02-11,FDX,234.44,234.44,228.66,231.15,85122
2021-02-12,FDX,231.13,239.04,230.92,238.98,118805
2021-02-16,FDX,239.89,241.17,237.41,238.0,97851
2021-02-17,FDX,236.26,236.5,232.21,235.33,65193
2021-02-18,FDX,232.75,234.7,230.01,232.16,89573
2021-02-19,FDX,234.35,235.46,230.63,231.36,72400
2021-02-22,FDX,230.23,233.79,230.23,231.52,77984
2021-02-23,FDX,230.22,231.88,223.21,231.44,96009
2021-02-24,FDX,231.49,237.29,231.41,236.01,92493
2021-02-25,FDX,236.43,238.82,230.15,231.0,90402
2021-02-26,FDX,231.36,233.94,228.29,231.31,78021
2021-03-01,FDX,235.26,240.93,234.87,238.1,86914
2021-03-02,FDX,238.7,239.22,235.86,235.87,61456
