date,tic,open,high,low,close,volume
2021-01-04,FE,24.85,24.94,23.88,24.02,161823
2021-01-05,FE,23.99,24.32,23.79,24.26,178250
2021-01-06,FE,24.28,24.78,24.26,24.67,184915
2021-01-07,FE,24.5,24.54,24.1,24.1,94747
2021-01-08,FE,24.12,24.39,24.04,24.34,72741
2021-01-11,FE,24.33,24.84,24.31,24.58,123216
2021-01-12,FE,24.53,24.84,24.37,24.84,82191
2021-01-13,FE,24.87,25.17,24.82,25.07,68561
2021-01-14,FE,25.05,25.55,24.94,25.43,76465
2021-01-15,FE,25.33,25.79,25.03,25.77,88101
2021-01-19,FE,25.97,25.97,25.23,25.31,125528
2021-01-20,FE,25.14,25.52,24.99,25.5,72360
2021-01-21,FE,25.41,25.45,25.26,25.28,79560
2021-01-22,FE,25.38,25.56,25.06,25.45,56386
2021-01-25,FE,25.3,25.93,25.29,25.92,89535
2021-01-26,FE,25.82,26.13,25.75,26.0,86801
2021-01-27,FE,25.75,25.8,25.0,25.08,260063
2021-01-28,FE,25.12,25.46,24.98,25.12,101491
2021-01-29,FE,25.08,25.29,24.72,25.02,188593
2021-02-01,FE,24.85,25.41,24.61,25.38,187849
2021-02-02,FE,25.5,26.39,25.28,25.97,159603
2021-02-03,FE,25.82,26.49,25.82,26.37,152764
2021-02-04,FE,26.27,26.74,26.22,26.51,143750
2021-02-05,FE,26.56,26.87,26.37,26.59,125104
2021-02-08,FE,26.53,26.98,26.31,26.41,185203
2021-02-09,FE,26.51,26.78,26.29,26.78,138130
2021-02-10,FE,26.87,26.91,25.98,26.14,201499
2021-02-11,FE,26.16,26.27,25.52,25.62,183480
2021-02-12,FE,25.61,25.85,25.54,25.72,91130
2021-02-16,FE,25.84,26.44,25.66,26.3,166666
2021-02-17,FE,26.25,26.37,25.94,26.29,199335
2021-02-18,FE,26.03,29.13,26.03,28.2,846749
2021-02-19,FE,27.99,28.18,27.53,28.02,198495
2021-02-22,FE,28.12,28.33,27.62,27.89,149807
2021-02-23,FE,28.04,28.1,27.61,27.61,173910
2021-02-24,FE,27.69,28.26,27.62,28.18,146270
2021-02-25,FE,28.16,28.4,27.52,27.61,191600
2021-02-26,FE,27.6,27.83,27.25,27.29,156961
2021-03-01,FE,27.68,28.01,27.49,27.52,127783
2021-03-02,FE,27.46,27.49,27.02,27.02,86498
2021-03-03,FE,27.05,27.14,26.57,27.08,215589
2021-03-04,FE,27.05,27.55,26.96,27.34,188098
2021-03-05,FE,27.52,27.53,26.78,27.34,190944
2021-03-08,FE,27.52,27.63,27.34,27.48,114859
2021-03-09,FE,27.82,28.34,27.79,28.18,390530
2021-03-10,FE,28.2,28.71,28.2,28.46,184082
2021-03-11,FE,28.24,28.62,28.11,28.54,128178
2021-03-12,FE,28.52,28.83,28.37,28.76,102719
2021-03-15,FE,28.92,29.12,28.65,29.03,194604
2021-03-16,FE,28.96,30.19,28.9,29.24,218917
2021-03-17,FE,29.41,29.72,28.91,28.98,233084
2021-03-18,FE,28.98,29.21,28.49,28.49,149355
2021-03-19,FE,28.51,29.13,28.12,28.69,142545
2021-03-22,FE,28.53,28.74,28.27,28.3,110645
2021-03-23,FE,28.31,28.53,28.14,28.3,224438
2021-03-24,FE,28.27,28.78,28.25,28.29,210934
2021-03-25,FE,28.26,28.31,27.91,28.22,100911
2021-03-26,FE,28.24,28.47,27.94,28.24,143218
2021-03-29,FE,28.16,28.95,28.16,28.8,133913
2021-03-30,FE,28.66,28.88,28.32,28.41,184433
2021-03-31,FE,28.39,28.65,28.34,28.57,165844
2021-04-01,FE,28.38,28.5,28.04,28.24,157221
2021-04-05,FE,28.34,28.75,28.25,28.65,171027
2021-04-06,FE,28.53,28.67,28.46,28.67,242790
2021-04-07,FE,28.75,28.96,28.6,28.84,111190
2021-04-08,FE,28.95,28.97,28.57,28.82,136635
2021-04-09,FE,28.86,28.96,28.54,28.62,55416
2021-04-12,FE,28.58,28.76,28.53,28.59,64666
2021-04-13,FE,28.54,29.0,28.44,28.95,37038
2021-04-14,FE,28.83,29.01,28.77,28.93,59952
2021-04-15,FE,28.98,29.29,28.94,29.25,76456
2021-04-16,FE,29.32,29.54,29.2,29.37,43325
2021-04-20,FE,29.61,29.96,29.56,29.87,86722
2021-04-21,FE,30.08,30.35,29.94,30.3,114900
2021-04-22,FE,30.25,30.26,29.86,29.92,51699
2021-04-23,FE,29.92,30.89,29.92,30.21,218629
2021-04-26,FE,30.2,30.38,30.04,30.21,124167
2021-04-27,FE,30.18,30.56,30.16,30.38,79161
2021-04-28,FE,30.45,30.84,30.35,30.82,76000
2021-04-29,FE,30.8,31.1,30.77,31.05,106085
2021-04-30,FE,31.12,31.23,30.9,31.21,74521
2021-05-03,FE,31.28,31.88,31.16,31.55,164522
2021-05-04,FE,31.59,31.59,30.95,31.1,195232
2021-05-05,FE,31.07,31.25,30.64,31.18,122737
2021-05-06,FE,31.31,31.31,30.64,31.13,129673
2021-05-07,FE,31.17,31.42,31.11,31.22,63405
2021-05-10,FE,31.39,31.64,31.32,31.33,67567
2021-05-11,FE,31.22,31.27,30.77,30.94,83306
2021-05-12,FE,30.83,30.97,30.25,30.32,65603
2021-05-13,FE,30.44,31.36,30.38,31.21,123558
2021-05-14,FE,31.18,31.45,31.14,31.33,65279
2021-05-17,FE,31.37,31.56,31.3,31.41,57015
2021-05-18,FE,31.28,31.48,31.16,31.32,83868
2021-05-19,FE,31.27,31.27,30.85,31.12,52624
2021-05-20,FE,31.19,31.65,31.15,31.34,71350
2021-05-21,FE,31.41,31.62,31.34,31.62,38924
2021-05-24,FE,31.75,31.76,31.54,31.58,71835
2021-05-25,FE,31.7,31.7,31.22,31.3,40458
2021-05-26,FE,31.33,31.41,31.22,31.26,58141
2021-05-27,FE,31.31,31.61,31.25,31.5,73693
2021-05-28,FE,31.51,31.58,31.34,31.54,50117
2021-06-01,FE,31.71,31.71,31.42,31.62,99491
2021-06-02,FE,31.68,31.96,31.49,31.73,110989
2021-06-03,FE,31.57,32.14,31.56,32.0,67314
2021-06-04,FE,32.0,32.12,31.81,31.89,79842
2021-06-07,FE,31.97,32.16,31.9,32.1,93719
2021-06-08,FE,32.02,32.03,31.72,31.83,69176
2021-06-09,FE,31.84,32.13,31.79,32.02,110532
2021-06-10,FE,32.12,32.14,31.92,32.13,105035
2021-06-11,FE,32.14,32.28,32.01,32.26,43111
2021-06-14,FE,32.39,32.39,32.12,32.27,53706
2021-06-15,FE,32.34,32.63,32.25,32.35,80797
2021-06-16,FE,32.45,32.48,31.65,31.74,122737
2021-06-17,FE,31.74,31.88,31.34,31.36,88602
2021-06-18,FE,31.44,31.51,30.82,30.88,166029
2021-06-21,FE,31.05,31.49,30.91,31.44,53034
2021-06-22,FE,31.4,31.6,31.18,31.18,61210
2021-06-23,FE,31.04,31.04,30.66,30.73,117607
2021-06-24,FE,30.83,30.97,30.74,30.93,102757
2021-06-25,FE,30.93,31.39,30.86,31.36,90270
2021-06-28,FE,31.45,31.82,31.36,31.68,126471
2021-06-29,FE,31.71,31.76,31.16,31.26,92405
2021-06-30,FE,31.23,31.23,30.75,30.95,129250
2021-07-01,FE,30.96,31.45,30.9,31.33,74685
2021-07-02,FE,31.41,31.41,31.09,31.19,63959
2021-07-06,FE,31.04,31.38,30.78,31.35,80515
2021-07-07,FE,31.22,31.52,31.11,31.49,77119
2021-07-08,FE,31.21,31.45,31.07,31.14,72517
2021-07-09,FE,31.3,31.3,30.91,31.22,115226
2021-07-12,FE,31.06,31.25,30.94,31.19,106872
2021-07-13,FE,31.09,31.27,30.74,30.81,133043
2021-07-14,FE,30.79,30.97,30.68,30.83,130335
2021-07-15,FE,30.79,31.15,30.74,31.13,117557
2021-07-16,FE,31.11,31.63,31.11,31.44,126717
2021-07-19,FE,31.27,31.45,30.71,31.09,102444
2021-07-20,FE,31.17,31.58,31.17,31.29,160147
2021-07-21,FE,31.38,31.45,31.17,31.23,88628
2021-07-22,FE,32.47,33.05,32.39,32.55,417329
2021-07-23,FE,32.11,32.75,31.8,32.0,336052
2021-07-26,FE,32.03,32.59,31.87,32.24,267951
2021-07-27,FE,32.24,32.53,31.8,32.35,157104
2021-07-28,FE,32.23,32.23,31.6,31.73,119811
2021-07-29,FE,31.87,31.87,31.49,31.66,63947
2021-07-30,FE,31.57,32.2,31.57,31.89,134420
2021-08-02,FE,31.9,32.18,31.82,32.0,109825
2021-08-03,FE,31.99,32.28,31.77,32.06,95658
2021-08-04,FE,31.83,31.91,31.4,31.64,75329
2021-08-05,FE,31.74,31.93,31.31,31.92,90284
2021-08-06,FE,31.86,32.04,31.77,31.79,34103
2021-08-09,FE,31.74,31.94,31.64,31.84,54726
2021-08-10,FE,31.72,31.96,31.72,31.82,45722
2021-08-11,FE,31.85,32.26,31.82,32.08,38027
2021-08-12,FE,31.93,32.27,31.89,32.22,38712
2021-08-13,FE,32.27,32.55,32.27,32.47,50575
2021-08-16,FE,32.46,32.88,32.41,32.64,46819
2021-08-17,FE,32.56,32.64,32.17,32.49,36224
2021-08-18,FE,32.45,32.45,31.95,32.11,67087
2021-08-19,FE,32.15,32.85,32.15,32.75,158231
2021-08-20,FE,32.56,32.86,32.46,32.86,59293
2021-08-23,FE,32.84,32.91,32.46,32.61,72731
2021-08-24,FE,32.52,32.54,32.2,32.48,54969
2021-08-25,FE,32.38,32.92,32.36,32.77,41549
2021-08-26,FE,32.73,32.73,32.33,32.39,41735
2021-08-27,FE,32.27,32.58,32.27,32.42,38201
2021-08-30,FE,32.33,32.6,32.33,32.5,41815
2021-08-31,FE,32.45,32.71,32.42,32.67,53112
2021-09-01,FE,32.85,33.3,32.82,33.15,76746
2021-09-02,FE,33.2,33.56,33.18,33.56,58773
2021-09-03,FE,33.38,33.46,33.2,33.27,39824
2021-09-07,FE,33.15,33.16,32.27,32.32,81610
2021-09-08,FE,32.23,32.79,32.23,32.72,86649
2021-09-09,FE,32.58,32.72,32.24,32.24,68236
2021-09-10,FE,32.25,32.25,31.67,31.67,52221
2021-09-13,FE,31.88,31.96,31.26,31.46,100395
2021-09-14,FE,31.6,31.88,31.37,31.46,75680
2021-09-15,FE,31.39,31.95,31.37,31.78,88364
2021-09-16,FE,31.8,31.92,31.35,31.35,47311
2021-09-17,FE,31.46,31.72,30.79,30.86,68958
2021-09-20,FE,30.8,30.97,30.37,30.69,46528
2021-09-21,FE,30.74,31.15,30.72,30.8,42526
2021-09-22,FE,30.95,31.12,30.79,30.98,50310
2021-09-23,FE,30.92,31.32,30.83,30.89,159447
2021-09-24,FE,31.09,31.11,30.88,30.95,43673
2021-09-27,FE,30.96,31.41,30.83,30.86,65853
2021-09-28,FE,30.8,30.96,30.58,30.63,69046
2021-09-29,FE,30.63,30.9,30.46,30.48,116810
2021-09-30,FE,30.51,30.51,29.93,29.93,69202
2021-10-01,FE,30.14,30.43,30.03,30.12,53795
2021-10-04,FE,30.31,30.38,30.01,30.27,57377
2021-10-05,FE,30.36,30.6,30.3,30.44,51571
2021-10-06,FE,30.29,30.87,30.09,30.87,44172
2021-10-07,FE,30.96,31.07,30.54,30.62,67221
2021-10-08,FE,30.58,30.69,30.44,30.44,55029
2021-10-11,FE,30.27,30.38,29.97,30.07,92736
2021-10-12,FE,30.11,30.24,29.89,30.03,83775
2021-10-13,FE,29.91,30.13,29.8,29.97,133488
2021-10-14,FE,30.11,30.71,30.11,30.71,75510
2021-10-15,FE,30.78,30.86,30.61,30.78,159455
2021-10-18,FE,30.64,30.64,30.24,30.39,58540
2021-10-19,FE,30.51,31.09,30.48,30.98,104631
2021-10-20,FE,31.14,31.49,31.13,31.38,80662
2021-10-21,FE,31.34,31.59,31.17,31.29,87135
2021-10-22,FE,31.32,31.79,31.32,31.73,73233
2021-10-26,FE,31.46,31.75,31.36,31.68,135831
2021-10-27,FE,31.75,31.79,31.37,31.61,92469
2021-10-28,FE,31.67,31.88,31.63,31.84,85418
2021-10-29,FE,32.01,33.34,31.91,32.38,264319
2021-11-01,FE,32.37,32.64,32.14,32.61,78614
2021-11-02,FE,33.41,33.43,32.59,33.03,171483
2021-11-03,FE,32.99,33.14,32.91,32.98,80092
2021-11-04,FE,33.08,33.23,32.8,33.03,114378
2021-11-05,FE,33.35,33.35,33.09,33.16,106035
2021-11-08,FE,33.46,33.63,32.57,32.69,138136
