date,tic,open,high,low,close,volume
2021-01-04,FISV,113.93,113.94,109.58,111.935,192640
2021-01-05,FISV,113.16,114.11,112.06,112.35,135047
2021-01-06,FISV,112.1,115.96,111.66,114.2,173683
2021-01-07,FISV,114.865,115.54,114.02,114.36,165368
2021-01-08,FISV,114.7,117.24,114.7,116.81,178604
2021-01-11,FISV,116.33,117.0,114.34,115.0,114727
2021-01-12,FISV,114.36,115.2,109.58,111.27,528975
2021-01-13,FISV,111.08,112.11,109.19,110.22,374511
2021-01-14,FISV,110.805,111.01,107.87,108.07,263747
2021-01-15,FISV,106.48,109.01,106.2,108.24,445118
2021-01-19,FISV,109.375,109.38,107.3,107.7,300792
2021-01-20,FISV,107.9,109.94,107.67,109.25,253009
2021-01-21,FISV,109.36,109.915,108.48,108.94,219411
2021-01-22,FISV,107.93,108.63,106.91,107.34,271747
2021-01-25,FISV,106.515,106.73,103.8,106.71,496619
2021-01-26,FISV,107.11,107.95,105.945,106.2,536774
2021-01-27,FISV,104.03,104.75,100.39,103.27,938401
2021-01-28,FISV,104.36,106.26,103.945,105.17,700719
2021-01-29,FISV,104.72,104.91,102.34,102.605,429222
2021-02-01,FISV,103.95,107.54,103.87,106.44,255115
2021-02-02,FISV,107.95,111.09,107.25,110.03,235171
2021-02-03,FISV,110.11,111.11,109.57,110.21,191071
2021-02-04,FISV,111.28,113.06,110.24,112.22,150222
2021-02-05,FISV,112.85,113.66,111.995,112.22,172247
2021-02-08,FISV,113.42,114.25,112.57,113.41,215985
2021-02-09,FISV,112.8,114.04,111.315,113.425,320588
2021-02-10,FISV,113.7,114.31,108.61,109.51,682326
2021-02-11,FISV,110.46,110.63,107.67,108.51,459846
2021-02-12,FISV,108.45,110.645,108.19,109.99,227197
2021-02-16,FISV,110.69,110.91,108.635,110.22,250303
2021-02-17,FISV,109.77,111.87,109.69,111.06,366863
2021-02-18,FISV,111.79,113.47,111.26,113.1,347924
2021-02-19,FISV,113.425,113.785,110.34,111.365,378725
2021-02-22,FISV,110.585,114.48,109.96,113.4,389226
2021-02-23,FISV,113.12,116.19,112.35,115.6,427692
2021-02-24,FISV,114.67,120.48,114.475,119.105,638687
2021-02-25,FISV,118.19,119.08,116.2,116.28,379644
2021-02-26,FISV,117.09,117.68,114.42,115.425,240822
2021-03-01,FISV,117.0,117.64,116.15,116.68,288761
2021-03-02,FISV,116.14,116.855,115.19,115.665,219206
2021-03-03,FISV,115.13,116.32,114.55,115.8,272174
2021-03-04,FISV,116.14,118.08,113.97,115.535,387968
2021-03-05,FISV,116.84,120.39,115.575,119.79,478618
2021-03-08,FISV,120.22,123.345,120.14,121.39,572143
2021-03-09,FISV,122.39,124.195,122.3,122.54,422185
2021-03-10,FISV,123.085,124.35,121.86,123.91,356626
2021-03-11,FISV,124.3,126.24,123.97,124.08,433844
2021-03-12,FISV,123.79,125.005,123.25,124.19,324137
2021-03-15,FISV,124.16,124.84,123.44,124.0,198968
2021-03-16,FISV,124.205,124.9,123.66,124.13,233229
2021-03-17,FISV,123.73,124.22,122.93,123.51,260793
2021-03-18,FISV,121.5,123.67,121.34,122.33,184280
2021-03-19,FISV,122.75,123.0,121.11,121.975,278649
2021-03-22,FISV,122.27,122.53,121.19,121.68,155874
2021-03-23,FISV,122.25,122.5,120.8,121.335,197898
2021-03-24,FISV,122.0,124.03,121.9,123.26,231280
2021-03-25,FISV,122.57,123.36,120.84,122.98,166057
2021-03-26,FISV,123.19,124.205,122.27,123.72,324898
2021-03-29,FISV,122.44,122.635,119.06,121.325,194535
2021-03-30,FISV,120.5,121.28,119.305,120.66,291607
2021-03-31,FISV,120.11,120.68,118.6,119.01,286436
2021-04-01,FISV,120.05,122.69,119.71,122.2,232497
2021-04-05,FISV,122.4,123.77,121.64,122.74,163656
2021-04-06,FISV,122.39,123.805,121.31,123.62,196072
2021-04-07,FISV,123.34,124.03,122.72,123.11,151440
2021-04-08,FISV,123.49,124.4,123.215,124.07,164472
2021-04-09,FISV,123.505,124.53,123.2,124.24,148904
2021-04-12,FISV,124.33,124.64,123.74,124.17,168116
2021-04-13,FISV,124.105,124.66,123.13,124.57,139906
2021-04-14,FISV,124.65,125.01,123.565,123.81,224658
2021-04-15,FISV,124.67,126.25,124.39,125.53,312804
2021-04-16,FISV,125.75,126.02,124.945,125.0,255775
2021-04-19,FISV,125.245,125.63,124.39,125.11,151284
2021-04-20,FISV,124.71,125.46,124.05,124.58,199517
2021-04-21,FISV,125.87,125.87,124.185,124.8,204604
2021-04-22,FISV,124.73,125.19,123.8,124.67,163382
2021-04-23,FISV,124.175,126.52,123.58,125.94,210365
2021-04-26,FISV,126.1,127.31,125.915,126.46,190690
2021-04-27,FISV,125.325,125.325,121.24,121.58,503794
2021-04-28,FISV,121.94,124.06,121.94,123.41,267921
2021-04-29,FISV,123.585,123.585,121.14,122.25,173671
2021-04-30,FISV,118.44,120.38,118.09,120.05,907859
2021-05-03,FISV,121.25,121.76,119.73,120.08,388296
2021-05-04,FISV,119.46,119.745,117.135,118.07,331174
2021-05-05,FISV,118.6,118.87,116.45,116.59,205784
