date,tic,open,high,low,close,volume
2021-01-04,FTV,46.49,46.61,45.04,45.1,109975
2021-01-05,FTV,45.28,45.53,44.67,44.91,116197
2021-01-06,FTV,45.44,46.81,45.44,46.58,140762
2021-01-07,FTV,47.1,47.76,46.51,47.59,103610
2021-01-08,FTV,47.86,48.07,47.25,47.61,60520
2021-01-11,FTV,47.08,47.38,46.5,46.62,35238
2021-01-12,FTV,46.77,46.88,46.2,46.66,69913
2021-01-13,FTV,46.81,47.0,45.87,46.05,41809
2021-01-14,FTV,46.24,46.58,45.72,46.25,98327
2021-01-15,FTV,46.02,46.24,45.48,46.04,93639
2021-01-19,FTV,46.38,46.53,45.91,46.17,434027
2021-01-20,FTV,46.27,46.49,45.91,46.05,189947
2021-01-21,FTV,46.11,46.17,45.79,45.95,113061
2021-01-22,FTV,45.72,45.92,45.06,45.47,95271
2021-01-25,FTV,45.02,45.21,44.43,44.5,116294
2021-01-26,FTV,44.58,44.6,43.9,43.94,189531
2021-01-27,FTV,43.39,43.53,42.36,43.35,295286
2021-01-28,FTV,43.99,44.46,43.42,43.8,78159
2021-01-29,FTV,43.51,43.96,42.94,43.37,104207
2021-02-01,FTV,43.49,43.88,43.35,43.7,78270
2021-02-02,FTV,44.04,44.18,43.35,43.68,70697
2021-02-03,FTV,43.52,43.79,43.22,43.46,124872
2021-02-04,FTV,43.41,43.69,43.29,43.33,214632
2021-02-05,FTV,44.59,45.92,44.59,45.18,282699
2021-02-08,FTV,45.2,45.29,43.94,44.38,173084
2021-02-09,FTV,44.43,44.98,44.18,44.75,150264
2021-02-10,FTV,45.08,46.41,45.04,46.02,164511
2021-02-11,FTV,46.27,46.82,45.67,46.25,134226
2021-02-12,FTV,46.22,46.97,46.12,46.97,109783
2021-02-16,FTV,46.68,47.14,45.7,45.8,56255
2021-02-17,FTV,45.13,45.29,43.84,44.33,184221
2021-02-18,FTV,44.15,44.38,43.33,43.7,201948
2021-02-19,FTV,44.01,44.49,43.97,44.06,128410
2021-02-22,FTV,43.8,44.54,43.51,43.98,258558
2021-02-23,FTV,44.13,44.3,43.33,44.28,92052
2021-02-24,FTV,44.3,44.83,44.14,44.36,157583
2021-02-25,FTV,44.32,44.32,43.26,43.52,86201
2021-02-26,FTV,43.58,43.71,43.12,43.2,74657
2021-03-01,FTV,43.81,45.09,43.78,44.62,81308
2021-03-02,FTV,44.51,44.76,44.2,44.72,56317
2021-03-03,FTV,44.65,44.91,44.44,44.45,59169
2021-03-04,FTV,44.42,44.67,43.15,43.59,81711
2021-03-05,FTV,44.01,44.15,42.72,44.1,164087
2021-03-08,FTV,44.2,45.9,44.18,45.22,96194
2021-03-09,FTV,45.39,46.0,45.08,45.43,280918
2021-03-10,FTV,45.52,45.95,45.29,45.6,169242
2021-03-11,FTV,45.6,45.88,44.57,44.76,149414
2021-03-12,FTV,44.69,44.69,43.94,44.36,196380
2021-03-15,FTV,44.55,45.16,43.45,45.11,129028
2021-03-16,FTV,45.16,45.24,43.87,43.92,115850
2021-03-17,FTV,43.81,44.65,43.69,44.3,130898
2021-03-18,FTV,44.52,45.05,44.34,44.73,108134
2021-03-19,FTV,44.53,44.74,44.37,44.45,126521
2021-03-22,FTV,44.31,44.82,43.65,44.8,106350
2021-03-23,FTV,44.54,45.23,44.2,44.45,65381
2021-03-24,FTV,44.81,45.83,44.81,45.49,80635
2021-03-25,FTV,45.35,46.24,45.03,46.13,66509
2021-03-26,FTV,46.46,46.86,46.04,46.85,85468
2021-03-29,FTV,46.54,46.67,46.02,46.24,60559
2021-03-30,FTV,46.52,47.29,46.44,46.87,90483
2021-03-31,FTV,46.87,47.09,46.36,46.36,126596
2021-04-01,FTV,46.52,46.74,45.58,46.54,99934
2021-04-05,FTV,46.88,47.55,46.8,47.23,71735
2021-04-06,FTV,47.13,47.37,46.54,46.73,79833
2021-04-07,FTV,46.61,47.21,46.59,46.86,99076
2021-04-08,FTV,46.74,46.86,46.12,46.14,132108
2021-04-09,FTV,46.28,46.65,45.94,46.55,129032
2021-04-12,FTV,46.67,48.34,46.58,48.3,164925
2021-04-13,FTV,47.95,48.21,47.87,47.91,41058
2021-04-14,FTV,47.87,47.98,47.32,47.5,62020
2021-04-15,FTV,47.63,47.72,47.21,47.43,161904
2021-04-16,FTV,47.62,48.05,47.23,47.5,124194
2021-04-20,FTV,47.65,47.84,47.17,47.63,99124
2021-04-21,FTV,47.7,48.7,47.64,48.51,116331
2021-04-22,FTV,48.37,48.85,48.01,48.26,118346
2021-04-23,FTV,48.38,48.65,48.33,48.56,127096
2021-04-26,FTV,48.63,48.72,48.29,48.37,88679
2021-04-27,FTV,48.37,48.85,48.05,48.71,76866
2021-04-28,FTV,48.62,49.1,48.59,48.73,73149
2021-04-29,FTV,49.03,49.23,48.54,49.14,69135
2021-04-30,FTV,47.99,48.39,46.42,46.47,412724
2021-05-03,FTV,46.95,47.5,46.52,46.78,140758
2021-05-04,FTV,46.8,47.24,46.61,47.15,147736
2021-05-05,FTV,47.32,47.33,46.69,47.03,66565
2021-05-06,FTV,47.41,47.62,47.06,47.56,78540
2021-05-07,FTV,47.44,48.15,47.44,47.8,54263
2021-05-10,FTV,48.14,48.51,47.03,47.03,142909
2021-05-11,FTV,46.83,46.85,45.95,46.02,174199
2021-05-12,FTV,45.93,46.24,44.83,44.89,128869
2021-05-13,FTV,45.07,45.88,45.07,45.63,98896
2021-05-14,FTV,45.94,46.48,45.78,46.35,72671
2021-05-17,FTV,46.37,46.53,45.93,46.34,83643
2021-05-18,FTV,46.5,46.53,45.44,45.44,74592
2021-05-19,FTV,44.86,45.4,44.32,45.36,159336
2021-05-20,FTV,46.04,46.62,45.98,46.29,99532
2021-05-21,FTV,46.64,47.1,46.57,46.99,112186
2021-05-24,FTV,47.28,47.55,46.86,47.24,84096
2021-05-25,FTV,47.17,47.44,46.98,47.03,88280
2021-05-26,FTV,47.17,47.38,46.9,47.21,69377
2021-05-27,FTV,47.66,47.8,47.29,47.51,113585
2021-05-28,FTV,47.61,47.84,47.43,47.65,68155
2021-06-01,FTV,48.12,48.17,47.1,47.43,85878
2021-06-02,FTV,47.43,48.33,47.35,48.25,74599
2021-06-03,FTV,48.18,48.55,47.66,48.34,137630
2021-06-04,FTV,48.47,48.59,48.04,48.27,46913
2021-06-07,FTV,48.39,48.39,47.38,47.81,70578
2021-06-08,FTV,47.62,47.67,47.2,47.32,80546
2021-06-09,FTV,47.2,47.2,46.68,46.69,78632
2021-06-10,FTV,46.88,46.88,46.15,46.28,98379
2021-06-11,FTV,46.58,46.96,46.22,46.95,102062
2021-06-14,FTV,46.88,46.88,46.23,46.72,180878
2021-06-15,FTV,46.78,47.1,46.52,47.0,197072
2021-06-16,FTV,46.87,46.87,46.08,46.1,447231
2021-06-17,FTV,46.11,46.14,45.21,45.67,239068
2021-06-18,FTV,45.06,45.68,45.01,45.29,190718
2021-06-21,FTV,45.58,45.84,45.32,45.73,146236
2021-06-22,FTV,45.54,45.86,45.24,45.73,215063
2021-06-23,FTV,45.73,45.89,45.35,45.39,106736
2021-06-24,FTV,45.6,45.7,45.25,45.66,128128
2021-06-25,FTV,45.73,46.24,45.73,45.96,235050
2021-06-28,FTV,45.88,46.38,45.32,46.21,111960
2021-06-29,FTV,46.3,46.35,45.76,46.11,113764
2021-06-30,FTV,45.99,46.31,45.72,45.84,240122
2021-07-01,FTV,45.95,46.52,45.94,46.37,179268
2021-07-02,FTV,46.44,46.59,46.31,46.47,83707
2021-07-06,FTV,46.37,46.38,45.38,45.82,184924
2021-07-07,FTV,45.86,46.62,45.86,46.46,242734
2021-07-08,FTV,45.98,46.12,45.52,45.67,121736
2021-07-09,FTV,46.13,46.73,46.12,46.43,80642
2021-07-12,FTV,46.61,46.67,46.05,46.29,188386
2021-07-13,FTV,46.64,47.02,46.27,46.38,159089
2021-07-14,FTV,46.53,46.61,45.96,46.5,69381
2021-07-15,FTV,46.35,46.56,46.16,46.26,88464
2021-07-16,FTV,46.33,46.42,45.9,45.94,88506
2021-07-19,FTV,45.37,45.37,44.33,44.89,166364
2021-07-20,FTV,45.17,46.01,45.16,45.87,69315
2021-07-21,FTV,46.01,46.22,45.7,45.7,55455
2021-07-22,FTV,45.83,45.83,45.18,45.38,136028
2021-07-23,FTV,45.73,45.77,45.29,45.54,175674
2021-07-26,FTV,45.65,45.65,44.96,45.31,140177
2021-07-27,FTV,45.09,45.34,44.66,45.19,125964
2021-07-28,FTV,45.24,45.49,44.94,45.24,180012
2021-07-29,FTV,45.39,45.68,45.04,45.39,143056
2021-07-30,FTV,47.36,47.82,46.28,47.72,300283
2021-08-02,FTV,48.0,49.19,47.97,48.3,442927
2021-08-03,FTV,48.45,49.12,48.3,49.0,121717
2021-08-04,FTV,48.72,48.95,48.31,48.37,102612
2021-08-05,FTV,48.64,48.74,48.14,48.3,57602
2021-08-06,FTV,48.51,49.01,48.27,48.96,129947
2021-08-09,FTV,48.74,48.76,48.55,48.7,85262
2021-08-10,FTV,48.72,49.15,48.58,48.96,77919
2021-08-11,FTV,48.93,49.41,48.77,49.26,66628
2021-08-12,FTV,49.23,49.82,49.17,49.68,161165
2021-08-13,FTV,49.8,50.08,49.62,49.91,109027
2021-08-16,FTV,49.66,49.78,49.48,49.71,101337
2021-08-17,FTV,49.42,49.54,48.74,49.12,129573
2021-08-18,FTV,48.83,49.17,48.52,48.56,115900
2021-08-19,FTV,48.3,48.44,47.93,48.26,149010
2021-08-20,FTV,48.39,48.58,48.07,48.24,98174
2021-08-23,FTV,48.55,48.57,48.0,48.04,68121
2021-08-24,FTV,48.2,48.64,48.2,48.43,38780
