date,tic,open,high,low,close,volume
2021-01-04,GD,133.47,133.47,129.54,130.41,54264
2021-01-05,GD,130.78,131.01,129.4,130.63,53138
2021-01-06,GD,130.44,134.71,130.42,134.01,64935
2021-01-07,GD,133.99,136.19,133.22,135.71,75413
2021-01-08,GD,135.83,136.46,132.97,134.87,159960
2021-01-11,GD,133.74,136.05,133.66,135.79,51272
2021-01-12,GD,136.02,138.55,135.98,137.3,50567
2021-01-13,GD,137.07,137.15,135.39,136.53,28150
2021-01-14,GD,137.09,139.96,137.09,138.81,69031
2021-01-15,GD,138.13,138.91,136.89,138.05,136283
2021-01-19,GD,138.97,139.94,137.91,137.95,114035
2021-01-20,GD,138.23,139.1,137.31,138.78,41817
2021-01-21,GD,138.48,139.41,135.6,136.09,64792
2021-01-22,GD,135.23,137.96,134.98,137.63,64661
2021-01-25,GD,136.72,140.27,136.46,138.25,120517
2021-01-26,GD,139.13,139.22,135.19,135.34,58804
2021-01-27,GD,135.59,143.24,134.36,137.41,120108
2021-01-28,GD,138.19,138.19,134.81,135.62,132715
2021-01-29,GD,134.79,135.96,132.18,132.18,142555
2021-02-01,GD,132.87,133.86,132.01,132.93,92347
2021-02-02,GD,134.0,136.39,133.79,135.06,74682
2021-02-03,GD,134.3,138.56,134.17,138.03,60781
2021-02-04,GD,138.28,142.03,138.16,141.99,109392
2021-02-05,GD,143.21,144.55,142.11,143.17,59796
2021-02-08,GD,143.45,143.89,141.56,143.89,51206
2021-02-09,GD,143.54,146.39,142.78,146.06,45937
2021-02-10,GD,146.46,147.69,146.06,146.85,31893
2021-02-11,GD,146.66,149.74,146.66,147.3,68979
2021-02-12,GD,147.04,148.93,147.04,148.51,62895
2021-02-16,GD,148.74,148.92,146.89,147.08,38572
2021-02-17,GD,146.51,148.72,145.72,148.15,32786
2021-02-18,GD,147.74,148.16,146.43,147.01,40672
2021-02-19,GD,147.86,148.83,147.67,148.49,37488
2021-02-22,GD,148.01,150.56,147.71,149.95,47826
2021-02-23,GD,151.47,151.47,148.26,150.68,70385
2021-02-24,GD,150.91,152.19,150.07,151.56,63105
2021-02-25,GD,151.22,152.14,149.16,149.72,95759
2021-02-26,GD,149.83,150.27,147.3,147.3,150834
2021-03-01,GD,149.1,151.82,148.92,150.42,33067
2021-03-02,GD,150.32,152.01,150.31,151.1,70519
2021-03-03,GD,151.33,152.73,151.12,151.37,45979
2021-03-04,GD,151.7,151.81,147.01,149.13,46163
2021-03-05,GD,150.18,154.4,149.86,153.67,43631
2021-03-08,GD,154.59,157.83,153.95,155.63,60889
2021-03-09,GD,155.59,156.07,151.72,152.1,61388
2021-03-10,GD,151.99,155.59,151.99,155.34,36213
2021-03-11,GD,154.12,157.05,153.73,155.66,66985
2021-03-12,GD,157.14,159.08,157.05,158.85,32141
2021-03-15,GD,159.34,159.47,156.79,159.26,46866
2021-03-16,GD,158.42,158.8,156.76,157.93,42445
2021-03-17,GD,159.07,160.93,157.83,159.91,59808
2021-03-18,GD,159.97,162.41,159.97,161.61,63563
2021-03-19,GD,160.27,161.03,157.75,160.15,55623
2021-03-22,GD,159.1,159.66,156.46,159.11,96001
2021-03-23,GD,158.43,159.44,157.09,157.56,55529
2021-03-24,GD,160.38,161.57,158.97,158.97,53985
2021-03-25,GD,158.45,162.34,158.37,162.34,38129
2021-03-26,GD,162.36,163.83,161.34,163.55,53724
2021-03-29,GD,163.33,165.78,163.33,165.04,62303
2021-03-30,GD,165.84,165.84,163.83,164.03,35548
2021-03-31,GD,163.47,164.28,162.86,163.56,49963
2021-04-01,GD,163.42,163.43,162.22,162.93,39284
2021-04-05,GD,164.87,167.27,164.77,167.24,57166
2021-04-06,GD,166.28,167.29,166.28,166.83,36954
2021-04-07,GD,167.45,167.45,165.33,166.45,38388
2021-04-08,GD,165.71,167.35,165.47,166.89,32072
2021-04-09,GD,166.2,166.47,164.12,165.97,66998
2021-04-12,GD,166.31,167.91,166.31,167.8,38131
2021-04-13,GD,166.43,166.6,165.09,165.34,38130
2021-04-14,GD,166.24,167.76,165.95,166.22,23999
2021-04-15,GD,166.22,167.07,165.45,166.65,31158
2021-04-16,GD,167.67,167.87,166.25,167.18,36624
2021-04-20,GD,167.23,168.5,166.32,166.84,52511
2021-04-21,GD,166.46,168.49,166.15,168.47,34327
2021-04-22,GD,168.21,168.7,167.11,167.23,21021
2021-04-23,GD,167.56,169.53,167.29,169.09,26221
2021-04-26,GD,169.53,170.67,167.8,167.8,40977
2021-04-27,GD,167.75,169.51,167.16,168.48,69499
2021-04-28,GD,170.18,171.36,167.86,168.05,95939
2021-04-29,GD,170.37,173.54,170.37,172.9,111906
2021-04-30,GD,171.58,173.2,171.25,172.42,71624
2021-05-03,GD,173.05,174.74,171.79,173.85,29589
2021-05-04,GD,174.01,174.78,173.75,174.01,63050
2021-05-05,GD,173.58,173.97,171.82,172.86,92449
2021-05-06,GD,173.96,174.77,172.98,174.77,76978
2021-05-07,GD,175.11,177.02,174.48,176.66,72648
2021-05-10,GD,177.28,179.04,176.31,176.45,44061
2021-05-11,GD,176.0,176.1,172.2,173.62,38536
2021-05-12,GD,173.8,174.41,169.33,169.33,52637
2021-05-13,GD,170.04,174.14,169.55,173.37,45398
2021-05-14,GD,173.82,174.7,173.03,174.09,38694
2021-05-17,GD,173.84,174.32,171.94,173.8,25700
2021-05-18,GD,173.83,173.83,171.73,171.73,37844
2021-05-19,GD,170.25,170.99,168.21,170.96,17148
2021-05-20,GD,171.11,172.05,170.65,171.43,32656
2021-05-21,GD,172.59,173.66,170.91,172.18,45944
2021-05-24,GD,172.62,172.89,171.44,171.98,24998
2021-05-25,GD,172.14,172.86,171.13,171.3,46632
2021-05-26,GD,171.86,172.09,170.35,171.44,10407
2021-05-27,GD,172.91,173.64,172.13,173.05,18242
2021-05-28,GD,172.99,173.57,172.0,172.15,29431
2021-06-01,GD,173.42,173.5,171.74,171.86,15889
2021-06-02,GD,171.75,173.74,171.6,173.71,74481
2021-06-03,GD,173.24,174.11,172.43,173.03,29867
2021-06-04,GD,173.28,175.71,173.28,175.55,23859
2021-06-07,GD,175.99,176.12,172.91,173.99,42734
2021-06-08,GD,173.61,175.29,173.43,174.72,27722
2021-06-09,GD,173.62,175.3,173.42,173.98,15261
2021-06-10,GD,175.01,175.01,173.43,173.67,11979
2021-06-11,GD,174.07,174.07,172.94,173.59,16228
2021-06-14,GD,173.37,173.37,171.83,172.98,36495
2021-06-15,GD,173.71,175.0,173.55,174.59,63344
2021-06-16,GD,174.4,174.45,172.39,172.41,22857
2021-06-17,GD,173.1,173.1,168.98,170.19,41340
2021-06-18,GD,167.94,169.3,167.51,167.89,73150
2021-06-21,GD,169.66,173.04,169.52,173.04,36645
2021-06-22,GD,172.47,172.73,171.52,171.93,34356
2021-06-23,GD,171.92,171.92,169.39,169.41,43161
2021-06-24,GD,170.6,170.74,168.98,170.55,36692
2021-06-25,GD,171.11,172.34,170.85,172.04,18385
2021-06-28,GD,172.45,172.45,170.69,171.27,30553
2021-06-29,GD,172.77,172.77,169.1,169.29,34223
2021-06-30,GD,169.64,171.01,169.29,170.73,42863
2021-07-01,GD,171.36,172.46,171.01,171.53,39217
2021-07-02,GD,171.65,172.96,171.15,172.01,32472
2021-07-06,GD,171.58,171.58,168.29,170.59,26512
2021-07-07,GD,170.76,173.56,170.63,173.12,31406
2021-07-08,GD,171.51,172.65,170.76,171.38,42459
2021-07-09,GD,173.1,174.34,172.11,173.54,31936
2021-07-12,GD,172.65,173.69,171.95,172.67,35195
2021-07-13,GD,172.8,173.48,172.16,172.21,28723
2021-07-14,GD,172.77,173.26,171.9,172.88,12366
2021-07-15,GD,171.59,173.22,171.59,172.71,54330
2021-07-16,GD,173.69,173.94,172.11,172.68,76689
2021-07-19,GD,171.04,171.07,166.75,167.89,35455
2021-07-20,GD,169.76,173.85,169.56,173.38,27450
2021-07-21,GD,174.36,175.53,174.3,174.83,30390
2021-07-22,GD,173.43,174.2,173.29,174.01,27902
2021-07-23,GD,174.06,175.3,173.97,175.11,28753
2021-07-26,GD,175.1,175.71,174.57,175.14,38661
2021-07-27,GD,174.78,178.45,174.78,177.08,60732
2021-07-28,GD,181.54,182.08,177.08,178.43,88785
2021-07-29,GD,180.24,181.46,178.38,180.77,135307
2021-07-30,GD,180.33,180.35,177.96,178.86,32504
2021-08-02,GD,179.66,181.41,178.54,178.54,38167
2021-08-03,GD,178.71,179.99,176.44,179.98,27734
2021-08-04,GD,178.67,179.91,177.85,178.84,26445
2021-08-05,GD,179.85,180.44,179.08,179.42,18735
2021-08-06,GD,181.5,181.98,180.69,181.54,43257
2021-08-09,GD,180.65,180.98,179.72,179.92,62946
2021-08-10,GD,180.02,181.62,179.83,181.56,20416
2021-08-11,GD,181.6,183.12,181.59,183.12,32109
2021-08-12,GD,183.1,183.43,181.03,181.75,19098
2021-08-13,GD,182.09,182.09,180.77,180.92,20392
2021-08-16,GD,180.55,182.92,179.25,182.84,49901
2021-08-17,GD,182.18,182.89,180.6,181.83,28923
2021-08-18,GD,181.46,181.97,179.35,179.61,35911
2021-08-19,GD,178.42,179.76,177.16,178.31,22262
2021-08-20,GD,178.97,180.56,178.31,180.07,36630
2021-08-23,GD,180.05,181.62,179.98,180.74,16812
2021-08-24,GD,180.88,181.96,180.79,181.54,10014
2021-08-25,GD,181.45,182.56,181.39,181.88,16971
2021-08-26,GD,181.55,181.88,180.8,181.74,21616
2021-08-27,GD,182.28,182.92,181.91,182.31,19419
2021-08-30,GD,181.48,182.45,181.22,181.76,17336
2021-08-31,GD,182.19,183.17,181.9,182.95,29979
2021-09-01,GD,182.94,183.08,181.19,182.3,66904
2021-09-02,GD,182.94,184.67,182.83,184.6,38603
2021-09-03,GD,184.58,185.12,183.71,184.77,32943
2021-09-07,GD,184.32,185.25,183.29,184.73,64627
2021-09-08,GD,184.32,187.06,184.18,186.46,49348
2021-09-09,GD,186.62,188.35,185.95,185.95,44777
2021-09-10,GD,187.18,187.18,183.93,183.93,35184
2021-09-13,GD,184.53,184.53,180.18,181.92,97376
2021-09-14,GD,181.48,181.54,178.85,179.41,38285
2021-09-15,GD,179.76,181.95,179.31,181.08,34621
2021-09-16,GD,181.35,181.67,177.8,177.88,54901
2021-09-17,GD,177.8,178.62,176.73,178.06,59782
2021-09-20,GD,176.79,177.35,174.38,176.69,33412
2021-09-21,GD,177.01,177.4,174.05,174.47,47095
2021-09-22,GD,176.27,177.79,176.25,176.74,33719
2021-09-23,GD,178.42,180.53,178.18,179.5,25421
2021-09-24,GD,179.55,180.71,179.55,180.1,21507
2021-09-27,GD,180.9,182.69,180.24,180.47,22372
2021-09-28,GD,180.66,181.24,178.5,179.83,54696
2021-09-29,GD,179.94,181.94,179.94,181.08,37455
2021-09-30,GD,181.03,181.94,178.88,178.9,40288
2021-10-01,GD,180.21,181.76,177.14,180.82,70127
2021-10-04,GD,180.94,181.95,178.95,180.23,40429
2021-10-05,GD,180.67,182.05,179.61,180.77,26228
2021-10-06,GD,180.47,181.94,178.03,181.94,29364
2021-10-07,GD,183.75,185.48,183.58,185.17,29534
2021-10-08,GD,184.59,186.12,184.44,185.48,30208
2021-10-11,GD,185.92,188.92,185.56,186.35,50872
2021-10-12,GD,186.09,188.54,186.09,186.85,46091
2021-10-13,GD,186.82,187.27,184.77,186.66,26764
2021-10-14,GD,188.07,188.76,186.82,188.25,31901
2021-10-15,GD,188.87,191.74,188.87,190.96,48857
2021-10-18,GD,189.63,191.02,189.16,189.65,14187
2021-10-19,GD,190.23,191.86,189.19,191.44,25447
2021-10-20,GD,191.47,192.33,190.89,191.25,52393
2021-10-21,GD,190.67,190.99,188.44,190.99,51328
2021-10-22,GD,191.61,192.84,190.46,192.27,27966
2021-10-26,GD,182.84,188.61,182.8,187.89,103821
2021-10-27,GD,187.32,191.49,184.87,188.87,94473
2021-10-28,GD,189.55,189.55,184.62,185.86,54724
2021-10-29,GD,185.11,187.17,184.87,186.05,35854
2021-11-01,GD,186.75,186.75,183.54,185.44,35120
2021-11-02,GD,185.58,186.67,184.57,185.05,74210
2021-11-03,GD,183.81,184.7,181.41,184.7,95254
2021-11-04,GD,184.51,184.61,181.45,181.81,77081
2021-11-05,GD,183.71,184.7,183.15,184.49,40607
2021-11-08,GD,185.28,186.46,183.74,185.98,34937
2021-11-09,GD,186.22,186.59,185.04,186.3,17735
2021-11-10,GD,186.88,186.88,184.62,184.8,28831
2021-11-11,GD,184.39,184.91,182.72,182.75,38128
2021-11-12,GD,183.36,184.87,182.24,184.43,44339
2021-11-15,GD,185.37,185.37,183.71,184.52,32039
2021-11-16,GD,184.95,184.99,182.39,182.39,23408
2021-11-17,GD,182.64,183.55,182.57,183.1,16188
2021-11-18,GD,183.21,183.21,180.82,181.8,46351
2021-11-19,GD,181.67,181.67,179.95,180.07,24703
2021-11-22,GD,181.13,183.93,181.13,182.94,18547
2021-11-23,GD,183.87,185.16,183.17,183.77,22252
2021-11-24,GD,183.95,183.95,181.95,182.47,26869
2021-11-26,GD,176.33,178.09,175.2,177.63,45398
2021-11-29,GD,178.29,179.54,177.5,178.4,34067
2021-11-30,GD,177.36,177.81,173.17,173.43,115974
2021-12-01,GD,176.13,178.49,173.9,173.92,77636
2021-12-02,GD,175.61,180.57,175.11,178.46,54523
2021-12-03,GD,179.23,181.6,179.19,181.35,65305
2021-12-06,GD,183.25,185.29,182.95,183.15,33860
2021-12-07,GD,183.9,184.54,182.66,183.02,37737
2021-12-08,GD,184.55,185.88,183.71,184.39,24759
2021-12-09,GD,182.55,185.52,182.55,185.48,41450
2021-12-10,GD,186.04,188.89,185.6,188.14,38029
2021-12-13,GD,186.85,187.7,185.49,186.79,46360
2021-12-14,GD,187.81,189.43,185.81,186.74,39432
2021-12-15,GD,186.96,189.34,186.65,189.3,46936
2021-12-16,GD,190.05,191.86,189.09,189.2,41778
2021-12-17,GD,188.82,188.84,185.61,185.61,40220
2021-12-20,GD,184.51,184.51,180.86,182.32,52763
2021-12-21,GD,183.46,187.44,183.46,186.59,56386
2021-12-22,GD,187.49,187.78,186.59,187.04,30944
2021-12-23,GD,187.69,188.95,187.49,187.85,39131
2021-12-27,GD,188.45,190.18,187.74,190.13,57624
2021-12-28,GD,190.26,191.66,190.22,190.58,33096
2021-12-29,GD,190.02,191.34,189.33,190.85,15496
2021-12-30,GD,191.04,191.94,190.17,190.39,15037
2021-12-31,GD,189.96,192.21,189.42,191.44,23675
2022-01-03,GD,191.26,191.43,189.35,190.3,22055
2022-01-04,GD,191.86,194.96,191.86,194.66,45495
2022-01-05,GD,195.72,196.79,192.8,193.02,31819
2022-01-06,GD,194.88,194.88,192.92,194.37,26334
2022-01-07,GD,194.94,196.23,194.34,194.68,50138
2022-01-10,GD,195.67,196.99,192.33,193.37,72348
2022-01-11,GD,193.91,194.35,192.23,194.2,37422
2022-01-12,GD,194.32,195.22,193.46,194.51,36406
2022-01-13,GD,194.75,196.66,194.52,195.05,28881
2022-01-14,GD,194.15,197.11,193.47,196.72,41580
2022-01-18,GD,195.77,196.1,192.95,194.97,45373
2022-01-19,GD,195.87,196.94,194.19,194.2,39103
2022-01-20,GD,194.0,196.52,192.47,192.81,42616
2022-01-21,GD,192.99,194.56,190.5,190.82,27045
2022-01-24,GD,188.82,191.54,185.49,191.17,60101
2022-01-25,GD,188.66,190.9,185.65,190.11,103652
