date,tic,open,high,low,close,volume
2022-12-16,GEHC,55.75,55.75,55.75,55.75,720
2022-12-19,GEHC,56.6,56.62,56.5,56.5,4700
2022-12-20,GEHC,56.5,56.5,56.5,56.5,0
2022-12-21,GEHC,57.19,57.19,56.29,56.64,9087
2022-12-22,GEHC,58.49,58.49,56.75,57.39,24172
2022-12-23,GEHC,57.99,57.99,57.49,57.55,3859
2022-12-27,GEHC,57.74,57.74,57.37,57.37,200
2022-12-28,GEHC,57.74,57.74,56.83,57.25,2571
2022-12-29,GEHC,57.99,58.38,57.74,57.87,28490
2022-12-30,GEHC,57.49,58.31,57.49,58.03,9565
2023-01-03,GEHC,58.47,58.74,55.67,55.77,89032
2023-01-04,GEHC,54.03,60.42,53.37,59.93,1392759
2023-01-05,GEHC,60.23,62.64,57.9,58.73,483917
2023-01-06,GEHC,59.05,59.27,57.64,58.7,232564
2023-01-09,GEHC,58.6,59.71,57.49,57.88,334162
2023-01-10,GEHC,58.82,59.76,57.81,59.73,458675
2023-01-11,GEHC,60.14,66.0,59.83,64.71,610394
2023-01-12,GEHC,65.8,66.22,63.42,65.36,486683
2023-01-13,GEHC,64.6,65.18,63.5,65.15,273544
2023-01-17,GEHC,63.88,64.5,62.98,63.07,172813
2023-01-18,GEHC,62.82,62.9,61.71,61.73,128370
2023-01-19,GEHC,61.18,64.21,61.18,63.67,165521
2023-01-20,GEHC,63.42,67.43,63.35,66.46,158202
2023-01-23,GEHC,66.66,69.59,66.57,69.21,255721
2023-01-24,GEHC,68.55,70.31,68.55,69.35,131983
2023-01-25,GEHC,68.12,69.28,66.65,68.39,100641
2023-01-26,GEHC,68.25,69.13,67.5,68.92,124119
2023-01-27,GEHC,68.44,70.19,68.29,69.77,139453
2023-01-30,GEHC,68.22,73.58,67.75,71.18,221505
2023-01-31,GEHC,70.68,70.68,68.19,69.19,246765
2023-02-01,GEHC,68.84,70.23,67.24,69.67,178503
2023-02-02,GEHC,69.35,71.53,68.72,70.31,184281
2023-02-03,GEHC,69.32,70.29,68.79,70.22,154432
2023-02-06,GEHC,69.68,71.97,69.38,71.55,161498
2023-02-07,GEHC,71.11,71.83,70.78,71.28,222368
2023-02-08,GEHC,70.93,71.1,69.72,69.89,57363
2023-02-09,GEHC,70.12,70.38,67.93,68.09,54113
2023-02-10,GEHC,68.24,69.22,67.94,68.94,115357
2023-02-13,GEHC,68.33,69.56,67.65,69.09,189312
2023-02-14,GEHC,68.45,72.84,68.45,72.29,154218
2023-02-15,GEHC,72.41,73.21,71.48,71.97,152278
2023-02-16,GEHC,71.15,71.5,70.08,70.55,125218
2023-02-17,GEHC,71.14,73.12,71.09,72.84,165332
2023-02-21,GEHC,72.64,72.74,71.94,72.08,145664
2023-02-22,GEHC,72.3,72.59,70.54,71.57,309841
2023-02-23,GEHC,72.31,75.85,72.31,75.54,253160
2023-02-24,GEHC,74.66,75.04,73.91,74.64,243134
2023-02-27,GEHC,74.79,76.64,74.39,75.7,236460
2023-02-28,GEHC,75.74,75.97,74.96,75.66,86392
2023-03-01,GEHC,75.11,75.39,74.69,74.93,97667
2023-03-02,GEHC,74.51,75.11,74.29,74.68,110941
2023-03-03,GEHC,74.97,76.52,74.91,76.03,97028
