date,tic,open,high,low,close,volume
2021-01-04,GEN,18.83,18.85,18.36,18.72,99404
2021-01-05,GEN,18.82,18.92,18.56,18.9,87257
2021-01-06,GEN,18.75,19.2,18.75,18.85,109641
2021-01-07,GEN,18.99,19.12,18.77,19.04,116070
2021-01-08,GEN,19.1,19.12,18.6,18.97,76367
2021-01-11,GEN,18.86,19.12,18.79,18.94,99061
2021-01-12,GEN,18.94,19.26,18.9,19.24,200850
2021-01-13,GEN,19.27,19.34,18.77,18.82,109297
2021-01-14,GEN,18.75,18.8,18.24,18.32,296370
2021-01-15,GEN,18.31,18.71,18.19,18.44,197657
2021-01-19,GEN,18.54,18.95,18.43,18.72,189146
2021-01-20,GEN,18.83,18.88,18.57,18.85,99940
2021-01-21,GEN,18.88,19.0,18.52,18.6,148951
2021-01-22,GEN,18.58,18.77,18.49,18.62,126468
2021-01-25,GEN,18.79,18.81,18.4,18.62,138359
2021-01-26,GEN,18.76,18.92,18.52,18.89,102299
2021-01-27,GEN,18.71,19.0,18.63,18.74,325686
2021-01-28,GEN,18.67,19.35,18.67,19.18,180310
2021-01-29,GEN,19.07,19.11,18.76,18.97,147448
2021-02-01,GEN,19.06,19.52,19.0,19.34,223923
2021-02-02,GEN,19.45,19.83,19.45,19.71,177017
2021-02-03,GEN,19.77,19.78,19.4,19.5,202108
2021-02-04,GEN,19.6,19.64,18.96,19.33,452883
2021-02-05,GEN,19.14,19.62,18.74,19.01,379902
2021-02-08,GEN,19.07,19.07,18.51,18.53,254776
2021-02-09,GEN,18.65,19.87,18.51,19.85,310517
2021-02-10,GEN,19.93,19.95,19.36,19.51,159481
2021-02-11,GEN,19.57,19.64,19.11,19.17,229033
2021-02-12,GEN,19.22,19.36,19.0,19.35,97706
2021-02-16,GEN,19.4,19.4,19.04,19.27,112331
2021-02-17,GEN,19.17,19.36,18.98,19.07,243819
2021-02-18,GEN,18.97,18.98,18.65,18.77,236025
2021-02-19,GEN,18.95,18.98,18.51,18.54,216307
2021-02-22,GEN,18.52,18.8,18.36,18.6,235041
2021-02-23,GEN,18.37,18.41,17.95,17.98,261482
2021-02-24,GEN,17.96,18.8,17.91,18.64,175254
2021-02-25,GEN,18.61,18.74,18.34,18.35,142335
2021-02-26,GEN,18.32,18.43,17.6,17.68,420248
2021-03-01,GEN,17.96,17.96,17.64,17.82,410928
2021-03-02,GEN,17.92,18.25,17.62,18.08,176188
2021-03-03,GEN,17.95,18.24,17.9,18.12,213240
2021-03-04,GEN,18.08,18.49,18.04,18.24,284368
2021-03-05,GEN,18.18,18.36,18.05,18.32,97417
2021-03-08,GEN,18.27,19.73,18.27,19.02,461166
2021-03-09,GEN,19.19,19.8,19.03,19.53,222590
2021-03-10,GEN,19.66,19.66,19.04,19.04,176947
2021-03-11,GEN,19.14,19.65,19.12,19.41,159230
2021-03-12,GEN,19.22,19.57,19.21,19.48,162370
2021-03-15,GEN,19.41,19.59,19.41,19.57,124312
2021-03-16,GEN,19.59,19.69,19.22,19.3,139497
2021-03-17,GEN,19.15,19.5,19.04,19.42,202718
2021-03-18,GEN,19.16,19.59,19.11,19.21,246359
2021-03-19,GEN,19.25,19.34,19.03,19.16,91659
2021-03-22,GEN,19.17,19.48,19.16,19.32,141615
2021-03-23,GEN,19.43,19.79,19.2,19.38,175957
2021-03-24,GEN,19.34,19.34,19.11,19.11,207897
2021-03-25,GEN,19.03,19.25,18.95,19.1,290147
2021-03-26,GEN,19.07,19.62,19.03,19.62,94602
2021-03-29,GEN,19.45,19.83,19.42,19.69,115660
2021-03-30,GEN,19.58,19.58,19.07,19.14,330117
2021-03-31,GEN,19.15,19.53,19.03,19.28,88413
2021-04-01,GEN,19.42,19.72,19.37,19.43,132445
2021-04-05,GEN,19.54,20.06,19.51,20.05,191475
2021-04-06,GEN,20.0,20.09,19.86,19.92,167086
2021-04-07,GEN,19.95,19.97,19.68,19.72,55399
2021-04-08,GEN,19.81,20.06,19.64,20.03,128145
2021-04-09,GEN,19.93,19.93,19.7,19.9,59654
2021-04-12,GEN,19.82,20.19,19.72,20.14,179879
2021-04-13,GEN,19.72,19.9,19.33,19.55,100899
2021-04-14,GEN,19.28,19.68,19.08,19.16,157992
2021-04-15,GEN,18.83,19.64,18.78,19.46,169428
2021-04-16,GEN,19.54,19.81,19.48,19.61,170190
2021-04-19,GEN,19.5,19.77,19.5,19.77,126641
2021-04-20,GEN,19.81,19.98,19.57,19.78,91439
2021-04-21,GEN,19.91,19.99,19.63,19.96,83850
2021-04-22,GEN,19.93,20.15,19.88,19.95,153757
2021-04-23,GEN,20.03,20.2,19.94,20.19,60104
2021-04-26,GEN,20.26,20.57,20.21,20.5,91634
2021-04-27,GEN,20.45,20.65,20.31,20.37,70193
