date,tic,open,high,low,close,volume
2024-04-02,GEV,142.51,151.89,138.33,139.27,1148717
2024-04-03,GEV,141.85,143.66,135.57,137.2,666156
2024-04-04,GEV,135.08,138.96,125.03,125.7,936204
2024-04-05,GEV,125.2,127.83,118.85,122.41,1734100
2024-04-08,GEV,125.6,131.28,125.6,129.63,1026651
2024-04-09,GEV,130.16,133.25,128.01,131.92,880926
2024-04-10,GEV,129.36,139.59,128.65,138.02,762605
2024-04-11,GEV,138.87,138.87,136.25,136.25,422591
2024-04-12,GEV,134.41,137.69,133.35,133.68,217150
2024-04-15,GEV,133.84,134.49,129.62,131.44,241276
2024-04-16,GEV,131.67,132.62,128.03,129.74,418637
2024-04-17,GEV,131.61,137.82,130.96,134.43,459921
2024-04-18,GEV,137.82,137.93,135.18,136.9,336162
2024-04-19,GEV,136.99,140.24,134.59,134.76,295059
2024-04-22,GEV,135.01,136.82,132.05,136.41,151682
2024-04-23,GEV,137.7,147.93,137.7,147.39,312274
2024-04-24,GEV,146.97,149.49,144.01,145.98,293466
2024-04-25,GEV,142.66,151.75,138.89,147.91,325972
2024-04-26,GEV,152.37,156.42,149.88,152.69,322529
2024-04-29,GEV,153.84,159.12,153.75,158.63,460104
2024-04-30,GEV,157.93,162.62,151.96,153.4,194657
2024-05-01,GEV,153.83,156.13,149.07,151.33,158385
2024-05-02,GEV,153.79,155.03,151.34,153.34,209635
2024-05-03,GEV,155.29,166.6,155.24,165.99,459333
2024-05-06,GEV,166.82,170.6,164.18,168.77,320251
2024-05-07,GEV,168.32,173.03,166.84,166.97,387162
2024-05-08,GEV,166.34,166.62,162.87,163.72,260876
2024-05-09,GEV,165.1,168.31,164.27,166.05,223276
2024-05-10,GEV,168.8,170.07,165.67,166.85,188404
2024-05-13,GEV,164.81,166.82,159.95,161.1,159453
2024-05-14,GEV,160.16,166.11,158.55,165.27,258572
2024-05-15,GEV,167.93,171.84,166.61,167.48,120512
2024-05-16,GEV,167.81,169.51,165.99,166.03,98583
2024-05-17,GEV,166.04,166.04,160.59,162.24,108804
2024-05-20,GEV,162.23,163.23,159.88,160.61,68203
2024-05-21,GEV,159.25,164.03,158.84,163.69,84046
2024-05-22,GEV,163.91,166.73,162.95,163.38,115404
2024-05-23,GEV,165.88,169.53,161.14,161.29,171461
2024-05-24,GEV,162.57,177.26,162.18,176.99,225809
2024-05-28,GEV,177.46,181.7,176.45,177.63,143263
2024-05-29,GEV,175.14,178.1,174.0,176.9,55364
2024-05-30,GEV,175.9,177.34,174.19,174.85,79997
2024-05-31,GEV,176.34,179.34,165.18,175.67,195677
2024-06-03,GEV,177.75,178.27,166.11,169.82,136122
2024-06-04,GEV,168.47,168.85,161.0,162.67,291408
2024-06-05,GEV,164.92,167.31,162.16,163.1,284291
2024-06-06,GEV,163.17,163.55,155.18,160.0,369716
2024-06-07,GEV,159.07,165.21,159.07,161.71,270189
2024-06-10,GEV,160.5,169.46,160.5,166.23,112954
2024-06-11,GEV,164.55,168.02,163.07,167.78,82919
2024-06-12,GEV,172.54,178.68,171.26,177.12,187394
2024-06-13,GEV,178.98,181.35,172.55,175.9,167945
2024-06-14,GEV,171.71,172.18,165.93,169.76,92032
2024-06-17,GEV,169.84,171.42,165.9,168.45,96445
2024-06-18,GEV,167.39,179.67,166.38,179.15,166298
