date,tic,open,high,low,close,volume
2021-01-04,GILD,48.43,49.67,47.84,49.66,324132
2021-01-05,GILD,49.74,49.89,49.24,49.56,309459
2021-01-06,GILD,49.45,51.26,49.45,51.16,769771
2021-01-07,GILD,51.13,52.21,50.8,51.64,332647
2021-01-08,GILD,51.7,52.34,51.63,52.1,304552
2021-01-11,GILD,52.62,52.99,51.43,51.57,586203
2021-01-12,GILD,51.76,51.76,50.77,51.26,223480
2021-01-13,GILD,51.06,51.28,50.74,50.85,175608
2021-01-14,GILD,50.89,52.12,50.77,51.5,221714
2021-01-15,GILD,51.43,52.51,51.37,52.31,236084
2021-01-19,GILD,53.42,56.27,53.35,55.4,664280
2021-01-20,GILD,55.32,56.22,55.08,56.22,339895
2021-01-21,GILD,55.7,55.8,55.0,55.36,319066
2021-01-22,GILD,54.97,55.68,54.75,55.31,233318
2021-01-25,GILD,55.09,56.36,54.86,56.33,239061
2021-01-26,GILD,56.09,56.46,54.97,55.08,352106
2021-01-27,GILD,54.27,55.21,53.76,54.02,306770
2021-01-28,GILD,53.76,54.69,53.03,53.42,363507
2021-01-29,GILD,53.03,54.55,52.94,54.13,458675
2021-02-01,GILD,54.52,54.66,53.76,53.78,292409
2021-02-02,GILD,53.76,54.46,53.05,53.78,300374
2021-02-03,GILD,53.85,54.24,53.27,53.27,303444
2021-02-04,GILD,53.48,54.47,53.24,54.43,254554
2021-02-05,GILD,55.57,57.27,55.12,56.54,483691
2021-02-08,GILD,56.54,56.77,55.59,56.13,341000
2021-02-09,GILD,55.91,55.95,55.23,55.57,226020
2021-02-10,GILD,55.62,56.41,55.42,55.52,209563
2021-02-11,GILD,55.42,55.42,54.56,55.31,154951
2021-02-12,GILD,55.04,55.53,54.83,55.27,122689
2021-02-16,GILD,54.92,54.97,53.29,53.54,221539
2021-02-17,GILD,53.17,53.78,52.72,53.76,310221
2021-02-18,GILD,53.57,54.05,53.15,53.8,226790
2021-02-19,GILD,53.84,53.84,53.08,53.15,229949
2021-02-22,GILD,52.79,53.22,52.47,52.92,178390
2021-02-23,GILD,52.66,52.94,51.84,52.59,360049
2021-02-24,GILD,52.14,53.01,51.89,52.64,209621
2021-02-25,GILD,52.44,52.79,51.63,51.86,183099
2021-02-26,GILD,51.8,51.8,50.7,50.7,259730
2021-03-01,GILD,51.0,51.7,50.94,51.59,245915
2021-03-02,GILD,51.64,52.5,51.55,52.03,144161
2021-03-03,GILD,51.87,52.28,51.38,51.82,351984
2021-03-04,GILD,51.79,53.28,51.65,52.2,473946
2021-03-05,GILD,52.4,53.45,52.29,53.38,455045
2021-03-08,GILD,53.27,55.04,52.83,53.41,469593
2021-03-09,GILD,54.2,55.03,53.08,53.1,288945
2021-03-10,GILD,53.4,53.42,52.53,52.73,313429
2021-03-11,GILD,52.41,52.88,52.04,52.09,365748
2021-03-12,GILD,52.19,52.19,51.37,51.37,416666
2021-03-15,GILD,51.9,52.76,51.73,52.7,508773
2021-03-16,GILD,52.8,53.62,52.76,53.47,268151
2021-03-17,GILD,53.25,53.98,53.01,53.78,309538
