date,tic,open,high,low,close,volume
2021-01-04,GIS,49.35,49.79,48.71,49.67,278599
2021-01-05,GIS,49.69,50.11,49.27,49.7,119794
2021-01-06,GIS,49.6,50.09,49.49,49.57,146902
2021-01-07,GIS,49.75,49.92,49.19,49.2,155033
2021-01-08,GIS,49.22,49.28,47.72,47.87,179771
2021-01-11,GIS,47.85,48.02,47.02,47.15,285205
2021-01-12,GIS,47.1,47.1,45.82,46.14,913599
2021-01-13,GIS,46.4,47.34,45.98,47.03,221864
2021-01-14,GIS,46.97,47.32,46.25,47.32,223622
2021-01-15,GIS,47.29,48.07,46.83,47.79,241165
2021-01-19,GIS,48.05,48.05,47.21,47.24,250898
2021-01-20,GIS,47.15,47.22,46.28,46.97,150667
2021-01-21,GIS,46.91,47.08,46.64,46.93,111453
2021-01-22,GIS,46.85,47.52,46.5,47.52,136785
2021-01-25,GIS,47.51,49.47,47.48,49.15,262720
2021-01-26,GIS,49.16,50.26,48.72,50.23,213290
2021-01-27,GIS,50.18,52.14,50.18,51.24,256320
2021-01-28,GIS,51.25,51.93,49.71,50.38,289347
2021-01-29,GIS,50.21,51.02,49.21,49.29,223159
2021-02-01,GIS,49.45,49.64,48.44,48.84,167144
2021-02-02,GIS,49.11,49.51,48.45,48.89,226721
2021-02-03,GIS,48.83,48.93,47.89,48.25,143164
2021-02-04,GIS,48.2,48.82,47.78,48.3,193379
2021-02-05,GIS,48.37,48.92,48.12,48.73,93524
2021-02-08,GIS,48.85,49.03,48.59,48.95,77054
2021-02-09,GIS,49.21,49.26,48.69,48.95,51630
2021-02-10,GIS,49.28,49.36,48.78,49.27,103015
2021-02-11,GIS,49.31,49.31,48.13,48.33,154266
2021-02-12,GIS,48.19,48.5,47.85,48.48,149246
2021-02-16,GIS,48.27,48.28,47.43,47.78,160186
2021-02-17,GIS,47.64,48.25,47.43,48.22,82708
2021-02-18,GIS,48.16,49.56,48.1,49.24,155508
