date,tic,open,high,low,close,volume
2021-01-04,GM,40.48,40.59,38.75,39.08,312400
2021-01-05,GM,38.71,40.37,38.68,40.19,458096
2021-01-06,GM,40.46,42.31,40.42,41.46,474643
2021-01-07,GM,42.42,42.43,41.46,41.82,213555
2021-01-08,GM,41.81,41.87,40.84,41.56,471551
2021-01-11,GM,41.51,43.68,41.16,43.42,670140
2021-01-12,GM,44.46,47.23,44.06,46.14,1986345
2021-01-13,GM,49.09,49.09,46.38,47.03,1117227
2021-01-14,GM,47.76,49.92,47.61,49.72,970100
2021-01-15,GM,49.51,49.53,47.55,48.25,510303
2021-01-19,GM,51.82,53.19,50.43,52.94,1217538
2021-01-20,GM,54.32,54.58,52.95,53.95,984408
2021-01-21,GM,54.36,54.98,52.85,53.13,988781
2021-01-22,GM,52.59,53.81,52.4,53.53,802495
2021-01-25,GM,53.08,53.1,49.27,51.52,913549
2021-01-26,GM,51.53,51.7,50.02,50.2,520152
2021-01-27,GM,48.99,49.07,47.03,47.56,947198
2021-01-28,GM,48.02,51.14,47.84,49.25,846061
2021-01-29,GM,48.94,49.96,48.22,48.93,839932
2021-02-01,GM,49.52,50.04,48.72,49.71,553694
2021-02-02,GM,50.48,51.13,50.14,50.89,424398
2021-02-03,GM,51.38,53.11,51.34,52.36,825880
2021-02-04,GM,51.64,52.64,51.12,52.25,478923
2021-02-05,GM,52.9,53.1,52.26,52.49,298906
2021-02-08,GM,53.97,55.05,53.74,54.86,558678
2021-02-09,GM,54.41,54.93,53.79,54.11,471144
2021-02-10,GM,53.67,53.67,50.68,52.95,1198993
2021-02-11,GM,51.8,51.9,50.52,51.63,806388
2021-02-12,GM,51.16,52.29,51.14,51.72,376966
2021-02-16,GM,51.83,52.1,51.36,51.61,521024
2021-02-17,GM,50.97,51.43,50.29,51.03,363572
2021-02-18,GM,50.71,50.76,49.81,50.32,641640
2021-02-19,GM,50.68,51.42,50.4,50.74,518562
2021-02-22,GM,50.09,51.08,50.09,50.15,571141
2021-02-23,GM,49.22,49.58,47.64,49.3,861184
2021-02-24,GM,49.92,51.35,49.54,51.05,496303
2021-02-25,GM,50.82,51.08,48.79,48.84,684380
2021-02-26,GM,49.23,49.92,48.18,49.59,398792
2021-03-01,GM,50.69,50.96,50.06,50.76,347542
2021-03-02,GM,50.74,53.34,50.38,52.21,687474
2021-03-03,GM,52.57,52.96,50.84,50.84,454392
2021-03-04,GM,51.09,52.26,48.64,50.02,572812
2021-03-05,GM,50.76,52.09,48.73,51.89,877599
2021-03-08,GM,52.43,54.23,51.86,53.05,574997
2021-03-09,GM,53.4,53.46,52.17,52.78,358307
2021-03-10,GM,53.05,54.96,52.96,54.83,664572
2021-03-11,GM,54.99,55.13,53.99,54.36,580846
2021-03-12,GM,54.0,57.53,53.77,57.2,686888
2021-03-15,GM,57.13,57.17,55.23,55.94,403586
2021-03-16,GM,56.29,56.51,54.87,55.12,399783
2021-03-17,GM,55.26,58.0,55.17,57.96,454874
2021-03-18,GM,57.91,60.05,56.83,57.23,898092
2021-03-19,GM,57.18,58.2,56.16,57.74,558985
2021-03-22,GM,56.71,56.83,54.55,56.09,691006
2021-03-23,GM,54.93,55.67,53.76,54.2,548551
2021-03-24,GM,54.63,55.46,53.77,53.87,473417
2021-03-25,GM,52.63,54.82,52.37,54.62,416343
2021-03-26,GM,55.08,55.29,53.42,54.59,460782
2021-03-29,GM,54.14,55.17,53.8,53.99,287757
2021-03-30,GM,54.56,56.57,54.43,56.44,529767
2021-03-31,GM,56.22,56.53,55.27,55.47,415532
2021-04-01,GM,55.86,56.15,55.05,55.79,347564
2021-04-05,GM,56.94,59.04,56.73,58.91,468858
2021-04-06,GM,58.54,61.22,58.34,59.73,994776
2021-04-07,GM,59.7,59.7,58.61,58.7,416389
2021-04-08,GM,58.22,58.55,56.76,57.97,389894
2021-04-09,GM,57.43,58.25,57.43,58.05,249612
2021-04-12,GM,58.09,58.12,57.28,57.58,204961
2021-04-13,GM,57.2,57.44,55.87,56.45,286396
2021-04-14,GM,56.43,57.55,56.22,56.41,273691
2021-04-15,GM,57.33,57.43,56.36,56.56,334372
2021-04-16,GM,56.9,57.22,56.25,56.67,205498
2021-04-20,GM,55.11,55.16,53.0,53.81,589032
2021-04-21,GM,53.33,55.49,52.85,55.49,382300
2021-04-22,GM,55.59,55.72,54.19,54.69,355397
2021-04-23,GM,54.68,55.71,54.48,55.51,234049
2021-04-26,GM,55.94,56.53,55.67,56.16,191754
2021-04-27,GM,56.23,57.02,56.02,56.87,302031
2021-04-28,GM,56.9,56.94,56.25,56.46,303491
2021-04-29,GM,55.71,55.72,53.77,54.57,722614
2021-04-30,GM,54.21,55.33,54.14,55.2,366167
2021-05-03,GM,55.6,56.26,54.73,55.14,259611
2021-05-04,GM,54.49,54.5,52.92,53.4,580181
2021-05-05,GM,55.12,55.86,54.38,55.56,749945
2021-05-06,GM,55.6,56.71,55.46,56.71,470564
2021-05-07,GM,56.24,56.98,55.29,56.93,386217
2021-05-10,GM,57.01,57.47,55.36,55.41,400149
2021-05-11,GM,54.16,54.76,52.96,53.77,695018
2021-05-12,GM,53.67,53.75,51.65,51.93,603400
2021-05-13,GM,52.49,53.55,52.26,52.66,441285
2021-05-14,GM,53.24,54.08,53.09,54.04,312876
2021-05-17,GM,53.88,54.15,53.29,54.08,345512
2021-05-18,GM,54.24,54.81,53.9,53.9,234390
2021-05-19,GM,53.1,53.67,52.26,53.55,239564
2021-05-20,GM,53.95,54.03,53.27,53.57,348770
2021-05-21,GM,54.08,54.96,53.84,54.75,386348
2021-05-24,GM,55.12,55.18,54.38,54.61,217524
2021-05-25,GM,54.87,56.11,54.73,54.78,297260
2021-05-26,GM,54.97,56.13,54.81,56.05,451914
2021-05-27,GM,57.78,58.59,57.16,57.72,1028518
2021-05-28,GM,57.79,57.79,56.55,57.25,252412
2021-06-01,GM,58.03,58.11,57.18,57.58,254452
2021-06-02,GM,58.05,58.09,57.07,57.57,246366
2021-06-03,GM,59.45,61.44,58.59,61.26,890706
2021-06-04,GM,61.39,61.61,60.24,61.16,541448
2021-06-07,GM,61.83,62.03,60.45,61.02,357990
2021-06-08,GM,60.85,61.72,60.25,61.69,383840
2021-06-09,GM,61.66,61.91,60.5,60.56,334570
2021-06-10,GM,60.63,60.82,59.03,59.18,310624
2021-06-11,GM,59.35,59.84,59.03,59.37,206685
2021-06-14,GM,59.16,59.47,58.21,58.64,370495
2021-06-15,GM,58.56,58.96,57.88,58.65,288929
2021-06-16,GM,60.21,60.85,59.08,59.59,700428
2021-06-17,GM,59.66,60.19,57.29,57.96,732143
2021-06-18,GM,57.09,57.5,56.39,56.7,647166
2021-06-21,GM,57.46,57.53,56.79,57.22,174688
2021-06-22,GM,57.49,57.51,56.97,57.18,254676
2021-06-23,GM,57.79,58.32,57.4,58.01,363163
2021-06-24,GM,58.29,58.37,57.68,57.93,199063
2021-06-25,GM,58.32,58.45,57.94,58.15,299772
2021-06-28,GM,58.09,58.09,56.4,56.59,443687
2021-06-29,GM,57.13,57.46,56.66,56.78,169641
2021-06-30,GM,56.74,57.37,56.67,57.1,299065
2021-07-01,GM,57.36,57.63,56.72,57.03,235989
2021-07-02,GM,57.06,57.06,56.5,56.88,139958
2021-07-06,GM,56.68,56.68,55.02,55.45,269546
2021-07-07,GM,55.04,55.29,54.21,54.62,245758
2021-07-08,GM,53.4,54.6,52.96,54.11,357198
2021-07-09,GM,56.75,56.86,55.87,56.71,436675
2021-07-12,GM,56.41,57.1,55.85,56.94,180962
2021-07-13,GM,56.99,57.18,56.25,56.67,284557
2021-07-14,GM,56.8,57.27,55.72,55.97,196112
2021-07-15,GM,55.14,55.64,54.62,54.95,253928
2021-07-16,GM,55.28,55.33,53.45,53.5,378095
2021-07-19,GM,52.02,52.52,50.81,52.29,436272
2021-07-20,GM,52.27,54.4,52.25,54.2,338138
2021-07-21,GM,54.83,55.45,54.61,55.03,209053
2021-07-22,GM,54.74,54.74,53.55,53.69,272886
2021-07-23,GM,53.37,53.82,52.92,53.0,309237
2021-07-26,GM,53.4,53.95,53.27,53.83,214792
2021-07-27,GM,53.26,53.41,52.32,53.06,409393
2021-07-28,GM,53.52,53.85,52.78,53.55,222915
2021-07-29,GM,54.94,55.72,54.84,55.27,344764
2021-07-30,GM,54.68,55.75,54.67,54.86,237833
2021-08-02,GM,55.39,56.53,54.89,55.04,237130
2021-08-03,GM,55.4,55.93,54.63,55.89,237334
2021-08-04,GM,53.41,53.44,50.39,50.85,2051483
2021-08-05,GM,51.98,52.96,51.71,52.53,562292
2021-08-06,GM,52.87,53.4,52.37,53.12,291841
2021-08-09,GM,52.19,52.38,51.55,52.04,462399
