date,tic,open,high,low,close,volume
2021-01-04,GNRC,228.595,230.72,222.84,224.8,31427
2021-01-05,GNRC,223.25,228.5,223.25,227.6,29040
2021-01-06,GNRC,231.37,248.6,231.37,246.5,72878
2021-01-07,GNRC,250.55,256.2,248.28,254.45,66079
2021-01-08,GNRC,257.97,259.34,250.0,252.72,44498
2021-01-11,GNRC,248.25,262.27,246.73,260.49,31512
2021-01-12,GNRC,261.75,263.15,256.245,259.14,39466
2021-01-13,GNRC,257.765,258.46,252.69,252.69,37292
2021-01-14,GNRC,254.14,254.495,250.535,252.95,21453
2021-01-15,GNRC,251.935,255.195,248.07,252.63,33658
2021-01-19,GNRC,257.58,269.57,257.27,267.565,57245
2021-01-20,GNRC,268.89,269.59,261.57,269.05,44914
2021-01-21,GNRC,270.15,273.8,265.95,272.265,53573
2021-01-22,GNRC,269.995,278.485,269.55,277.665,29552
2021-01-25,GNRC,281.39,287.06,265.79,269.13,47218
2021-01-26,GNRC,268.88,268.88,264.55,265.27,23091
2021-01-27,GNRC,257.78,257.8,244.455,248.04,61399
2021-01-28,GNRC,252.02,255.73,248.88,252.81,29714
2021-01-29,GNRC,252.54,253.62,245.24,246.68,16574
2021-02-01,GNRC,251.845,259.62,248.34,258.94,42699
2021-02-02,GNRC,264.045,267.925,261.815,266.55,19947
2021-02-03,GNRC,268.185,268.42,261.74,264.09,21110
2021-02-04,GNRC,266.32,269.01,261.7,262.37,48978
2021-02-05,GNRC,264.255,271.965,263.58,270.44,21852
2021-02-08,GNRC,273.7,280.58,273.53,278.92,31462
2021-02-09,GNRC,279.52,280.92,274.98,275.43,19608
2021-02-10,GNRC,276.345,282.91,274.91,278.37,80562
2021-02-11,GNRC,293.0,318.49,293.0,316.23,119894
2021-02-12,GNRC,319.7,330.28,318.04,327.57,76491
2021-02-16,GNRC,347.555,359.67,341.69,350.37,178091
2021-02-17,GNRC,349.25,359.99,342.155,355.15,99479
2021-02-18,GNRC,355.67,362.115,343.82,351.445,68364
2021-02-19,GNRC,356.45,363.36,354.72,363.36,85157
2021-02-22,GNRC,360.12,360.12,335.42,336.82,53220
2021-02-23,GNRC,328.11,333.46,308.95,332.8,60227
2021-02-24,GNRC,337.33,340.66,321.34,322.605,73457
2021-02-25,GNRC,324.0,324.45,309.11,315.9,70246
2021-02-26,GNRC,318.38,334.19,316.1,329.62,59196
2021-03-01,GNRC,335.0,349.09,323.24,345.94,49854
2021-03-02,GNRC,348.57,353.84,334.41,338.74,43276
2021-03-03,GNRC,338.88,339.835,315.19,318.09,55081
2021-03-04,GNRC,314.95,320.76,296.83,305.505,49295
2021-03-05,GNRC,307.545,311.12,286.99,307.03,62275
2021-03-08,GNRC,308.06,314.125,293.91,294.74,34730
2021-03-09,GNRC,306.46,314.58,304.9,309.475,37929
2021-03-10,GNRC,317.05,321.99,311.48,314.485,27555
2021-03-11,GNRC,323.55,332.59,322.09,332.225,35716
2021-03-12,GNRC,325.63,330.93,320.51,329.73,23892
2021-03-15,GNRC,334.5,338.15,324.2,337.82,79561
2021-03-16,GNRC,336.16,337.58,319.56,326.27,54837
2021-03-17,GNRC,318.36,321.1,311.69,315.91,47973
2021-03-18,GNRC,315.15,315.25,303.61,306.95,58668
2021-03-19,GNRC,305.81,314.29,301.61,305.25,88774
2021-03-22,GNRC,309.515,315.5,304.03,313.765,86526
2021-03-23,GNRC,314.04,317.88,301.37,303.62,64339
2021-03-24,GNRC,305.24,307.05,296.13,296.91,49399
2021-03-25,GNRC,291.61,302.32,288.32,300.72,35944
2021-03-26,GNRC,306.65,315.89,305.985,315.89,38569
2021-03-29,GNRC,315.625,319.82,302.765,303.18,73568
2021-03-30,GNRC,303.47,318.87,303.21,317.51,44698
2021-03-31,GNRC,324.29,329.855,320.9,327.66,79456
2021-04-01,GNRC,331.355,334.44,322.65,323.8,28861
2021-04-05,GNRC,328.255,329.0,322.71,324.955,31706
2021-04-06,GNRC,327.165,342.08,327.165,333.44,47928
2021-04-07,GNRC,329.01,331.08,323.94,325.89,31629
2021-04-08,GNRC,328.46,332.77,325.76,331.365,29448
2021-04-09,GNRC,326.975,331.5,324.69,330.17,21341
2021-04-12,GNRC,326.39,329.07,320.06,328.4,28615
2021-04-13,GNRC,329.21,330.175,325.475,328.44,14405
2021-04-14,GNRC,331.74,337.095,325.1,325.53,35465
2021-04-15,GNRC,328.53,328.53,323.7,326.86,29119
2021-04-16,GNRC,331.69,333.525,327.61,331.805,32649
2021-04-20,GNRC,318.555,321.71,308.59,313.8,34762
2021-04-21,GNRC,313.81,322.805,313.52,322.805,15559
2021-04-22,GNRC,327.55,328.995,320.115,321.67,35357
2021-04-23,GNRC,324.99,332.045,322.83,331.25,34316
2021-04-26,GNRC,334.54,334.54,325.97,330.68,17798
2021-04-27,GNRC,337.43,340.98,330.79,331.8,31330
2021-04-28,GNRC,329.21,329.21,315.45,316.28,62416
2021-04-29,GNRC,335.88,338.81,322.27,337.16,118073
2021-04-30,GNRC,333.555,335.67,320.38,324.03,78430
2021-05-03,GNRC,323.0,328.415,321.85,324.38,37420
2021-05-04,GNRC,319.91,319.91,305.75,312.905,50348
2021-05-05,GNRC,315.55,322.47,313.02,318.96,25202
2021-05-06,GNRC,316.32,319.91,310.42,318.135,37930
2021-05-07,GNRC,319.52,328.0,319.52,327.4,24000
2021-05-10,GNRC,321.66,321.805,304.34,305.13,70725
2021-05-11,GNRC,292.815,308.69,290.74,304.56,122132
2021-05-12,GNRC,297.285,301.43,287.91,289.14,90669
2021-05-13,GNRC,293.61,300.61,287.2,293.64,80976
2021-05-14,GNRC,296.74,301.705,294.07,300.84,33609
2021-05-17,GNRC,298.4,298.4,290.15,294.51,27287
2021-05-18,GNRC,297.1,301.96,294.675,296.865,41371
