date,tic,open,high,low,close,volume
2021-01-04,GOOGL,87.35,87.4,84.78,85.75,3217060
2021-01-05,GOOGL,85.59,86.56,85.26,86.32,1406080
2021-01-06,GOOGL,84.37,86.47,84.22,85.63,3395020
2021-01-07,GOOGL,85.86,88.22,85.78,88.11,2371940
2021-01-08,GOOGL,88.19,89.27,87.48,89.22,2121920
2021-01-11,GOOGL,88.13,88.5,86.94,87.31,1909200
2021-01-12,GOOGL,86.79,87.73,85.17,86.26,1976940
2021-01-13,GOOGL,85.82,87.13,85.79,86.79,1557780
2021-01-14,GOOGL,86.62,87.67,85.67,85.98,2393920
2021-01-15,GOOGL,85.99,86.62,84.94,85.74,1988840
2021-01-19,GOOGL,86.47,89.44,85.99,88.5,1909240
2021-01-20,GOOGL,90.6,94.22,90.34,93.33,3760240
2021-01-21,GOOGL,93.97,95.84,93.29,93.43,3799500
2021-01-22,GOOGL,93.64,94.49,93.16,93.95,2275060
2021-01-25,GOOGL,94.93,95.3,92.35,94.09,3458880
2021-01-26,GOOGL,93.56,95.05,93.19,94.7,2378140
2021-01-27,GOOGL,93.15,93.31,89.18,90.37,4306700
2021-01-28,GOOGL,90.98,93.62,90.86,91.82,3158000
2021-01-29,GOOGL,91.06,91.59,89.41,90.61,2326700
2021-02-01,GOOGL,91.53,94.92,91.53,93.95,2092780
2021-02-02,GOOGL,94.93,96.64,94.63,95.24,3378720
2021-02-03,GOOGL,102.43,104.51,100.12,102.22,5838580
2021-02-04,GOOGL,102.34,102.55,101.01,101.83,3105200
2021-02-05,GOOGL,102.14,103.98,101.79,103.66,1319720
2021-02-08,GOOGL,104.09,104.92,102.47,103.39,1745300
2021-02-09,GOOGL,102.83,104.07,102.74,102.89,1292520
2021-02-10,GOOGL,103.75,104.08,101.86,103.5,1492500
2021-02-11,GOOGL,103.76,103.76,102.72,103.63,1218880
2021-02-12,GOOGL,103.26,104.17,102.94,104.07,1140700
2021-02-16,GOOGL,104.06,106.38,104.06,104.9,1365240
2021-02-17,GOOGL,103.74,105.31,103.74,105.13,1178680
2021-02-18,GOOGL,104.33,105.28,103.88,104.45,1290260
2021-02-19,GOOGL,104.66,105.1,103.42,103.62,2197400
2021-02-22,GOOGL,101.81,102.99,101.68,101.97,1489900
2021-02-23,GOOGL,99.95,102.84,98.79,102.19,2374420
2021-02-24,GOOGL,100.74,103.61,100.61,103.44,1587840
2021-02-25,GOOGL,102.02,103.22,99.6,100.22,2841300
2021-02-26,GOOGL,100.89,101.99,99.35,100.37,2025040
2021-03-01,GOOGL,101.68,102.99,101.02,102.84,1668400
2021-03-02,GOOGL,102.32,103.9,102.24,102.39,1330580
2021-03-03,GOOGL,101.82,102.97,99.08,99.83,1565500
2021-03-04,GOOGL,99.92,102.9,99.62,100.85,3787780
2021-03-05,GOOGL,102.25,104.49,100.75,104.04,2238140
2021-03-08,GOOGL,103.43,104.75,99.5,99.5,2079320
2021-03-09,GOOGL,101.91,102.33,101.01,101.13,2286640
2021-03-10,GOOGL,101.97,102.12,100.26,101.02,1887580
2021-03-11,GOOGL,102.37,104.76,102.19,104.25,1299080
2021-03-12,GOOGL,103.06,103.07,100.89,101.85,2198080
2021-03-15,GOOGL,101.48,101.96,100.65,101.92,1476680
2021-03-16,GOOGL,102.32,104.8,102.3,103.35,1642500
2021-03-17,GOOGL,102.64,104.14,101.56,103.33,1610940
2021-03-18,GOOGL,102.14,102.49,100.22,100.33,1955520
2021-03-19,GOOGL,100.79,101.03,99.44,100.58,2122140
2021-03-22,GOOGL,100.63,101.62,100.0,100.73,1636660
