date,tic,open,high,low,close,volume
2021-01-04,GPC,88.0,88.0,84.97,85.83,28753
2021-01-05,GPC,86.4,87.04,85.28,86.6,26141
2021-01-06,GPC,87.33,90.38,87.33,90.08,65980
2021-01-07,GPC,90.29,90.68,89.11,90.6,26557
2021-01-08,GPC,90.71,90.77,89.11,90.16,47058
2021-01-11,GPC,89.99,92.12,89.72,91.68,32778
2021-01-12,GPC,91.45,94.66,91.19,94.64,47947
2021-01-13,GPC,94.19,94.19,92.0,92.34,35188
2021-01-14,GPC,92.53,93.13,91.52,91.53,28233
2021-01-15,GPC,90.74,91.34,88.77,89.06,48998
2021-01-19,GPC,89.13,89.22,86.49,86.8,38872
2021-01-20,GPC,86.54,87.85,85.83,87.22,66152
2021-01-21,GPC,87.2,89.36,87.2,89.17,41383
2021-01-22,GPC,88.09,88.87,87.51,88.68,25961
2021-01-25,GPC,88.42,89.08,87.24,88.24,52838
2021-01-26,GPC,88.06,88.99,87.26,88.56,33751
2021-01-27,GPC,87.64,87.64,83.99,86.09,73280
2021-01-28,GPC,86.77,87.43,84.57,84.63,40940
2021-01-29,GPC,84.22,85.04,81.67,81.92,168486
2021-02-01,GPC,82.49,83.2,81.77,82.6,47324
2021-02-02,GPC,83.03,85.45,82.78,85.04,52268
2021-02-03,GPC,84.68,86.13,84.33,85.99,28462
2021-02-04,GPC,86.12,87.59,86.12,87.57,36601
2021-02-05,GPC,88.23,88.73,87.49,88.69,48745
2021-02-08,GPC,88.73,90.36,88.73,90.36,41228
2021-02-09,GPC,90.13,90.91,89.91,90.41,31116
2021-02-10,GPC,90.96,90.96,89.4,89.91,39559
2021-02-11,GPC,89.46,90.03,87.62,87.68,26929
2021-02-12,GPC,86.79,88.19,86.11,86.63,37926
2021-02-16,GPC,86.95,89.51,86.95,88.86,38808
2021-02-17,GPC,87.84,88.08,85.7,86.31,63641
2021-02-18,GPC,85.92,88.62,85.92,88.18,67333
2021-02-19,GPC,88.55,89.72,87.5,89.31,79401
2021-02-22,GPC,88.68,91.59,88.54,91.2,48975
2021-02-23,GPC,91.3,92.77,90.99,91.48,52162
2021-02-24,GPC,91.74,93.37,91.1,92.73,37618
2021-02-25,GPC,92.76,93.34,91.58,91.93,29476
2021-02-26,GPC,92.79,93.38,91.5,91.93,120297
