date,tic,open,high,low,close,volume
2021-01-04,GPN,206.2,206.2,195.34,198.21,145844
2021-01-05,GPN,199.17,200.01,196.4,196.52,70025
2021-01-06,GPN,197.43,203.14,196.93,198.65,83810
2021-01-07,GPN,200.28,201.42,198.42,199.13,63563
2021-01-08,GPN,201.11,201.14,196.33,197.49,91817
2021-01-11,GPN,195.47,196.3,192.14,192.62,74584
2021-01-12,GPN,192.38,193.4,189.03,191.96,71494
2021-01-13,GPN,191.8,193.28,190.49,190.49,71525
2021-01-14,GPN,191.22,191.39,185.33,185.71,212012
2021-01-15,GPN,185.19,185.34,181.3,183.25,135348
2021-01-19,GPN,185.16,185.16,179.7,179.76,115561
2021-01-20,GPN,181.55,184.25,179.64,182.68,184328
2021-01-21,GPN,181.93,183.57,180.99,181.1,92257
2021-01-22,GPN,179.55,180.84,178.12,179.5,387694
2021-01-25,GPN,178.65,180.34,174.83,177.11,154801
2021-01-26,GPN,178.25,179.99,176.94,178.42,161080
2021-01-27,GPN,175.19,175.19,168.77,169.62,210496
2021-01-28,GPN,172.7,177.14,172.69,174.42,217873
2021-01-29,GPN,174.65,174.91,168.19,168.76,233291
2021-02-01,GPN,173.16,175.17,171.96,175.17,89890
2021-02-02,GPN,177.51,184.37,177.51,182.57,115170
2021-02-03,GPN,182.21,186.57,180.76,185.68,108705
2021-02-04,GPN,186.78,191.11,186.75,189.36,85663
2021-02-05,GPN,190.34,192.14,188.79,189.83,92954
2021-02-08,GPN,193.71,197.56,188.42,191.72,268090
2021-02-09,GPN,189.96,195.96,189.59,194.41,119245
2021-02-10,GPN,195.15,196.15,193.27,193.57,196987
2021-02-11,GPN,193.51,193.79,190.01,191.12,174749
2021-02-12,GPN,188.88,190.25,187.02,188.76,101928
2021-02-16,GPN,189.7,189.7,186.06,188.31,115049
2021-02-17,GPN,187.27,187.42,184.06,184.63,84531
2021-02-18,GPN,183.72,187.7,182.65,185.26,151708
2021-02-19,GPN,185.85,187.72,185.0,185.71,115738
2021-02-22,GPN,183.79,190.43,182.91,187.63,148318
2021-02-23,GPN,187.58,191.5,185.25,189.41,187259
2021-02-24,GPN,189.36,196.99,188.49,195.65,135056
2021-02-25,GPN,194.25,195.52,189.42,190.93,223252
