date,tic,open,high,low,close,volume
2021-01-04,GWW,388.1,388.1,370.72,372.81,35798
2021-01-05,GWW,373.1,377.25,372.73,373.92,26209
2021-01-06,GWW,375.58,379.71,374.27,375.77,29874
2021-01-07,GWW,375.5,379.31,370.7,379.26,26734
2021-01-08,GWW,381.67,382.51,367.94,375.43,28092
2021-01-11,GWW,373.04,374.29,370.37,370.5,20642
2021-01-12,GWW,373.8,380.96,370.92,380.54,29747
2021-01-13,GWW,379.17,379.23,366.94,367.48,28023
2021-01-14,GWW,371.18,371.18,361.65,362.14,20382
2021-01-15,GWW,361.41,369.34,358.77,367.66,35386
2021-01-19,GWW,371.27,374.04,368.49,373.7,17567
2021-01-20,GWW,374.61,374.61,367.78,372.22,25579
2021-01-21,GWW,373.72,374.45,369.09,370.6,17356
2021-01-22,GWW,367.39,374.63,366.9,372.84,15504
2021-01-25,GWW,371.94,373.06,366.15,367.28,27277
2021-01-26,GWW,366.93,368.24,356.49,356.52,26313
2021-01-27,GWW,354.14,354.45,343.45,350.4,43461
2021-01-28,GWW,354.79,355.57,349.49,352.47,87456
2021-01-29,GWW,348.04,354.06,341.96,344.59,40233
2021-02-01,GWW,350.06,352.63,347.09,350.87,42259
2021-02-02,GWW,354.05,357.38,350.74,353.44,52587
2021-02-03,GWW,343.63,352.06,337.24,346.36,71421
2021-02-04,GWW,349.18,358.1,347.07,352.14,47014
2021-02-05,GWW,354.05,354.4,346.76,349.93,29062
2021-02-08,GWW,352.54,362.88,352.54,360.26,31643
2021-02-09,GWW,358.29,360.04,354.44,355.97,17836
2021-02-10,GWW,356.34,359.16,355.21,357.51,36691
2021-02-11,GWW,358.39,362.0,353.69,355.34,17764
2021-02-12,GWW,356.5,356.77,352.56,353.88,18838
2021-02-16,GWW,355.08,356.08,351.41,351.41,16583
2021-02-17,GWW,350.68,354.78,349.19,353.86,18938
2021-02-18,GWW,354.4,358.54,352.14,357.87,16577
2021-02-19,GWW,361.59,364.09,360.46,360.48,19804
2021-02-22,GWW,358.84,362.08,357.03,358.85,16967
2021-02-23,GWW,360.63,361.48,351.66,360.71,28521
2021-02-24,GWW,362.36,368.19,360.14,366.53,26966
2021-02-25,GWW,369.13,369.82,360.75,361.53,12956
2021-02-26,GWW,363.3,363.54,354.49,354.49,31815
2021-03-01,GWW,359.35,371.62,359.35,368.66,20431
2021-03-02,GWW,366.85,367.8,363.97,366.62,13571
2021-03-03,GWW,367.82,373.59,367.82,369.54,16531
2021-03-04,GWW,370.94,370.94,357.52,359.94,31876
2021-03-05,GWW,363.81,379.93,359.06,379.56,48440
2021-03-08,GWW,378.37,385.8,378.2,378.93,37339
2021-03-09,GWW,379.72,382.12,368.95,369.11,35842
2021-03-10,GWW,369.65,379.21,368.24,377.08,29264
2021-03-11,GWW,375.36,375.86,367.07,367.19,19088
2021-03-12,GWW,368.67,375.87,367.7,375.63,16229
2021-03-15,GWW,375.27,380.4,374.17,379.79,23001
2021-03-16,GWW,377.25,377.75,368.77,370.19,25923
2021-03-17,GWW,370.84,380.9,369.52,380.84,26314
2021-03-18,GWW,381.91,388.29,381.5,384.39,17738
2021-03-19,GWW,379.74,384.5,375.34,380.9,17855
2021-03-22,GWW,381.72,381.72,374.96,380.12,10599
2021-03-23,GWW,380.97,382.2,372.82,374.66,11944
2021-03-24,GWW,376.41,380.88,375.27,375.54,15246
2021-03-25,GWW,373.16,379.65,370.98,377.82,12729
2021-03-26,GWW,379.12,380.2,375.63,379.35,39619
2021-03-29,GWW,379.02,383.92,377.98,380.49,14401
2021-03-30,GWW,380.66,382.3,378.34,378.63,9693
2021-03-31,GWW,378.52,382.93,375.82,381.41,27914
2021-04-01,GWW,382.75,387.16,377.24,386.74,34139
2021-04-05,GWW,384.84,387.51,383.95,387.51,29399
2021-04-06,GWW,387.41,394.77,387.41,388.74,16492
2021-04-07,GWW,389.8,389.8,378.25,378.4,15180
2021-04-08,GWW,380.28,382.32,377.39,378.11,30645
2021-04-09,GWW,379.34,381.76,376.98,381.65,29939
2021-04-12,GWW,383.62,386.66,382.36,385.96,16890
2021-04-13,GWW,384.44,384.44,377.96,380.97,16185
2021-04-14,GWW,379.87,386.02,379.87,380.9,12009
2021-04-15,GWW,379.73,384.54,379.73,384.06,10631
2021-04-16,GWW,384.81,387.79,382.02,386.86,16805
2021-04-20,GWW,390.07,393.62,389.75,393.48,33102
2021-04-21,GWW,395.32,406.54,395.31,403.4,37314
2021-04-22,GWW,405.2,405.2,397.99,398.5,18347
2021-04-23,GWW,401.23,404.09,397.98,402.76,10471
2021-04-26,GWW,403.33,405.4,398.86,398.98,7613
2021-04-27,GWW,400.62,402.67,397.8,402.57,11199
2021-04-28,GWW,403.54,406.11,400.86,401.74,25879
2021-04-29,GWW,406.22,409.25,402.99,409.06,19077
2021-04-30,GWW,418.75,429.57,411.2,412.23,52092
2021-05-03,GWW,421.88,423.94,417.03,421.7,16436
2021-05-04,GWW,423.49,434.01,423.41,433.89,28906
2021-05-05,GWW,435.18,438.06,430.63,437.71,27410
2021-05-06,GWW,439.58,439.96,432.1,436.33,27893
2021-05-07,GWW,433.03,445.79,433.03,444.01,27947
2021-05-10,GWW,447.97,457.3,447.97,452.55,21712
2021-05-11,GWW,448.16,449.81,439.82,441.72,17207
2021-05-12,GWW,441.81,442.11,432.7,433.19,15947
2021-05-13,GWW,433.28,444.97,433.28,443.84,18436
2021-05-14,GWW,445.57,445.68,441.84,445.34,16205
2021-05-17,GWW,446.38,446.38,440.83,445.67,6269
2021-05-18,GWW,444.91,445.28,433.99,433.99,14413
2021-05-19,GWW,430.06,435.58,426.9,435.21,13039
2021-05-20,GWW,436.05,436.99,433.32,433.86,10063
2021-05-21,GWW,437.88,439.49,435.08,435.73,7750
2021-05-24,GWW,436.14,440.15,436.07,438.71,5129
2021-05-25,GWW,439.28,440.24,437.82,439.6,3744
2021-05-26,GWW,441.22,441.22,436.82,438.84,5736
2021-05-27,GWW,444.16,444.16,437.74,438.35,10810
2021-05-28,GWW,441.52,442.75,440.58,441.19,7026
2021-06-01,GWW,444.72,445.95,440.27,441.2,5563
2021-06-02,GWW,439.55,444.7,439.55,440.36,9497
2021-06-03,GWW,438.8,443.05,437.25,442.02,6277
2021-06-04,GWW,444.46,444.47,439.86,443.72,7348
2021-06-07,GWW,442.21,442.21,438.2,439.1,6335
2021-06-08,GWW,437.26,441.98,435.19,441.02,5596
2021-06-09,GWW,440.03,440.03,437.75,437.75,2466
2021-06-10,GWW,440.05,440.16,437.4,438.43,8016
2021-06-11,GWW,438.5,438.88,437.64,438.12,3061
2021-06-14,GWW,437.14,437.14,431.17,433.89,11931
2021-06-15,GWW,432.96,437.74,430.59,437.1,9742
2021-06-16,GWW,437.6,437.6,428.28,428.38,13121
2021-06-17,GWW,426.55,427.61,417.14,420.18,30533
2021-06-18,GWW,415.39,418.86,415.3,416.51,17402
2021-06-21,GWW,419.87,425.96,419.87,424.32,16872
2021-06-22,GWW,420.73,424.85,420.73,422.13,12593
2021-06-23,GWW,419.72,427.22,419.0,424.22,17275
2021-06-24,GWW,425.81,425.81,420.5,421.0,9236
2021-06-25,GWW,423.42,425.42,422.19,422.47,11217
2021-06-28,GWW,421.5,424.15,420.44,423.53,9980
2021-06-29,GWW,423.64,428.1,423.1,427.93,19918
2021-06-30,GWW,427.67,428.51,416.82,418.06,32450
2021-07-01,GWW,422.19,425.14,419.73,424.19,41906
2021-07-02,GWW,423.09,428.48,423.09,426.24,10099
2021-07-06,GWW,428.05,430.51,419.02,426.89,15325
2021-07-07,GWW,427.11,438.12,426.36,438.12,13186
2021-07-08,GWW,432.43,434.58,427.43,429.13,13017
2021-07-09,GWW,434.15,436.66,433.14,435.67,6815
2021-07-12,GWW,434.82,437.1,433.33,436.66,12830
2021-07-13,GWW,434.42,437.82,432.79,434.6,13311
2021-07-14,GWW,435.67,437.76,432.74,436.33,16658
2021-07-15,GWW,434.6,439.49,434.6,436.51,16158
2021-07-16,GWW,437.67,437.67,431.68,432.31,14353
2021-07-19,GWW,429.92,429.92,425.67,428.7,22001
2021-07-20,GWW,431.87,438.83,431.87,438.04,8010
2021-07-21,GWW,442.75,442.75,435.36,436.64,11141
2021-07-22,GWW,434.67,436.09,433.46,433.61,5906
2021-07-23,GWW,434.1,438.07,433.94,437.56,9202
2021-07-26,GWW,435.14,436.93,432.51,434.9,9755
2021-07-27,GWW,433.65,435.85,432.24,435.26,9722
2021-07-28,GWW,435.91,435.91,428.01,433.36,11866
2021-07-29,GWW,435.05,440.38,434.8,440.19,24970
2021-07-30,GWW,422.98,432.33,422.12,423.75,42931
2021-08-02,GWW,418.62,423.59,418.62,419.91,27855
2021-08-03,GWW,423.78,426.49,419.38,424.29,24849
2021-08-04,GWW,423.25,423.85,417.43,419.27,27984
2021-08-05,GWW,422.0,423.75,417.86,419.12,54596
2021-08-06,GWW,421.57,421.57,416.92,419.99,14284
2021-08-09,GWW,417.8,419.61,417.13,418.58,8611
2021-08-10,GWW,421.16,426.02,421.16,423.53,11267
2021-08-11,GWW,425.15,427.49,422.93,425.58,18590
2021-08-12,GWW,427.41,427.41,419.33,419.33,17427
2021-08-13,GWW,420.34,421.67,419.18,419.56,8468
2021-08-16,GWW,417.77,424.01,417.46,421.12,11178
2021-08-17,GWW,418.84,419.6,414.56,418.04,14271
2021-08-18,GWW,415.62,418.22,409.86,409.86,19108
2021-08-19,GWW,410.0,413.98,407.03,411.19,12910
2021-08-20,GWW,415.29,416.77,412.6,412.75,19324
2021-08-23,GWW,415.33,417.33,413.78,414.02,16096
2021-08-24,GWW,415.59,417.19,412.76,412.76,14011
2021-08-25,GWW,413.67,418.02,413.67,417.36,10431
2021-08-26,GWW,414.13,414.96,410.15,410.5,19138
2021-08-27,GWW,413.13,414.68,412.64,414.0,6510
2021-08-30,GWW,414.9,419.74,414.9,416.38,15195
2021-08-31,GWW,414.57,418.36,413.65,415.88,13838
2021-09-01,GWW,413.85,413.91,406.97,411.42,28631
2021-09-02,GWW,413.4,417.42,412.7,417.16,32186
2021-09-03,GWW,413.15,415.17,410.78,411.1,16774
2021-09-07,GWW,408.51,408.55,403.74,403.86,27588
2021-09-08,GWW,402.67,403.38,396.68,400.57,32415
2021-09-09,GWW,400.57,402.84,397.98,399.48,17351
2021-09-10,GWW,400.94,400.94,397.19,397.39,13510
2021-09-13,GWW,400.01,400.01,390.73,395.72,21163
2021-09-14,GWW,394.54,394.8,390.59,392.31,42883
2021-09-15,GWW,390.56,396.99,390.56,394.68,25563
2021-09-16,GWW,393.42,394.91,391.5,391.81,12601
2021-09-17,GWW,389.77,389.77,384.98,385.51,13519
2021-09-20,GWW,379.33,387.58,379.33,387.4,15591
2021-09-21,GWW,387.38,389.2,384.1,384.47,13007
2021-09-22,GWW,385.24,387.33,384.44,385.08,5972
2021-09-23,GWW,387.91,389.07,385.85,386.26,9155
2021-09-24,GWW,388.56,389.26,387.67,388.74,6136
2021-09-27,GWW,389.85,395.53,389.85,390.99,14294
2021-09-28,GWW,391.45,391.87,385.42,385.49,16371
2021-09-29,GWW,387.72,389.5,384.5,384.69,7184
2021-09-30,GWW,385.38,387.52,376.64,376.64,12675
2021-10-01,GWW,375.64,384.3,374.64,381.34,9630
2021-10-04,GWW,383.94,383.94,377.1,380.45,13554
2021-10-05,GWW,383.09,388.22,381.0,385.67,11543
2021-10-06,GWW,383.14,392.4,382.26,392.4,15018
2021-10-07,GWW,401.85,404.57,397.96,398.93,25363
2021-10-08,GWW,397.04,401.07,396.67,399.92,11391
2021-10-11,GWW,401.36,402.29,396.21,396.26,6076
2021-10-12,GWW,398.05,408.61,397.95,402.74,13987
2021-10-13,GWW,404.09,405.01,400.21,403.68,11964
2021-10-14,GWW,405.57,409.85,404.81,409.8,11549
2021-10-15,GWW,412.66,412.66,410.62,410.84,11942
2021-10-18,GWW,410.49,413.66,410.38,412.65,7272
2021-10-19,GWW,414.57,419.13,413.43,417.93,11238
2021-10-20,GWW,418.81,419.59,417.62,418.62,4214
2021-10-21,GWW,417.55,419.57,416.51,418.82,3122
2021-10-22,GWW,422.2,422.2,418.36,418.6,4291
2021-10-26,GWW,415.89,416.97,412.25,412.51,9111
2021-10-27,GWW,411.77,413.36,404.29,406.39,17036
2021-10-28,GWW,409.04,413.17,408.91,412.24,18000
2021-10-29,GWW,430.86,446.13,426.07,443.87,49122
2021-11-01,GWW,444.5,448.86,442.4,448.2,13503
2021-11-02,GWW,448.99,454.55,448.99,450.98,18053
2021-11-03,GWW,450.28,456.36,449.21,454.47,21566
2021-11-04,GWW,454.88,462.86,454.86,459.46,17918
2021-11-05,GWW,463.37,464.53,453.89,454.39,13027
2021-11-08,GWW,452.97,456.3,451.99,456.3,6279
2021-11-09,GWW,456.65,463.88,456.65,463.88,5330
2021-11-10,GWW,462.94,463.96,459.15,462.33,4584
2021-11-11,GWW,460.57,465.53,460.57,465.01,9638
2021-11-12,GWW,467.42,471.37,467.42,470.4,2942
2021-11-15,GWW,471.16,471.16,465.72,465.83,7526
2021-11-16,GWW,469.87,474.54,469.87,470.36,5467
2021-11-17,GWW,466.95,468.09,464.37,467.49,6490
2021-11-18,GWW,468.16,468.16,463.07,463.19,8665
2021-11-19,GWW,463.26,465.79,462.66,463.93,15074
2021-11-22,GWW,464.22,476.06,464.22,473.26,25420
2021-11-23,GWW,474.1,478.85,471.27,478.54,16601
2021-11-24,GWW,477.19,481.11,476.87,479.02,13371
2021-11-26,GWW,472.47,476.13,469.8,470.48,9025
2021-11-29,GWW,472.73,478.32,470.1,476.7,11119
2021-11-30,GWW,472.24,472.24,462.3,462.33,16316
2021-12-01,GWW,466.26,469.1,458.97,458.97,28842
2021-12-02,GWW,459.51,471.77,459.51,467.98,7689
2021-12-03,GWW,469.67,472.63,464.81,472.63,16977
2021-12-06,GWW,479.36,482.25,474.14,480.34,12144
2021-12-07,GWW,482.54,490.15,482.54,488.13,17783
2021-12-08,GWW,486.57,487.58,481.31,485.7,9260
2021-12-09,GWW,484.65,485.27,483.43,483.72,7338
2021-12-10,GWW,485.56,494.23,484.92,493.3,14549
2021-12-13,GWW,490.25,490.25,485.22,487.03,15629
2021-12-14,GWW,485.25,488.47,483.58,487.04,9007
2021-12-15,GWW,487.31,494.56,487.31,493.8,10780
2021-12-16,GWW,496.08,496.08,485.08,488.4,11448
2021-12-17,GWW,486.92,489.21,471.8,473.76,9095
2021-12-20,GWW,468.5,471.3,461.78,470.37,19783
2021-12-21,GWW,473.48,477.9,471.66,477.85,13234
2021-12-22,GWW,477.68,481.06,477.68,480.32,9182
2021-12-23,GWW,486.04,488.09,483.21,483.21,9254
2021-12-27,GWW,486.7,495.89,486.7,495.87,9202
2021-12-28,GWW,497.84,500.69,496.37,500.5,13926
2021-12-29,GWW,502.2,506.11,502.2,505.58,7510
2021-12-30,GWW,504.59,504.59,496.36,496.39,9074
2021-12-31,GWW,497.76,499.46,495.0,498.15,6890
2022-01-03,GWW,493.45,493.45,486.57,489.8,8494
2022-01-04,GWW,491.64,502.33,491.64,500.62,13769
2022-01-05,GWW,499.52,502.79,488.83,488.83,18281
2022-01-06,GWW,488.99,494.05,486.51,489.47,17948
2022-01-07,GWW,487.67,490.64,486.26,486.42,10877
2022-01-10,GWW,481.54,481.64,476.15,479.23,10053
2022-01-11,GWW,472.57,486.39,471.97,486.26,8407
2022-01-12,GWW,492.54,494.82,488.07,489.9,8223
2022-01-13,GWW,491.48,495.69,485.94,487.75,25764
2022-01-14,GWW,482.81,485.23,471.7,484.56,16823
2022-01-18,GWW,477.22,494.86,472.95,486.57,25056
2022-01-19,GWW,489.18,489.18,478.26,478.28,13319
2022-01-20,GWW,476.6,482.64,471.5,471.9,18410
2022-01-21,GWW,474.77,481.91,471.13,473.4,25279
2022-01-24,GWW,467.65,474.11,461.06,474.11,27127
2022-01-25,GWW,470.59,471.27,457.34,467.28,37630
2022-01-26,GWW,470.03,473.62,458.86,462.44,33387
2022-01-27,GWW,467.53,467.53,458.54,462.91,24932
2022-01-28,GWW,463.13,476.01,457.02,476.01,18092
2022-01-31,GWW,474.13,476.94,469.01,475.8,22325
2022-02-01,GWW,483.06,483.06,471.2,475.35,18053
2022-02-02,GWW,479.07,483.24,472.33,480.69,27572
2022-02-03,GWW,495.88,503.85,486.74,487.58,54909
2022-02-04,GWW,487.77,490.33,468.21,468.21,47152
2022-02-07,GWW,467.1,467.1,458.44,459.27,24921
2022-02-08,GWW,462.26,464.81,457.73,463.19,29448
2022-02-09,GWW,466.12,472.39,466.12,469.86,19356
2022-02-10,GWW,461.41,463.94,451.02,455.22,34756
2022-02-11,GWW,453.4,455.24,442.78,451.05,41116
2022-02-14,GWW,447.55,452.35,445.67,449.37,20721
2022-02-15,GWW,451.73,455.81,450.97,453.01,12632
2022-02-16,GWW,451.48,458.03,450.65,457.65,11550
2022-02-17,GWW,452.25,458.22,451.55,454.44,17783
2022-02-18,GWW,459.08,459.08,453.24,457.08,11194
2022-02-22,GWW,456.37,459.15,451.53,455.2,26054
2022-02-23,GWW,459.86,459.86,445.54,445.68,17551
2022-02-24,GWW,439.94,449.79,437.37,449.7,30186
2022-02-25,GWW,452.54,459.87,452.54,459.58,13972
2022-02-28,GWW,454.42,459.83,451.89,459.83,15088
2022-03-01,GWW,458.92,458.92,446.28,449.32,28536
2022-03-02,GWW,457.08,464.78,456.38,463.16,18112
2022-03-03,GWW,468.41,468.41,463.24,463.92,32596
2022-03-04,GWW,460.64,470.07,455.66,470.07,23731
2022-03-07,GWW,465.6,487.59,465.6,473.37,31890
2022-03-09,GWW,477.87,480.51,469.44,470.04,13674
2022-03-10,GWW,465.02,468.57,458.28,466.91,22587
2022-03-11,GWW,470.35,470.41,454.92,454.92,16028
2022-03-14,GWW,454.98,469.96,453.92,466.21,33989
