date,tic,open,high,low,close,volume
2021-01-04,HAL,17.53,17.76,16.96,17.18,232886
2021-01-05,HAL,17.55,19.16,17.55,18.63,367007
2021-01-06,HAL,19.12,19.18,18.73,19.01,450388
2021-01-07,HAL,19.17,19.35,18.45,18.58,375946
2021-01-08,HAL,18.79,18.81,18.15,18.38,175636
2021-01-11,HAL,17.67,18.88,17.6,18.78,478450
2021-01-12,HAL,19.06,20.29,18.9,20.22,424532
2021-01-13,HAL,20.05,20.05,19.54,19.7,202350
2021-01-14,HAL,19.75,20.25,19.69,19.88,204268
2021-01-15,HAL,19.43,19.56,18.68,18.92,326625
2021-01-19,HAL,19.29,19.47,18.54,18.77,637855
2021-01-20,HAL,19.36,19.43,18.11,18.33,343975
2021-01-21,HAL,18.26,18.6,17.56,17.74,430791
2021-01-22,HAL,17.25,17.61,16.86,17.6,377943
2021-01-25,HAL,17.34,17.46,16.66,17.02,379799
2021-01-26,HAL,17.19,17.43,16.61,16.62,242886
2021-01-27,HAL,16.21,16.63,15.74,15.74,571549
2021-01-28,HAL,16.02,16.89,15.98,16.68,295832
2021-01-29,HAL,16.55,16.71,16.0,16.11,211380
2021-02-01,HAL,16.42,16.6,16.04,16.31,141765
2021-02-02,HAL,16.85,17.0,16.46,16.47,221181
2021-02-03,HAL,16.54,17.2,16.54,17.18,301165
2021-02-04,HAL,17.29,17.48,16.95,17.46,216448
2021-02-05,HAL,17.81,17.95,17.33,17.33,283270
2021-02-08,HAL,17.53,18.36,17.49,18.31,195385
2021-02-09,HAL,18.03,18.34,17.62,18.05,235658
2021-02-10,HAL,18.23,18.54,17.89,18.5,320885
2021-02-11,HAL,18.33,18.33,17.39,17.74,230810
2021-02-12,HAL,17.5,18.51,17.5,18.41,310387
2021-02-16,HAL,18.85,19.07,18.62,18.8,261035
2021-02-17,HAL,19.07,19.07,18.28,18.75,230732
2021-02-18,HAL,18.56,18.57,17.7,17.87,263551
2021-02-19,HAL,17.91,18.53,17.81,18.44,265290
2021-02-22,HAL,18.39,19.82,18.39,19.29,349900
2021-02-23,HAL,19.42,19.46,18.05,19.13,296855
2021-02-24,HAL,19.2,20.58,19.12,20.33,379218
2021-02-25,HAL,20.58,20.74,19.84,20.12,778049
2021-02-26,HAL,19.92,20.2,19.06,19.95,282125
2021-03-01,HAL,20.39,21.01,20.23,21.01,305105
2021-03-02,HAL,20.89,21.4,20.38,20.38,188351
2021-03-03,HAL,20.62,20.94,20.3,20.37,304618
2021-03-04,HAL,20.59,21.02,19.3,20.2,473935
2021-03-05,HAL,20.83,21.86,20.17,21.81,576003
2021-03-08,HAL,21.91,22.63,21.73,22.28,595666
2021-03-09,HAL,22.0,22.26,21.46,21.47,337220
2021-03-10,HAL,21.4,22.21,21.34,22.09,289690
2021-03-11,HAL,22.16,22.56,21.77,21.84,470763
2021-03-12,HAL,21.81,22.16,21.66,21.97,182205
2021-03-15,HAL,22.0,22.35,21.66,21.95,253264
2021-03-16,HAL,21.52,21.52,20.71,20.94,356305
2021-03-17,HAL,20.7,21.43,20.67,21.36,361906
2021-03-18,HAL,21.13,21.4,20.17,20.27,502017
2021-03-19,HAL,20.16,20.51,19.91,19.91,880758
2021-03-22,HAL,19.9,19.91,19.47,19.7,344247
2021-03-23,HAL,19.12,19.6,18.82,19.05,380221
2021-03-24,HAL,19.46,19.87,19.36,19.48,328160
2021-03-25,HAL,18.88,19.44,18.33,19.4,318288
2021-03-26,HAL,19.84,19.95,19.43,19.95,546566
2021-03-29,HAL,19.63,19.73,19.11,19.41,128740
2021-03-30,HAL,19.19,19.83,19.19,19.65,157222
2021-03-31,HAL,19.69,19.93,19.48,19.65,106795
2021-04-01,HAL,19.82,20.08,19.45,20.05,261212
2021-04-05,HAL,20.07,20.07,19.32,19.52,236604
2021-04-06,HAL,19.64,20.12,19.43,19.45,263595
2021-04-07,HAL,19.52,19.75,19.34,19.6,184163
2021-04-08,HAL,19.43,19.66,18.93,19.53,369066
2021-04-09,HAL,19.55,19.76,19.15,19.27,166482
2021-04-12,HAL,19.48,19.63,19.03,19.22,214822
2021-04-13,HAL,19.21,19.23,18.79,18.97,97146
2021-04-14,HAL,19.17,20.11,19.16,19.81,341279
2021-04-15,HAL,19.85,19.85,19.17,19.29,169765
2021-04-16,HAL,19.47,19.52,18.8,18.92,317755
2021-04-20,HAL,18.8,18.8,17.91,18.12,346887
2021-04-21,HAL,16.96,17.79,16.83,17.48,690980
2021-04-22,HAL,17.64,17.87,17.33,17.58,486678
2021-04-23,HAL,17.66,17.66,17.29,17.42,242330
2021-04-26,HAL,17.44,17.99,17.42,17.78,250583
2021-04-27,HAL,17.71,17.84,17.19,17.67,275981
2021-04-28,HAL,17.82,18.52,17.82,18.43,345484
