date,tic,open,high,low,close,volume
2021-01-04,HAS,76.67,76.67,74.09,75.3,54219
2021-01-05,HAS,75.78,77.24,75.59,76.32,23228
2021-01-06,HAS,76.36,78.22,76.36,77.49,35400
2021-01-07,HAS,78.05,78.3,77.28,77.75,45359
2021-01-08,HAS,78.22,79.88,77.95,79.73,56889
2021-01-11,HAS,78.91,80.16,78.83,79.4,56304
2021-01-12,HAS,79.39,81.65,79.39,81.25,62944
2021-01-13,HAS,81.02,81.58,80.57,81.37,31631
2021-01-14,HAS,81.64,82.98,81.16,81.29,162809
2021-01-15,HAS,80.41,80.46,79.21,79.59,36430
2021-01-19,HAS,79.98,79.98,77.71,78.91,32039
2021-01-20,HAS,78.45,79.03,77.16,77.64,47384
2021-01-21,HAS,77.73,80.27,77.39,79.5,32474
2021-01-22,HAS,79.14,80.09,78.29,80.08,16550
2021-01-25,HAS,79.58,80.69,78.32,78.45,46578
2021-01-26,HAS,79.18,79.18,76.29,78.01,60919
2021-01-27,HAS,77.28,78.08,74.82,76.37,141249
2021-01-28,HAS,77.03,78.32,76.61,78.08,117778
2021-01-29,HAS,77.43,78.07,76.3,76.97,56667
2021-02-01,HAS,77.19,78.05,76.63,77.94,31162
2021-02-02,HAS,78.35,79.63,77.74,78.88,33795
2021-02-03,HAS,78.81,80.0,78.24,79.68,42594
2021-02-04,HAS,79.59,80.7,79.54,79.95,39158
2021-02-05,HAS,80.28,81.27,79.4,80.33,67900
2021-02-08,HAS,82.14,82.14,76.32,76.85,128563
2021-02-09,HAS,76.37,76.92,74.79,74.79,61796
2021-02-10,HAS,75.28,77.14,74.14,76.15,61444
2021-02-11,HAS,75.88,76.28,74.51,74.8,73576
2021-02-12,HAS,74.51,75.56,74.51,75.51,46355
2021-02-16,HAS,75.62,76.45,73.79,73.8,85487
2021-02-17,HAS,74.12,75.27,73.65,75.0,50844
2021-02-18,HAS,74.64,75.85,74.53,75.43,28500
2021-02-19,HAS,76.15,76.31,74.28,74.29,43711
2021-02-22,HAS,74.1,75.91,74.03,75.72,56125
2021-02-23,HAS,75.67,76.15,74.8,75.46,40352
2021-02-24,HAS,75.36,76.19,74.6,75.11,79394
2021-02-25,HAS,75.28,77.55,73.7,75.82,125739
2021-02-26,HAS,76.33,78.43,76.04,77.28,188149
2021-03-01,HAS,77.88,79.39,77.32,78.49,72029
2021-03-02,HAS,78.68,79.09,77.2,78.67,47391
2021-03-03,HAS,78.76,78.76,76.7,76.71,50503
2021-03-04,HAS,76.82,76.92,74.61,76.08,82180
2021-03-05,HAS,76.74,78.46,75.6,78.24,46481
2021-03-08,HAS,78.28,81.07,77.98,80.33,58092
2021-03-09,HAS,80.9,81.67,78.99,79.16,81714
2021-03-10,HAS,78.96,80.15,78.62,79.87,44558
2021-03-11,HAS,79.75,80.49,78.1,78.34,57657
2021-03-12,HAS,78.24,78.72,77.69,78.36,38786
2021-03-15,HAS,78.51,80.63,78.42,80.47,41628
2021-03-16,HAS,80.78,80.78,79.63,80.42,39187
2021-03-17,HAS,79.89,80.08,76.66,78.39,70315
2021-03-18,HAS,78.48,80.45,78.48,78.82,57059
2021-03-19,HAS,78.37,79.48,78.05,79.25,47683
2021-03-22,HAS,79.79,80.94,79.21,79.95,53022
2021-03-23,HAS,80.18,80.32,79.65,79.89,49563
2021-03-24,HAS,80.27,81.06,79.02,79.05,44293
