date,tic,open,high,low,close,volume
2021-01-04,HCA,156.85,157.96,151.87,156.66,91146
2021-01-05,HCA,155.77,159.65,155.56,157.88,60876
2021-01-06,HCA,161.19,166.75,161.17,163.39,117913
2021-01-07,HCA,165.36,167.0,164.23,166.31,102099
2021-01-08,HCA,166.46,166.93,162.47,164.88,45108
2021-01-11,HCA,164.08,165.8,162.62,164.08,29556
2021-01-12,HCA,163.98,165.14,162.8,165.14,37145
2021-01-13,HCA,164.71,165.32,161.52,163.38,43125
2021-01-14,HCA,163.55,164.16,160.61,161.24,44789
2021-01-15,HCA,160.51,162.27,159.37,161.64,66745
2021-01-19,HCA,163.34,164.32,159.09,159.09,87465
2021-01-20,HCA,158.98,161.87,158.72,161.03,36573
2021-01-21,HCA,160.76,161.48,159.75,160.43,51453
2021-01-22,HCA,159.55,160.28,158.42,159.93,73409
2021-01-25,HCA,159.44,161.64,157.74,161.46,60083
2021-01-26,HCA,161.53,162.99,157.15,157.15,108003
2021-01-27,HCA,154.46,155.38,149.85,150.33,118346
2021-01-28,HCA,152.63,159.5,152.63,156.83,127745
2021-01-29,HCA,156.38,158.74,153.1,155.75,86048
2021-02-01,HCA,157.56,162.14,157.08,160.39,82683
2021-02-02,HCA,161.98,163.68,158.12,158.95,184036
2021-02-03,HCA,158.67,166.53,158.51,165.87,120614
2021-02-04,HCA,166.47,171.9,166.47,171.63,83059
2021-02-05,HCA,171.89,173.37,168.25,169.29,102989
2021-02-08,HCA,169.61,172.25,169.17,171.38,65180
2021-02-09,HCA,171.55,172.24,167.65,167.95,92793
2021-02-10,HCA,168.79,169.5,166.77,167.4,84822
2021-02-11,HCA,168.04,169.29,167.19,168.05,38464
2021-02-12,HCA,167.84,168.33,164.89,166.3,71547
2021-02-16,HCA,167.39,167.39,164.58,166.75,47068
2021-02-17,HCA,166.06,169.53,165.85,169.07,73081
2021-02-18,HCA,167.66,168.28,166.45,167.21,34638
2021-02-19,HCA,167.88,170.25,167.43,169.95,78498
2021-02-22,HCA,164.2,169.17,163.52,167.52,72802
2021-02-23,HCA,167.64,168.77,165.87,167.73,106945
2021-02-24,HCA,166.73,171.23,166.73,168.08,63448
2021-02-25,HCA,168.58,169.34,165.87,167.68,47855
2021-02-26,HCA,168.13,168.94,164.69,164.84,82884
2021-03-01,HCA,167.01,169.63,166.66,168.15,70616
2021-03-02,HCA,168.21,171.36,168.1,170.62,38430
2021-03-03,HCA,168.34,171.65,167.8,168.14,63470
2021-03-04,HCA,168.02,173.34,167.39,168.89,66849
2021-03-05,HCA,170.43,177.04,168.74,176.02,119025
2021-03-08,HCA,176.65,182.16,176.56,181.26,118193
2021-03-09,HCA,182.36,185.79,176.19,176.56,148152
2021-03-10,HCA,178.88,180.19,177.1,177.62,69649
2021-03-11,HCA,177.22,178.72,177.01,177.47,73101
2021-03-12,HCA,177.94,182.37,177.94,181.47,46849
2021-03-15,HCA,181.97,184.78,181.12,183.8,70629
2021-03-16,HCA,182.78,183.96,178.01,178.25,85753
2021-03-17,HCA,179.11,180.62,177.69,177.98,65756
2021-03-18,HCA,178.36,183.42,178.36,180.52,69410
2021-03-19,HCA,179.81,184.7,179.81,181.04,105787
2021-03-22,HCA,181.37,181.74,179.99,180.74,47302
2021-03-23,HCA,180.44,181.33,174.87,176.41,92635
2021-03-24,HCA,177.32,181.52,177.32,177.36,57353
2021-03-25,HCA,176.76,181.27,176.06,179.92,72929
2021-03-26,HCA,180.49,183.61,180.03,183.54,97139
2021-03-29,HCA,183.45,184.79,178.18,179.73,70273
2021-03-30,HCA,179.46,182.69,179.13,181.0,54304
2021-03-31,HCA,181.42,183.73,179.42,180.96,67750
2021-04-01,HCA,180.59,181.36,178.16,178.79,80342
2021-04-05,HCA,180.84,181.48,180.06,180.56,61683
2021-04-06,HCA,180.76,182.51,178.61,178.68,68454
2021-04-07,HCA,180.27,180.71,178.56,179.32,100694
2021-04-08,HCA,179.16,181.08,178.01,180.56,32399
2021-04-09,HCA,180.99,183.55,180.83,183.55,78368
2021-04-12,HCA,184.21,185.59,183.58,184.01,53296
2021-04-13,HCA,182.76,182.94,180.7,181.13,35356
2021-04-14,HCA,181.89,185.43,181.89,183.37,63882
2021-04-15,HCA,183.59,186.55,182.87,186.01,70356
2021-04-16,HCA,186.92,189.32,186.92,188.95,57724
2021-04-20,HCA,186.09,188.05,185.3,185.3,82368
2021-04-21,HCA,186.54,190.64,185.81,189.64,50065
2021-04-22,HCA,195.4,197.32,190.95,193.56,149197
2021-04-23,HCA,193.3,196.05,190.41,194.51,83337
2021-04-26,HCA,189.84,193.11,188.75,192.53,60460
2021-04-27,HCA,192.52,193.07,190.07,191.17,69300
2021-04-28,HCA,191.12,192.78,189.9,190.55,150546
2021-04-29,HCA,192.45,195.42,192.08,193.98,87193
2021-04-30,HCA,193.39,195.56,192.71,193.05,108838
2021-05-03,HCA,195.28,197.44,193.9,196.42,74404
2021-05-04,HCA,195.23,198.47,194.25,198.18,88185
2021-05-05,HCA,198.19,200.21,196.48,199.5,55580
2021-05-06,HCA,200.21,201.48,199.02,201.01,69467
2021-05-07,HCA,199.84,202.7,199.69,202.3,55931
2021-05-10,HCA,202.86,208.09,201.9,203.44,86760
2021-05-11,HCA,200.23,202.13,198.12,198.59,78977
2021-05-12,HCA,198.06,200.04,195.91,196.04,99785
2021-05-13,HCA,195.71,201.05,195.71,199.34,69859
2021-05-14,HCA,200.88,203.81,200.42,203.19,163184
2021-05-17,HCA,202.89,203.65,200.68,201.18,23764
2021-05-18,HCA,201.59,201.59,197.3,197.3,48921
2021-05-19,HCA,195.39,196.44,191.88,195.67,37125
2021-05-20,HCA,196.21,199.59,195.9,198.03,29049
2021-05-21,HCA,198.95,201.71,197.98,198.1,22159
2021-05-24,HCA,199.37,199.55,197.04,197.99,32126
2021-05-25,HCA,199.64,202.74,199.24,202.01,61048
2021-05-26,HCA,202.62,205.16,201.58,203.46,44175
2021-05-27,HCA,204.97,206.17,204.08,205.3,92664
2021-05-28,HCA,205.95,207.1,204.05,206.32,39437
2021-06-01,HCA,208.21,208.46,205.75,207.21,56969
2021-06-02,HCA,208.2,208.2,201.07,202.33,52029
2021-06-03,HCA,201.2,205.43,199.9,204.81,47046
2021-06-04,HCA,206.58,207.5,204.55,205.41,23854
2021-06-07,HCA,205.74,206.48,203.3,203.51,20080
2021-06-08,HCA,203.56,203.56,200.62,201.56,81817
2021-06-09,HCA,202.63,202.63,200.0,200.02,34437
2021-06-10,HCA,201.5,203.77,200.6,201.73,39675
2021-06-11,HCA,202.83,203.34,201.3,203.34,19468
2021-06-14,HCA,202.84,202.84,197.82,199.6,70523
2021-06-15,HCA,199.97,203.14,199.16,201.62,56716
2021-06-16,HCA,200.84,202.34,198.87,199.05,59627
2021-06-17,HCA,199.38,201.03,196.63,199.47,62763
2021-06-18,HCA,195.31,196.43,192.92,193.86,102630
2021-06-21,HCA,195.49,200.63,195.4,200.29,46698
2021-06-22,HCA,199.61,203.1,199.5,201.89,24092
2021-06-23,HCA,202.08,202.09,198.47,198.48,31986
2021-06-24,HCA,199.59,199.59,196.57,196.83,45961
2021-06-25,HCA,197.15,200.49,196.33,200.0,62974
2021-06-28,HCA,199.3,199.9,197.94,199.18,42944
2021-06-29,HCA,201.38,201.74,197.78,198.21,53193
2021-06-30,HCA,197.7,199.15,196.93,199.04,91509
2021-07-01,HCA,199.41,204.49,199.41,203.85,101159
2021-07-02,HCA,202.76,207.09,202.76,206.86,26012
2021-07-06,HCA,206.01,206.82,203.55,206.79,34281
2021-07-07,HCA,208.05,209.21,206.4,208.71,42355
2021-07-08,HCA,205.81,207.26,203.75,205.93,58390
2021-07-09,HCA,209.08,211.63,208.45,210.63,59549
2021-07-12,HCA,209.02,213.31,209.02,211.99,41367
2021-07-13,HCA,211.26,212.65,210.02,210.95,24087
2021-07-14,HCA,210.96,212.41,209.95,210.5,47152
2021-07-15,HCA,209.19,212.59,209.19,212.12,61940
2021-07-16,HCA,212.26,213.34,210.88,210.97,51425
2021-07-19,HCA,206.82,211.03,206.62,209.39,81201
2021-07-20,HCA,229.68,242.51,229.36,239.75,343631
2021-07-21,HCA,242.11,244.71,239.11,239.94,121566
2021-07-22,HCA,240.37,240.37,236.55,237.51,106408
2021-07-23,HCA,238.75,240.93,237.26,239.13,98436
2021-07-26,HCA,238.39,238.84,231.91,236.53,139333
2021-07-27,HCA,235.99,241.34,235.99,238.45,115103
2021-07-28,HCA,238.28,238.31,233.87,236.99,41646
2021-07-29,HCA,238.66,240.09,237.89,238.57,42153
2021-07-30,HCA,239.74,240.37,238.24,238.94,36338
2021-08-02,HCA,239.59,242.14,239.46,241.53,42422
2021-08-03,HCA,242.16,244.64,238.47,243.93,55239
2021-08-04,HCA,243.64,245.48,238.84,238.96,120907
2021-08-05,HCA,240.56,240.56,235.23,239.75,45273
2021-08-06,HCA,240.94,242.62,240.57,240.67,33515
2021-08-09,HCA,239.3,240.19,238.58,239.43,32025
2021-08-10,HCA,236.35,239.17,230.89,231.71,131688
2021-08-11,HCA,231.85,232.64,227.79,232.15,83118
2021-08-12,HCA,229.56,235.13,229.4,233.34,52944
2021-08-13,HCA,233.82,234.86,233.05,233.87,34920
2021-08-16,HCA,234.46,237.26,233.22,236.99,38878
2021-08-17,HCA,235.36,238.18,234.63,235.75,54110
2021-08-18,HCA,234.35,237.43,233.16,233.19,84218
2021-08-19,HCA,231.23,238.02,231.23,237.13,57351
2021-08-20,HCA,237.89,241.25,237.89,239.96,77285
2021-08-23,HCA,241.07,242.37,240.17,240.33,45716
2021-08-24,HCA,240.84,242.15,240.09,240.09,30376
2021-08-25,HCA,240.38,245.7,239.92,242.69,48749
2021-08-26,HCA,242.43,243.68,240.81,241.67,40419
2021-08-27,HCA,242.15,243.9,241.49,242.51,53928
2021-08-30,HCA,242.46,245.36,242.43,244.09,20319
2021-08-31,HCA,244.08,247.74,242.71,243.5,63106
2021-09-01,HCA,244.52,245.45,241.89,243.19,25627
2021-09-02,HCA,244.41,245.13,243.57,243.75,81854
2021-09-03,HCA,243.35,244.51,241.7,243.48,28133
2021-09-07,HCA,241.75,243.75,239.26,242.64,66816
2021-09-08,HCA,242.42,246.84,240.69,244.78,54370
2021-09-09,HCA,244.72,251.88,244.72,248.7,116352
2021-09-10,HCA,250.09,251.02,246.38,246.92,56704
2021-09-13,HCA,249.42,249.56,246.47,247.95,55486
2021-09-14,HCA,248.89,248.89,244.85,245.26,154127
2021-09-15,HCA,243.78,248.1,242.38,247.22,53227
2021-09-16,HCA,248.45,253.29,247.51,252.35,101542
2021-09-17,HCA,253.55,253.82,248.94,249.46,96815
2021-09-20,HCA,245.18,247.52,243.31,245.97,63383
2021-09-21,HCA,247.61,251.37,246.73,246.73,75827
