date,tic,open,high,low,close,volume
2021-01-04,HD,235.48,235.66,231.22,233.65,146016
2021-01-05,HD,232.55,235.91,232.26,235.56,159552
2021-01-06,HD,233.71,238.78,232.16,236.96,141623
2021-01-07,HD,236.09,237.89,235.68,235.68,150240
2021-01-08,HD,236.72,239.64,236.48,238.22,182077
2021-01-11,HD,237.0,241.93,236.95,240.26,119252
2021-01-12,HD,239.94,246.01,239.71,244.56,171283
2021-01-13,HD,246.3,248.24,242.54,242.54,157398
2021-01-14,HD,243.13,243.13,236.99,237.23,199604
2021-01-15,HD,237.39,244.63,237.39,244.07,258015
2021-01-19,HD,245.95,246.09,241.69,241.89,198812
2021-01-20,HD,241.85,245.38,240.37,242.98,107680
2021-01-21,HD,244.03,248.47,244.03,246.91,310168
2021-01-22,HD,247.36,252.36,246.01,251.48,147626
2021-01-25,HD,251.37,252.88,249.22,252.33,134389
2021-01-26,HD,252.56,252.8,249.39,250.16,121604
2021-01-27,HD,247.63,248.42,241.81,242.35,196670
2021-01-28,HD,243.7,250.47,243.38,245.99,174638
2021-01-29,HD,244.08,245.06,239.11,239.68,136915
2021-02-01,HD,240.42,241.09,236.67,239.2,137367
2021-02-02,HD,239.65,243.96,239.44,240.75,190935
2021-02-03,HD,240.57,244.05,239.68,242.76,115220
2021-02-04,HD,243.18,247.33,242.9,246.87,178392
2021-02-05,HD,248.31,249.19,245.94,246.83,115279
2021-02-08,HD,246.94,248.04,245.16,247.78,125188
2021-02-09,HD,247.34,248.03,244.94,244.94,102231
2021-02-10,HD,246.03,246.86,244.57,246.48,100471
2021-02-11,HD,246.01,247.99,244.34,245.3,102253
2021-02-12,HD,245.29,246.68,244.84,245.7,74628
2021-02-16,HD,245.17,246.54,243.4,243.91,108950
2021-02-17,HD,244.09,249.39,244.09,248.63,124889
2021-02-18,HD,248.49,251.93,247.78,250.39,142737
2021-02-19,HD,250.28,251.28,247.38,247.48,134496
2021-02-22,HD,246.33,246.37,242.23,244.03,190090
2021-02-23,HD,237.24,238.22,228.09,236.61,679056
2021-02-24,HD,235.67,235.91,224.89,230.13,617050
2021-02-25,HD,230.11,230.83,225.56,226.03,442737
2021-02-26,HD,228.1,230.37,226.8,228.82,295446
2021-03-01,HD,229.35,232.3,228.95,231.64,180366
2021-03-02,HD,231.78,232.82,230.12,230.36,200910
2021-03-03,HD,228.76,230.51,226.66,227.92,199315
2021-03-04,HD,226.91,227.34,218.78,221.99,297357
2021-03-05,HD,223.3,225.0,218.49,224.42,249633
2021-03-08,HD,224.63,232.98,223.9,229.2,173963
2021-03-09,HD,232.4,236.85,231.81,234.52,348054
2021-03-10,HD,236.48,239.37,235.27,237.14,137428
2021-03-11,HD,238.91,241.15,238.08,239.48,178841
2021-03-12,HD,238.19,243.87,237.85,243.11,214623
2021-03-15,HD,244.49,249.08,244.41,248.22,255888
2021-03-16,HD,248.29,251.64,247.41,251.31,265390
2021-03-17,HD,250.81,252.79,248.78,249.32,262468
2021-03-18,HD,249.08,254.24,247.42,252.24,262083
2021-03-19,HD,252.75,257.32,251.62,256.97,329626
2021-03-22,HD,255.51,258.58,253.19,257.36,212953
2021-03-23,HD,257.73,261.21,257.73,258.12,213439
2021-03-24,HD,257.58,264.24,257.58,260.9,200048
2021-03-25,HD,260.88,265.26,260.54,265.13,174003
2021-03-26,HD,265.06,270.75,263.89,270.66,195962
2021-03-29,HD,270.07,272.11,267.22,268.94,158774
2021-03-30,HD,268.73,272.27,267.46,271.54,228934
2021-03-31,HD,271.98,274.34,271.44,272.11,138167
2021-04-01,HD,273.32,274.81,270.7,274.04,156172
2021-04-05,HD,276.06,281.24,275.98,280.91,263194
