date,tic,open,high,low,close,volume
2021-01-04,HIG,44.86,44.86,43.33,43.57,64623
2021-01-05,HIG,43.63,43.8,42.97,43.25,89667
2021-01-06,HIG,44.35,46.0,44.17,45.85,88228
2021-01-07,HIG,46.04,46.05,45.15,45.46,90399
2021-01-08,HIG,45.48,45.5,44.17,44.99,76296
2021-01-11,HIG,44.62,45.62,44.62,45.31,57832
2021-01-12,HIG,45.58,46.81,45.58,46.77,76448
2021-01-13,HIG,46.57,47.29,46.57,46.81,96707
2021-01-14,HIG,46.67,47.73,46.67,47.21,87927
2021-01-15,HIG,46.76,46.93,46.11,46.59,92700
2021-01-19,HIG,46.96,47.73,46.57,47.5,75575
2021-01-20,HIG,47.11,47.8,46.98,47.33,63490
2021-01-21,HIG,47.25,47.59,45.94,45.99,149253
2021-01-22,HIG,45.5,45.76,44.58,45.45,56082
2021-01-25,HIG,44.88,45.75,44.64,45.69,45550
2021-01-26,HIG,45.64,45.67,44.99,45.03,75188
2021-01-27,HIG,44.32,44.71,43.02,43.2,52824
2021-01-28,HIG,43.6,44.52,43.6,44.18,45707
2021-01-29,HIG,43.77,44.03,42.79,43.3,50856
2021-02-01,HIG,43.69,43.89,43.19,43.58,48438
2021-02-02,HIG,43.99,44.6,43.85,44.43,78004
2021-02-03,HIG,44.18,44.71,44.18,44.58,54413
2021-02-04,HIG,44.7,46.04,44.7,45.95,79422
2021-02-05,HIG,45.72,46.24,45.16,45.46,105263
2021-02-08,HIG,45.45,45.57,44.71,45.35,112081
2021-02-09,HIG,45.4,45.49,44.85,45.28,83595
2021-02-10,HIG,45.4,45.77,45.14,45.54,83622
2021-02-11,HIG,45.65,46.45,45.25,45.41,54771
2021-02-12,HIG,45.34,45.39,44.04,44.74,76197
2021-02-16,HIG,44.94,45.03,43.95,44.03,130581
2021-02-17,HIG,43.84,45.4,43.81,45.19,157708
2021-02-18,HIG,44.99,45.05,44.51,44.54,58432
2021-02-19,HIG,45.06,45.17,44.65,44.94,74735
2021-02-22,HIG,45.12,46.05,44.99,46.03,58174
2021-02-23,HIG,46.27,47.36,46.26,46.76,73849
2021-02-24,HIG,46.82,48.46,46.82,47.93,68582
2021-02-25,HIG,48.39,48.55,46.76,46.76,130209
2021-02-26,HIG,46.63,46.88,45.72,46.02,81983
2021-03-01,HIG,47.06,47.57,46.93,47.17,87042
2021-03-02,HIG,47.02,47.2,46.8,46.82,81181
2021-03-03,HIG,47.06,48.24,46.98,47.56,72932
2021-03-04,HIG,47.71,47.9,45.98,47.25,67682
2021-03-05,HIG,47.95,48.86,47.47,48.7,106619
2021-03-08,HIG,49.18,50.71,48.89,49.69,111502
2021-03-09,HIG,49.14,50.37,48.81,49.38,107019
2021-03-10,HIG,49.53,50.01,49.3,49.65,62487
2021-03-11,HIG,49.39,49.98,49.22,49.41,60013
2021-03-12,HIG,50.27,50.67,49.78,50.33,57915
2021-03-15,HIG,50.2,52.23,49.95,52.19,146055
2021-03-16,HIG,51.57,51.89,50.72,51.48,122230
2021-03-17,HIG,51.78,52.26,50.96,52.11,89410
2021-03-18,HIG,52.68,62.59,52.44,61.86,1351643
2021-03-19,HIG,61.69,62.59,60.94,61.53,684809
2021-03-22,HIG,61.29,61.69,60.54,61.08,254215
2021-03-23,HIG,60.1,61.35,59.79,61.13,164087
2021-03-24,HIG,61.88,63.13,60.81,60.87,235723
2021-03-25,HIG,61.33,63.04,60.31,62.83,197518
2021-03-26,HIG,62.84,62.84,61.04,61.46,211974
2021-03-29,HIG,59.09,60.49,58.93,59.86,214301
2021-03-30,HIG,59.86,61.53,59.09,61.45,274858
