date,tic,open,high,low,close,volume
2021-01-04,HII,151.43,151.43,144.93,146.44,20690
2021-01-05,HII,147.03,149.18,146.68,148.0,17758
2021-01-06,HII,147.91,153.09,147.91,153.09,18548
2021-01-07,HII,152.58,153.2,150.67,151.77,23771
2021-01-08,HII,153.61,154.46,149.39,151.11,33003
2021-01-11,HII,150.46,152.89,150.45,151.41,13023
2021-01-12,HII,151.49,154.8,151.49,153.88,14930
2021-01-13,HII,154.18,154.29,152.32,153.28,9149
2021-01-14,HII,153.7,156.66,153.5,153.68,21738
2021-01-15,HII,150.69,154.16,150.51,153.05,9936
2021-01-19,HII,154.9,155.16,152.3,152.6,12757
2021-01-20,HII,151.97,152.6,150.51,150.53,19025
2021-01-21,HII,150.43,152.02,149.06,149.25,20613
2021-01-22,HII,148.79,150.58,147.43,150.04,18472
2021-01-25,HII,149.22,151.12,147.88,148.83,15556
2021-01-26,HII,151.33,151.33,143.81,143.81,30882
2021-01-27,HII,143.71,148.1,142.98,145.69,45626
2021-01-28,HII,146.11,146.8,144.41,144.91,17206
2021-01-29,HII,144.71,144.71,140.5,140.65,15969
2021-02-01,HII,139.83,142.61,139.83,141.17,27784
2021-02-02,HII,143.66,143.84,141.22,142.59,26869
2021-02-03,HII,142.84,144.34,142.08,143.96,13038
2021-02-04,HII,143.65,144.99,143.36,144.13,30279
2021-02-05,HII,146.31,148.11,144.77,146.54,25086
2021-02-08,HII,147.88,148.02,146.41,147.26,15874
2021-02-09,HII,147.41,149.35,147.0,149.28,30612
2021-02-10,HII,149.8,151.11,149.24,149.67,19270
2021-02-11,HII,151.5,160.49,151.5,152.36,78598
2021-02-12,HII,152.81,157.91,152.81,157.47,37686
2021-02-16,HII,158.85,159.84,156.22,156.42,40309
2021-02-17,HII,155.95,160.18,155.16,159.48,28120
2021-02-18,HII,158.69,159.63,158.24,159.29,22466
2021-02-19,HII,160.52,162.78,159.89,162.72,20130
2021-02-22,HII,163.37,171.99,163.18,170.34,46584
2021-02-23,HII,171.41,171.41,163.81,166.53,39225
2021-02-24,HII,167.84,170.0,167.59,168.08,24209
2021-02-25,HII,167.7,169.01,164.46,164.63,18569
2021-02-26,HII,162.58,163.41,158.13,158.19,27901
2021-03-01,HII,160.08,162.25,160.06,160.42,30115
2021-03-02,HII,160.69,162.09,159.56,161.58,13931
2021-03-03,HII,161.87,165.01,161.18,163.9,18672
2021-03-04,HII,164.82,165.91,159.67,161.2,33862
2021-03-05,HII,163.13,167.92,161.23,166.86,21146
2021-03-08,HII,168.85,174.48,168.85,171.73,20802
2021-03-09,HII,171.09,171.09,165.97,166.05,35374
2021-03-10,HII,166.58,170.3,165.06,168.84,14217
2021-03-11,HII,169.31,171.35,168.42,170.89,27773
2021-03-12,HII,173.13,176.12,173.13,175.49,14091
2021-03-15,HII,176.0,178.69,175.68,178.33,23134
2021-03-16,HII,177.78,177.85,174.43,175.54,30887
2021-03-17,HII,176.38,178.49,174.53,177.88,11355
2021-03-18,HII,179.49,180.09,177.27,178.44,19284
2021-03-19,HII,178.05,178.05,175.04,177.37,15056
2021-03-22,HII,177.26,177.26,173.84,176.3,12534
2021-03-23,HII,173.95,174.92,171.16,172.18,25138
2021-03-24,HII,174.63,178.79,174.39,174.62,17235
2021-03-25,HII,174.82,179.99,173.45,179.92,10437
2021-03-26,HII,179.49,182.82,179.32,182.53,16188
2021-03-29,HII,184.29,187.41,184.29,186.38,26043
2021-03-30,HII,186.34,186.34,183.4,184.95,15688
2021-03-31,HII,185.06,186.76,184.49,185.28,21543
2021-04-01,HII,184.52,184.52,182.13,183.26,14050
2021-04-05,HII,185.71,187.17,184.89,186.8,15430
2021-04-06,HII,186.04,188.3,185.54,186.83,18455
2021-04-07,HII,186.53,186.53,183.5,184.06,18949
2021-04-08,HII,182.79,186.06,182.61,185.66,19894
2021-04-09,HII,186.83,187.17,184.96,185.68,13927
2021-04-12,HII,188.54,189.18,187.09,188.96,16318
2021-04-13,HII,189.17,189.17,185.22,185.64,10183
2021-04-14,HII,186.15,188.58,186.05,186.8,21746
2021-04-15,HII,186.31,187.58,186.2,187.32,15873
2021-04-16,HII,186.9,187.58,185.49,187.08,12385
2021-04-20,HII,187.73,187.92,185.52,186.61,12501
2021-04-21,HII,186.36,188.34,186.36,187.4,19760
2021-04-22,HII,187.97,187.97,183.2,183.36,23781
2021-04-23,HII,184.52,186.29,183.79,185.4,14939
2021-04-26,HII,186.61,187.11,185.37,186.13,18632
2021-04-27,HII,186.3,188.0,185.99,186.76,15519
2021-04-28,HII,186.25,189.31,186.25,188.87,14369
2021-04-29,HII,190.4,192.8,190.4,191.64,16019
2021-04-30,HII,190.87,191.62,189.51,190.89,24494
2021-05-03,HII,191.7,194.32,190.27,193.45,12025
2021-05-04,HII,192.94,193.49,192.07,192.66,19607
2021-05-05,HII,191.61,192.62,188.77,192.07,19546
2021-05-06,HII,193.46,200.51,193.44,196.11,48293
2021-05-07,HII,194.24,195.75,193.11,195.26,11538
2021-05-10,HII,196.94,200.99,196.36,197.31,16160
