date,tic,open,high,low,close,volume
2021-01-04,HLT,109.81,109.92,104.71,106.18,303961
2021-01-05,HLT,105.66,107.7,105.64,106.61,349539
2021-01-06,HLT,106.76,110.68,106.76,109.37,92768
2021-01-07,HLT,110.29,112.45,109.96,111.95,244447
2021-01-08,HLT,112.68,114.06,111.8,112.86,155031
2021-01-11,HLT,111.14,112.28,110.01,111.81,75787
2021-01-12,HLT,111.99,112.58,110.76,110.98,94618
2021-01-13,HLT,111.21,111.43,109.32,110.52,143839
2021-01-14,HLT,111.34,112.25,109.79,110.74,68553
2021-01-15,HLT,109.91,110.25,106.77,107.07,142677
2021-01-19,HLT,107.23,108.05,106.27,106.65,80366
2021-01-20,HLT,106.74,107.23,104.51,106.43,129570
2021-01-21,HLT,106.11,108.51,105.88,107.48,79609
2021-01-22,HLT,106.35,106.35,103.38,103.7,116905
2021-01-25,HLT,103.05,104.4,101.39,103.79,200886
2021-01-26,HLT,104.44,104.9,103.37,103.37,132509
2021-01-27,HLT,102.17,102.45,97.36,97.37,286628
2021-01-28,HLT,99.98,103.52,99.8,102.66,380496
2021-01-29,HLT,101.71,101.71,97.86,100.05,339641
2021-02-01,HLT,101.13,102.38,100.63,100.68,176702
2021-02-02,HLT,101.83,105.73,101.83,104.48,199596
2021-02-03,HLT,104.45,106.8,104.4,105.26,108343
2021-02-04,HLT,106.31,109.1,106.21,109.1,176842
2021-02-05,HLT,110.01,111.2,108.99,110.35,171862
2021-02-08,HLT,111.07,111.72,109.27,110.87,151316
2021-02-09,HLT,110.76,111.1,108.83,108.98,144139
2021-02-10,HLT,108.93,109.02,107.53,107.95,181917
2021-02-11,HLT,108.61,109.76,107.4,108.12,162807
2021-02-12,HLT,107.77,111.02,107.69,110.81,178796
2021-02-16,HLT,111.64,112.61,110.69,112.27,188953
2021-02-17,HLT,109.28,113.9,107.6,110.03,231802
2021-02-18,HLT,108.3,113.76,108.18,112.71,117177
2021-02-19,HLT,113.71,116.2,113.38,115.55,201768
2021-02-22,HLT,117.28,120.59,116.14,118.45,289544
2021-02-23,HLT,119.74,120.76,116.89,120.44,212278
2021-02-24,HLT,121.53,125.9,121.04,125.74,268727
2021-02-25,HLT,125.87,126.53,119.67,121.59,310944
2021-02-26,HLT,121.95,123.02,118.66,122.23,346007
2021-03-01,HLT,124.07,124.26,121.38,122.23,126992
2021-03-02,HLT,121.84,123.51,121.1,122.68,106772
2021-03-03,HLT,122.96,124.29,121.62,121.62,147861
2021-03-04,HLT,121.64,121.75,115.6,119.11,225219
2021-03-05,HLT,120.35,121.34,115.02,121.34,145531
2021-03-08,HLT,121.78,125.12,120.64,123.86,134965
2021-03-09,HLT,124.78,124.94,122.11,122.59,211945
2021-03-10,HLT,122.95,124.37,121.44,123.01,152358
2021-03-11,HLT,123.25,124.59,121.99,123.15,141562
2021-03-12,HLT,123.55,125.0,123.15,124.51,85258
2021-03-15,HLT,125.3,127.22,123.53,125.69,105317
2021-03-16,HLT,125.56,126.21,122.27,122.41,139650
2021-03-17,HLT,122.38,126.04,122.37,125.49,213855
2021-03-18,HLT,124.96,127.04,123.59,124.1,134951
2021-03-19,HLT,123.45,124.36,120.86,122.83,163618
2021-03-22,HLT,122.79,123.24,121.02,121.42,149515
2021-03-23,HLT,120.77,121.09,116.75,117.45,189905
2021-03-24,HLT,118.36,120.16,117.02,117.02,158011
2021-03-25,HLT,115.93,119.24,114.72,118.96,152814
2021-03-26,HLT,119.56,119.96,117.53,119.67,156991
2021-03-29,HLT,119.31,119.76,116.68,117.56,149386
2021-03-30,HLT,117.87,121.08,117.87,120.46,116794
2021-03-31,HLT,120.6,121.29,119.37,119.37,141458
2021-04-01,HLT,120.08,120.53,118.93,120.14,179485
2021-04-05,HLT,121.49,124.52,121.49,123.85,163732
2021-04-06,HLT,123.97,125.93,123.96,125.02,112013
2021-04-07,HLT,125.41,125.49,122.77,122.99,125578
2021-04-08,HLT,122.65,124.51,121.33,123.16,119646
2021-04-09,HLT,122.89,122.89,121.02,122.82,70410
2021-04-12,HLT,122.85,123.89,121.03,123.74,89704
2021-04-13,HLT,122.8,123.88,120.93,123.88,37920
2021-04-14,HLT,124.55,126.6,124.2,124.96,60431
2021-04-15,HLT,125.24,126.25,124.3,125.76,57999
