date,tic,open,high,low,close,volume
2021-01-04,HON,181.19,181.2,175.73,176.72,95414
2021-01-05,HON,176.66,178.8,176.32,177.36,84700
2021-01-06,HON,178.41,182.1,178.41,180.78,136399
2021-01-07,HON,181.16,182.1,179.59,180.93,74238
2021-01-08,HON,181.26,181.26,176.85,178.76,93233
2021-01-11,HON,177.12,178.31,176.88,177.34,171339
2021-01-12,HON,176.79,178.21,174.79,177.75,103078
2021-01-13,HON,177.33,177.55,175.69,176.2,99490
2021-01-14,HON,176.93,178.51,176.38,177.52,71452
2021-01-15,HON,176.78,176.8,174.67,175.39,86562
2021-01-19,HON,176.98,177.64,175.79,176.05,84069
2021-01-20,HON,176.8,177.59,175.97,177.21,67748
2021-01-21,HON,175.96,176.83,174.59,174.59,94083
2021-01-22,HON,173.58,173.93,171.43,172.21,181147
2021-01-25,HON,171.33,172.35,170.4,171.78,364215
2021-01-26,HON,173.24,174.17,171.05,171.05,69469
2021-01-27,HON,168.41,170.71,167.44,169.46,161090
2021-01-28,HON,170.22,174.74,170.22,172.76,141703
2021-01-29,HON,167.9,171.02,165.64,166.14,251759
2021-02-01,HON,167.78,168.2,166.26,166.53,152522
2021-02-02,HON,168.49,170.93,168.29,170.38,152413
2021-02-03,HON,170.13,170.13,168.15,169.58,78953
2021-02-04,HON,169.81,171.46,169.27,170.72,92762
2021-02-05,HON,172.19,173.49,171.34,172.74,80216
2021-02-08,HON,173.11,174.14,172.41,173.42,61237
2021-02-09,HON,173.28,173.28,171.28,171.9,80360
2021-02-10,HON,172.6,172.9,171.22,172.08,63667
2021-02-11,HON,172.13,172.83,170.99,172.03,76864
2021-02-12,HON,172.53,173.38,171.67,173.34,81946
2021-02-16,HON,174.54,174.96,171.84,173.15,109423
2021-02-17,HON,171.47,172.01,170.1,171.79,122068
2021-02-18,HON,171.08,174.27,170.84,173.16,71140
2021-02-19,HON,174.13,175.96,173.08,173.18,87692
2021-02-22,HON,172.74,173.87,172.33,173.27,116151
2021-02-23,HON,174.18,175.17,172.87,174.5,126470
2021-02-24,HON,174.56,180.52,173.2,179.56,150957
2021-02-25,HON,179.6,179.66,174.68,175.16,150990
2021-02-26,HON,175.81,175.94,172.84,173.09,122502
2021-03-01,HON,174.75,177.94,174.3,176.32,89173
2021-03-02,HON,176.72,177.81,175.51,176.54,83947
2021-03-03,HON,176.83,179.04,176.53,177.0,132958
2021-03-04,HON,177.87,177.87,171.61,173.28,164510
2021-03-05,HON,175.07,177.34,172.51,176.66,141342
2021-03-08,HON,177.49,181.59,177.37,177.6,141478
2021-03-09,HON,178.04,179.46,176.7,177.51,113533
2021-03-10,HON,177.82,182.29,177.68,182.05,243828
2021-03-11,HON,181.83,183.48,180.57,181.69,135544
2021-03-12,HON,182.95,184.14,182.3,183.33,96555
2021-03-15,HON,183.65,185.51,181.85,184.94,116295
2021-03-16,HON,184.97,185.06,180.85,181.0,180152
2021-03-17,HON,182.17,183.26,181.21,182.07,142876
2021-03-18,HON,182.68,187.24,182.68,183.76,167909
2021-03-19,HON,184.13,184.13,181.41,181.94,251025
