date,tic,open,high,low,close,volume
2021-01-04,HPE,10.32,10.36,9.956,9.982,200383
2021-01-05,HPE,10.01,10.25,9.999,10.18,247763
2021-01-06,HPE,10.34,10.57,10.31,10.39,180112
2021-01-07,HPE,10.52,10.56,10.32,10.36,251411
2021-01-08,HPE,10.34,10.38,10.16,10.26,260157
2021-01-11,HPE,10.08,10.42,10.08,10.33,171278
2021-01-12,HPE,10.39,10.56,10.32,10.48,125421
2021-01-13,HPE,10.52,10.57,10.38,10.51,242964
2021-01-14,HPE,10.55,10.85,10.5,10.78,242748
2021-01-15,HPE,10.9,11.1,10.67,10.83,461799
2021-01-19,HPE,10.88,10.93,10.6,10.63,235747
2021-01-20,HPE,10.62,10.72,10.59,10.66,102858
2021-01-21,HPE,10.65,10.65,10.5,10.59,216940
2021-01-22,HPE,10.47,10.49,10.19,10.47,173661
2021-01-25,HPE,10.41,10.62,10.24,10.62,316669
2021-01-26,HPE,10.65,10.7,10.37,10.56,237790
2021-01-27,HPE,10.42,11.35,10.41,11.29,686331
2021-01-28,HPE,11.31,11.32,10.85,10.85,250442
2021-01-29,HPE,10.79,10.94,10.52,10.66,262324
2021-02-01,HPE,10.72,10.82,10.52,10.68,220407
2021-02-02,HPE,10.79,10.84,10.59,10.68,175388
2021-02-03,HPE,10.63,11.08,10.6,10.98,212064
2021-02-04,HPE,11.01,11.2,10.94,11.19,189036
2021-02-05,HPE,11.22,11.4,11.18,11.34,167477
2021-02-08,HPE,11.4,11.68,11.4,11.66,164514
2021-02-09,HPE,11.66,11.81,11.58,11.75,132245
2021-02-10,HPE,11.92,12.2,11.82,12.04,446127
2021-02-11,HPE,11.99,12.32,11.96,12.26,361195
2021-02-12,HPE,12.29,12.43,12.21,12.42,209834
2021-02-16,HPE,12.42,12.58,12.25,12.37,316813
2021-02-17,HPE,12.31,12.31,11.96,12.1,339739
2021-02-18,HPE,12.04,12.1,11.95,12.05,212495
2021-02-19,HPE,12.15,12.28,12.11,12.2,158624
2021-02-22,HPE,12.16,12.68,12.16,12.5,476645
2021-02-23,HPE,12.49,12.55,12.25,12.5,458404
2021-02-24,HPE,12.55,12.84,12.55,12.81,242362
2021-02-25,HPE,12.81,12.84,12.44,12.52,460732
2021-02-26,HPE,12.54,12.75,12.37,12.58,658204
2021-03-01,HPE,12.75,12.92,12.56,12.62,431949
2021-03-02,HPE,12.59,12.64,12.41,12.52,270039
2021-03-03,HPE,12.82,13.0,12.29,12.57,1200830
2021-03-04,HPE,12.56,12.66,11.64,12.11,788470
2021-03-05,HPE,12.19,12.53,12.09,12.45,317745
2021-03-08,HPE,12.49,12.92,12.43,12.78,273259
2021-03-09,HPE,12.78,13.22,12.7,12.94,760713
2021-03-10,HPE,13.08,13.28,12.87,13.19,331124
2021-03-11,HPE,13.16,13.53,13.09,13.49,385975
2021-03-12,HPE,13.62,13.89,13.61,13.78,481156
2021-03-15,HPE,13.68,14.04,13.67,13.96,491861
2021-03-16,HPE,13.9,13.95,13.56,13.7,349184
2021-03-17,HPE,13.72,13.95,13.65,13.95,426260
2021-03-18,HPE,13.86,14.01,13.52,13.55,1004498
2021-03-19,HPE,13.5,13.54,13.3,13.3,582501
2021-03-22,HPE,13.32,13.43,13.15,13.34,124644
2021-03-23,HPE,13.28,13.34,12.74,12.83,425881
2021-03-24,HPE,13.0,13.21,12.83,12.86,412848
2021-03-25,HPE,12.8,13.43,12.76,13.35,1288569
2021-03-26,HPE,13.46,13.94,13.43,13.94,329917
2021-03-29,HPE,13.88,13.99,13.62,13.63,321329
2021-03-30,HPE,13.65,13.8,13.63,13.73,312143
2021-03-31,HPE,13.74,13.84,13.68,13.71,421755
2021-04-01,HPE,13.73,13.73,13.53,13.66,361517
2021-04-05,HPE,13.71,13.94,13.57,13.85,422304
2021-04-06,HPE,13.82,13.89,13.75,13.86,394862
2021-04-07,HPE,13.86,13.94,13.74,13.84,160614
