date,tic,open,high,low,close,volume
2021-01-04,HPQ,20.89,21.02,20.11,20.33,228752
2021-01-05,HPQ,20.33,20.84,20.33,20.63,230135
2021-01-06,HPQ,20.89,21.4,20.83,21.05,290778
2021-01-07,HPQ,21.26,21.75,21.14,21.72,197357
2021-01-08,HPQ,21.77,21.87,21.42,21.53,371840
2021-01-11,HPQ,21.43,21.86,21.37,21.74,231330
2021-01-12,HPQ,21.81,22.04,21.72,21.87,284225
2021-01-13,HPQ,21.89,21.95,21.67,21.68,440235
2021-01-14,HPQ,21.63,21.85,21.55,21.6,355654
2021-01-15,HPQ,21.45,21.56,21.08,21.23,251514
2021-01-19,HPQ,21.38,21.4,21.07,21.2,271103
2021-01-20,HPQ,21.27,21.35,21.15,21.27,259076
2021-01-21,HPQ,21.31,21.45,21.06,21.38,449245
2021-01-22,HPQ,21.22,21.37,21.06,21.34,308960
2021-01-25,HPQ,21.27,21.29,20.6,21.1,392032
2021-01-26,HPQ,21.22,21.37,20.57,20.77,487856
2021-01-27,HPQ,20.43,21.27,20.4,20.92,616967
2021-01-28,HPQ,21.04,21.37,20.98,20.98,461081
2021-01-29,HPQ,20.89,21.07,20.3,20.54,640857
2021-02-01,HPQ,20.63,20.72,20.33,20.63,373335
2021-02-02,HPQ,20.88,21.08,20.8,21.0,228971
2021-02-03,HPQ,20.95,21.36,20.9,21.29,164780
2021-02-04,HPQ,21.22,21.89,21.18,21.88,232275
2021-02-05,HPQ,21.89,22.41,21.88,22.05,226292
2021-02-08,HPQ,22.24,23.07,22.22,23.02,258624
2021-02-09,HPQ,23.07,23.22,22.85,22.86,300074
2021-02-10,HPQ,23.03,23.21,22.72,22.88,248050
2021-02-11,HPQ,22.86,23.17,22.71,23.1,296187
2021-02-12,HPQ,23.03,23.19,22.97,23.18,131612
2021-02-16,HPQ,23.23,23.32,22.78,22.91,294849
2021-02-17,HPQ,22.75,22.83,22.12,22.17,486518
2021-02-18,HPQ,22.0,22.3,21.91,22.27,292195
2021-02-19,HPQ,22.49,22.88,22.47,22.85,390932
2021-02-22,HPQ,22.72,23.06,22.61,22.87,719663
2021-02-23,HPQ,22.69,23.13,22.34,23.11,568993
2021-02-24,HPQ,23.05,23.82,23.05,23.59,559173
2021-02-25,HPQ,23.51,25.05,22.95,23.77,710007
2021-02-26,HPQ,24.97,25.5,24.31,24.42,875146
2021-03-01,HPQ,24.72,25.67,24.71,24.96,841792
2021-03-02,HPQ,24.83,25.53,24.74,25.32,398658
2021-03-03,HPQ,25.41,25.51,24.9,25.16,442080
2021-03-04,HPQ,25.0,25.15,23.49,23.66,677102
2021-03-05,HPQ,23.93,25.11,23.71,25.08,990245
2021-03-08,HPQ,25.05,25.87,24.94,25.41,736174
2021-03-09,HPQ,25.54,25.93,25.34,25.56,512288
2021-03-10,HPQ,25.53,25.93,25.47,25.69,706998
2021-03-11,HPQ,25.75,25.86,25.45,25.74,984424
2021-03-12,HPQ,25.63,26.16,25.57,25.71,487652
2021-03-15,HPQ,25.69,26.14,25.56,26.13,811390
2021-03-16,HPQ,26.15,26.29,25.79,25.82,571622
2021-03-17,HPQ,25.75,26.12,25.68,26.1,702586
2021-03-18,HPQ,26.03,26.4,25.67,25.7,387248
2021-03-19,HPQ,25.49,25.73,25.19,25.57,730009
2021-03-22,HPQ,25.58,26.07,25.34,25.86,469219
2021-03-23,HPQ,25.73,25.92,24.99,25.11,354210
2021-03-24,HPQ,25.27,25.68,24.92,24.93,366322
2021-03-25,HPQ,24.72,25.47,24.6,25.37,263829
2021-03-26,HPQ,25.55,26.88,25.55,26.88,549168
2021-03-29,HPQ,26.86,27.1,26.32,26.35,421373
2021-03-30,HPQ,26.35,26.86,26.3,26.77,201883
2021-03-31,HPQ,26.84,27.25,26.84,26.95,195776
2021-04-01,HPQ,27.22,27.26,26.83,27.21,347125
2021-04-05,HPQ,27.43,27.68,26.94,27.54,288213
2021-04-06,HPQ,27.54,27.64,27.2,27.41,291569
2021-04-07,HPQ,27.37,27.71,27.29,27.39,184282
2021-04-08,HPQ,27.58,27.72,27.2,27.48,222651
2021-04-09,HPQ,27.45,28.0,27.45,27.99,168926
2021-04-12,HPQ,27.96,28.15,27.63,27.78,213166
2021-04-13,HPQ,27.8,28.08,27.45,28.04,175314
2021-04-14,HPQ,27.95,28.52,27.95,28.18,291586
2021-04-15,HPQ,28.41,28.69,28.25,28.52,177438
2021-04-16,HPQ,28.79,29.08,28.75,28.83,158238
2021-04-20,HPQ,28.74,28.86,28.22,28.32,242496
2021-04-21,HPQ,28.3,28.86,28.18,28.76,289867
2021-04-22,HPQ,28.87,29.09,28.64,28.67,167342
2021-04-23,HPQ,28.71,29.35,28.66,29.21,251851
2021-04-26,HPQ,29.29,29.56,29.06,29.1,86378
2021-04-27,HPQ,29.22,29.43,29.09,29.21,177137
2021-04-28,HPQ,29.2,29.26,28.92,29.13,253274
2021-04-29,HPQ,29.29,29.57,29.05,29.44,158047
2021-04-30,HPQ,29.37,29.37,28.78,28.92,174925
2021-05-03,HPQ,29.07,29.39,28.96,29.26,120653
2021-05-04,HPQ,29.03,29.18,28.54,28.82,214703
2021-05-05,HPQ,29.09,29.44,28.76,29.23,266076
2021-05-06,HPQ,29.21,29.7,29.03,29.69,137196
2021-05-07,HPQ,29.71,30.2,29.57,30.19,166655
2021-05-10,HPQ,30.4,30.55,29.91,29.91,308681
2021-05-11,HPQ,29.2,29.34,28.21,28.51,376636
2021-05-12,HPQ,28.19,28.32,26.96,27.13,384025
2021-05-13,HPQ,27.18,27.71,27.15,27.48,394819
2021-05-14,HPQ,27.7,28.16,27.45,27.96,181931
2021-05-17,HPQ,27.86,28.11,27.49,28.04,285543
2021-05-18,HPQ,28.01,28.01,27.42,27.42,243475
2021-05-19,HPQ,26.96,27.03,26.5,27.0,404904
2021-05-20,HPQ,27.14,27.33,26.8,27.2,167628
2021-05-21,HPQ,27.32,27.53,26.85,26.88,320269
2021-05-24,HPQ,27.91,27.91,27.25,27.42,273178
2021-05-25,HPQ,27.58,27.84,27.0,27.04,244457
2021-05-26,HPQ,27.07,27.31,26.97,27.31,286137
2021-05-27,HPQ,27.49,27.59,27.02,27.2,579142
2021-05-28,HPQ,25.89,25.94,24.67,24.8,1408965
2021-06-01,HPQ,25.22,25.37,24.94,25.35,578618
2021-06-02,HPQ,25.35,25.61,25.2,25.29,316056
2021-06-03,HPQ,25.12,25.53,25.12,25.4,208251
2021-06-04,HPQ,25.55,26.14,25.51,25.99,576862
2021-06-07,HPQ,26.09,26.21,25.65,25.93,376380
2021-06-08,HPQ,25.99,26.13,25.56,25.98,336328
2021-06-09,HPQ,26.08,26.08,25.52,25.67,706775
2021-06-10,HPQ,25.96,26.01,25.56,25.59,264425
2021-06-11,HPQ,25.49,25.78,25.49,25.68,324161
2021-06-14,HPQ,25.66,25.72,24.9,25.1,544154
2021-06-15,HPQ,25.23,25.38,25.15,25.26,381362
2021-06-16,HPQ,25.13,25.13,24.72,24.8,601936
2021-06-17,HPQ,24.84,24.95,24.02,24.46,569916
2021-06-18,HPQ,24.07,24.55,23.95,24.48,740906
2021-06-21,HPQ,24.65,25.17,24.63,24.93,322217
2021-06-22,HPQ,24.95,24.99,24.58,24.88,357785
2021-06-23,HPQ,24.91,25.19,24.74,24.95,308489
2021-06-24,HPQ,25.14,25.2,24.87,25.16,225293
2021-06-25,HPQ,25.14,25.54,25.12,25.37,246658
2021-06-28,HPQ,25.44,25.64,25.32,25.46,234238
2021-06-29,HPQ,25.6,25.89,25.51,25.73,318833
2021-06-30,HPQ,25.7,25.86,25.52,25.78,264405
2021-07-01,HPQ,25.88,26.02,25.73,25.92,196974
2021-07-02,HPQ,26.05,26.31,25.93,26.22,253140
2021-07-06,HPQ,26.11,26.18,25.55,25.78,217580
2021-07-07,HPQ,25.85,26.05,25.65,25.86,192637
2021-07-08,HPQ,25.38,25.78,25.18,25.56,327173
2021-07-09,HPQ,25.84,26.02,25.63,25.65,315737
2021-07-12,HPQ,25.33,25.41,24.46,24.94,563658
2021-07-13,HPQ,24.8,24.8,24.05,24.06,552254
2021-07-14,HPQ,24.28,24.64,24.17,24.41,203789
2021-07-15,HPQ,24.25,24.33,23.77,23.99,292961
