date,tic,open,high,low,close,volume
2021-01-04,HRL,40.18,40.3,39.48,39.95,122606
2021-01-05,HRL,39.89,39.96,39.29,39.52,69029
2021-01-06,HRL,39.38,39.98,39.34,39.77,69722
2021-01-07,HRL,39.76,39.82,39.24,39.49,136406
2021-01-08,HRL,39.65,39.65,38.95,39.45,149508
2021-01-11,HRL,39.42,39.55,38.42,38.55,142717
2021-01-12,HRL,38.53,38.53,37.79,38.25,122588
2021-01-13,HRL,38.08,38.66,37.92,38.2,159354
2021-01-14,HRL,38.41,38.41,37.74,38.15,89491
2021-01-15,HRL,38.11,39.03,38.11,38.92,137202
2021-01-19,HRL,39.07,39.09,38.52,38.82,83763
2021-01-20,HRL,38.84,39.05,38.59,38.83,118137
2021-01-21,HRL,38.69,39.38,38.67,39.23,83630
2021-01-22,HRL,39.3,39.62,39.18,39.42,113344
2021-01-25,HRL,39.42,40.91,39.38,40.81,366451
2021-01-26,HRL,40.87,42.29,40.51,42.11,279267
2021-01-27,HRL,42.25,44.06,42.25,43.83,216254
2021-01-28,HRL,43.1,43.81,41.31,41.65,154686
2021-01-29,HRL,41.58,42.38,40.15,40.65,283671
2021-02-01,HRL,40.36,40.9,39.89,40.7,201527
2021-02-02,HRL,40.74,44.13,40.38,42.29,398210
2021-02-03,HRL,41.93,42.07,40.58,41.53,179097
2021-02-04,HRL,41.62,42.64,41.4,42.55,225408
2021-02-05,HRL,42.57,42.68,42.15,42.59,104006
2021-02-08,HRL,42.73,43.22,42.53,43.2,129880
2021-02-09,HRL,43.28,43.33,42.83,42.93,142822
2021-02-10,HRL,43.11,43.42,42.81,43.22,118717
2021-02-11,HRL,43.1,43.26,41.38,41.82,161761
2021-02-12,HRL,41.93,42.03,41.39,41.86,131541
2021-02-16,HRL,41.76,41.76,40.54,40.86,151025
2021-02-17,HRL,40.8,40.87,40.28,40.73,155743
2021-02-18,HRL,40.59,41.66,40.2,41.22,126393
2021-02-19,HRL,41.38,41.71,40.85,40.87,114234
2021-02-22,HRL,40.89,41.14,40.25,41.03,99554
2021-02-23,HRL,41.09,41.5,40.89,41.1,78160
2021-02-24,HRL,40.98,41.16,40.68,40.68,89629
2021-02-25,HRL,40.98,41.39,40.75,40.94,86308
2021-02-26,HRL,40.77,40.97,40.21,40.24,143641
2021-03-01,HRL,40.36,40.68,40.15,40.25,57282
2021-03-02,HRL,40.23,41.09,40.19,40.64,110308
2021-03-03,HRL,40.39,41.02,40.3,40.71,71075
2021-03-04,HRL,40.84,41.16,40.48,40.73,98205
2021-03-05,HRL,40.92,41.72,40.6,41.4,70568
2021-03-08,HRL,41.42,41.93,41.27,41.56,58436
2021-03-09,HRL,41.34,41.85,41.23,41.29,65524
