date,tic,open,high,low,close,volume
2021-01-04,HST,12.4,12.5,11.82,11.92,398927
2021-01-05,HST,11.95,12.02,11.74,11.75,464978
2021-01-06,HST,12.05,12.61,11.97,12.44,378364
2021-01-07,HST,12.5,12.61,12.34,12.38,420893
2021-01-08,HST,12.45,12.59,12.32,12.41,183887
2021-01-11,HST,12.13,12.28,11.97,12.12,129101
2021-01-12,HST,12.03,12.34,12.03,12.29,148900
2021-01-13,HST,12.34,12.51,12.29,12.44,125620
2021-01-14,HST,12.58,12.87,12.58,12.65,219522
2021-01-15,HST,12.4,12.45,12.1,12.39,131847
2021-01-19,HST,12.48,12.53,12.16,12.45,161653
2021-01-20,HST,12.11,12.81,12.11,12.61,206212
2021-01-21,HST,12.32,12.66,12.32,12.34,278028
2021-01-22,HST,12.16,12.22,11.99,12.17,326787
2021-01-25,HST,12.06,12.06,11.7,11.71,533249
2021-01-26,HST,11.84,11.89,11.36,11.4,368034
2021-01-27,HST,11.35,11.71,11.1,11.47,685802
2021-01-28,HST,11.54,12.45,11.54,12.01,852649
2021-01-29,HST,11.94,11.94,11.29,11.43,319636
2021-02-01,HST,11.49,11.56,11.33,11.51,259900
2021-02-02,HST,11.56,12.02,11.53,11.97,231837
2021-02-03,HST,11.93,12.04,11.89,11.96,231315
2021-02-04,HST,12.04,12.15,11.69,11.92,376988
2021-02-05,HST,11.97,12.16,11.83,11.97,168043
2021-02-08,HST,11.96,12.06,11.75,12.05,288041
2021-02-09,HST,12.05,12.06,11.63,11.69,306986
2021-02-10,HST,11.77,12.13,11.77,11.87,385100
2021-02-11,HST,11.84,12.33,11.84,12.32,299471
2021-02-12,HST,12.26,12.56,12.26,12.56,373219
2021-02-16,HST,12.62,13.21,12.62,13.16,603127
2021-02-17,HST,13.09,13.24,12.88,13.2,764505
2021-02-18,HST,13.16,13.54,13.0,13.51,284947
2021-02-19,HST,13.59,14.22,13.51,14.12,482649
2021-02-22,HST,14.15,14.7,14.04,14.06,826375
2021-02-23,HST,14.04,14.12,13.53,13.98,721973
2021-02-24,HST,14.06,14.61,14.06,14.43,400307
2021-02-25,HST,14.44,14.47,13.61,13.81,376818
2021-02-26,HST,13.97,14.16,13.63,14.01,308689
2021-03-01,HST,14.18,14.29,13.81,13.83,369473
2021-03-02,HST,13.74,13.83,13.42,13.5,259812
2021-03-03,HST,13.6,14.01,13.51,13.69,278038
2021-03-04,HST,13.65,13.65,12.91,13.36,417447
2021-03-05,HST,13.44,13.44,12.88,13.33,269045
2021-03-08,HST,13.68,13.94,13.42,13.88,172323
2021-03-09,HST,13.85,14.1,13.66,13.88,180610
2021-03-10,HST,13.86,14.12,13.72,13.94,352654
2021-03-11,HST,13.97,14.37,13.81,14.29,314561
2021-03-12,HST,14.35,14.55,14.32,14.53,270081
2021-03-15,HST,14.65,15.27,14.61,15.19,219015
2021-03-16,HST,15.08,15.09,14.76,14.94,190803
2021-03-17,HST,14.95,15.55,14.94,15.52,166136
2021-03-18,HST,15.41,15.54,15.03,15.18,142898
2021-03-19,HST,14.93,15.13,14.71,15.03,223014
2021-03-22,HST,14.99,15.05,14.74,14.81,222666
2021-03-23,HST,14.77,14.81,14.15,14.22,206953
2021-03-24,HST,14.26,14.82,14.25,14.42,197892
2021-03-25,HST,14.19,14.41,13.86,14.35,441122
2021-03-26,HST,14.55,14.55,14.3,14.5,355797
2021-03-29,HST,14.41,14.67,14.2,14.28,231800
2021-03-30,HST,14.35,14.72,14.33,14.57,107155
2021-03-31,HST,14.55,14.55,14.12,14.2,243260
2021-04-01,HST,14.27,14.44,14.16,14.43,103364
2021-04-05,HST,14.55,14.66,14.31,14.6,250781
2021-04-06,HST,14.46,14.73,14.37,14.61,305856
2021-04-07,HST,14.58,14.82,14.52,14.77,246633
2021-04-08,HST,14.79,14.87,14.56,14.79,238341
2021-04-09,HST,14.89,14.91,14.43,14.63,339333
2021-04-12,HST,14.57,14.62,14.3,14.55,467063
2021-04-13,HST,14.36,14.5,14.2,14.46,226496
2021-04-14,HST,14.5,15.03,14.5,14.7,216753
2021-04-15,HST,14.73,14.81,14.47,14.81,333791
2021-04-16,HST,14.87,14.99,14.73,14.75,132080
2021-04-19,HST,14.65,14.75,14.49,14.66,124467
2021-04-20,HST,14.47,14.55,14.09,14.27,374262
2021-04-21,HST,14.21,14.68,14.15,14.61,188813
2021-04-22,HST,14.7,14.79,14.41,14.41,188821
2021-04-23,HST,14.38,14.73,14.36,14.57,209935
2021-04-26,HST,14.77,14.91,14.62,14.69,187474
2021-04-27,HST,14.64,15.16,14.57,15.14,332724
2021-04-28,HST,15.14,15.45,15.06,15.41,255256
