date,tic,open,high,low,close,volume
2021-01-04,HSY,136.09,136.21,132.81,134.07,34799
2021-01-05,HSY,133.86,134.54,132.79,133.74,40648
2021-01-06,HSY,134.45,136.61,133.99,134.27,46966
2021-01-07,HSY,134.39,135.18,133.48,134.27,35479
2021-01-08,HSY,134.04,135.21,133.98,135.01,28968
2021-01-11,HSY,134.66,134.96,133.03,133.38,45764
2021-01-12,HSY,133.3,133.74,131.65,132.8,38122
2021-01-13,HSY,132.93,134.71,132.24,133.23,37372
2021-01-14,HSY,133.56,133.56,130.82,130.87,48127
2021-01-15,HSY,130.82,132.71,130.63,131.79,41483
2021-01-19,HSY,132.15,133.31,131.58,132.04,42936
2021-01-20,HSY,131.91,132.93,131.22,132.93,51115
2021-01-21,HSY,133.17,133.17,131.77,132.34,43533
2021-01-22,HSY,132.11,132.76,131.18,131.73,47900
2021-01-25,HSY,130.86,133.19,130.51,130.96,63957
2021-01-26,HSY,131.12,133.07,129.4,132.71,62617
2021-01-27,HSY,132.53,132.6,129.32,129.75,120074
2021-01-28,HSY,129.86,132.51,129.82,131.57,75929
2021-01-29,HSY,131.01,132.77,129.06,129.06,94934
2021-02-01,HSY,129.56,129.89,128.44,128.91,47534
2021-02-02,HSY,129.55,131.81,128.94,130.56,48720
2021-02-03,HSY,130.34,131.16,129.25,130.14,50824
2021-02-04,HSY,131.4,132.98,129.03,130.78,77360
2021-02-05,HSY,131.39,132.59,130.15,130.15,39857
2021-02-08,HSY,133.76,133.76,130.82,132.66,101113
2021-02-09,HSY,132.48,134.24,132.48,132.82,88230
2021-02-10,HSY,133.46,133.48,132.53,133.1,50334
2021-02-11,HSY,132.96,133.87,132.79,133.5,68246
2021-02-12,HSY,133.2,134.71,132.94,134.46,56973
2021-02-16,HSY,134.31,135.21,133.35,134.42,92438
2021-02-17,HSY,133.93,135.33,133.93,134.3,60413
2021-02-18,HSY,134.38,137.32,134.37,136.51,74938
2021-02-19,HSY,136.9,136.9,132.77,132.88,68747
2021-02-22,HSY,132.6,132.7,130.8,132.32,42873
2021-02-23,HSY,132.81,134.28,131.29,132.09,74123
2021-02-24,HSY,132.09,132.54,131.44,131.73,31466
2021-02-25,HSY,131.65,133.11,131.49,131.7,53740
2021-02-26,HSY,131.8,132.85,130.07,130.09,48096
2021-03-01,HSY,130.66,131.93,129.19,129.57,75800
2021-03-02,HSY,129.58,130.71,128.21,129.7,43300
2021-03-03,HSY,129.48,130.11,128.79,128.79,48589
2021-03-04,HSY,129.11,133.08,128.98,130.37,77476
2021-03-05,HSY,130.85,134.57,130.48,134.15,63156
2021-03-08,HSY,134.47,138.0,134.23,135.46,69397
2021-03-09,HSY,135.41,136.55,134.38,134.4,46771
2021-03-10,HSY,134.11,137.01,133.18,136.22,103441
2021-03-11,HSY,135.99,136.62,135.25,135.55,48275
2021-03-12,HSY,135.66,136.45,135.01,136.04,36115
2021-03-15,HSY,136.87,136.92,135.16,136.79,32513
2021-03-16,HSY,136.96,137.68,136.25,137.03,65714
2021-03-17,HSY,138.36,139.09,137.32,137.97,55228
2021-03-18,HSY,137.6,139.54,137.6,139.2,30499
2021-03-19,HSY,139.46,140.01,138.03,138.33,39326
2021-03-22,HSY,137.87,139.76,137.72,139.59,31938
2021-03-23,HSY,139.69,140.31,139.4,140.09,39650
2021-03-24,HSY,139.28,141.18,138.81,140.41,51896
2021-03-25,HSY,140.93,141.56,139.42,140.15,58424
2021-03-26,HSY,140.4,141.92,139.8,141.92,43256
2021-03-29,HSY,142.03,144.28,141.73,143.83,36878
2021-03-30,HSY,143.56,144.11,141.45,141.61,42496
2021-03-31,HSY,141.52,142.47,140.74,141.11,39572
2021-04-01,HSY,140.98,142.24,139.68,141.76,67267
2021-04-05,HSY,141.82,143.86,141.6,142.25,54412
2021-04-06,HSY,142.27,144.19,142.2,143.47,39641
2021-04-07,HSY,143.84,143.84,142.8,143.32,26200
2021-04-08,HSY,143.13,143.56,142.33,142.83,39512
2021-04-09,HSY,143.28,143.38,141.61,142.32,35726
2021-04-12,HSY,142.19,143.04,141.99,142.36,39139
2021-04-13,HSY,141.47,142.49,141.2,141.66,30311
2021-04-14,HSY,141.64,141.64,140.12,141.21,48676
2021-04-15,HSY,142.99,144.01,142.53,143.62,69966
2021-04-16,HSY,144.02,144.14,143.01,143.73,45554
2021-04-20,HSY,143.19,145.54,143.05,144.69,40177
2021-04-21,HSY,146.17,146.22,145.35,145.37,42974
2021-04-22,HSY,145.14,145.67,144.63,144.73,31882
2021-04-23,HSY,144.79,145.11,143.86,144.11,32697
2021-04-26,HSY,144.04,144.04,141.77,141.99,25317
2021-04-27,HSY,141.72,142.31,141.03,141.63,71488
2021-04-28,HSY,142.28,143.36,141.46,141.86,69066
2021-04-29,HSY,143.08,147.71,142.82,146.6,134548
2021-04-30,HSY,146.15,147.19,145.82,146.84,55537
2021-05-03,HSY,146.93,149.72,146.93,148.87,39862
2021-05-04,HSY,148.96,149.86,148.03,148.81,59878
2021-05-05,HSY,148.87,150.76,148.2,150.3,65863
2021-05-06,HSY,151.29,152.0,149.9,150.54,43129
2021-05-07,HSY,150.75,150.8,149.45,150.33,32712
2021-05-10,HSY,151.2,152.73,151.12,151.99,31428
2021-05-11,HSY,153.43,153.43,150.38,150.78,31369
2021-05-12,HSY,150.8,151.21,149.44,149.58,58755
2021-05-13,HSY,150.08,153.97,150.05,153.27,71395
2021-05-14,HSY,154.0,154.91,152.82,152.82,29010
2021-05-17,HSY,153.45,155.15,152.43,153.97,88285
2021-05-18,HSY,154.02,155.47,153.85,154.21,54948
2021-05-19,HSY,153.89,154.3,152.74,153.77,28192
2021-05-20,HSY,153.99,156.1,153.91,155.1,31839
2021-05-21,HSY,156.37,156.39,155.36,155.84,22380
2021-05-24,HSY,156.57,156.97,155.88,155.98,27726
2021-05-25,HSY,155.51,156.65,154.69,156.61,33070
2021-05-26,HSY,156.31,157.1,155.84,156.24,28433
2021-05-27,HSY,156.22,156.78,155.33,155.62,23776
2021-05-28,HSY,155.68,156.17,155.15,155.18,23694
2021-06-01,HSY,155.89,156.47,154.11,154.8,40391
2021-06-02,HSY,155.14,156.2,155.01,155.62,34994
2021-06-03,HSY,155.37,156.55,154.84,156.54,19918
2021-06-04,HSY,156.77,157.35,156.29,156.77,29953
2021-06-07,HSY,157.17,157.2,154.97,156.08,24021
2021-06-08,HSY,155.99,156.14,155.21,155.65,28570
2021-06-09,HSY,154.82,155.51,154.8,155.0,9191
2021-06-10,HSY,155.03,156.58,155.03,156.37,28728
2021-06-11,HSY,156.33,156.75,155.54,156.75,12673
2021-06-14,HSY,155.96,156.58,155.17,156.38,28355
2021-06-15,HSY,156.18,156.9,155.94,156.77,21565
2021-06-16,HSY,156.76,157.07,154.75,154.77,25538
2021-06-17,HSY,155.01,155.78,153.88,155.6,26378
2021-06-18,HSY,153.99,154.17,152.79,152.93,39132
2021-06-21,HSY,153.97,154.39,153.59,154.38,19678
2021-06-22,HSY,154.96,155.62,154.41,154.44,26712
2021-06-23,HSY,153.68,153.98,152.76,152.76,40407
2021-06-24,HSY,152.73,155.68,152.28,154.56,98319
2021-06-25,HSY,154.76,157.18,154.2,156.97,74948
2021-06-28,HSY,156.97,157.62,155.9,156.49,34758
2021-06-29,HSY,156.47,156.78,153.84,154.15,55302
2021-06-30,HSY,154.52,156.37,154.52,156.22,77275
2021-07-01,HSY,155.98,157.29,155.52,155.67,47213
2021-07-02,HSY,156.41,156.78,155.75,156.01,37715
2021-07-06,HSY,156.22,157.28,155.14,156.99,30294
2021-07-07,HSY,157.06,159.92,157.06,158.39,48290
2021-07-08,HSY,157.65,159.16,156.93,157.56,61224
2021-07-09,HSY,158.48,158.83,157.99,158.47,52420
2021-07-12,HSY,158.09,158.57,157.25,158.57,53828
2021-07-13,HSY,158.48,158.69,157.2,157.67,19726
2021-07-14,HSY,157.83,159.61,157.46,159.25,25550
2021-07-15,HSY,159.45,161.06,159.04,160.94,19679
2021-07-16,HSY,160.95,161.89,160.8,161.41,30615
2021-07-19,HSY,161.07,162.39,159.76,160.75,41730
2021-07-20,HSY,162.17,163.41,161.26,161.67,29707
