date,tic,open,high,low,close,volume
2021-01-04,HUBB,144.22,146.01,142.83,143.63,26691
2021-01-05,HUBB,145.4,146.72,145.4,145.85,11004
2021-01-06,HUBB,147.68,154.8,147.68,154.76,32783
2021-01-07,HUBB,154.76,155.76,153.77,155.11,16085
2021-01-08,HUBB,155.89,156.21,153.2,154.19,28671
2021-01-11,HUBB,152.94,156.78,152.83,156.07,35895
2021-01-12,HUBB,156.76,158.47,156.76,158.41,25040
2021-01-13,HUBB,157.63,157.91,152.12,152.56,20615
2021-01-14,HUBB,152.29,153.52,150.41,151.4,16899
2021-01-15,HUBB,150.15,150.35,148.61,149.76,8980
2021-01-19,HUBB,150.91,153.15,149.7,152.5,21211
2021-01-20,HUBB,153.0,153.74,152.05,153.51,9124
2021-01-21,HUBB,153.58,153.58,151.72,152.45,12026
2021-01-22,HUBB,152.7,153.27,150.82,153.08,17677
2021-01-25,HUBB,152.17,152.88,150.42,150.86,12648
2021-01-26,HUBB,150.96,151.61,149.36,150.53,27419
2021-01-27,HUBB,147.62,149.28,145.22,148.31,26014
2021-01-28,HUBB,149.13,149.4,147.04,147.1,16402
2021-01-29,HUBB,146.87,147.15,141.55,143.08,38754
2021-02-01,HUBB,144.67,146.6,144.48,146.6,20369
2021-02-02,HUBB,144.38,146.39,137.68,145.64,90995
2021-02-03,HUBB,148.41,149.02,145.76,148.57,35495
2021-02-04,HUBB,150.15,150.36,145.99,146.26,28605
2021-02-05,HUBB,146.05,148.99,145.77,148.97,21337
2021-02-08,HUBB,148.95,151.62,148.6,150.86,23970
2021-02-09,HUBB,150.66,150.79,148.71,149.52,33232
2021-02-10,HUBB,150.34,150.55,148.66,148.93,11791
2021-02-11,HUBB,149.47,151.36,148.19,151.35,20508
2021-02-12,HUBB,150.96,151.93,149.84,151.87,22125
2021-02-16,HUBB,152.88,155.71,152.83,153.34,42530
2021-02-17,HUBB,153.71,156.02,153.02,154.78,29864
2021-02-18,HUBB,154.1,155.34,152.37,154.52,23915
2021-02-19,HUBB,156.47,157.58,156.23,156.84,8313
2021-02-22,HUBB,155.69,164.21,155.69,163.99,56763
2021-02-23,HUBB,163.71,165.81,162.56,165.81,56643
2021-02-24,HUBB,165.92,165.92,163.26,163.92,35432
2021-02-25,HUBB,163.77,164.92,160.2,164.31,31806
2021-02-26,HUBB,165.31,165.87,163.18,164.16,42889
2021-03-01,HUBB,167.18,169.83,166.69,168.33,10653
2021-03-02,HUBB,168.23,168.23,166.65,167.68,15312
2021-03-03,HUBB,167.53,167.53,165.41,166.35,15766
2021-03-04,HUBB,166.31,166.31,160.76,161.87,18320
2021-03-05,HUBB,162.64,167.14,160.44,166.93,20321
2021-03-08,HUBB,168.27,173.27,168.27,171.67,26489
2021-03-09,HUBB,172.23,172.57,169.7,170.09,25842
2021-03-10,HUBB,171.0,174.07,169.17,173.7,32910
2021-03-11,HUBB,175.03,176.43,170.27,170.85,32697
2021-03-12,HUBB,170.37,173.81,170.37,173.55,9818
2021-03-15,HUBB,173.94,175.81,173.09,175.7,30088
2021-03-16,HUBB,175.01,175.49,173.85,175.08,26941
2021-03-17,HUBB,175.24,175.63,173.79,175.63,22357
2021-03-18,HUBB,174.73,176.62,171.81,172.22,12791
2021-03-19,HUBB,171.63,172.59,169.34,169.74,12797
2021-03-22,HUBB,168.19,170.95,167.49,170.83,20105
2021-03-23,HUBB,170.2,170.2,163.01,164.73,15998
2021-03-24,HUBB,165.6,168.73,164.71,165.78,11021
2021-03-25,HUBB,163.82,170.84,163.5,170.49,16594
2021-03-26,HUBB,170.87,175.3,170.87,174.75,30895
2021-03-29,HUBB,173.14,177.32,173.14,174.59,27887
2021-03-30,HUBB,173.87,174.55,172.75,173.23,13758
2021-03-31,HUBB,175.06,175.06,171.84,173.91,12850
2021-04-01,HUBB,172.94,176.52,172.88,176.19,12060
2021-04-05,HUBB,177.15,179.34,177.15,178.45,9474
2021-04-06,HUBB,178.49,180.92,178.24,178.32,29027
2021-04-07,HUBB,177.18,177.18,173.94,173.95,14937
2021-04-08,HUBB,174.36,175.16,171.73,172.03,13275
2021-04-09,HUBB,171.33,174.0,171.33,173.45,12276
2021-04-12,HUBB,173.64,174.05,172.49,173.7,17451
2021-04-13,HUBB,171.97,171.97,170.21,170.34,8789
2021-04-14,HUBB,171.28,172.36,171.17,171.56,18960
2021-04-15,HUBB,172.19,173.55,171.88,173.44,12255
2021-04-16,HUBB,174.67,176.29,174.67,175.35,13465
2021-04-20,HUBB,175.98,175.98,171.47,171.93,10199
2021-04-21,HUBB,172.56,175.87,172.56,175.83,21256
2021-04-22,HUBB,176.39,176.49,174.32,174.32,17806
2021-04-23,HUBB,175.66,177.12,175.48,176.89,10349
2021-04-26,HUBB,178.68,181.33,175.85,176.12,15860
2021-04-27,HUBB,176.61,181.07,172.58,179.57,44735
2021-04-28,HUBB,177.27,178.96,176.89,177.17,14596
2021-04-29,HUBB,178.05,181.72,178.01,181.2,11353
2021-04-30,HUBB,179.36,179.8,177.58,177.8,5425
2021-05-03,HUBB,178.92,180.67,178.03,179.02,14498
2021-05-04,HUBB,178.43,181.24,176.76,181.08,11352
2021-05-05,HUBB,180.73,183.8,180.36,183.57,10424
2021-05-06,HUBB,183.24,185.05,181.73,184.92,12509
2021-05-07,HUBB,183.78,186.03,183.78,184.36,19828
2021-05-10,HUBB,185.49,185.9,182.75,182.89,13937
2021-05-11,HUBB,180.53,183.11,180.53,181.23,16958
2021-05-12,HUBB,180.41,180.54,174.91,175.06,9141
2021-05-13,HUBB,175.99,177.91,175.99,177.43,37256
2021-05-14,HUBB,178.31,179.99,177.29,179.81,21118
2021-05-17,HUBB,178.77,179.68,177.77,178.48,5824
2021-05-18,HUBB,177.31,177.55,175.68,175.68,5731
2021-05-19,HUBB,173.72,174.91,171.75,174.02,5493
2021-05-20,HUBB,174.24,174.88,173.05,174.33,8623
2021-05-21,HUBB,175.48,175.8,174.19,174.4,4831
2021-05-24,HUBB,174.63,175.55,173.97,174.76,7657
2021-05-25,HUBB,175.33,175.33,173.73,173.78,11605
2021-05-26,HUBB,173.91,175.33,173.43,175.28,6057
2021-05-27,HUBB,176.95,176.96,175.93,176.69,10364
2021-05-28,HUBB,175.89,177.43,175.89,177.36,3564
2021-06-01,HUBB,177.95,179.01,177.56,178.86,5610
2021-06-02,HUBB,177.51,178.44,177.13,177.24,7497
2021-06-03,HUBB,176.09,177.95,176.02,177.7,12297
2021-06-04,HUBB,178.1,178.57,177.82,178.56,3315
2021-06-07,HUBB,178.46,178.58,176.01,176.41,11634
2021-06-08,HUBB,175.65,177.5,175.48,176.66,4926
2021-06-09,HUBB,174.88,175.15,173.73,173.81,8081
2021-06-10,HUBB,174.1,174.59,171.7,171.7,6629
2021-06-11,HUBB,172.78,172.9,170.96,171.64,7399
2021-06-14,HUBB,170.46,170.71,169.48,170.27,15418
2021-06-15,HUBB,170.95,171.35,169.64,171.35,128795
2021-06-16,HUBB,170.91,171.93,168.56,168.94,22874
2021-06-17,HUBB,167.25,167.25,163.17,164.25,21308
2021-06-18,HUBB,163.46,164.31,162.46,163.08,18756
2021-06-21,HUBB,165.94,167.68,165.77,167.6,16352
2021-06-22,HUBB,168.48,170.07,166.93,169.44,20218
2021-06-23,HUBB,170.35,170.93,168.89,170.2,16573
2021-06-24,HUBB,170.7,172.01,169.44,171.46,12502
2021-06-25,HUBB,171.38,172.79,171.38,172.74,16525
2021-06-28,HUBB,171.79,172.73,171.2,171.7,13827
2021-06-29,HUBB,171.82,172.44,171.79,172.26,15990
2021-06-30,HUBB,172.55,174.42,171.61,173.87,14559
2021-07-01,HUBB,173.94,174.76,173.42,173.51,11115
2021-07-02,HUBB,173.51,173.91,172.97,173.22,5683
2021-07-06,HUBB,172.05,172.97,169.13,170.75,6126
2021-07-07,HUBB,172.03,174.01,171.81,173.8,12146
2021-07-08,HUBB,171.56,173.26,170.91,172.22,13243
2021-07-09,HUBB,174.86,176.39,174.53,176.31,21227
2021-07-12,HUBB,175.34,178.31,175.34,178.17,25008
2021-07-13,HUBB,177.42,177.68,175.71,175.76,7950
2021-07-14,HUBB,177.36,177.71,175.16,177.51,14038
2021-07-15,HUBB,176.81,179.27,176.81,178.96,29513
2021-07-16,HUBB,178.81,179.54,177.43,177.86,24554
2021-07-19,HUBB,175.65,176.02,173.84,174.47,24213
2021-07-20,HUBB,175.53,183.4,175.53,182.91,21107
2021-07-21,HUBB,184.11,186.29,182.86,183.42,18694
2021-07-22,HUBB,182.72,182.82,181.52,181.91,9534
2021-07-23,HUBB,182.81,182.98,181.73,181.95,12550
2021-07-26,HUBB,180.78,182.2,180.02,180.96,12997
2021-07-27,HUBB,181.77,183.48,177.99,182.6,20623
2021-07-28,HUBB,182.56,183.03,180.59,182.32,9958
