date,tic,open,high,low,close,volume
2021-01-04,HUM,399.72,400.51,384.48,395.11,92467
2021-01-05,HUM,393.74,399.56,392.59,396.47,62109
2021-01-06,HUM,389.15,419.81,389.15,419.77,118033
2021-01-07,HUM,418.38,430.63,417.69,429.44,85355
2021-01-08,HUM,428.31,429.1,414.62,418.71,94543
2021-01-11,HUM,416.64,419.47,410.86,415.93,66680
2021-01-12,HUM,415.31,419.37,404.51,405.33,67636
2021-01-13,HUM,404.8,404.8,396.92,399.02,52374
2021-01-14,HUM,398.3,402.95,387.89,388.09,114129
2021-01-15,HUM,386.29,390.44,383.45,390.12,200471
2021-01-19,HUM,393.9,398.36,388.41,390.61,56991
2021-01-20,HUM,390.78,395.09,385.78,394.48,55926
2021-01-21,HUM,394.82,401.2,394.68,397.84,53048
2021-01-22,HUM,395.08,395.54,388.53,388.58,35442
2021-01-25,HUM,389.77,393.73,384.87,387.1,65226
2021-01-26,HUM,388.42,389.54,379.34,379.35,110830
2021-01-27,HUM,372.59,375.3,359.02,362.36,205852
2021-01-28,HUM,366.3,378.97,366.25,374.05,63103
2021-01-29,HUM,373.43,374.04,360.42,368.13,75440
2021-02-01,HUM,371.35,372.03,363.03,364.29,78973
2021-02-02,HUM,367.12,374.17,363.71,363.89,96334
2021-02-03,HUM,358.7,372.04,358.68,364.98,90971
2021-02-04,HUM,363.1,369.44,359.36,369.1,86093
2021-02-05,HUM,371.33,371.56,358.93,363.55,188639
2021-02-08,HUM,365.42,365.52,359.23,362.59,213235
2021-02-09,HUM,361.67,368.88,361.4,366.65,302842
2021-02-10,HUM,369.02,369.02,361.2,362.38,217447
2021-02-11,HUM,363.93,367.68,359.5,365.21,161153
2021-02-12,HUM,364.82,365.24,362.31,364.76,85721
2021-02-16,HUM,364.78,365.82,355.09,359.48,146870
2021-02-17,HUM,358.61,367.09,358.61,361.93,45775
2021-02-18,HUM,362.16,364.47,360.45,362.91,51350
2021-02-19,HUM,363.68,363.68,359.55,361.54,64732
2021-02-22,HUM,357.91,365.9,356.56,364.17,73246
2021-02-23,HUM,364.06,366.45,359.03,362.6,60908
2021-02-24,HUM,362.27,369.22,361.08,365.76,65766
2021-02-25,HUM,364.97,368.62,362.57,364.86,48692
2021-02-26,HUM,366.5,373.79,363.59,363.62,94235
2021-03-01,HUM,367.57,371.88,367.57,368.91,124881
2021-03-02,HUM,369.16,372.42,366.38,370.27,48168
2021-03-03,HUM,368.59,370.78,366.45,366.69,31535
2021-03-04,HUM,367.53,379.62,367.14,372.03,123171
2021-03-05,HUM,374.83,384.21,373.13,382.98,119234
2021-03-08,HUM,383.07,390.52,381.51,384.64,100055
2021-03-09,HUM,386.34,392.49,385.15,386.57,78016
2021-03-10,HUM,387.09,391.84,386.29,386.35,56754
2021-03-11,HUM,386.41,390.51,384.55,385.05,48775
2021-03-12,HUM,386.1,389.72,385.85,389.69,45015
2021-03-15,HUM,389.87,392.16,385.83,389.54,37783
2021-03-16,HUM,389.53,390.45,383.83,386.88,56678
2021-03-17,HUM,387.95,391.47,385.69,386.2,34599
2021-03-18,HUM,387.52,394.37,387.52,390.54,56210
2021-03-19,HUM,388.84,396.53,387.52,392.81,50763
2021-03-22,HUM,386.33,388.5,381.9,387.71,46304
2021-03-23,HUM,389.23,390.75,386.57,387.19,33041
2021-03-24,HUM,387.65,400.35,387.65,397.53,85944
2021-03-25,HUM,396.72,400.48,392.19,399.34,41269
2021-03-26,HUM,402.78,406.36,399.48,406.0,51978
2021-03-29,HUM,405.14,411.94,405.14,407.59,44505
2021-03-30,HUM,406.59,411.29,406.59,408.37,49514
2021-03-31,HUM,409.21,409.21,402.59,402.64,45701
2021-04-01,HUM,398.92,402.59,394.34,396.43,51526
2021-04-05,HUM,401.08,401.12,395.75,396.22,53836
2021-04-06,HUM,395.88,395.88,389.41,391.01,82631
2021-04-07,HUM,392.14,394.89,390.78,394.68,47496
2021-04-08,HUM,393.83,393.89,390.15,390.85,64470
2021-04-09,HUM,393.04,400.69,393.04,400.69,40912
2021-04-12,HUM,401.54,404.89,396.26,396.6,70537
2021-04-13,HUM,395.89,402.91,395.86,401.02,19851
2021-04-14,HUM,401.31,407.56,401.31,405.79,42864
2021-04-15,HUM,410.82,419.83,410.27,416.15,89744
2021-04-16,HUM,419.17,419.2,414.86,418.29,104853
2021-04-20,HUM,420.56,426.94,420.56,425.43,54183
2021-04-21,HUM,427.8,430.33,426.03,426.85,52745
2021-04-22,HUM,423.7,427.71,418.75,426.8,47336
2021-04-23,HUM,426.45,432.02,425.33,430.97,23915
2021-04-26,HUM,430.54,433.53,428.56,428.62,37736
2021-04-27,HUM,425.35,432.23,424.8,431.13,57581
2021-04-28,HUM,424.13,429.85,418.14,421.16,108777
2021-04-29,HUM,422.41,431.72,422.41,429.66,49179
2021-04-30,HUM,430.72,431.19,425.18,427.03,34852
2021-05-03,HUM,429.97,435.42,428.65,432.65,44347
2021-05-04,HUM,432.95,445.38,432.51,444.54,101688
2021-05-05,HUM,442.14,442.19,435.49,441.88,62927
2021-05-06,HUM,442.99,447.17,440.61,447.07,54983
2021-05-07,HUM,442.98,449.83,442.98,446.33,44948
2021-05-10,HUM,448.04,456.26,448.04,451.48,38993
2021-05-11,HUM,451.52,451.69,436.71,437.5,70331
2021-05-12,HUM,436.54,440.22,435.65,435.75,55972
2021-05-13,HUM,433.93,440.87,433.93,437.63,48620
2021-05-14,HUM,439.65,439.65,433.46,434.98,53727
