date,tic,open,high,low,close,volume
2021-01-04,HWM,28.08,28.08,26.48,26.49,149414
2021-01-05,HWM,26.58,27.61,26.54,27.56,227033
2021-01-06,HWM,27.79,28.22,27.29,27.66,163421
2021-01-07,HWM,27.73,27.82,27.32,27.38,176172
2021-01-08,HWM,27.51,27.53,26.95,27.53,124035
2021-01-11,HWM,27.26,27.98,27.21,27.83,99255
2021-01-12,HWM,27.87,28.69,27.62,28.48,80439
2021-01-13,HWM,28.34,28.49,27.72,27.77,59425
2021-01-14,HWM,28.06,28.59,27.81,28.2,177217
2021-01-15,HWM,27.66,27.85,27.28,27.57,119167
2021-01-19,HWM,27.81,27.82,27.16,27.38,115260
2021-01-20,HWM,27.56,27.56,26.98,27.0,166167
2021-01-21,HWM,26.9,26.94,26.31,26.55,237968
2021-01-22,HWM,26.34,26.58,26.02,26.43,76627
2021-01-25,HWM,26.17,26.25,25.05,25.48,433928
2021-01-26,HWM,25.87,25.88,24.58,24.69,383889
2021-01-27,HWM,24.09,24.09,22.69,23.25,362309
2021-01-28,HWM,23.75,24.54,23.69,24.4,273617
2021-01-29,HWM,24.25,25.06,23.82,24.26,290731
2021-02-01,HWM,24.66,24.99,24.23,24.74,123008
2021-02-02,HWM,25.31,26.18,24.91,25.76,278722
2021-02-03,HWM,25.13,26.85,24.81,26.52,303508
2021-02-04,HWM,26.64,27.57,26.58,26.97,311146
2021-02-05,HWM,27.27,27.41,26.64,26.77,116808
2021-02-08,HWM,26.95,27.38,26.91,27.38,110738
2021-02-09,HWM,27.15,27.54,27.01,27.37,119964
2021-02-10,HWM,27.34,28.07,27.28,27.96,118589
2021-02-11,HWM,27.75,28.43,27.56,28.36,96676
2021-02-12,HWM,27.92,28.32,27.8,27.91,98088
2021-02-16,HWM,28.01,28.19,27.75,28.02,60096
2021-02-17,HWM,28.28,28.36,27.99,28.26,55701
2021-02-18,HWM,27.82,28.12,27.33,27.44,66549
2021-02-19,HWM,27.67,28.4,27.62,28.26,52193
2021-02-22,HWM,28.03,28.8,28.02,28.26,68990
2021-02-23,HWM,28.19,28.77,27.83,28.69,72345
2021-02-24,HWM,28.57,30.11,28.57,29.79,193037
2021-02-25,HWM,29.56,29.66,27.8,27.95,158596
2021-02-26,HWM,27.97,28.2,27.44,27.75,124502
2021-03-01,HWM,28.69,29.0,28.54,28.57,108139
2021-03-02,HWM,28.46,28.94,28.22,28.6,105550
2021-03-03,HWM,28.76,30.14,28.75,29.9,270670
2021-03-04,HWM,29.97,30.4,28.33,29.14,244640
2021-03-05,HWM,29.7,30.11,28.15,29.98,262025
2021-03-08,HWM,30.36,30.68,29.35,29.42,134422
