date,tic,open,high,low,close,volume
2021-01-04,IBKR,14.9,14.97,14.59,14.89,139532
2021-01-05,IBKR,14.85,15.4,14.85,15.35,524000
2021-01-06,IBKR,15.43,16.64,15.43,16.26,519148
2021-01-07,IBKR,16.46,17.16,16.42,16.82,373632
2021-01-08,IBKR,16.82,17.46,16.78,17.02,345052
2021-01-11,IBKR,16.63,16.83,16.51,16.76,157828
2021-01-12,IBKR,16.96,16.96,16.77,16.88,150340
2021-01-13,IBKR,16.83,17.17,16.83,16.91,213396
2021-01-14,IBKR,17.01,17.09,16.66,16.69,92112
2021-01-15,IBKR,16.55,16.88,16.35,16.79,145228
2021-01-19,IBKR,16.85,17.23,16.75,16.94,304684
2021-01-20,IBKR,16.97,17.0,16.4,16.53,315452
2021-01-21,IBKR,16.47,16.82,16.3,16.81,225156
2021-01-22,IBKR,16.66,16.98,16.6,16.76,300096
2021-01-25,IBKR,16.9,17.02,16.2,16.41,427488
2021-01-26,IBKR,16.32,16.43,15.8,16.02,349364
2021-01-27,IBKR,15.8,15.8,15.29,15.33,484296
2021-01-28,IBKR,15.46,15.56,15.11,15.44,493236
2021-01-29,IBKR,15.39,15.45,14.37,14.88,816572
2021-02-01,IBKR,15.01,16.08,14.98,15.92,643656
2021-02-02,IBKR,16.19,17.0,16.0,16.61,661592
2021-02-03,IBKR,16.53,16.77,16.42,16.73,298412
2021-02-04,IBKR,16.73,16.96,16.62,16.94,88120
2021-02-05,IBKR,16.97,17.62,16.88,17.5,268960
2021-02-08,IBKR,17.47,17.53,17.1,17.48,241936
2021-02-09,IBKR,17.47,17.95,17.41,17.7,119944
2021-02-10,IBKR,17.76,17.84,17.39,17.48,172424
2021-02-11,IBKR,17.4,17.47,17.08,17.37,181204
2021-02-12,IBKR,17.19,17.72,17.19,17.65,144092
2021-02-16,IBKR,17.79,18.4,17.67,18.15,170516
2021-02-17,IBKR,17.86,18.11,17.61,18.04,193952
2021-02-18,IBKR,17.8,18.21,17.8,18.1,112732
2021-02-19,IBKR,18.4,18.51,17.98,18.12,207480
2021-02-22,IBKR,17.97,18.1,17.86,17.87,101156
2021-02-23,IBKR,17.55,17.73,17.22,17.62,159764
2021-02-24,IBKR,17.74,18.27,17.56,18.27,119400
2021-02-25,IBKR,18.38,18.63,17.95,18.04,164652
2021-02-26,IBKR,17.93,18.07,17.22,17.65,247632
2021-03-01,IBKR,18.06,18.88,17.92,18.67,221236
2021-03-02,IBKR,18.5,18.86,18.23,18.47,163960
2021-03-03,IBKR,18.38,18.87,18.21,18.52,170660
2021-03-04,IBKR,18.42,18.49,17.82,18.21,222328
2021-03-05,IBKR,18.53,18.56,17.42,18.33,233400
2021-03-08,IBKR,18.42,18.72,18.28,18.47,142600
2021-03-09,IBKR,18.49,19.36,18.46,19.19,495608
2021-03-10,IBKR,19.47,19.57,18.97,19.11,245624
2021-03-11,IBKR,19.19,19.35,18.84,19.16,75048
2021-03-12,IBKR,19.24,19.35,18.98,19.2,133292
2021-03-15,IBKR,19.11,19.19,18.86,19.12,160880
2021-03-16,IBKR,19.07,19.19,18.53,18.66,273376
2021-03-17,IBKR,18.62,19.07,18.59,18.86,103892
2021-03-18,IBKR,18.92,19.21,18.84,18.98,123180
2021-03-19,IBKR,18.9,19.26,18.77,19.1,137496
2021-03-22,IBKR,19.02,19.31,18.87,19.0,121720
2021-03-23,IBKR,19.07,19.07,18.48,18.56,70568
2021-03-24,IBKR,18.64,18.88,18.15,18.18,220112
2021-03-25,IBKR,18.02,18.14,17.45,17.97,327356
2021-03-26,IBKR,18.25,18.25,17.61,17.75,327472
2021-03-29,IBKR,17.48,17.76,17.4,17.65,247576
2021-03-30,IBKR,17.75,17.76,17.43,17.58,249872
2021-03-31,IBKR,17.6,17.97,17.6,17.77,143280
2021-04-01,IBKR,17.93,18.19,17.79,17.92,201268
2021-04-05,IBKR,18.13,18.62,18.11,18.28,201976
2021-04-06,IBKR,18.42,18.42,18.11,18.17,119732
2021-04-07,IBKR,18.16,18.18,17.77,18.01,251872
2021-04-08,IBKR,18.06,18.1,17.83,17.92,154760
2021-04-09,IBKR,18.0,18.2,17.83,18.13,96876
2021-04-12,IBKR,18.2,18.21,17.93,18.0,84748
2021-04-13,IBKR,18.09,18.23,17.82,17.89,53404
2021-04-14,IBKR,18.05,18.41,17.99,18.3,327824
2021-04-15,IBKR,18.2,18.88,18.14,18.66,256944
2021-04-16,IBKR,18.68,18.82,18.52,18.64,137492
2021-04-19,IBKR,18.69,18.88,18.62,18.85,151848
2021-04-20,IBKR,18.79,18.8,17.88,18.07,212404
2021-04-21,IBKR,18.09,18.54,17.58,17.86,598160
2021-04-22,IBKR,17.88,17.92,17.24,17.26,600528
