date,tic,open,high,low,close,volume
2021-01-04,IEX,186.73,187.32,182.61,183.48,18770
2021-01-05,IEX,184.47,185.26,182.74,183.25,14641
2021-01-06,IEX,186.12,190.75,186.12,190.03,35072
2021-01-07,IEX,191.15,196.03,191.11,195.97,17339
2021-01-08,IEX,194.97,196.5,192.03,194.54,9840
2021-01-11,IEX,193.99,196.6,193.75,196.29,20612
2021-01-12,IEX,197.4,199.02,194.82,196.16,26493
2021-01-13,IEX,193.24,193.59,190.79,191.23,28144
2021-01-14,IEX,188.98,190.19,187.36,187.85,40689
2021-01-15,IEX,186.38,186.68,181.98,182.95,43125
2021-01-19,IEX,184.1,185.28,182.38,182.38,46529
2021-01-20,IEX,183.45,187.96,183.45,187.02,76171
2021-01-21,IEX,187.63,187.63,182.44,184.27,33814
2021-01-22,IEX,183.57,186.34,182.81,185.18,35265
2021-01-25,IEX,184.86,185.94,181.76,183.05,26114
2021-01-26,IEX,182.64,183.38,180.32,182.33,22252
2021-01-27,IEX,179.76,181.21,175.91,177.29,23396
2021-01-28,IEX,180.79,181.98,177.9,177.9,27260
2021-01-29,IEX,176.07,177.83,175.16,175.5,40929
2021-02-01,IEX,179.2,179.2,176.28,178.53,21413
2021-02-02,IEX,180.07,184.18,179.78,182.69,41715
2021-02-03,IEX,183.28,184.24,181.97,183.79,28708
2021-02-04,IEX,184.72,190.5,177.44,178.84,50722
2021-02-05,IEX,180.7,183.6,180.36,181.12,287942
2021-02-08,IEX,181.98,187.95,180.71,187.11,91152
2021-02-09,IEX,187.86,187.86,184.74,186.24,37703
2021-02-10,IEX,187.13,188.7,187.04,187.87,20531
2021-02-11,IEX,187.66,188.76,185.67,186.66,47279
2021-02-12,IEX,187.23,188.46,185.86,188.32,51863
2021-02-16,IEX,189.2,190.48,186.06,186.07,40865
2021-02-17,IEX,184.43,185.35,181.68,182.41,43911
2021-02-18,IEX,181.55,182.56,180.01,182.56,26255
2021-02-19,IEX,183.69,186.52,183.48,185.69,30591
2021-02-22,IEX,184.42,186.5,183.93,185.95,19327
2021-02-23,IEX,185.52,187.73,183.81,185.4,28882
2021-02-24,IEX,185.57,187.93,184.8,186.65,27922
2021-02-25,IEX,187.06,187.48,184.79,185.79,25358
2021-02-26,IEX,185.44,186.08,183.81,183.95,20802
2021-03-01,IEX,186.6,190.71,186.07,188.5,18849
2021-03-02,IEX,188.19,189.09,186.27,188.46,24431
2021-03-03,IEX,187.67,189.31,187.52,187.91,18270
2021-03-04,IEX,187.68,187.68,181.68,183.81,23869
2021-03-05,IEX,185.13,186.87,181.05,186.62,32417
2021-03-08,IEX,187.19,189.88,187.05,187.58,31853
2021-03-09,IEX,188.07,190.2,186.25,186.25,20588
2021-03-10,IEX,186.7,189.01,186.07,188.82,40326
2021-03-11,IEX,188.68,191.16,187.59,187.67,25396
2021-03-12,IEX,187.59,187.91,185.71,187.86,25401
2021-03-15,IEX,187.81,191.81,186.93,191.81,20499
2021-03-16,IEX,191.68,191.9,185.84,187.37,38464
2021-03-17,IEX,187.33,188.07,184.4,185.8,43807
2021-03-18,IEX,185.91,189.11,185.81,188.83,34576
2021-03-19,IEX,186.99,188.93,186.69,187.77,28723
2021-03-22,IEX,184.8,187.11,183.19,187.01,50209
2021-03-23,IEX,185.71,188.28,185.71,186.54,26140
2021-03-24,IEX,187.92,191.85,187.92,190.07,25603
2021-03-25,IEX,188.13,190.55,186.95,190.05,24909
2021-03-26,IEX,191.39,194.9,191.1,194.9,13235
2021-03-29,IEX,193.41,197.49,192.91,196.38,22898
2021-03-30,IEX,196.35,199.07,196.29,198.23,37223
2021-03-31,IEX,198.61,200.19,196.68,197.39,44683
2021-04-01,IEX,197.43,200.25,194.87,200.03,19522
2021-04-05,IEX,201.28,202.6,201.05,202.47,10398
2021-04-06,IEX,202.49,204.56,202.48,202.67,28028
2021-04-07,IEX,203.19,203.19,200.89,202.13,19075
2021-04-08,IEX,202.0,203.99,201.98,202.7,29970
2021-04-09,IEX,204.28,206.06,202.92,204.92,50887
2021-04-12,IEX,204.9,207.76,204.55,205.79,79330
2021-04-13,IEX,205.01,205.36,203.2,204.27,19591
2021-04-14,IEX,205.06,205.71,202.4,202.99,32173
2021-04-15,IEX,203.75,205.84,202.41,205.51,35039
2021-04-16,IEX,207.34,209.54,206.36,207.8,53638
2021-04-20,IEX,208.42,210.05,207.78,209.94,20184
2021-04-21,IEX,210.95,212.9,210.05,211.86,46778
2021-04-22,IEX,212.27,213.73,211.51,211.97,20270
2021-04-23,IEX,212.17,213.2,212.17,212.33,24983
2021-04-26,IEX,213.82,214.93,212.39,212.74,26270
2021-04-27,IEX,213.35,213.97,211.93,213.26,17698
2021-04-28,IEX,217.14,217.39,209.71,212.42,43451
2021-04-29,IEX,213.11,215.09,212.81,215.09,17846
2021-04-30,IEX,213.76,213.76,210.58,211.27,29872
2021-05-03,IEX,211.89,212.08,210.34,210.62,32435
2021-05-04,IEX,209.82,214.99,209.82,214.43,21934
2021-05-05,IEX,214.24,214.24,211.37,212.65,19760
2021-05-06,IEX,213.91,213.91,211.93,213.21,23535
2021-05-07,IEX,213.41,214.47,212.86,213.06,31720
2021-05-10,IEX,213.72,215.6,213.72,213.84,32037
2021-05-11,IEX,212.14,212.57,210.07,211.75,20638
2021-05-12,IEX,211.33,211.33,205.62,205.77,31449
2021-05-13,IEX,206.38,211.61,206.38,210.56,15440
2021-05-14,IEX,210.7,213.06,210.7,211.59,8540
2021-05-17,IEX,210.17,211.42,208.91,211.02,12404
2021-05-18,IEX,209.75,210.27,208.18,208.64,32040
2021-05-19,IEX,206.36,206.36,203.87,204.98,24049
2021-05-20,IEX,206.34,208.05,204.55,207.34,13612
2021-05-21,IEX,208.4,209.25,207.25,207.85,4411
2021-05-24,IEX,208.95,209.48,207.19,208.44,7642
2021-05-25,IEX,208.39,209.7,208.33,209.33,8792
2021-05-26,IEX,209.55,210.0,207.94,209.18,11813
2021-05-27,IEX,210.93,210.95,209.75,209.97,5749
2021-05-28,IEX,209.97,210.8,209.38,210.41,10780
2021-06-01,IEX,212.54,213.66,211.4,211.59,23844
2021-06-02,IEX,211.07,212.43,210.59,211.21,8964
2021-06-03,IEX,211.18,211.59,209.92,210.88,5127
2021-06-04,IEX,211.76,213.01,211.71,212.96,8666
2021-06-07,IEX,213.12,213.12,209.61,210.51,9738
2021-06-08,IEX,209.23,211.12,208.86,210.96,4779
2021-06-09,IEX,209.34,210.26,208.85,208.85,7547
2021-06-10,IEX,209.73,210.18,207.81,207.93,19959
2021-06-11,IEX,209.22,209.22,206.75,208.21,6085
2021-06-14,IEX,207.19,208.6,206.12,208.6,14753
2021-06-15,IEX,208.6,210.91,207.58,210.25,27398
2021-06-16,IEX,209.1,209.91,205.71,205.82,21458
2021-06-17,IEX,206.22,206.22,201.03,202.7,28114
2021-06-18,IEX,200.55,202.58,200.13,200.13,45900
2021-06-21,IEX,201.73,205.44,201.73,205.22,22212
2021-06-22,IEX,205.36,207.43,204.79,205.56,17087
2021-06-23,IEX,204.62,207.93,204.62,205.81,21424
2021-06-24,IEX,205.93,207.6,205.3,206.64,18583
2021-06-25,IEX,208.75,209.6,207.75,207.75,34988
