date,tic,open,high,low,close,volume
2021-01-04,IFF,95.66,95.7,90.96,91.92,222757
2021-01-05,IFF,92.04,95.12,91.68,94.5,336961
2021-01-06,IFF,96.1,100.14,96.1,98.79,288691
2021-01-07,IFF,99.64,103.91,99.64,103.91,367880
2021-01-08,IFF,104.37,105.87,103.13,104.12,103866
2021-01-11,IFF,103.32,108.61,102.82,107.13,449900
2021-01-12,IFF,109.0,111.22,108.23,110.23,449218
2021-01-13,IFF,109.03,109.44,104.33,106.44,281345
2021-01-14,IFF,105.61,106.03,104.19,104.96,277654
2021-01-15,IFF,104.54,104.54,101.68,102.93,265496
2021-01-19,IFF,103.75,105.34,102.59,105.34,225248
2021-01-20,IFF,105.62,106.62,104.04,105.09,213449
2021-01-21,IFF,103.58,104.36,101.08,101.52,434647
2021-01-22,IFF,100.83,101.38,99.77,101.38,252163
2021-01-25,IFF,101.62,102.44,100.5,101.75,868207
2021-01-26,IFF,103.2,103.2,99.08,99.56,453535
2021-01-27,IFF,96.88,99.76,96.01,97.09,433154
2021-01-28,IFF,97.68,101.18,97.58,100.59,585853
2021-01-29,IFF,99.79,100.75,97.01,98.37,1276382
2021-02-01,IFF,107.69,116.56,102.44,113.9,1310317
2021-02-02,IFF,113.34,116.36,108.6,108.6,559467
2021-02-03,IFF,109.3,112.77,109.22,112.37,757065
2021-02-04,IFF,118.33,122.15,111.6,111.6,416787
2021-02-05,IFF,111.0,112.11,110.26,111.26,297166
2021-02-08,IFF,111.8,112.71,109.74,111.36,204359
2021-02-09,IFF,111.37,112.65,110.2,111.98,190606
2021-02-10,IFF,112.23,123.78,112.13,118.71,562894
2021-02-11,IFF,118.93,122.63,117.02,119.58,188252
2021-02-12,IFF,119.45,121.92,116.39,117.32,155769
2021-02-16,IFF,117.87,121.13,117.36,119.92,200029
2021-02-17,IFF,119.24,121.24,117.42,120.55,120537
2021-02-18,IFF,120.3,121.92,119.73,120.71,226349
2021-02-19,IFF,122.03,122.78,120.92,122.09,128531
2021-02-22,IFF,121.66,123.6,121.05,122.98,79366
2021-02-23,IFF,122.29,122.51,119.85,121.78,113685
2021-02-24,IFF,122.04,122.6,119.88,120.8,116018
2021-02-25,IFF,120.77,121.47,118.07,119.52,98721
2021-02-26,IFF,118.93,119.83,117.09,118.58,103418
2021-03-01,IFF,120.4,123.37,120.23,121.84,190388
2021-03-02,IFF,121.94,121.94,119.45,120.02,124923
2021-03-03,IFF,119.11,119.29,115.2,115.2,234634
2021-03-04,IFF,115.64,115.98,111.83,114.43,132064
2021-03-05,IFF,115.8,117.75,113.38,117.13,119345
2021-03-08,IFF,114.66,117.59,114.02,114.44,208320
2021-03-09,IFF,116.43,117.5,114.78,114.86,71986
2021-03-10,IFF,116.29,119.59,115.78,118.36,110903
2021-03-11,IFF,120.03,120.93,118.9,118.9,105049
2021-03-12,IFF,118.92,119.03,117.57,117.98,77171
2021-03-15,IFF,118.18,119.81,117.99,119.76,118155
2021-03-16,IFF,119.06,120.2,119.02,119.59,75417
2021-03-17,IFF,119.64,120.86,119.44,120.73,104391
2021-03-18,IFF,120.2,121.36,119.51,120.5,109435
2021-03-19,IFF,120.51,120.59,118.45,120.18,139536
2021-03-22,IFF,119.21,120.4,118.27,120.16,64801
2021-03-23,IFF,119.97,120.74,118.64,119.21,79543
2021-03-24,IFF,119.74,121.3,119.36,119.4,78322
2021-03-25,IFF,120.66,123.09,119.53,122.68,113728
2021-03-26,IFF,122.98,124.0,121.22,123.59,75234
2021-03-29,IFF,123.08,125.03,123.08,124.19,161559
2021-03-30,IFF,124.22,125.1,122.31,122.93,69917
2021-03-31,IFF,123.55,124.08,122.45,123.03,70183
2021-04-01,IFF,123.07,123.39,121.81,122.18,133588
2021-04-05,IFF,123.27,123.72,122.25,122.29,62350
2021-04-06,IFF,122.5,124.06,122.25,124.06,79052
2021-04-07,IFF,123.63,123.7,121.52,121.93,44623
2021-04-08,IFF,121.43,122.26,120.75,121.84,47536
2021-04-09,IFF,122.21,123.41,121.81,123.38,50400
2021-04-12,IFF,123.86,123.92,122.76,123.6,47119
2021-04-13,IFF,123.34,124.48,123.24,123.9,25588
2021-04-14,IFF,123.93,124.52,123.38,124.08,48002
2021-04-15,IFF,124.3,124.99,124.04,124.91,51175
2021-04-16,IFF,125.63,125.77,124.16,125.56,47409
2021-04-20,IFF,124.87,125.84,124.19,124.83,73190
2021-04-21,IFF,125.6,126.72,125.15,126.65,31617
2021-04-22,IFF,126.59,126.67,124.86,125.39,35796
2021-04-23,IFF,125.82,127.41,125.31,127.19,41778
2021-04-26,IFF,127.15,128.06,127.01,127.16,33657
2021-04-27,IFF,125.84,126.26,124.96,125.42,52552
2021-04-28,IFF,125.56,126.76,125.25,126.55,41576
2021-04-29,IFF,127.16,128.01,125.43,126.83,64519
2021-04-30,IFF,126.75,126.88,124.68,125.07,38582
2021-05-03,IFF,126.08,127.49,125.87,126.69,52405
2021-05-04,IFF,126.17,128.03,124.89,128.03,51383
2021-05-05,IFF,128.25,128.53,127.02,127.26,52481
2021-05-06,IFF,127.31,128.92,126.83,128.85,46762
2021-05-07,IFF,128.39,129.39,128.17,128.9,47927
2021-05-10,IFF,129.19,129.19,125.39,125.45,68818
2021-05-11,IFF,123.27,123.86,120.36,122.11,185850
2021-05-12,IFF,121.0,123.94,119.04,119.05,94971
2021-05-13,IFF,119.39,122.54,119.39,122.08,60355
2021-05-14,IFF,122.98,124.76,122.98,124.23,37978
2021-05-17,IFF,124.38,126.25,123.9,125.57,38879
2021-05-18,IFF,125.89,126.65,124.97,125.11,60012
2021-05-19,IFF,123.56,124.96,123.14,124.93,27282
2021-05-20,IFF,125.15,125.57,122.48,122.6,96447
2021-05-21,IFF,123.27,124.95,123.2,123.71,45443
2021-05-24,IFF,124.62,125.33,123.81,124.81,36712
2021-05-25,IFF,125.4,125.69,124.21,124.64,37959
2021-05-26,IFF,124.3,124.96,123.43,124.54,69800
2021-05-27,IFF,125.55,126.02,124.8,125.69,106935
2021-05-28,IFF,126.14,126.15,124.11,124.63,43222
2021-06-01,IFF,125.99,126.17,123.93,125.32,80495
2021-06-02,IFF,125.41,127.29,125.07,126.45,58308
2021-06-03,IFF,125.46,126.86,125.11,125.47,51352
2021-06-04,IFF,125.74,126.16,124.7,125.78,48703
2021-06-07,IFF,126.29,127.15,125.18,125.97,22380
2021-06-08,IFF,126.51,127.52,125.66,127.43,25546
2021-06-09,IFF,127.3,129.66,127.3,129.44,34179
2021-06-10,IFF,129.89,130.26,129.42,130.02,60355
2021-06-11,IFF,130.46,130.48,128.19,130.07,49535
2021-06-14,IFF,129.79,130.13,129.02,130.06,36147
2021-06-15,IFF,130.31,130.31,128.83,129.47,54968
2021-06-16,IFF,129.65,130.36,129.04,129.63,46612
2021-06-17,IFF,130.12,130.26,127.37,128.24,41596
2021-06-18,IFF,126.44,128.06,126.44,127.58,41754
2021-06-21,IFF,128.69,130.73,128.45,130.63,32276
2021-06-22,IFF,130.8,131.76,129.86,131.26,35629
2021-06-23,IFF,131.02,132.02,130.58,130.68,33203
2021-06-24,IFF,130.92,131.79,130.28,131.28,34530
2021-06-25,IFF,131.57,132.61,131.42,131.61,18968
2021-06-28,IFF,131.8,132.03,130.79,131.7,30465
2021-06-29,IFF,131.85,132.64,131.11,131.56,23203
2021-06-30,IFF,131.05,132.29,130.54,132.18,42478
2021-07-01,IFF,132.57,132.8,132.06,132.11,40943
2021-07-02,IFF,131.54,132.71,131.47,132.68,41976
2021-07-06,IFF,132.43,132.49,130.3,130.85,42122
2021-07-07,IFF,130.88,131.83,129.85,131.55,27096
2021-07-08,IFF,130.09,130.79,129.48,130.73,38098
2021-07-09,IFF,132.21,132.34,130.1,130.65,68206
2021-07-12,IFF,130.14,131.82,130.06,131.44,63912
2021-07-13,IFF,131.12,131.12,127.89,128.58,101849
2021-07-14,IFF,128.39,128.75,127.55,128.07,99335
2021-07-15,IFF,127.78,128.82,126.81,127.36,62089
2021-07-16,IFF,127.61,128.11,126.29,126.86,58398
2021-07-19,IFF,124.8,126.22,123.54,123.86,80741
2021-07-20,IFF,124.64,127.67,124.58,127.19,41428
2021-07-21,IFF,127.76,128.51,127.18,128.23,24849
2021-07-22,IFF,128.24,129.58,127.54,129.12,24536
2021-07-23,IFF,129.66,131.29,129.01,131.23,24699
2021-07-26,IFF,131.2,131.97,130.83,131.56,29855
2021-07-27,IFF,131.16,132.0,130.37,131.98,34054
2021-07-28,IFF,132.13,132.13,130.58,131.34,34988
2021-07-29,IFF,131.75,132.74,131.61,131.97,28240
2021-07-30,IFF,132.59,133.33,131.79,133.27,26535
2021-08-02,IFF,133.96,134.41,132.21,132.31,44497
2021-08-03,IFF,132.21,133.08,131.43,132.67,37676
2021-08-04,IFF,131.81,132.58,130.71,130.71,88267
2021-08-05,IFF,131.51,132.44,130.71,131.02,73201
2021-08-06,IFF,131.15,134.04,130.47,133.75,125628
2021-08-09,IFF,134.33,136.03,133.3,135.93,85973
2021-08-10,IFF,136.2,138.42,136.15,138.33,88889
2021-08-11,IFF,138.47,138.9,137.93,138.7,74005
2021-08-12,IFF,138.37,138.44,137.39,138.12,25198
2021-08-13,IFF,138.02,138.93,137.63,138.65,37698
2021-08-16,IFF,137.69,138.2,136.93,137.62,108730
2021-08-17,IFF,136.91,137.7,135.71,137.01,58852
2021-08-18,IFF,136.1,136.59,133.95,133.98,48815
2021-08-19,IFF,132.83,133.78,132.05,132.11,101167
2021-08-20,IFF,131.34,132.68,131.34,132.43,49300
2021-08-23,IFF,132.73,133.12,131.99,132.85,66990
2021-08-24,IFF,133.04,134.5,133.04,133.84,73466
2021-08-25,IFF,132.97,134.79,132.92,134.16,27956
2021-08-26,IFF,133.11,134.18,133.01,133.56,30767
2021-08-27,IFF,133.87,134.81,133.18,134.28,27464
2021-08-30,IFF,134.52,134.52,133.6,133.74,18324
2021-08-31,IFF,132.97,134.28,132.64,133.99,22874
2021-09-01,IFF,133.86,134.03,132.8,133.06,21774
2021-09-02,IFF,133.52,134.36,133.11,133.92,31352
2021-09-03,IFF,133.26,134.66,132.66,133.52,36825
2021-09-07,IFF,132.98,133.25,131.3,132.76,45188
2021-09-08,IFF,131.88,133.66,131.72,133.56,22811
2021-09-09,IFF,133.04,134.66,132.95,133.47,39309
2021-09-10,IFF,133.31,133.31,130.4,130.51,75587
2021-09-13,IFF,131.47,131.65,129.04,130.57,45772
2021-09-14,IFF,129.64,130.24,126.75,127.14,44397
2021-09-15,IFF,127.27,128.37,127.01,127.67,33360
2021-09-16,IFF,126.72,128.15,126.45,126.59,28538
2021-09-17,IFF,125.55,125.63,119.14,119.58,167132
2021-09-20,IFF,118.37,121.32,118.25,119.38,93719
2021-09-21,IFF,119.41,119.44,116.23,117.23,79539
2021-09-22,IFF,117.66,118.95,115.95,117.3,103514
2021-09-23,IFF,118.22,120.02,118.22,118.31,41723
2021-09-24,IFF,118.18,119.46,116.9,118.01,57340
2021-09-27,IFF,117.86,119.42,116.88,117.09,99149
2021-09-28,IFF,117.12,119.59,116.19,118.25,63436
2021-09-29,IFF,118.51,120.34,118.07,119.28,92782
2021-09-30,IFF,119.74,121.23,118.78,118.95,106842
2021-10-01,IFF,121.46,127.88,121.46,125.55,401307
2021-10-04,IFF,125.18,125.99,121.87,122.83,107162
2021-10-05,IFF,122.94,123.08,120.28,120.64,78904
2021-10-06,IFF,120.1,122.36,119.86,122.35,40604
2021-10-07,IFF,123.49,124.22,122.7,123.01,66551
2021-10-08,IFF,123.01,124.14,122.7,122.8,39590
2021-10-11,IFF,123.34,125.17,122.89,124.6,54098
2021-10-12,IFF,124.66,127.72,124.66,127.66,97981
2021-10-13,IFF,126.93,128.54,126.16,128.49,64615
2021-10-14,IFF,129.45,132.68,129.42,132.01,49130
2021-10-15,IFF,132.24,132.74,131.16,131.31,36690
2021-10-18,IFF,130.54,131.06,129.29,129.5,34699
2021-10-19,IFF,130.46,131.32,129.04,130.79,24733
2021-10-20,IFF,130.4,130.47,128.7,129.73,32670
2021-10-21,IFF,129.47,129.85,129.0,129.78,43294
2021-10-22,IFF,130.11,130.23,129.17,129.29,38192
2021-10-26,IFF,130.01,132.42,129.75,131.78,38496
2021-10-27,IFF,131.37,132.71,130.82,131.85,51185
2021-10-28,IFF,132.47,133.35,131.84,132.08,43800
2021-10-29,IFF,131.4,132.26,130.24,131.22,26918
2021-11-01,IFF,131.38,131.38,128.13,128.16,50879
2021-11-02,IFF,128.17,129.56,128.11,128.51,50075
2021-11-03,IFF,129.04,130.19,128.61,129.29,73496
2021-11-04,IFF,128.79,128.9,125.75,126.25,68652
2021-11-05,IFF,126.85,128.26,126.6,127.8,104816
2021-11-08,IFF,128.15,131.25,128.15,131.16,129977
2021-11-09,IFF,129.73,137.0,129.17,136.2,148748
2021-11-10,IFF,136.55,137.3,134.31,134.56,137658
2021-11-11,IFF,134.6,134.67,132.52,133.74,77061
2021-11-12,IFF,133.87,136.3,133.87,135.76,45260
2021-11-15,IFF,134.89,135.6,134.14,135.5,48862
2021-11-16,IFF,135.28,136.99,135.28,136.06,22964
2021-11-17,IFF,135.37,136.27,134.29,136.0,26656
2021-11-18,IFF,135.84,136.21,133.44,133.53,40436
2021-11-19,IFF,133.59,134.29,133.04,133.59,37391
2021-11-22,IFF,133.84,135.12,132.92,132.92,23509
2021-11-23,IFF,132.89,132.89,130.52,131.32,32702
2021-11-24,IFF,131.34,131.7,130.51,131.26,30143
2021-11-26,IFF,128.1,129.59,128.05,128.66,35105
2021-11-29,IFF,129.93,131.51,128.9,130.9,52720
2021-11-30,IFF,130.65,130.73,126.34,126.68,44517
2021-12-01,IFF,127.83,130.34,125.89,125.89,61742
2021-12-02,IFF,125.88,126.64,124.53,125.02,59820
